Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XX(O),874,IL-12p40,Cuprizone,7.9,5.2575
XY(O),859,IL-12p40,Normal,5.09,5.2575
XY(O),839,IL-12p40,Normal,8.44,5.2575
XY(O),895,IL-12p40,Normal,10.04,5.2575
XY(O),882,IL-12p40,Cuprizone,6.8,5.2575
XY(O),896,IL-12p40,Cuprizone,12.12,5.2575
XY(O),866,IL-12p40,Cuprizone,2.23,5.2575
XY(O),819,IL-12p40,Cuprizone,2.23,5.2575
XX(T),832,IL-12p40,Normal,2.23,5.2575
XX(T),902,IL-12p40,Normal,2.23,5.2575
XX(T),899,IL-12p40,Cuprizone,2.23,5.2575
XX(T),846,IL-12p40,Cuprizone,5.67,5.2575
XX(T),845,IL-12p40,Cuprizone,5.67,5.2575
XY(T),854,IL-12p40,Normal,2.23,5.2575
XY(T),863,IL-12p40,Normal,2.23,5.2575
XY(T),891,IL-12p40,Normal,2.23,5.2575
XY(T),887,IL-12p40,Normal,2.23,5.2575
XY(T),869,IL-12p40,Cuprizone,2.23,5.2575
XY(T),901,IL-12p40,Cuprizone,2.23,5.2575
XY(T),900,IL-12p40,Cuprizone,2.23,5.2575
XY(T),948,IL-12p40,Cuprizone,2.23,5.2575
XX(O),878,IL-12p70,Normal,3.27,4.601666667
XX(O),881,IL-12p70,Normal,3.27,4.601666667
XX(O),784,IL-12p70,Normal,8.29,4.601666667
XX(O),837,IL-12p70,Cuprizone,6.7,4.601666667
XX(O),803,IL-12p70,Cuprizone,3.27,4.601666667
XX(O),815,IL-12p70,Cuprizone,10.54,4.601666667
XX(O),871,IL-12p70,Cuprizone,5.02,4.601666667
XX(O),874,IL-12p70,Cuprizone,6.7,4.601666667
XY(O),859,IL-12p70,Normal,5.02,4.601666667
XY(O),839,IL-12p70,Normal,6.7,4.601666667
XY(O),895,IL-12p70,Normal,9.05,4.601666667
XY(O),882,IL-12p70,Cuprizone,3.27,4.601666667
XY(O),896,IL-12p70,Cuprizone,7.51,4.601666667
XY(O),866,IL-12p70,Cuprizone,3.27,4.601666667
XY(O),819,IL-12p70,Cuprizone,3.27,4.601666667
XX(T),832,IL-12p70,Normal,3.27,4.601666667
XX(T),902,IL-12p70,Normal,3.27,4.601666667
XX(T),899,IL-12p70,Cuprizone,3.27,4.601666667
XX(T),846,IL-12p70,Cuprizone,3.27,4.601666667
XX(T),845,IL-12p70,Cuprizone,6.7,4.601666667
XY(T),854,IL-12p70,Normal,3.27,4.601666667
XY(T),863,IL-12p70,Normal,3.27,4.601666667
XY(T),891,IL-12p70,Normal,3.27,4.601666667
XY(T),887,IL-12p70,Normal,3.27,4.601666667
XY(T),869,IL-12p70,Cuprizone,3.27,4.601666667
XY(T),901,IL-12p70,Cuprizone,3.27,4.601666667
XY(T),900,IL-12p70,Cuprizone,3.27,4.601666667
XY(T),948,IL-12p70,Cuprizone,3.27,4.601666667
XX(O),878,IL-13,Normal,5.99,20.7375
XX(O),881,IL-13,Normal,5.99,20.7375
XX(O),784,IL-13,Normal,26.19,20.7375
XX(O),837,IL-13,Cuprizone,29.62,20.7375
XX(O),803,IL-13,Cuprizone,15.5,20.7375
XX(O),815,IL-13,Cuprizone,17.48,20.7375
XX(O),871,IL-13,Cuprizone,24.65,20.7375
XX(O),874,IL-13,Cuprizone,16.74,20.7375
XY(O),859,IL-13,Normal,35.19,20.7375
XY(O),839,IL-13,Normal,28.77,20.7375
XY(O),895,IL-13,Normal,30.46,20.7375
XY(O),882,IL-13,Cuprizone,27.27,20.7375
XY(O),896,IL-13,Cuprizone,44.38,20.7375
XY(O),866,IL-13,Cuprizone,26.41,20.7375
XY(O),819,IL-13,Cuprizone,21.03,20.7375
XX(T),832,IL-13,Normal,5.99,20.7375
XX(T),902,IL-13,Normal,50.54,20.7375
XX(T),899,IL-13,Cuprizone,17.96,20.7375
XX(T),846,IL-13,Cuprizone,42.47,20.7375
XX(T),845,IL-13,Cuprizone,24.43,20.7375
XY(T),854,IL-13,Normal,14.49,20.7375
XY(T),863,IL-13,Normal,13.98,20.7375
XY(T),891,IL-13,Normal,11.87,20.7375
XY(T),887,IL-13,Normal,19.39,20.7375
XY(T),869,IL-13,Cuprizone,17.48,20.7375
XY(T),901,IL-13,Cuprizone,22.18,20.7375
XY(T),900,IL-13,Cuprizone,9.65,20.7375
XY(T),948,IL-13,Cuprizone,19.63,20.7375
XX(O),878,IL-15,Normal,38.93,20.08583333
XX(O),881,IL-15,Normal,44.47,20.08583333
XX(O),784,IL-15,Normal,17.52,20.08583333
XX(O),837,IL-15,Cuprizone,34.4,20.08583333
XX(O),803,IL-15,Cuprizone,72.77,20.08583333
XX(O),815,IL-15,Cuprizone,38.93,20.08583333
XX(O),871,IL-15,Cuprizone,25,20.08583333
XX(O),874,IL-15,Cuprizone,32.09,20.08583333
XY(O),859,IL-15,Normal,34.4,20.08583333
XY(O),839,IL-15,Normal,32.09,20.08583333
XY(O),895,IL-15,Normal,45.57,20.08583333
XY(O),882,IL-15,Cuprizone,38.93,20.08583333
XY(O),896,IL-15,Cuprizone,37.81,20.08583333
XY(O),866,IL-15,Cuprizone,29.76,20.08583333
XY(O),819,IL-15,Cuprizone,22.56,20.08583333
XX(T),832,IL-15,Normal,2.93,20.08583333
XX(T),902,IL-15,Normal,9.4,20.08583333
XX(T),899,IL-15,Cuprizone,9.4,20.08583333
XX(T),846,IL-15,Cuprizone,17.52,20.08583333
XX(T),845,IL-15,Cuprizone,22.56,20.08583333
XY(T),854,IL-15,Normal,6.43,20.08583333
XY(T),863,IL-15,Normal,3.18,20.08583333
XY(T),891,IL-15,Normal,2.93,20.08583333
XY(T),887,IL-15,Normal,3.18,20.08583333
XY(T),869,IL-15,Cuprizone,2.93,20.08583333
XY(T),901,IL-15,Cuprizone,3.18,20.08583333
XY(T),900,IL-15,Cuprizone,2.93,20.08583333
XY(T),948,IL-15,Cuprizone,2.93,20.08583333
XX(O),878,IL-17a,Normal,1.77,5.015833333
XX(O),881,IL-17a,Normal,1.77,5.015833333
XX(O),784,IL-17a,Normal,9.68,5.015833333
XX(O),837,IL-17a,Cuprizone,10.36,5.015833333
XX(O),803,IL-17a,Cuprizone,1.85,5.015833333
XX(O),815,IL-17a,Cuprizone,6.11,5.015833333
XX(O),871,IL-17a,Cuprizone,6.11,5.015833333
XX(O),874,IL-17a,Cuprizone,4.1,5.015833333
XY(O),859,IL-17a,Normal,8.43,5.015833333
XY(O),839,IL-17a,Normal,8,5.015833333
XY(O),895,IL-17a,Normal,7.43,5.015833333
XY(O),882,IL-17a,Cuprizone,8.92,5.015833333
XY(O),896,IL-17a,Cuprizone,7.14,5.015833333
XY(O),866,IL-17a,Cuprizone,7.14,5.015833333
XY(O),819,IL-17a,Cuprizone,8.14,5.015833333
XX(T),832,IL-17a,Normal,2.04,5.015833333
XX(T),902,IL-17a,Normal,6.7,5.015833333
XX(T),899,IL-17a,Cuprizone,4.1,5.015833333
XX(T),846,IL-17a,Cuprizone,6.7,5.015833333
XX(T),845,IL-17a,Cuprizone,7.21,5.015833333
XY(T),854,IL-17a,Normal,4.1,5.015833333
XY(T),863,IL-17a,Normal,4.26,5.015833333
XY(T),891,IL-17a,Normal,2.4,5.015833333
XY(T),887,IL-17a,Normal,3.61,5.015833333
XY(T),869,IL-17a,Cuprizone,2.76,5.015833333
XY(T),901,IL-17a,Cuprizone,4.01,5.015833333
XY(T),900,IL-17a,Cuprizone,3.44,5.015833333
XY(T),948,IL-17a,Cuprizone,2.58,5.015833333
XX(O),878,IP-10,Normal,26.81,33.25916667
XX(O),881,IP-10,Normal,25.26,33.25916667
XX(O),784,IP-10,Normal,39.84,33.25916667
XX(O),837,IP-10,Cuprizone,35.86,33.25916667
XX(O),803,IP-10,Cuprizone,26.89,33.25916667
XX(O),815,IP-10,Cuprizone,119.22,33.25916667
XX(O),871,IP-10,Cuprizone,49.29,33.25916667
XX(O),874,IP-10,Cuprizone,45.64,33.25916667
XY(O),859,IP-10,Normal,52.04,33.25916667
XY(O),839,IP-10,Normal,34.98,33.25916667
XY(O),895,IP-10,Normal,68.75,33.25916667
XY(O),882,IP-10,Cuprizone,184.34,33.25916667
XY(O),896,IP-10,Cuprizone,65.49,33.25916667
XY(O),866,IP-10,Cuprizone,79,33.25916667
XY(O),819,IP-10,Cuprizone,97.77,33.25916667
XX(T),832,IP-10,Normal,13.59,33.25916667
XX(T),902,IP-10,Normal,23.9,33.25916667
