"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"267","XXO",236,"IL12p40","Cuprizone",3.14,5.62,0.558718861209964,-0.839805571329299
"272","XXT",243,"IL12p40","Cuprizone",6.29,5.62,1.11921708185053,0.162489886658363
"273","XXT",246,"IL12p40","Cuprizone",4.94,5.62,0.879003558718861,-0.186059088636248
"278","XYO",248,"IL12p40","Cuprizone",9.9,5.62,1.76156583629893,0.816858394746046
"279","XYO",249,"IL12p40","Cuprizone",6.74,5.62,1.19928825622776,0.262178460960932
"280","XYO",250,"IL12p40","Cuprizone",4.94,5.62,0.879003558718861,-0.186059088636248
"284","XYT",257,"IL12p40","Cuprizone",4.94,5.62,0.879003558718861,-0.186059088636248
"285","XYT",242,"IL12p40","Cuprizone",4.04,5.62,0.718861209964413,-0.476214837469131
"286","XYT",948,"IL12p40","Cuprizone",4.04,5.62,0.718861209964413,-0.476214837469131
"290","XXO",247,"IL12p70","Cuprizone",95.2,11.05785714,8.60926296973303,3.10588973524996
"291","XXO",251,"IL12p70","Cuprizone",10.89,11.05785714,0.98482010231505,-0.0220678842284379
"292","XXO",235,"IL12p70","Cuprizone",8.72,11.05785714,0.788579549328488,-0.342671798168418
"293","XXO",236,"IL12p70","Cuprizone",7.69,11.05785714,0.695433111735788,-0.524016334983518
"298","XXT",243,"IL12p70","Cuprizone",13.16,11.05785714,1.19010399875721,0.251087650789896
"299","XXT",246,"IL12p70","Cuprizone",10.89,11.05785714,0.98482010231505,-0.0220678842284379
"304","XYO",248,"IL12p70","Cuprizone",8.72,11.05785714,0.788579549328488,-0.342671798168418
"305","XYO",249,"IL12p70","Cuprizone",13.16,11.05785714,1.19010399875721,0.251087650789896
"306","XYO",250,"IL12p70","Cuprizone",9.8,11.05785714,0.886247658648989,-0.174218183942774
"310","XYT",257,"IL12p70","Cuprizone",8.72,11.05785714,0.788579549328488,-0.342671798168418
"311","XYT",242,"IL12p70","Cuprizone",12.02,11.05785714,1.08700988336335,0.120365057765841
"312","XYT",948,"IL12p70","Cuprizone",9.8,11.05785714,0.886247658648989,-0.174218183942774
"316","XXO",247,"LIX","Cuprizone",74.88,17.20428571,4.35240388715911,2.12181243962252
"317","XXO",251,"LIX","Cuprizone",12.34,17.20428571,0.717263140592194,-0.479425600811467
"318","XXO",235,"LIX","Cuprizone",1.58,17.20428571,0.0918375820207185,-3.44477153178378
"319","XXO",236,"LIX","Cuprizone",1.58,17.20428571,0.0918375820207185,-3.44477153178378
"324","XXT",243,"LIX","Cuprizone",27.38,17.20428571,1.59146392134637,0.670354451297015
"325","XXT",246,"LIX","Cuprizone",19.79,17.20428571,1.15029477733545,0.202003617086627
"330","XYO",248,"LIX","Cuprizone",17.28,17.20428571,1.00440089703672,0.00633522220258377
"331","XYO",249,"LIX","Cuprizone",35.02,17.20428571,2.03553931795289,1.02541108847267
"332","XYO",250,"LIX","Cuprizone",19.79,17.20428571,1.15029477733545,0.202003617086627
"336","XYT",257,"LIX","Cuprizone",14.8,17.20428571,0.860250768295338,-0.217170819444573
"337","XYT",242,"LIX","Cuprizone",17.28,17.20428571,1.00440089703672,0.00633522220258377
"338","XYT",948,"LIX","Cuprizone",14.8,17.20428571,0.860250768295338,-0.217170819444573
"342","XXO",247,"IL15","Cuprizone",93.71,58.335,1.60641124539299,0.683841273763818
"343","XXO",251,"IL15","Cuprizone",59.13,58.335,1.01362818205194,0.0195285416092776
"344","XXO",235,"IL15","Cuprizone",51.47,58.335,0.882317648067198,-0.18062995294883
"345","XXO",236,"IL15","Cuprizone",50.19,58.335,0.860375417845204,-0.216961789395856
"350","XXT",243,"IL15","Cuprizone",48.91,58.335,0.838433187623211,-0.254232270817575
"351","XXT",246,"IL15","Cuprizone",46.36,58.335,0.794720150852833,-0.331481169148893
"356","XYO",248,"IL15","Cuprizone",42.54,58.335,0.72923630753407,-0.455541702194692
"357","XYO",249,"IL15","Cuprizone",54.02,58.335,0.926030684837576,-0.110868095646397
"358","XYO",250,"IL15","Cuprizone",48.91,58.335,0.838433187623211,-0.254232270817575
"362","XYT",257,"IL15","Cuprizone",62.96,58.335,1.07928344904431,0.110073805352122
"363","XYT",242,"IL15","Cuprizone",64.24,58.335,1.10122567926631,0.13911015736195
"364","XYT",948,"IL15","Cuprizone",45.09,58.335,0.772949344304449,-0.371554225517844
"368","XXO",247,"IL17a","Cuprizone",3.64,5.667142857,0.642298966489597,-0.638683119852613
"369","XXO",251,"IL17a","Cuprizone",4.63,5.667142857,0.816990168913965,-0.291609376791073
"370","XXO",235,"IL17a","Cuprizone",5.34,5.667142857,0.942273758531441,-0.0857818283637551
"371","XXO",236,"IL17a","Cuprizone",3.64,5.667142857,0.642298966489597,-0.638683119852613
"376","XXT",243,"IL17a","Cuprizone",6.03,5.667142857,1.06402823294843,0.0895364318487757
"377","XXT",246,"IL17a","Cuprizone",4.63,5.667142857,0.816990168913965,-0.291609376791073
"382","XYO",248,"IL17a","Cuprizone",3.64,5.667142857,0.642298966489597,-0.638683119852613
"383","XYO",249,"IL17a","Cuprizone",5.51,5.667142857,0.972271237735626,-0.0405692514801516
"384","XYO",250,"IL17a","Cuprizone",3.64,5.667142857,0.642298966489597,-0.638683119852613
"388","XYT",257,"IL17a","Cuprizone",4.63,5.667142857,0.816990168913965,-0.291609376791073
"389","XYT",242,"IL17a","Cuprizone",5.69,5.667142857,1.00403327454006,0.00580708225527301
"390","XYT",948,"IL17a","Cuprizone",5.69,5.667142857,1.00403327454006,0.00580708225527301
"394","XXO",247,"IP10","Cuprizone",70.61,44.34428571,1.59231339211936,0.671124308721062
