Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XYO,230,IL7,Ctrl,3.19,5.349166667
XYO,234,IL7,Ctrl,2.27,5.349166667
XYO,237,IL7,Ctrl,2.07,5.349166667
XYO,248,IL7,Cuprizone,2.07,5.349166667
XYO,249,IL7,Cuprizone,2.56,5.349166667
XYO,250,IL7,Cuprizone,2.87,5.349166667
XYT,253,IL7,Ctrl,4.19,5.349166667
XYT,258,IL7,Ctrl,7.16,5.349166667
XYT,887,IL7,Ctrl,5.63,5.349166667
XYT,257,IL7,Cuprizone,2.56,5.349166667
XYT,242,IL7,Cuprizone,7.75,5.349166667
XYT,948,IL7,Cuprizone,2.07,5.349166667
XXO,229,IL9,Ctrl,714.8,507.7957143
XXO,231,IL9,Ctrl,192.13,507.7957143
XXO,233,IL9,Ctrl,274.23,507.7957143
XXO,247,IL9,Cuprizone,149.41,507.7957143
XXO,251,IL9,Cuprizone,560.59,507.7957143
XXO,235,IL9,Cuprizone,495.04,507.7957143
XXO,236,IL9,Cuprizone,495.04,507.7957143
XXT,240,IL9,Ctrl,654.67,507.7957143
XXT,241,IL9,Ctrl,651.4,507.7957143
XXT,252,IL9,Ctrl,255.89,507.7957143
XXT,254,IL9,Ctrl,296.05,507.7957143
XXT,243,IL9,Cuprizone,270.58,507.7957143
XXT,246,IL9,Cuprizone,255.89,507.7957143
XYO,238,IL9,Ctrl,1839,507.7957143
XYO,230,IL9,Ctrl,498.43,507.7957143
XYO,234,IL9,Ctrl,180.61,507.7957143
XYO,237,IL9,Ctrl,381.43,507.7957143
XYO,248,IL9,Cuprizone,381.43,507.7957143
XYO,249,IL9,Cuprizone,398.89,507.7957143
XYO,250,IL9,Cuprizone,277.89,507.7957143
XYT,253,IL9,Ctrl,188.3,507.7957143
XYT,258,IL9,Ctrl,211.13,507.7957143
XYT,887,IL9,Ctrl,771.07,507.7957143
XYT,257,IL9,Cuprizone,888.3,507.7957143
XYT,242,IL9,Cuprizone,281.53,507.7957143
XYT,948,IL9,Cuprizone,897.71,507.7957143
XXO,229,IL10,Ctrl,86.98,58.275
XXO,231,IL10,Ctrl,37.21,58.275
XXO,233,IL10,Ctrl,61.16,58.275
XXO,247,IL10,Cuprizone,75.15,58.275
XXO,251,IL10,Cuprizone,41.53,58.275
XXO,235,IL10,Cuprizone,56.82,58.275
XXO,236,IL10,Cuprizone,48.03,58.275
XXT,240,IL10,Ctrl,56.82,58.275
XXT,241,IL10,Ctrl,66.64,58.275
XXT,252,IL10,Ctrl,59.19,58.275
XXT,254,IL10,Ctrl,50.84,58.275
XXT,243,IL10,Cuprizone,63.9,58.275
XXT,246,IL10,Cuprizone,67.61,58.275
XYO,238,IL10,Ctrl,59.19,58.275
XYO,230,IL10,Ctrl,70.13,58.275
XYO,234,IL10,Ctrl,56.42,58.275
XYO,237,IL10,Ctrl,51.24,58.275
XYO,248,IL10,Cuprizone,44.79,58.275
XYO,249,IL10,Cuprizone,69.94,58.275
XYO,250,IL10,Cuprizone,46.82,58.275
XYT,253,IL10,Ctrl,58,58.275
XYT,258,IL10,Ctrl,46.01,58.275
XYT,887,IL10,Ctrl,56.02,58.275
XYT,257,IL10,Cuprizone,111.26,58.275
XYT,242,IL10,Cuprizone,46.82,58.275
XYT,948,IL10,Cuprizone,78.6,58.275
XXO,229,IL12p40,Ctrl,3.59,5.62
XXO,231,IL12p40,Ctrl,0.02,5.62
XXO,233,IL12p40,Ctrl,4.04,5.62
XXO,247,IL12p40,Cuprizone,8.54,5.62
XXO,251,IL12p40,Cuprizone,4.04,5.62
XXO,235,IL12p40,Cuprizone,2.69,5.62
XXO,236,IL12p40,Cuprizone,3.14,5.62
XXT,240,IL12p40,Ctrl,9,5.62
XXT,241,IL12p40,Ctrl,4.04,5.62
XXT,252,IL12p40,Ctrl,3.59,5.62
XXT,254,IL12p40,Ctrl,9.45,5.62
XXT,243,IL12p40,Cuprizone,6.29,5.62
XXT,246,IL12p40,Cuprizone,4.94,5.62
XYO,238,IL12p40,Ctrl,2.24,5.62
XYO,230,IL12p40,Ctrl,7.64,5.62
