,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mapk3,4283.318102,0.196246724,0.036657382,5.354831413,8.56E-08,2.29E-06
Cdo1,9.891457473,0.196256821,0.204630322,0.93134056,0.351677428,0.643857403
B330016D10Rik,16.72851048,0.196397867,0.213890487,0.964889319,0.334600252,0.626889138
Chaf1b,193.4161752,0.196470535,0.111338854,1.764028319,0.077727211,0.258370119
Mto1,386.7644466,0.196473,0.082450601,2.382874146,0.017178066,0.086690227
Haus3,175.8735975,0.196491921,0.127294306,1.551761219,0.120719368,0.344744603
Mtpn,9670.348728,0.196617485,0.025355425,7.753965633,8.91E-15,6.62E-13
Itga9,164.1666548,0.196619011,0.115024795,1.688230616,0.091366968,0.286643211
Dhrs3,3317.899377,0.196626287,0.034165345,5.756208296,8.60E-09,2.89E-07
Gm17638,7.132507375,0.19663329,0.199436753,1.032998789,0.301604465,0.591802025
Tmc8,62.71947022,0.196643649,0.184059869,1.102888798,0.270075459,0.557750422
Ppp1r13l,164.6420054,0.196647468,0.116921026,1.676177879,0.093703356,0.292268247
Spats2,384.1446374,0.196665499,0.094981326,2.070655206,0.038391029,0.156786834
Prr15,66.06061782,0.196721999,0.181364315,1.145614796,0.251954572,0.535681516
Cdkl2,108.1519906,0.196738723,0.142171335,1.387968571,0.165146616,0.419298292
C87436,151.8380709,0.196780221,0.130771089,1.51127894,0.130717397,0.361833111
Rbm6-ps1,5.462531614,0.197277393,0.183280128,0.987079556,0.323603639,0.615361782
Gm26563,2.562367812,0.197325465,0.149037107,1.203433682,0.22880854,NA
Ptpn21,300.6773875,0.197358389,0.093231073,2.110803071,0.034789242,0.146140177
Slc44a2,668.929445,0.197359712,0.063635143,3.100554108,0.001931589,0.014948626
Ociad2,58.36384352,0.197383267,0.194273684,1.004446341,0.315163523,0.606893835
Appl1,615.6502456,0.197481224,0.069553564,2.839485306,0.004518638,0.029966386
4921524J17Rik,148.8145422,0.197482963,0.125904072,1.568684824,0.116721396,0.337388003
Zfp280b,150.8415365,0.197499502,0.129446798,1.530591805,0.125870308,0.353880019
Gm12319,13.09583945,0.197606155,0.213349608,0.905741938,0.365072459,0.654494956
Hadha,3168.274741,0.197636146,0.037168965,5.315324694,1.06E-07,2.78E-06
Bri3bp,665.0898235,0.197685781,0.081131572,2.439380774,0.014712457,0.077098242
Uevld,308.2625046,0.197687152,0.094249053,2.095212226,0.036152131,0.150457056
Tvp23b,363.9504785,0.197983121,0.088640894,2.23485119,0.02542712,0.116932199
Fkbp6,2.226826867,0.197988026,0.133585389,2.370975884,0.017741189,NA
Arsk,439.4988735,0.198040287,0.086975004,2.27974854,0.022622607,0.106917328
Dagla,346.1441594,0.198067576,0.088310569,2.243504568,0.024864296,0.114908859
Mkln1os,4.492459793,0.19810557,0.176418286,1.376608529,0.168633313,0.42450336
Exog,132.0432529,0.19812558,0.131954042,1.498172224,0.13408851,0.367382936
Idh1,4868.436591,0.198174493,0.041503722,4.7753602,1.79E-06,3.47E-05
Cnst,335.3360581,0.198209383,0.09271857,2.138198965,0.032500598,0.138913153
Rgs18,6.72182091,0.198241542,0.194205864,1.167311731,0.243084503,0.523955028
Gm43300,22.07932117,0.198385546,0.212202724,0.934468237,0.350062413,0.642358357
Gm12418,34.92882822,0.198460313,0.210736786,0.984081958,0.325075217,0.616489025
Cip2a,87.58895827,0.19850743,0.168063213,1.201095986,0.22971397,0.507591743
Gm12454,13.89678282,0.198530508,0.21380389,0.9406975,0.3468599,0.639590537
Wdr62,256.5020049,0.198550226,0.105457838,1.886148234,0.059274982,0.214151777
Gm3219,9.740999363,0.198636135,0.206140172,1.044081424,0.296447719,0.586362867
Nipsnap3b,924.4017554,0.198643052,0.059086631,3.360608138,0.000777711,0.007037781
Mmd,292.0697228,0.198673173,0.108476476,1.836711319,0.066252523,0.232135606
Prelid3a,35.36010107,0.198709819,0.196306517,0.971345971,0.331376024,0.62314126
Rmnd5b,480.8332979,0.198717204,0.078445599,2.536252199,0.011204601,0.062361585
Gpr155,112.2617231,0.198785074,0.153754951,1.311179233,0.189797217,0.454696079
Nfic,2777.889298,0.198858175,0.043713544,4.546921387,5.44E-06,9.25E-05
Rsph9,15.73086357,0.198874295,0.21253565,0.898097229,0.369133716,0.65828206
Cdpf1,171.0607772,0.198990209,0.119303973,1.661502835,0.0966125,0.298337661
Ptprm,64.15187606,0.199001695,0.166749934,1.169057282,0.242380553,0.523115333
Gfpt1,837.0971186,0.199017622,0.058913997,3.373636967,0.000741821,0.006758491
Armc10,382.4605677,0.199043925,0.092013353,2.166057844,0.030306767,0.131936068
Gm16378,11.40659994,0.199112467,0.208427531,0.916771797,0.359262234,0.650145373
Lamtor5,891.1419672,0.199153687,0.058286479,3.414792968,0.000638305,0.0059601
Ndufs6,575.6330224,0.199234598,0.081575758,2.441326597,0.014633414,0.076733876
Crocc2,2.728744034,0.199321765,0.140376919,1.254059918,0.209820228,0.480300005
Gm47175,7.070746412,0.199421483,0.202305521,0.873709212,0.382276633,0.668911557
Alg6,123.3581415,0.199446803,0.134249379,1.482137557,0.138303697,0.374921061
Mtus1,633.2078629,0.199447544,0.074143426,2.701067472,0.006911732,0.042258845
Sh3glb1,4306.253249,0.199459351,0.031072217,6.41805754,1.38E-10,6.04E-09
Zkscan7,33.80575229,0.199490449,0.202474367,1.005023308,0.314885627,0.606575882
Whrn,72.52998703,0.199557424,0.171168669,1.141354352,0.253722492,0.5382686
Kazald1,77.85773943,0.199808795,0.185357766,1.262659632,0.206711527,0.476402013
Fam174a,843.1411674,0.199900808,0.068690111,2.91273545,0.00358278,0.024767846
F2rl3,2.486610895,0.199910924,0.13544876,1.229334159,0.218946545,NA
Tmem40,2.895457987,0.200098218,0.161376795,1.14427969,0.252507663,0.53636271
Cdkn2d,111.2445873,0.200273569,0.159567654,1.257743818,0.20848442,0.479268509
Hist1h3d,13.52520397,0.200312541,0.213301834,1.000731775,0.316956501,0.608748142
Zfp937,19.71642111,0.20045732,0.213456321,0.915879887,0.359729897,0.6504081
Rpp40,102.2654189,0.200471913,0.139044665,1.421568417,0.155151579,0.403054375
Slc35f5,762.2935792,0.200477805,0.066909384,2.997134369,0.002725306,0.019771945
Snapin,972.6726462,0.200509192,0.059946471,3.346163603,0.00081938,0.007348917
Gsdmc,2.263921193,0.200531217,0.143985194,0.87932178,0.37922683,NA
Gm2011,14.36557125,0.200611419,0.213760325,0.959013284,0.337552053,0.630443613
Gm43737,126.4713012,0.200621629,0.131175642,1.526787763,0.126813796,0.355667695
Cmas,1409.763864,0.200654467,0.053594973,3.745033949,0.000180369,0.002033725
Adi1,689.6746711,0.200717743,0.068344395,2.934207618,0.003344004,0.02336748
Dnajb12,703.2373107,0.200737115,0.07833313,2.565599437,0.010299769,0.058188649
Asah1,7370.820436,0.200749761,0.032657265,6.147276077,7.88E-10,3.16E-08
Gm3695,2.914325064,0.200803815,0.148867358,1.289927525,0.197075823,0.46340273
Gm5587,3.965519451,0.200954937,0.17519064,0.950981982,0.341613523,0.634649878
2810006K23Rik,122.8441631,0.201205358,0.137154727,1.464088147,0.143169866,0.383028649
3830408C21Rik,5.738734908,0.201224066,0.180982353,0.97137297,0.331362583,0.62314126
Pdlim5,1406.768371,0.201239523,0.051331595,3.922811196,8.75E-05,0.001074706
Zfp788,105.2854821,0.201273498,0.146366376,1.372543878,0.169894189,0.426652567
Gm12396,36.50660105,0.201380189,0.19781994,1.038757135,0.298917701,0.58932516
Mbnl1,4965.854968,0.201421141,0.038094966,5.289393082,1.23E-07,3.17E-06
Rcor2,8.700402933,0.201554312,0.206720149,1.032255911,0.301952249,0.592268361
Gm12338,176.8296999,0.201596946,0.120957737,1.663198409,0.096272726,0.29756481
Anxa4,6927.122653,0.201612754,0.035652784,5.654713331,1.56E-08,4.94E-07
Ube2l3,3251.125643,0.20162244,0.037643345,5.355849535,8.52E-08,2.28E-06
Piezo2,3.843891919,0.201643741,0.165425692,1.274816879,0.202374065,0.47091225
Gm13342,4.594082113,0.201728202,0.177758767,1.086505464,0.277255425,0.567260859
Arrb1,2234.45172,0.201938722,0.043226398,4.677948344,2.90E-06,5.35E-05
Gm14325,93.56191419,0.201971593,0.143174911,1.400379567,0.161399686,0.413165782
Rasl10a,2.17672205,0.201973441,0.135373788,1.418061868,0.156172703,NA
Gm12166,76.97332547,0.202015312,0.173723301,1.166711482,0.243326904,0.524176182
8-Mar,1746.190373,0.202175738,0.048228033,4.192378009,2.76E-05,0.00039381
Zranb3,1604.244492,0.202231552,0.048536023,4.16793319,3.07E-05,0.000433521
G2e3,154.6829697,0.202257038,0.131280845,1.548622019,0.12147261,0.345894421
Tmem237,226.0277589,0.202298077,0.102725008,1.963091761,0.049635513,0.188572874
Gm8093,1.991763462,0.202324057,0.135999075,1.528995213,0.126265631,NA
Lrrc58,1632.871305,0.202378616,0.054071194,3.742031675,0.000182539,0.002053876
Rmnd5a,904.7124918,0.202425471,0.064853596,3.134863046,0.001719344,0.013618856
Dact3,36.26640001,0.202426293,0.195958116,1.017943197,0.308704952,0.599845615
Fgfr1op,247.8662971,0.202429102,0.114730575,1.768775843,0.07693129,0.256517123
Gm10277,0.979926349,0.20253421,0.100782798,1.622937489,0.104602769,NA
Clec11a,5.085034538,0.202544006,0.182514101,1.077328718,0.281333437,0.571630148
C1galt1,639.690528,0.202561828,0.067249893,3.00921093,0.002619272,0.019183819
Gm12868,5.126834077,0.202636331,0.182922088,1.277338856,0.201482641,0.469537617
Gm42793,385.5145356,0.20268222,0.100951216,2.009171105,0.044518991,0.174580613
Hk1,923.4468566,0.202749122,0.061824208,3.278286621,0.001044393,0.008992145
Rnf26,39.44941259,0.202951152,0.20068441,1.021367054,0.307080568,0.598038017
Cdc42bpa,365.5670335,0.202969154,0.084783482,2.390134916,0.016842185,0.085637229
Uhmk1,2838.24989,0.203075527,0.042143342,4.819053401,1.44E-06,2.85E-05
Fah,16.99845773,0.203254232,0.212848125,0.889969512,0.373482257,0.661337431
Cpped1,834.5454639,0.203344339,0.05952603,3.41578419,0.000635986,0.005946067
Atp6v0a1,11315.96083,0.203364568,0.031380632,6.481124263,9.10E-11,4.10E-09
Mettl9,470.3003266,0.203470034,0.094121974,2.159565674,0.030806308,0.133468435
Ctsl,69923.59739,0.203483471,0.027845558,7.307405624,2.72E-13,1.70E-11
Cox20,9.193035964,0.203522849,0.199257855,0.994094718,0.320176756,0.612526911
Gm4342,1.775142617,0.20353112,0.12892721,1.843068842,0.06531896,NA
Sfmbt1,1035.106863,0.203644846,0.060114078,3.386110558,0.000708908,0.006521228
9430091E24Rik,22.70448267,0.20367947,0.20970772,0.977514863,0.328314323,0.619790758
Yipf5,880.5524564,0.203745928,0.057622173,3.532890872,0.000411042,0.004123364
