,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Lrrc56,36.28731242,0.002371884,0.2004744,0.011711798,0.990655551,0.998005193
Rab11b,1472.400479,0.002395255,0.04985777,0.048329282,0.961453818,0.990117839
Eral1,266.7703898,0.00239808,0.103470724,0.023169254,0.981515264,0.996373508
Prkaca,1380.222585,0.002420155,0.054525833,0.04465806,0.964379864,0.990468475
Sft2d3,139.8212075,0.002465874,0.127309804,0.020044085,0.984008205,0.996711254
Igsf6,3371.571285,0.00248144,0.032479542,0.076048489,0.939380521,0.985085373
Akirin2,704.8891696,0.002506408,0.063363454,0.03967565,0.968351715,0.991129858
1700028N14Rik,1.072986379,0.002530621,0.102487659,0.019036194,0.984812232,NA
Nxf2,1.349026076,0.002556926,0.112939499,0.0195756,0.984381928,NA
Rpl32l,2.596225895,0.002574651,0.146023638,0.018796258,0.985003639,NA
Fads1,1872.708985,0.002586139,0.044798832,0.058484025,0.953363087,0.988892738
Gm14277,1.345155154,0.002611778,0.10742341,0.022426766,0.982107529,NA
Wdr44,208.6947509,0.002618969,0.105547343,0.025979603,0.979273607,0.995213635
Art2a-ps,1.115332468,0.002636701,0.099042668,0.020343124,0.983769655,NA
Mex3c,898.7286762,0.002640457,0.066879741,0.03971086,0.968323643,0.991129858
Unc119b,580.1139678,0.002656952,0.071896857,0.036911736,0.970555382,0.992257587
Pabpc4,1647.328301,0.002700587,0.049712762,0.054085243,0.956867249,0.988910306
Mtmr7,50.27033956,0.002702848,0.188310356,0.013545499,0.989192586,0.997873722
Zfp61,115.6349254,0.002716776,0.149928148,0.017613289,0.985947355,0.997371543
Gm25667,0.780414555,0.002717467,0.085517739,0.025228148,0.979872986,NA
Zswim4,445.1057638,0.002763474,0.084617785,0.033375196,0.973375389,0.993673564
Prpf3,438.0943163,0.002769057,0.083409303,0.032833567,0.97380731,0.993673564
Mre11a,366.3807735,0.002786847,0.092585692,0.030262016,0.97585809,0.99418932
Rab40b,1.402736281,0.002791821,0.111548243,0.025491615,0.979662836,NA
Slc6a20b,0.809864788,0.002820496,0.08959755,0.029292091,0.976631635,NA
Rnh1,12791.68337,0.002831965,0.028921755,0.09776067,0.922122339,0.979292578
Slc9a3r2,62.23999476,0.002834323,0.174985756,0.017981373,0.985653713,0.997371543
Specc1,2140.019338,0.002840936,0.041913516,0.068060586,0.945737405,0.986620727
Gm16477,61.43550219,0.002883039,0.179787545,0.01600593,0.987229661,0.997517858
4930547M16Rik,1.75866747,0.002899952,0.121965277,0.022818656,0.981794927,NA
Sh3bgr,0.685263735,0.002915374,0.07664026,0.023465449,0.981278998,NA
Sacm1l,753.1200633,0.002919964,0.068706381,0.04272052,0.965924322,0.990484355
Nmnat1,160.2516868,0.002922392,0.119924606,0.023804442,0.981008597,0.996136122
2310074N15Rik,1.015212645,0.002933413,0.099505117,0.029724886,0.976286464,NA
Gm47173,0.919960651,0.002940663,0.03090547,0.049965047,0.960150242,NA
Gm7308,11.96515306,0.002943484,0.212925171,0.016742192,0.986642287,0.997374106
Btbd6,248.9319054,0.00295754,0.095738044,0.030683296,0.975522113,0.99418932
Nos1ap,17.4444781,0.002962154,0.21403988,0.017602124,0.985956262,0.997371543
C1ql2,0.811655345,0.002981251,0.085126097,0.028117585,0.977568369,NA
Brox,2202.872585,0.003020152,0.046291869,0.065410305,0.94784732,0.986675728
Smarcb1,948.1166324,0.003034189,0.052613379,0.057367805,0.954252209,0.988910306
Retreg3,1098.427409,0.003037012,0.056484833,0.054028324,0.956912598,0.988910306
Uso1,1959.992738,0.003046656,0.047758916,0.06368414,0.949221734,0.986799016
Plxna2,590.4942467,0.003047549,0.073484049,0.040592158,0.967621036,0.990986859
Pygo2,855.0453752,0.003054597,0.06800071,0.045248025,0.963909615,0.990449901
Gm44616,27.76706029,0.003092738,0.205399817,0.01244587,0.990069889,0.998005193
A4galt,2.04313271,0.003098799,0.127841716,0.017804629,0.985794712,NA
Babam1,1227.521331,0.003102866,0.053728818,0.057408045,0.954220154,0.988910306
Stx16,948.8787375,0.003140221,0.06947539,0.045328015,0.963845858,0.990449901
Mir1934,0.743164921,0.003141331,0.078111511,0.035030698,0.972055262,NA
Gm17018,372.9111462,0.003167325,0.091945684,0.033811067,0.973027811,0.993575659
Sema4g,20.53744571,0.003170814,0.213937497,0.026873903,0.978560309,0.994883566
Aldh7a1,519.292858,0.003238099,0.073066459,0.043812868,0.96505357,0.990484355
Ttc1,563.4766275,0.003252308,0.068542193,0.047184708,0.962366015,0.990215254
Taco1os,3.323786618,0.003253317,0.161241582,-0.000848262,0.999323185,NA
Chmp6,886.7782273,0.003270898,0.058043986,0.056069019,0.955286824,0.988910306
Cdc73,760.3897228,0.003273041,0.059696045,0.05468067,0.956392869,0.988910306
4932438H23Rik,1.233270616,0.003274962,0.098704528,0.032274522,0.974253127,NA
Ddx41,1045.477731,0.00328354,0.055006634,0.059601185,0.952473274,0.988892738
Gm11557,1.07440741,0.003295276,0.100909358,0.027560207,0.97801292,NA
Cyb561d1,272.9405439,0.003301474,0.103405388,0.032669799,0.973937908,0.993673564
Nip7,526.0442672,0.003316239,0.072324988,0.045393998,0.963793265,0.990449901
