X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_F
P2ry6,2002.072167,-0.303264147,0.050648302,-5.988814182,2.11E-09,1.82E-07,P2ry6
Patz1,187.9864288,-0.303886601,0.121166763,-2.520469455,0.011719841,0.115645178,Patz1
Diablo,84.32453201,-0.304791841,0.1546995,-1.964916095,0.04942395,0.291989941,Diablo
Asb3,134.5021019,-0.307488643,0.133738634,-2.3055551,0.021135505,0.174302802,Asb3
Gm14221,193.8853426,-0.307497669,0.115962838,-2.655482193,0.007919511,0.088471678,Gm14221
Ece1,674.0602252,-0.307839308,0.067686952,-4.547253282,5.44E-06,0.000227543,Ece1
Caskin2,186.1969706,-0.310162267,0.11111245,-2.783585021,0.005376177,0.067351265,Caskin2
Sclt1,83.67799456,-0.311063016,0.147721081,-2.098766463,0.035837493,0.245742806,Sclt1
Abi3,198.1495467,-0.311740606,0.114361093,-2.719276759,0.006542484,0.077418382,Abi3
Rfc3,176.7197065,-0.31250376,0.127083486,-2.46160078,0.013831853,0.129189311,Rfc3
Il7r,3307.238358,-0.31494928,0.04415742,-7.130620844,9.99E-13,1.42E-10,Il7r
Slc9a7,99.86281108,-0.31698926,0.157280573,-2.046035625,0.040752866,0.264949559,Slc9a7
Oplah,108.6367986,-0.317165717,0.142403593,-2.213658261,0.026852296,0.205293168,Oplah
Gm45095,3.323444261,-0.31743273,0.152393743,-2.273182452,0.023015187,NA,Gm45095
Cbx4,200.0189397,-0.317822398,0.113765719,-2.789547574,0.005278174,0.066633135,Cbx4
Thbd,109.6100366,-0.318056205,0.136945209,-2.31522532,0.020600604,0.170854632,Thbd
Mcm7,274.9856623,-0.320106799,0.112448804,-2.867454595,0.004137882,0.055104474,Mcm7
Zfp654,349.0699644,-0.320410155,0.095650959,-3.350242358,0.000807409,0.015696338,Zfp654
Slc6a12,145.263976,-0.322812516,0.14744959,-2.153699989,0.031263707,0.227319759,Slc6a12
Gm6223,3.741369674,-0.3229318,0.166488147,-2.256657265,0.024029499,NA,Gm6223
Top2a,321.0670552,-0.323146122,0.109188935,-2.994501871,0.002748934,0.040702856,Top2a
Tarsl2,104.6920104,-0.325429982,0.159355263,-2.049112383,0.040451127,0.264240832,Tarsl2
Cysltr1,280.8870177,-0.326741011,0.10299352,-3.185355512,0.001445763,0.024636249,Cysltr1
Fgd2,252.1249479,-0.327701691,0.128608201,-2.572575894,0.010094482,0.105404155,Fgd2
Smpd5,77.07030764,-0.32840531,0.154099456,-2.104183268,0.035362463,0.244146323,Smpd5
Piezo2,3.843891919,-0.338921538,0.165845231,-2.238134763,0.025212268,NA,Piezo2
Pld4,1131.877801,-0.340517644,0.068169627,-5.004874302,5.59E-07,2.95E-05,Pld4
Gm10241,238.5465896,-0.341513059,0.165752997,-2.067751441,0.038663402,0.256919483,Gm10241
