X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_M
Adamts6,13.49080259,-0.722862558,0.21320269,-3.287746891,0.001009926,0.008737348,Adamts6
Igdcc4,14.84430607,-0.722249849,0.213007765,-3.352013249,0.000802262,0.007219461,Igdcc4
Lrp3,23.38725058,-0.719142299,0.211220671,-3.334437087,0.000854722,0.007619307,Lrp3
Adgrg1,54.10578565,-0.718781321,0.194196819,-3.721214637,0.000198267,0.00219865,Adgrg1
Egfr,10.24225924,-0.717297113,0.205307295,-3.692223492,0.000222302,0.002431758,Egfr
Cyp26b1,6.521836608,-0.716731713,0.184789566,-3.642927981,0.000269554,0.002872694,Cyp26b1
Cdh2,51.39247873,-0.714426813,0.191796044,-3.740289464,0.000183808,0.002062413,Cdh2
Grin3a,68.48385853,-0.713920927,0.183208979,-3.897981484,9.70E-05,0.00117497,Grin3a
Inava,10.09617324,-0.713857061,0.20743017,-3.462957199,0.000534273,0.005149642,Inava
Glis2,22.46688033,-0.713214649,0.212115169,-3.378913834,0.000727728,0.006656402,Glis2
Zcchc18,20.9943905,-0.713058793,0.211759533,-3.415750394,0.000636065,0.005946067,Zcchc18
Cyp1b1,236.0860578,-0.712573678,0.126417696,-5.634215823,1.76E-08,5.49E-07,Cyp1b1
Gm3764,88.84784562,-0.711994345,0.161898301,-4.376383633,1.21E-05,0.000187204,Gm3764
Npas3,12.80677723,-0.708777133,0.208167829,-3.492599274,0.000478344,0.00469184,Npas3
Neto2,59.16560695,-0.707906217,0.176720381,-3.999767429,6.34E-05,0.000811289,Neto2
Ppp1r14c,11.30937456,-0.707526514,0.211079338,-3.199017478,0.001378968,0.011317218,Ppp1r14c
Lsamp,27.25031539,-0.706956327,0.205088245,-3.425816458,0.000612954,0.005766775,Lsamp
Parp14,2153.936998,-0.706323177,0.166956935,-4.217306873,2.47E-05,0.000355859,Parp14
Chl1,67.84715066,-0.706300938,0.180106473,-3.90604303,9.38E-05,0.001141616,Chl1
Igtp,262.3751237,-0.706260161,0.161552285,-4.359262733,1.31E-05,0.000200156,Igtp
Apc2,81.80348482,-0.706231346,0.16361854,-4.300487595,1.70E-05,0.000253435,Apc2
Znfx1,4266.780792,-0.703554945,0.147184419,-4.766900191,1.87E-06,3.61E-05,Znfx1
Amer2,26.6575707,-0.703230836,0.209949612,-3.326211454,0.000880351,0.007796084,Amer2
Afap1l2,11.94813911,-0.70281913,0.210239399,-3.568872645,0.000358521,0.003656593,Afap1l2
Celsr2,51.38352318,-0.701873047,0.202713288,-3.498033423,0.000468702,0.004614102,Celsr2
Adcy6,31.10545018,-0.699239111,0.212351192,-3.354585496,0.00079484,0.007168665,Adcy6
