X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_KOMyevsWTMye_M
Uso1,1959.992738,0.10581089,0.047906407,2.207975131,0.027246007,0.122470584,Uso1
Tnfaip8,1331.506458,0.106418356,0.048372113,2.20017445,0.02779452,0.124435235,Tnfaip8
Senp2,1685.096235,0.10648097,0.045997675,2.315167759,0.020603753,0.099444078,Senp2
Chchd2,2825.648212,0.106630578,0.050233135,2.12195316,0.033841672,0.143241179,Chchd2
Nrd1,2839.628073,0.106631403,0.037985405,2.807163919,0.00499798,0.032569633,Nrd1
Eef1b2,3399.36403,0.106658252,0.035382476,3.015038914,0.002569463,0.018896209,Eef1b2
Prcp,1618.033531,0.106739351,0.04569284,2.334647143,0.019561862,0.095529854,Prcp
Mdfic,2831.565706,0.1067554,0.037273711,2.863569758,0.004188966,0.028240068,Mdfic
Naga,1433.400557,0.106866158,0.053256027,2.008832414,0.044554909,0.174593834,Naga
6-Mar,1543.606916,0.107054923,0.053472048,2.003448634,0.045129156,0.176503388,6-Mar
Nucb1,4793.399809,0.107352317,0.029321777,3.660815975,0.000251413,0.002709789,Nucb1
Atp5c1,2825.401854,0.107459616,0.040647288,2.643107657,0.008214891,0.048587708,Atp5c1
Eprs,2819.464268,0.107772002,0.036218635,2.975435203,0.002925732,0.020980746,Eprs
Mfsd12,5999.597322,0.107996233,0.037796878,2.857410094,0.004271136,0.028684205,Mfsd12
Rtn4,10396.32737,0.108292269,0.027157899,3.987490709,6.68E-05,0.000850377,Rtn4
Rxra,4589.137682,0.108337008,0.035109511,3.085570105,0.002031623,0.015602209,Rxra
Hipk3,1922.007055,0.108410639,0.044079859,2.460184414,0.013886564,0.073728105,Hipk3
Selenof,4571.210319,0.108514784,0.031612788,3.432245513,0.000598605,0.005652133,Selenof
Sec62,1443.230344,0.108680114,0.048831812,2.226037657,0.026011659,0.118592292,Sec62
Cd300c2,2798.232048,0.108852536,0.039840878,2.731692892,0.006300984,0.039162706,Cd300c2
Nup50,1504.988749,0.109138331,0.044676828,2.440429315,0.014669817,0.076899769,Nup50
Scp2,1339.250895,0.109170673,0.049395204,2.211230783,0.02701986,0.121880189,Scp2
Tlr13,6294.519376,0.109653426,0.031847376,3.443146558,0.000574988,0.00547018,Tlr13
Ptdss1,1115.649194,0.109910717,0.055863708,1.967227766,0.049156958,0.187239736,Ptdss1
Lims1,3168.323558,0.110163913,0.036697504,3.001654042,0.002685171,0.019599489,Lims1
Bri3,1556.172513,0.110405452,0.049218361,2.2428999,0.02490327,0.114935431,Bri3
Snx9,1695.424298,0.110436409,0.043113807,2.562361369,0.010396308,0.058610914,Snx9
Atp2b1,4158.867362,0.110539191,0.038464288,2.874283507,0.004049453,0.027464448,Atp2b1
Tmem30a,2907.971881,0.110659135,0.037467438,2.953210522,0.003144874,0.022245745,Tmem30a
Snx3,4851.041733,0.110911352,0.027339229,4.056331322,4.98E-05,0.000661449,Snx3
Dazap2,4768.814285,0.111597397,0.030860143,3.616823146,0.000298241,0.003114639,Dazap2
Olfml3,1412.422497,0.111623982,0.049133871,2.269211999,0.023255437,0.109109181,Olfml3
Anpep,10063.40158,0.11196749,0.038136775,2.935412696,0.003331043,0.023291142,Anpep
Mgrn1,2253.139453,0.112086299,0.037689864,2.972781567,0.002951144,0.021134801,Mgrn1
Ola1,1031.189394,0.112327395,0.056184136,1.997470606,0.045774084,0.178200296,Ola1
Lman2,3765.70218,0.112330733,0.030439388,3.690463918,0.000223845,0.002442019,Lman2
Cdc42,12725.95224,0.11234503,0.026297494,4.272165386,1.94E-05,0.00028447,Cdc42
Sft2d1,1810.404164,0.112430304,0.046229203,2.43352455,0.014952621,0.077976906,Sft2d1
Kpna6,1867.677749,0.112453228,0.041203217,2.727747573,0.006376839,0.039557591,Kpna6
Pacs2,2361.064215,0.112466982,0.039518893,2.84577918,0.004430291,0.029501749,Pacs2
Cln3,1866.648216,0.112516536,0.0417246,2.696388626,0.007009583,0.042656733,Cln3
Sbno1,1726.612998,0.11262683,0.050299281,2.238236208,0.025205656,0.116198073,Sbno1
Tmx3,1343.251851,0.112628437,0.051897103,2.17107392,0.029925585,0.130853473,Tmx3
Fkbp4,1563.649976,0.113036082,0.051066106,2.213027757,0.026895732,0.1214901,Fkbp4
Rhoc,3045.646346,0.113274511,0.04037492,2.806010203,0.00501591,0.032660095,Rhoc
Arf1,8595.541881,0.113554754,0.024127197,4.706232863,2.52E-06,4.71E-05,Arf1
Hmg20b,1265.647305,0.113595009,0.054111029,2.102726004,0.035489728,0.1483489,Hmg20b
Mtch1,3259.81457,0.113599582,0.037000632,3.07096173,0.002133705,0.016277697,Mtch1
Snx8,2424.910059,0.113819013,0.037517909,3.033271355,0.00241918,0.017971207,Snx8
Gnl3,1013.155113,0.113841766,0.05429941,2.094031978,0.036257132,0.15073662,Gnl3
Agap3,1852.194611,0.113868201,0.049617774,2.296118868,0.021669086,0.103655707,Agap3
Mrfap1,3809.584405,0.113926044,0.033533436,3.396865319,0.000681625,0.006306204,Mrfap1
Vps26a,3520.434041,0.114126109,0.033547085,3.401643693,0.000669819,0.006211224,Vps26a
Mrpl4,942.1962891,0.114128619,0.056713253,2.01148767,0.044273971,0.173979671,Mrpl4
Flot1,1343.601568,0.114236777,0.049282308,2.317422019,0.020480754,0.098880002,Flot1
Fbxo11,951.0682506,0.115110411,0.056566791,2.035458766,0.041804733,0.167001578,Fbxo11
Atg5,1032.399063,0.115135636,0.056626599,2.032209092,0.042132493,0.167853771,Atg5
Rab22a,1254.818056,0.115228101,0.050436468,2.284586715,0.022337073,0.1059091,Rab22a
Txnl1,1145.717125,0.115299284,0.049671313,2.320735044,0.020301148,0.098234426,Txnl1
Ndufs1,1334.428545,0.115371109,0.053408175,2.159370866,0.030821406,0.133468435,Ndufs1
Zfand2a,1908.823504,0.115534951,0.044234621,2.610956553,0.009028936,0.052441285,Zfand2a
Ndufb8,1132.429692,0.11577789,0.053285725,2.171102758,0.029923406,0.130853473,Ndufb8
Dctn5,1072.297775,0.11577976,0.056553689,2.04857965,0.040503236,0.163216712,Dctn5
Mia3,1066.216847,0.115937229,0.05661878,2.04826914,0.040533635,0.163216921,Mia3
Nek7,1730.690666,0.116010121,0.047057542,2.466366863,0.013649146,0.072875238,Nek7
Azin1,3644.522491,0.116137944,0.038066107,3.049986478,0.002288517,0.017174519,Azin1
Xpr1,1862.403482,0.116488534,0.04509504,2.583573875,0.009778252,0.055888098,Xpr1
Scap,918.3121031,0.116532558,0.057271644,2.034688876,0.041882188,0.167186815,Scap
Sec63,1472.162589,0.117122191,0.048677219,2.405609176,0.016145527,0.082753519,Sec63
App,12976.93342,0.117150807,0.026827888,4.366546942,1.26E-05,0.000194152,App
Sec31a,2345.327862,0.117192465,0.042384713,2.764400011,0.005702758,0.036058093,Sec31a
Fam111a,1218.158635,0.117213828,0.056253722,2.084684611,0.037097938,0.153166642,Fam111a
Csnk1g2,1869.100019,0.117223554,0.045736301,2.5664008,0.010276001,0.058095053,Csnk1g2
Ei24,1222.940167,0.117276283,0.051887085,2.260167119,0.023810881,0.111133515,Ei24
Dynlrb1,1647.162607,0.117281273,0.048289562,2.427899448,0.015186553,0.078865476,Dynlrb1
Mib1,1783.280051,0.117320225,0.049640994,2.363881369,0.018084602,0.089921436,Mib1
Dlat,1615.337076,0.117334614,0.052876463,2.218328886,0.026532416,0.120286747,Dlat
Tmbim1,2049.672451,0.117489779,0.046351246,2.535990791,0.011212968,0.062381929,Tmbim1
Dtnbp1,1913.303252,0.117596765,0.042067019,2.793542373,0.00521342,0.033701334,Dtnbp1
Ralbp1,1600.095559,0.117653103,0.048060056,2.449898245,0.014289659,0.075322982,Ralbp1
Tbc1d9b,1492.503272,0.117743518,0.050532556,2.331506819,0.019726651,0.096130931,Tbc1d9b
Cox7c,1681.462138,0.118028504,0.060004861,1.966957036,0.049188164,0.187270181,Cox7c
Rab11b,1472.400479,0.118141536,0.050205225,2.354469879,0.018549147,0.091673389,Rab11b
Sdhd,2243.991839,0.118219948,0.040387315,2.927157455,0.003420757,0.023790477,Sdhd
Hip1,5043.829841,0.118478405,0.040450254,2.928784981,0.003402897,0.02368669,Hip1
Skap2,3185.525778,0.118659076,0.034940275,3.397139686,0.000680942,0.006303499,Skap2
Edf1,1680.404412,0.118741147,0.049932916,2.377902849,0.017411413,0.087599982,Edf1
Dock1,1024.362426,0.118844821,0.054783572,2.168838345,0.030094959,0.131348539,Dock1
Sptlc2,2512.721118,0.119412526,0.042780413,2.790886239,0.005256394,0.033938344,Sptlc2
Gigyf2,1065.391252,0.11949283,0.056324062,2.12095351,0.033925715,0.143446386,Gigyf2
Fbxo28,892.7371135,0.119505618,0.05861516,2.038319197,0.041518021,0.166168929,Fbxo28
Lamtor2,1047.476874,0.119585981,0.056000779,2.135688396,0.032704821,0.139601134,Lamtor2
Egln2,984.4523298,0.119621497,0.056849584,2.104625547,0.035323916,0.147885673,Egln2
Nrp1,4034.828803,0.119856624,0.036966469,3.242636633,0.001184291,0.009996391,Nrp1
Tmem109,1297.541643,0.119917719,0.049632794,2.415527636,0.01571243,0.08102271,Tmem109
Adam17,3340.288522,0.119949753,0.042773934,2.803823824,0.005050049,0.03280649,Adam17
Myadm,1984.972274,0.119957511,0.0490185,2.452294944,0.014194826,0.075019166,Myadm
Cab39,3368.012309,0.119960708,0.034391417,3.488047413,0.000486562,0.004763759,Cab39
Strn,1052.44668,0.119983114,0.05314464,2.258078373,0.023940774,0.11151771,Strn
Nf2,1483.367595,0.120220386,0.047608915,2.52454517,0.011584812,0.064035949,Nf2
Cmtm3,2995.962999,0.12040142,0.036092228,3.337476388,0.000845429,0.007548975,Cmtm3
Vdac2,7229.499191,0.12042533,0.027879603,4.319222769,1.57E-05,0.000235453,Vdac2
Tsg101,1080.18494,0.120634643,0.050880808,2.37081767,0.017748784,0.088881637,Tsg101
Otulin,826.8483744,0.120849319,0.059933293,2.016639638,0.043733133,0.172653317,Otulin
Stx2,1198.858463,0.120937427,0.05449016,2.221929545,0.026288067,0.119548469,Stx2
Mfsd5,1517.714707,0.12099219,0.046847555,2.582073795,0.009820858,0.056038025,Mfsd5
Ddx41,1045.477731,0.121037912,0.055381678,2.184951495,0.028892403,0.127790276,Ddx41
Dhrs1,844.0603708,0.121239055,0.060596808,2.002173649,0.045266059,0.17675892,Dhrs1
Nsa2,1343.696003,0.121562362,0.047431521,2.562172477,0.010401965,0.058622319,Nsa2
Sumf1,2050.093224,0.122196992,0.043663563,2.798376061,0.005136028,0.0333078,Sumf1
Atf1,986.9906654,0.122215872,0.056210553,2.173027166,0.029778273,0.130421398,Atf1
Numa1,1952.702548,0.122221867,0.052886519,2.312348552,0.020758483,0.100011384,Numa1
Chst12,926.9334312,0.122329262,0.060622681,2.017734968,0.043618871,0.172286532,Chst12
Atp5g3,3311.415782,0.122413024,0.038290984,3.196285169,0.001392095,0.011407539,Atp5g3
Ripk1,1314.031889,0.122480378,0.052350247,2.339744524,0.019296935,0.094378916,Ripk1
Wdr81,3121.546493,0.122496247,0.036901488,3.31967167,0.000901234,0.007946124,Wdr81
Sod1,1683.112424,0.122546386,0.04947214,2.474739154,0.013333352,0.071520489,Sod1
Utp20,1059.712229,0.122742538,0.057798034,2.121346395,0.033892663,0.143381781,Utp20
Mapre1,2976.243889,0.122944619,0.03882312,3.166493432,0.001542888,0.012434817,Mapre1
Pcyt1a,1999.405786,0.123417654,0.042532415,2.900983714,0.003719932,0.025551769,Pcyt1a
Flcn,1914.532176,0.123460433,0.045129449,2.735118667,0.006235779,0.038817244,Flcn
Saraf,2455.737933,0.123490383,0.039228697,3.147760151,0.001645266,0.013141768,Saraf
Lztr1,996.1559003,0.123583,0.058449719,2.11590964,0.034352493,0.144909145,Lztr1
Pja2,882.3671398,0.123701005,0.059287462,2.088090895,0.036789636,0.152400714,Pja2
Golt1b,982.3700998,0.123890935,0.060350376,2.051762757,0.040192724,0.162452307,Golt1b
Vps35,5225.117324,0.124027108,0.036494416,3.397938876,0.000678956,0.006288722,Vps35
Cdk14,1244.373592,0.124084078,0.054226951,2.289236576,0.022065611,0.105023193,Cdk14
2610507B11Rik,5061.643899,0.124167861,0.039409402,3.151463201,0.001624546,0.012995565,2610507B11Rik
Psmb5,2435.77843,0.124320534,0.046480828,2.673442743,0.007507709,0.045150396,Psmb5
Plau,22724.075,0.12434273,0.038868721,3.199267367,0.001377773,0.011313166,Plau
Sf3b2,3240.882306,0.124462953,0.039277188,3.168946446,0.001529926,0.012348851,Sf3b2
Numb,893.8536002,0.124683159,0.063307502,1.970081746,0.048829003,0.186298914,Numb
Dld,1679.698833,0.124727298,0.048545604,2.56859922,0.010211048,0.057808861,Dld
Lgals3,89327.93659,0.124757554,0.027762606,4.493634408,7.00E-06,0.000115989,Lgals3
Map1lc3b,2613.778611,0.124816521,0.043929169,2.842172154,0.004480729,0.029751671,Map1lc3b
H2afz,1772.24625,0.124986712,0.057709786,2.16882742,0.030095789,0.131348539,H2afz
Spg7,985.7619372,0.12515737,0.05914503,2.116209695,0.034326977,0.144839376,Spg7
Adap1,1816.7534,0.125209574,0.043178214,2.89940315,0.003738738,0.025659099,Adap1
Eea1,2100.29696,0.125214719,0.0538236,2.324909798,0.020076784,0.097419221,Eea1
Commd9,810.8092067,0.125261671,0.061021182,2.050201079,0.040344813,0.162740888,Commd9
Zfp638,1014.108929,0.125382733,0.05727501,2.189304027,0.02857475,0.126732707,Zfp638
Rassf4,1931.146651,0.125388979,0.046690752,2.688567087,0.007175941,0.043511393,Rassf4
Dctn2,2088.990231,0.125413657,0.044828295,2.798619369,0.00513216,0.033296098,Dctn2
Lonp2,828.2502678,0.125423364,0.061767607,2.029867202,0.04237004,0.168550441,Lonp2
Kif13a,1030.395838,0.125430998,0.058259083,2.157100649,0.030997823,0.134088438,Kif13a
Tma7,1327.878724,0.125523941,0.054091348,2.320072053,0.02033698,0.098362461,Tma7
Aga,870.9097444,0.125577821,0.061471033,2.038154259,0.041534508,0.166168929,Aga
Adam10,4602.535378,0.125876498,0.040580005,3.102621369,0.001918149,0.014886643,Adam10
Zfp106,2070.747313,0.126005339,0.042027806,2.998368647,0.002714291,0.019718636,Zfp106
Iqgap1,12987.52946,0.126040921,0.031064287,4.057294404,4.96E-05,0.000659814,Iqgap1
Atp6v1h,2499.995577,0.126186602,0.042845576,2.943899058,0.003241057,0.022774273,Atp6v1h
Reep5,3244.215331,0.126254225,0.031721862,3.980056501,6.89E-05,0.000871909,Reep5
Lrpprc,1410.584544,0.126259477,0.054254348,2.325818853,0.020028216,0.097306616,Lrpprc
Dcaf7,2425.869151,0.126361602,0.040331303,3.133870541,0.00172517,0.013651599,Dcaf7
Acadsb,726.8751651,0.12690701,0.061647133,2.060311261,0.039368794,0.159842852,Acadsb
Osbp,1229.378821,0.126951839,0.053142986,2.389228269,0.016883808,0.085774637,Osbp
Snx1,3810.660684,0.126978496,0.034938881,3.634334029,0.0002787,0.002942608,Snx1
Usp8,2426.376127,0.12700821,0.044006404,2.886060404,0.003900973,0.026636562,Usp8
Ndfip1,1182.351815,0.127014412,0.052662591,2.411755544,0.015875922,0.081630976,Ndfip1
Tm9sf3,6283.159567,0.127138019,0.035142458,3.61775717,0.000297167,0.003107446,Tm9sf3
Fam120a,7054.365752,0.127163425,0.032676226,3.891329902,9.97E-05,0.001203141,Fam120a
Pikfyve,1103.312184,0.127229248,0.058828166,2.16301109,0.030540327,0.13250018,Pikfyve
Vdac1,3754.623327,0.127229657,0.033268354,3.823617698,0.000131508,0.001533683,Vdac1
Fubp3,845.0356342,0.127361582,0.05853561,2.175695832,0.029578012,0.129685116,Fubp3
Rcor1,1249.412102,0.127420505,0.054163171,2.352521466,0.018646613,0.092050654,Rcor1
Wdr41,1101.481409,0.1275081,0.057655084,2.213263579,0.026879479,0.121454075,Wdr41
Nup205,1417.072978,0.127575741,0.047996254,2.655624562,0.007916169,0.047166688,Nup205
Nln,1161.300942,0.127636161,0.052383888,2.436463502,0.014831666,0.077576541,Nln
Slc15a4,761.559602,0.12770736,0.064437079,1.983837077,0.047274005,0.182261906,Slc15a4
Stk11ip,880.5451221,0.127877367,0.06044858,2.117749966,0.034196249,0.144325523,Stk11ip
Cap1,15832.96567,0.127928561,0.025441871,5.028390053,4.95E-07,1.11E-05,Cap1
Fhod1,885.5613304,0.127960806,0.06404657,2.003082257,0.04516846,0.176548717,Fhod1
Diaph1,5521.209534,0.128165301,0.030901653,4.147272306,3.36E-05,0.000470024,Diaph1
Sfxn1,888.6207418,0.128188722,0.059150844,2.164548108,0.030422309,0.132094712,Sfxn1
Vps50,1099.437798,0.128331521,0.05504794,2.329478963,0.019833706,0.096623445,Vps50
Impa1,878.1742504,0.128336759,0.063652826,2.015016222,0.043902949,0.173196598,Impa1
Adcy7,5907.650112,0.128749696,0.033293978,3.868677797,0.000109427,0.001307857,Adcy7
Pdia3,11488.18148,0.12908243,0.030795114,4.191263349,2.77E-05,0.000395305,Pdia3
Grb2,4624.397184,0.129215518,0.033314082,3.878756838,0.000104992,0.001259629,Grb2
Nub1,1124.724538,0.129272943,0.05658121,2.284122104,0.022364356,0.105976177,Nub1
Kcmf1,1271.336424,0.129288244,0.046442308,2.782623484,0.005392134,0.034524637,Kcmf1
Gramd1b,1523.147604,0.129766471,0.044425683,2.918310314,0.003519339,0.024373304,Gramd1b
Snap29,1023.788464,0.129846386,0.052671057,2.465049512,0.013699432,0.073049991,Snap29
Scand1,1225.397769,0.129882636,0.061475344,2.112702511,0.034626238,0.14572101,Scand1
Plxdc1,1090.785169,0.130090193,0.053833855,2.415686682,0.015705569,0.081013223,Plxdc1
Fnta,858.0600881,0.130091773,0.059715625,2.180447945,0.029224273,0.128551572,Fnta
Bzw1,5039.978115,0.130396861,0.035071218,3.717827541,0.000200943,0.0022268,Bzw1
Lamtor4,1230.850781,0.130746445,0.053348142,2.44943954,0.014307873,0.075369745,Lamtor4
Mpnd,822.8312246,0.131002714,0.063724706,2.055412974,0.039839133,0.161306002,Mpnd
Clec4b1,4.468458491,0.13132401,0.168624357,2.078234917,0.037687728,0.154888305,Clec4b1
Clock,652.4212399,0.131372892,0.066540186,1.972394946,0.048564538,0.185557942,Clock
Amd1,1236.422034,0.131400159,0.062170911,2.112979082,0.034602558,0.145659347,Amd1
Rpl14-ps1,1006.845452,0.131725253,0.057514012,2.290046202,0.022018638,0.104861491,Rpl14-ps1
Snx13,1138.791032,0.131742623,0.060246813,2.186691884,0.028765025,0.127426767,Snx13
Fam3c,986.9417059,0.131757616,0.057184112,2.301107855,0.021385535,0.102566656,Fam3c
Atp5a1,13190.71755,0.131863831,0.032501487,4.057003403,4.97E-05,0.000660092,Atp5a1
Galnt1,2154.16178,0.13187849,0.040023201,3.294564947,0.000985742,0.008574092,Galnt1
Atp6v0d1,5433.101181,0.132120805,0.028253891,4.67523294,2.94E-06,5.41E-05,Atp6v0d1
Chp1,1725.62823,0.132196116,0.05360751,2.466528975,0.013642969,0.07286637,Chp1
Usp14,1451.460413,0.132479626,0.046483031,2.849029598,0.00438528,0.029274511,Usp14
Cds2,2900.976148,0.132526464,0.040727584,3.255059828,0.001133685,0.00963244,Cds2
Hspa9,6002.6801,0.132636269,0.033536761,3.954225652,7.68E-05,0.000957413,Hspa9
Ttc7,889.9395876,0.132686789,0.060348419,2.203855934,0.027534477,0.123510924,Ttc7
Emc4,784.0291264,0.132891911,0.063704823,2.084178884,0.037143899,0.153277955,Emc4
Plin2,44900.27042,0.132933527,0.028997192,4.58395027,4.56E-06,7.93E-05,Plin2
Coro1c,7020.975744,0.132934079,0.032396793,4.102809542,4.08E-05,0.000556696,Coro1c
Lmna,4952.154965,0.133006578,0.029758291,4.469027496,7.86E-06,0.000128322,Lmna
Rubcn,893.5439003,0.133434503,0.059988202,2.226081168,0.026008745,0.118592292,Rubcn
2900097C17Rik,2617.561733,0.133486185,0.039520484,3.37911539,0.000727195,0.006656402,2900097C17Rik
Rab7,12625.54261,0.133826504,0.021209021,6.309608951,2.80E-10,1.19E-08,Rab7
Magt1,1598.693116,0.133968473,0.050536854,2.650198853,0.008044441,0.047789783,Magt1
Canx,8492.819162,0.133994581,0.028862383,4.64236687,3.44E-06,6.21E-05,Canx
Snx5,7825.774403,0.134308979,0.030680563,4.377820951,1.20E-05,0.000186332,Snx5
Ankrd13b,1448.74764,0.134313317,0.05095509,2.636508264,0.008376416,0.04941626,Ankrd13b
Abhd17a,1236.250341,0.134315865,0.056410355,2.383417243,0.017152741,0.086649803,Abhd17a
Snx10,1729.921247,0.134378107,0.0412342,3.258264073,0.00112096,0.009539397,Snx10
Ugdh,1442.342439,0.134444251,0.048104024,2.79403767,0.005205441,0.033676743,Ugdh
Itgb1,8666.790486,0.134530958,0.035547715,3.784488144,0.000154025,0.001765055,Itgb1
Mob4,758.1701691,0.134637156,0.061452899,2.19046735,0.02849036,0.12656717,Mob4
Cog7,798.4303113,0.134694754,0.065063014,2.070534397,0.038402328,0.156786834,Cog7
Uap1l1,5064.66547,0.134772899,0.030494354,4.418239792,9.95E-06,0.000157717,Uap1l1
Pik3r4,614.2820747,0.134882262,0.068850253,1.960538309,0.049932905,0.189290877,Pik3r4
Bag3,1008.020095,0.134920912,0.054806484,2.463265922,0.013767776,0.073290356,Bag3
Abhd12,7777.069573,0.13499773,0.030008996,4.498170537,6.85E-06,0.000114011,Abhd12
Ndufs3,1000.179236,0.13505135,0.055408308,2.436324072,0.014837385,0.077576541,Ndufs3
Npc1,6568.419687,0.135266001,0.034510327,3.9188044,8.90E-05,0.001090237,Npc1
Slc9a3r1,2376.765888,0.135328922,0.0431466,3.134100449,0.001723818,0.0136476,Slc9a3r1
Pon3,1539.515877,0.135336304,0.049770364,2.718682669,0.006554245,0.040425363,Pon3
Kcnk6,787.086981,0.135550351,0.065181688,2.08724215,0.036866251,0.152600555,Kcnk6
Slc41a2,802.1396184,0.135889425,0.064655413,2.105046873,0.035287228,0.147770419,Slc41a2
Itm2b,17734.50355,0.136065797,0.026333825,5.167165122,2.38E-07,5.74E-06,Itm2b
Serinc1,5634.724343,0.136115373,0.032956648,4.129963068,3.63E-05,0.000503797,Serinc1
Ext2,1044.485829,0.13619195,0.054798937,2.484236294,0.012982963,0.070036811,Ext2
Rab1a,6127.79131,0.136194713,0.030105441,4.523568711,6.08E-06,0.000102198,Rab1a
11-Sep,1743.434082,0.136292036,0.049150953,2.772075771,0.005570007,0.035396637,11-Sep
Gnpat,940.7485361,0.136449276,0.057716661,2.364770641,0.01804124,0.089788837,Gnpat
St13,3174.377887,0.13668877,0.032554856,4.198141355,2.69E-05,0.000384944,St13
Pi4kb,806.55061,0.136816495,0.058669358,2.329323837,0.019841917,0.096632642,Pi4kb
Osbpl9,1565.380661,0.136827085,0.047223256,2.897772637,0.003758229,0.0257819,Osbpl9
Naa40,840.5191807,0.137893355,0.065923464,2.092317313,0.03641014,0.151255821,Naa40
Rab40c,639.5028976,0.138105061,0.070077921,1.973120083,0.048481883,0.185456419,Rab40c
Hs6st1,880.27868,0.138256534,0.063374213,2.181296128,0.029161521,0.128352077,Hs6st1
Atp5f1,3302.288012,0.13834632,0.033839264,4.087537374,4.36E-05,0.000588659,Atp5f1
Nme1,730.9484655,0.138374001,0.062592989,2.207075228,0.027308804,0.122669141,Nme1
Epb41l1,896.2685899,0.138392857,0.063084974,2.19287074,0.028316693,0.126050523,Epb41l1
Snap23,1556.562787,0.138789627,0.050056218,2.774094638,0.005535557,0.035298204,Snap23
Slc16a1,539.2263681,0.138815814,0.070697459,1.9608834,0.049892626,0.189237782,Slc16a1
Akt1,6604.973947,0.13895121,0.031024174,4.478785419,7.51E-06,0.000123093,Akt1
Slc38a6,840.5355473,0.139419847,0.061432535,2.2694535,0.023240762,0.109072046,Slc38a6
Cd84,9789.393538,0.14014706,0.031579714,4.438273429,9.07E-06,0.00014559,Cd84
Ostf1,3817.523741,0.140180383,0.032297766,4.340283493,1.42E-05,0.000216093,Ostf1
Mpdu1,1142.325127,0.140218314,0.056825559,2.465208688,0.013693347,0.073049991,Mpdu1
Kidins220,2546.493655,0.140303295,0.037665537,3.72524423,0.000195126,0.00216531,Kidins220
Galnt7,1580.427137,0.140449119,0.051996974,2.702180337,0.006888639,0.042181475,Galnt7
Lamtor3,1780.655933,0.140725874,0.041897861,3.358296382,0.000784245,0.007081024,Lamtor3
B4galt6,2577.034728,0.140773431,0.04073407,3.455214924,0.000549854,0.005268349,B4galt6
Tars,1027.281527,0.140816057,0.061774498,2.27779929,0.022738539,0.107339474,Tars
Iscu,964.8352597,0.141090446,0.060381199,2.336522624,0.01946402,0.095095914,Iscu
Slc35f6,2861.495031,0.141112334,0.043225718,3.263839227,0.001099135,0.009383358,Slc35f6
Bmpr2,985.9158237,0.141120163,0.057431864,2.458280665,0.013960402,0.073925531,Bmpr2
Atp5g1,1405.422263,0.141170749,0.051159905,2.757235687,0.005829232,0.0367401,Atp5g1
Il17ra,905.5377864,0.14125353,0.06125958,2.303530602,0.021249007,0.102039504,Il17ra
Gns,17594.53471,0.141281714,0.029548738,4.780874747,1.75E-06,3.40E-05,Gns
Mroh1,5240.947871,0.141307045,0.032637634,4.329044096,1.50E-05,0.000225616,Mroh1
Rpl10,10009.43546,0.141347563,0.030492689,4.635417515,3.56E-06,6.40E-05,Rpl10
Exoc4,1241.699323,0.141524663,0.054239015,2.608395935,0.009096767,0.052778256,Exoc4
Dmxl1,1125.916171,0.141630633,0.065385043,2.164768128,0.030405447,0.132057035,Dmxl1
Tmem168,1470.112748,0.141811676,0.055224244,2.570092878,0.010167125,0.057620852,Tmem168
Rexo2,1433.98682,0.141850035,0.051113466,2.773288979,0.005549282,0.035334515,Rexo2
Smarca2,587.0125076,0.141876681,0.071530294,1.987576775,0.046858517,0.1809194,Smarca2
Lmbrd1,1695.528564,0.141947646,0.048354033,2.935621422,0.003328803,0.023291142,Lmbrd1
Echs1,1431.607315,0.142394365,0.046872543,3.035078215,0.002404733,0.017880355,Echs1
Tmed2,3791.655556,0.142581586,0.03112909,4.578935778,4.67E-06,8.08E-05,Tmed2
Glipr1,2448.073415,0.142736154,0.047660952,2.995047125,0.002744024,0.019885732,Glipr1
Adipor1,3182.675498,0.142737742,0.035781251,3.990061286,6.61E-05,0.000841878,Adipor1
Eri3,743.6351978,0.142912169,0.062509642,2.285610152,0.022277076,0.105717829,Eri3
Faf2,1152.82994,0.142980248,0.053723761,2.661031521,0.007790166,0.046553457,Faf2
Rab5a,1039.213355,0.14319923,0.054765494,2.615208244,0.008917307,0.051942508,Rab5a
Eif4a-ps4,3152.458415,0.143310749,0.037450559,3.825335518,0.000130594,0.001528017,Eif4a-ps4
Pycard,1585.064774,0.143614382,0.046442027,3.091707496,0.001990088,0.015327006,Pycard
Gtf3c4,845.1518352,0.143639038,0.062430751,2.300906376,0.021396924,0.102566656,Gtf3c4
Tmem135,1076.585456,0.143757721,0.056277762,2.556303129,0.010579092,0.059309813,Tmem135
Nqo2,643.3687902,0.143866833,0.071342282,2.01469372,0.043936751,0.173287576,Nqo2
Mbtps2,667.7984361,0.143906196,0.070184266,2.052706014,0.040101098,0.162167393,Mbtps2
Ptpra,3765.39964,0.143925352,0.040370088,3.566257737,0.000362115,0.003686265,Ptpra
Sdf2l1,1710.905412,0.144062342,0.048362465,2.976891368,0.002911872,0.020909234,Sdf2l1
Ndufb5,710.9742633,0.144069276,0.068125947,2.113439761,0.034563146,0.145531409,Ndufb5
Tspan31,1137.824537,0.144078217,0.060822792,2.367013357,0.017932286,0.089413103,Tspan31
Sike1,734.0729767,0.144158025,0.067059157,2.153323689,0.031293248,0.135004428,Sike1
Tax1bp1,2863.550988,0.144165343,0.037772068,3.815437333,0.000135942,0.001575735,Tax1bp1
