"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"275","AW554918",4.67e-13,-0.273066082,0.344,0.395,1.25e-08,"AW554918",0.033235,-0.778763,0.595661,0.48386
"276","Cxxc5",3.37e-12,-0.272052235,0.201,0.255,9.03e-08,"Cxxc5",0.620294,-0.700606,2.600498,1.925877
"277","Prex1",7.33e-20,-0.271055648,0.566,0.617,1.96e-15,"Prex1",0.332941,-0.584776,0.51386,0.441556
"278","Apc",3.95e-15,-0.269943812,0.455,0.509,1.06e-10,"Apc",0.2,-1.292027,0.86582,0.634485
"279","Cd2ap",1.07e-15,-0.269715612,0.476,0.532,2.86e-11,"Cd2ap",0.360588,-0.566694,0.208493,0.292668
"280","Ptprm",4.28e-17,-0.269647231,0.598,0.638,1.15e-12,"Ptprm",0.031176,1.293866,1.393082,0.989435
"281","Cradd",1.28e-10,-0.269077377,0.351,0.421,3.42e-06,"Cradd",0.029118,-0.511992,0.068029,0.235485
"282","Snx6",1.7e-13,-0.268989345,0.326,0.375,4.56e-09,"Snx6",0.299412,-1.775855,3.700803,2.886076
"283","Iqsec2",2.14e-11,-0.268712681,0.212,0.275,5.74e-07,"Iqsec2",0.050294,-1.094037,0.331403,0.351517
"284","Lyn",2.87e-36,-0.267978133,0.87,0.9,7.68e-32,"Lyn",1.26,-1.258366,11.826961,10.508784
"285","Mycbp2",9.19e-28,-0.267751789,0.813,0.848,2.46e-23,"Mycbp2",0.402647,-0.71658,1.997436,1.432587
"286","Dido1",1.91e-15,-0.267436761,0.309,0.364,5.11e-11,"Dido1",0.117059,-1.412345,1.639933,1.160671
"287","Snx18",6.98e-14,-0.267333693,0.284,0.343,1.87e-09,"Snx18",0.326176,-0.428213,0.786911,0.586143
"288","Cul1",6.5e-15,-0.264304748,0.426,0.48,1.74e-10,"Cul1",0.197059,-0.261434,0.562088,0.466979
"289","Dleu2",4.42e-33,-0.259732307,0.886,0.923,1.18e-28,"Dleu2",0.051176,0.319756,0.044477,0.225042
"290","Gfm2",8.63e-18,-0.256162835,0.379,0.421,2.31e-13,"Gfm2",0.092353,-0.496874,0.151339,0.272495
"291","Hps4",1.06e-12,-0.255695151,0.356,0.418,2.85e-08,"Hps4",0.306176,-0.591879,0.504175,0.435451
"292","Lcp2",6.11e-14,-0.255095937,0.367,0.436,1.64e-09,"Lcp2",0.317941,-1.051432,2.488988,1.8369
"293","Zfp36l1",2.36e-10,-0.254092202,0.219,0.288,6.33e-06,"Zfp36l1",1.032941,-1.349925,7.049138,5.958205
"294","Gspt1",3.5e-10,-0.25240514,0.257,0.311,9.37e-06,"Gspt1",0.230882,-0.184674,0.046117,0.226179
"295","Lrch1",5.17e-23,-0.25171744,0.777,0.82,1.39e-18,"Lrch1",0.146471,-1.105672,1.116795,0.801324
"296","Pdk1",2.66e-10,-0.251531404,0.236,0.298,7.13e-06,"Pdk1",0.096471,0.47441,1.089116,0.779007
"297","Tbc1d5",3.89e-19,-0.251436564,0.79,0.838,1.04e-14,"Tbc1d5",0.19,-1.003582,1.274113,0.909927
"298","Lpcat3",2.08e-09,-0.25118472,0.22,0.274,5.57e-05,"Lpcat3",0.338529,-0.736797,3.368193,2.597304
"299","Mef2a",1.77e-39,-0.247688076,0.969,0.966,4.75e-35,"Mef2a",0.951176,-0.930809,6.809324,5.736763
"300","Apbb1ip",4.76e-32,-0.247219897,0.846,0.897,1.28e-27,"Apbb1ip",1.03,-0.626852,2.593764,1.920682
"301","Hck",3.93e-11,-0.244749282,0.4,0.476,1.05e-06,"Hck",0.296765,-1.069933,2.148518,1.549206
"302","Pik3cd",3.79e-11,-0.242851829,0.422,0.476,1.01e-06,"Pik3cd",0.172647,-0.365255,0.381261,0.368614
"303","Trio",1.18e-14,-0.242204094,0.42,0.463,3.15e-10,"Trio",0.178529,-1.056039,1.091751,0.780975
