"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"230","Tia1",3.33e-16,-0.327383008,0.234,0.306,8.92e-12,"Tia1",0.094412,-1.939879,1.31356,0.936874
"231","Arglu1",1.67e-23,-0.326179454,0.563,0.629,4.47e-19,"Arglu1",0.271176,-0.465914,0.770116,0.575179
"232","C1qa",5.48e-24,-0.326058526,0.704,0.767,1.47e-19,"C1qa",8.280882,-0.215596,3.481972,2.696072
"233","Lrp5",5.9e-17,-0.325109065,0.207,0.284,1.58e-12,"Lrp5",0.076176,-1.035099,1.520896,1.078082
"234","Arhgef6",1.73e-15,-0.324377945,0.282,0.356,4.63e-11,"Arhgef6",0.199706,-0.761524,1.207354,0.866424
"235","Ccdc93",1.9e-17,-0.32422762,0.287,0.355,5.09e-13,"Ccdc93",0.122647,-1.026451,0.828715,0.609434
"236","Parp8",7.21e-19,-0.323938151,0.471,0.554,1.93e-14,"Parp8",0.071471,-1.844923,0.615926,0.492582
"237","Adam10",2.57e-19,-0.322309324,0.408,0.498,6.88e-15,"Adam10",0.662059,-0.412605,1.412919,1.001773
"238","Pla2g4a",4.76e-15,-0.322073205,0.316,0.4,1.28e-10,"Pla2g4a",0.145,-1.218664,1.170083,0.840911
"239","Arid1a",1.29e-20,-0.315973428,0.442,0.5,3.46e-16,"Arid1a",0.5,-0.739486,2.253151,1.63665
"240","Fnbp1",9.33e-23,-0.315155071,0.536,0.616,2.5e-18,"Fnbp1",0.224706,-0.206308,0.815725,0.60217
"241","Gcnt1",5.49e-16,-0.314059677,0.195,0.261,1.47e-11,"Gcnt1",0.315,-0.567445,0.882566,0.642627
"242","Fam117b",6.73e-16,-0.313672049,0.314,0.378,1.8e-11,"Fam117b",0.188235,-0.484341,0.120262,0.257169
"243","Gdi2",4.6e-22,-0.313364851,0.514,0.586,1.23e-17,"Gdi2",0.863529,0.108365,0.433344,0.396059
"244","Man1a2",1.41e-21,-0.312712063,0.51,0.572,3.77e-17,"Man1a2",0.58,-0.556976,0.805075,0.595414
"245","Kdm3b",2.44e-18,-0.310849875,0.411,0.475,6.53e-14,"Kdm3b",0.102353,-1.253429,1.680738,1.193537
"246","Map3k5",5.52e-15,-0.306539524,0.351,0.432,1.48e-10,"Map3k5",0.109118,-0.637224,1.173141,0.843736
"247","Anks1",9.41e-17,-0.306439022,0.318,0.386,2.52e-12,"Anks1",0.108529,-1.095602,0.491042,0.429894
"248","Mbnl1",1.53e-34,-0.305570191,0.902,0.928,4.09e-30,"Mbnl1",0.976765,-0.864032,4.002065,3.151866
"249","Lrrk1",1.24e-17,-0.299870199,0.449,0.525,3.32e-13,"Lrrk1",0.121176,-0.119829,0.715715,0.544634
"250","Pip4k2a",3.32e-29,-0.298041757,0.809,0.857,8.89e-25,"Pip4k2a",0.803824,-1.112632,7.421247,6.304069
"251","Mafb",1.52e-13,-0.29645998,0.393,0.464,4.08e-09,"Mafb",1.752647,-0.194672,1.118625,0.80293
"252","Cd37",3.69e-18,-0.293276902,0.503,0.57,9.87e-14,"Cd37",0.652059,0.359621,2.684341,1.996676
"253","Slc7a8",7.89e-17,-0.291773887,0.435,0.531,2.11e-12,"Slc7a8",0.325882,-0.54707,0.800412,0.592334
"254","Spire1",3.95e-18,-0.290601737,0.496,0.557,1.06e-13,"Spire1",0.151471,-0.148561,0.17744,0.276838
"255","Plxdc2",5.14e-92,-0.290409713,0.922,0.942,1.38e-87,"Plxdc2",2.048235,0.487538,5.536871,4.556569
"256","Rasal3",2.32e-19,-0.289423959,0.248,0.293,6.21e-15,"Rasal3",0.190882,-0.493304,0.900759,0.656262
"257","Arrb2",3.22e-13,-0.287539398,0.234,0.309,8.62e-09,"Arrb2",0.513824,-0.964287,3.540042,2.744065
"258","Ppfia4",8.68e-13,-0.287108975,0.218,0.285,2.32e-08,"Ppfia4",0.520294,0.268451,1.954478,1.400275
"259","Rffl",2.33e-12,-0.286410147,0.353,0.422,6.25e-08,"Rffl",0.052647,-0.462029,0.000557,0.20911
"260","Slc12a2",5.89e-12,-0.285215477,0.25,0.317,1.58e-07,"Slc12a2",0.494118,0.202525,0.425862,0.391881
"261","Vgll4",1.82e-13,-0.284852623,0.329,0.398,4.86e-09,"Vgll4",0.100588,-0.29127,0.449546,0.405094
"262","Arid4a",8.89e-15,-0.28435992,0.388,0.464,2.38e-10,"Arid4a",0.213529,-1.877448,2.133939,1.537212
"263","Rreb1",2.7e-31,-0.283341424,0.866,0.896,7.22e-27,"Rreb1",0.137941,-2.183501,2.125262,1.531532
"264","Calm2",3.44e-13,-0.281530091,0.342,0.409,9.21e-09,"Calm2",1.336176,-1.318877,10.600326,9.318995
"265","Cnot2",3.23e-19,-0.280146542,0.498,0.545,8.64e-15,"Cnot2",0.265294,-0.968213,1.531932,1.084878
"266","Crlf3",9.97e-18,-0.278750692,0.557,0.612,2.67e-13,"Crlf3",0.203824,-1.22971,1.509046,1.070431
"267","Slc29a3",1.56e-13,-0.278393566,0.303,0.365,4.18e-09,"Slc29a3",0.844118,-0.80625,2.633849,1.953016
"268","Sla",8.1e-11,-0.277913527,0.191,0.252,2.17e-06,"Sla",0.470882,-1.699053,4.986923,4.031849
"269","Aagab",1.94e-13,-0.27781045,0.201,0.266,5.2e-09,"Aagab",0.166765,-1.628742,2.921041,2.201518
"270","Tmem135",2.36e-19,-0.276933783,0.583,0.626,6.32e-15,"Tmem135",0.307059,-1.179136,2.648548,1.96405
"271","Ddx5",8.05e-31,-0.276025219,0.845,0.879,2.16e-26,"Ddx5",1.448824,-0.697837,4.534529,3.622359
"272","Slc7a7",3.67e-13,-0.275951568,0.352,0.424,9.83e-09,"Slc7a7",0.315,-0.965994,1.356426,0.963927
"273","Abl1",2.76e-12,-0.274663617,0.334,0.405,7.4e-08,"Abl1",0.28,-1.288069,3.985227,3.136565
"274","Havcr2",1.92e-15,-0.274366341,0.422,0.483,5.14e-11,"Havcr2",0.549412,0.193502,1.249099,0.891898
