"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","Gene","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","color"
"70","Cdh2",1.81e-21,0.53842599,0.568,0.41,4.86e-17,"Cdh2",9.51371566585185e-11,0.125231663576234,0.571,0.494,2.54815360394176e-06,"red"
"71","Cldn11",1.34e-17,0.57121535,0.502,0.372,3.58e-13,"Cldn11",2.17423719020058e-33,0.472981854296809,0.489,0.364,5.82347689023322e-29,"red"
"72","Plcl1",2.57e-48,0.599416164,0.977,0.95,6.89e-44,"Plcl1",4.69589200161509e-51,0.389879795080438,0.973,0.95,1.25774771371259e-46,"red"
"73","Cst3",9.42e-22,0.639890736,0.41,0.255,2.52e-17,"Cst3",6.28036530800421e-29,0.413431325942548,0.419,0.294,1.68213304409585e-24,"red"
"74","AC149090.1",1.02e-34,0.643720295,0.443,0.228,2.72e-30,"AC149090.1",3.35208983252225e-24,0.293932306337209,0.415,0.299,8.97823740742758e-20,"red"
"75","Apod",1.29e-10,0.673021056,0.768,0.713,3.47e-06,"Apod",2.38076697386549e-64,0.895209717480264,0.786,0.662,6.37664626280133e-60,"red"
"76","Plp1",6.13e-55,0.710283611,0.974,0.943,1.64e-50,"Plp1",4.02668748329928e-72,0.458659492464041,0.965,0.948,1.07850797552688e-67,"red"
"77","Ttr",1.12e-19,0.797882741,0.322,0.243,3.01e-15,"Ttr",8.56192277907908e-14,0.29858677106632,0.291,0.318,2.29322539714854e-09,"red"
"78","Ptgds",1.04e-42,1.478593273,0.544,0.32,2.8e-38,"Ptgds",3.26216802080032e-37,0.904166689778967,0.497,0.377,8.73739082691157e-33,"red"
"79","Tsix",3.8e-203,1.647838645,0.429,0.002,1.02e-198,"Tsix",1.02175632317746e-16,-0.326362565785935,0.229,0.308,2.7366721359985e-12,"blue"
"80","Xist",0,3.884816211,0.882,0.001,0,"Xist",2.967727464392e-43,-0.507504210520674,0.47,0.618,7.94876124062752e-39,"blue"
