Gene,DAM,MG2
Gmip,-1.571076,-0.193207324
Itgb1,-0.4658,0.126497296
Heatr5a,-1.288918,-0.182141552
Rin2,-0.116083,0.256490106
Fubp1,-0.53682,0.102279382
Atp6v0c,1.5362,0.153003797
Tln1,-0.378549,0.151604215
Sec24a,1.058471,0.186111494
Zfp407,-3.513813,0.144812054
Slc38a9,-0.395448,-0.220433891
Nckap1l,-0.793223,-0.11694145
Cspp1,-5.868478,-0.121069397
Insr,-1.526725,-0.202779313
Nf1,0.162683,0.150623949
Cd180,1.147347,0.214559354
Znfx1,-0.575213,0.219345225
Smap2,-0.41002,-0.13703844
Hnrnpr,-0.708231,-0.11751145
Hnrnph3,-0.306936,-0.203778519
A630001G21Rik,-1.421794,-0.164664454
Atg5,0.892083,0.135762807
Pafah1b1,-1.22636,0.149039253
Pbrm1,-0.742876,-0.101413032
Creb3l2,0.871888,0.216460009
Zmynd11,-1.027942,-0.206576117
Npc1,-0.295883,0.215716712
Zrsr2,-0.462029,0.143098596
Nfx1,-1.055563,0.11412082
Smurf2,-0.996766,-0.161414395
Larp4b,0.20587,0.129726979
Fcho2,-1.093289,-0.147421876
Bach2,-1.341521,-0.194499794
Fcer1g,0.691891,0.111490002
Celf1,-1.35619,0.162692191
Asxl1,0.176952,-0.199627873
Wdr7,-0.285077,0.191850805
Dnm2,-1.088259,-0.150288538
Caprin1,-0.292128,0.15206965
Rps6ka5,-1.667884,-0.226537097
Chmp4b,0.502024,0.173274265
Mga,-0.205513,0.173836848
Eif4h,0.11116,0.128279063
St6gal1,1.314178,0.201645362
Pak2,-0.349574,0.162015309
Ss18,-1.437412,-0.123614546
Phf21a,-0.994586,-0.178383405
Tmem165,-0.280247,0.133379233
Wdr37,-0.296986,-0.164607801
Abi1,0.428823,0.169117143
Chd6,-2.596881,-0.172556095
Psma3,0.18597,0.149407109
Map3k2,-1.031246,0.110150449
Cyth3,-0.219112,0.184695583
Rpl13,0.600854,0.109282704
Arid1b,-0.489966,0.140254317
Kpna4,-0.756782,0.12686186
Dync1li1,-0.175857,0.149214747
Dyrk1a,-0.90924,0.178509987
Scaper,-0.275679,-0.134651527
Ate1,-0.301469,0.10454108
Ap3b1,-0.1625,0.129795935
Nek7,-0.320847,-0.159648735
Kdm1a,-0.540847,0.117916432
Rnf2,-0.696098,0.119648743
Lcorl,-0.503022,0.12928726
Mpeg1,1.30654,0.157372919
Ccnh,-0.823636,0.124030078
Pcmtd1,-0.466611,0.103837486
Tcf12,-1.642817,0.135352617
Jarid2,-0.636425,-0.204345044
Pik3c2a,-0.971835,-0.100359053
Aff1,-1.470413,0.239016952
Senp2,-0.128258,-0.179343675
Smg7,-0.823636,0.107158255
Tnfrsf21,-0.258583,-0.182312751
Comt,-0.733885,-0.148300461
Polr2a,-0.289556,0.178453381
Gns,0.618019,0.183248521
Ptpre,-0.71432,0.121011477
Stk10,-1.113176,-0.203102045
Mbnl2,-0.559162,0.189719277
5031439G07Rik,-0.694448,0.116777067
Stx7,0.61604,0.127476088
Tyrobp,1.60888,0.14447357
Cdk19,0.175234,0.174477818
Kdm3a,-0.20677,0.115589626
Samhd1,-0.838686,0.265799484
Il21r,-1.872389,-0.207056465
Gbf1,-0.693391,-0.178571794
Ubr2,-0.348246,0.131374518
Prcp,-0.11725,0.125384171
Acin1,-0.822623,-0.11564003
Fyb,-0.675365,0.169444184
Slk,-0.273059,0.120469305
Ppp3ca,-1.058627,-0.130772121
Hnrnpa2b1,-0.220177,-0.136353686
Ski,-0.350454,-0.122168961
Hk2,-0.24617,-0.16287937
Tial1,-0.441292,-0.143147973
Chd7,-0.324687,0.153297954
Tcf4,-1.439451,0.156719953
Cpeb4,-0.712783,0.137312686
Eif4g1,-0.547083,0.121337762
Akap9,-0.307861,-0.103873751
Ep400,-0.46417,0.102891934
Arl15,1.107597,-0.134166482
Lrmp,0.445545,0.149867483
Ndufs4,-0.112446,0.1157787
Pdcd6ip,-0.738398,0.158184405
Tnks2,-0.187403,0.108046852
Ttc28,-0.685301,-0.12203911
Ncoa6,-0.908871,0.129662902
Rnf115,0.277373,0.166984497
Rapgef6,-1.827547,0.105985563
Cox7c,0.667108,0.108798731
Mkln1,-1.108166,-0.128350371
Dcun1d5,-0.248305,-0.189181939
Tardbp,-0.360683,-0.156382905
