Gene,DAM,MG2
Ccdc88a,1.850626,0.55580555
Pmepa1,-1.11316,-0.665384204
Kif21b,-1.631694,-0.635111056
Cd83,2.817012,0.739165353
Plcl2,-0.970614,-0.455125019
Cotl1,0.477058,0.532539122
Smarca2,-1.001894,-0.594655793
Phf14,-0.177656,-0.479576128
Ccny,1.063098,0.591083976
Ftl1,2.160799,0.533848426
Gng2,-1.254379,-0.600266259
Rcsd1,-0.835871,-0.599206051
Tecpr1,0.51646,0.607374281
Itpr2,-0.317841,-0.500134427
Abl2,-0.21458,0.520537328
Bmp2k,-0.94647,-0.46720349
Zeb2,-1.097303,0.406184002
Actr3,-0.652994,0.509438607
Lipa,0.474191,0.530280285
Wasf2,-0.769992,-0.470765288
Mapk14,-1.099701,-0.5408182
Rtn4rl1,-1.176018,-0.594781427
Ascc3,0.247,0.493070481
Arid5b,-0.618396,0.569345445
Ly86,0.2402,-0.410086649
Pld3,1.763589,0.453459611
H2-D1,2.988854,0.401622898
Picalm,-1.009961,-0.420153364
Cttnbp2nl,-1.008123,-0.476686699
Fyn,0.565316,0.447391762
Fth1,1.514116,0.464351424
Gna15,-1.364094,-0.540793602
Ptpn12,-0.399985,0.549995834
Tpst2,-1.650431,-0.579683276
Ctsd,1.452347,0.474011086
Hpgds,-1.131138,-0.373842761
Fcrls,-0.411256,-0.585121526
Prdx1,1.258175,0.573492941
Pkib,1.658813,0.497847149
4931406P16Rik,1.367752,0.527200856
Lat2,0.510677,0.518279675
Frmd4b,-1.171897,-0.349839113
Dnajb14,1.372001,0.46894507
Rap2a,0.392605,0.552338167
Dhrs3,0.623637,0.495946758
Fbxl17,-1.681662,0.444054556
Galc,0.505976,0.482371891
Scamp5,-1.883355,-0.54835303
Sdk1,-0.273391,-0.73004114
Pwwp2a,-1.671191,-0.482340948
Sort1,-1.072632,-0.580492394
Gab1,-2.220294,-0.623207482
Gna13,-0.62646,0.483058067
Nagk,0.10061,0.481778455
Sncaip,0.106137,-0.612797151
Elf2,-0.53482,0.439073026
Tcf7l2,-2.144731,-0.600789389
Chsy1,-1.55899,-0.577785983
Cables1,-0.341299,-0.578561846
Glul,-1.334853,-0.574902729
Atxn10,1.062343,0.490245334
Ifi204,2.470863,0.588728936
Sdccag8,-2.760495,-0.530016091
Hpgd,-0.976939,-0.576476655
Tbc1d16,-1.254722,-0.531391729
Zfand5,-0.694373,0.479406312
C3ar1,0.529245,0.428999927
Mef2a,-0.930809,-0.247688076
Lrp12,-0.290757,0.484395067
Zc3h12c,-0.283515,0.516659611
Sipa1l1,0.227699,-0.518615423
Zfp652,-1.74004,-0.410938561
Itm2b,0.385876,-0.390676385
Clasp2,-0.850848,-0.423088497
Kctd12,-1.409423,-0.527258641
Slc1a3,-1.461952,-0.558897634
Specc1,-0.514744,-0.413283507
Rnf216,-1.08527,-0.398854989
H3f3b,-0.324236,0.450952432
Laptm5,-0.129962,-0.491336602
Sipa1,-1.119128,-0.508650712
Pi4ka,-0.54099,0.501095965
Skap2,-0.859159,0.350608509
Mtm1,-4.811894,0.482236134
Ywhag,-0.76295,0.459547308
Rptor,-0.562239,-0.396899037
Zdhhc14,-0.571003,-0.543105868
Pik3cg,-0.98412,-0.518943487
Celf2,-1.105926,-0.364276617
Abhd12,0.423508,0.357113902
Atp6v0a1,-0.538725,0.478530264
Ubash3b,-0.508877,-0.385776149
Lyn,-1.258366,-0.267978133
Slc3a2,-0.498292,0.434505043
F11r,-0.874201,-0.480613518
BC005537,-0.288026,0.435835439
Tnip2,0.611572,0.407320889
Gnas,2.152279,0.462529605
Plekhm3,0.294788,0.396743158
Unc93b1,-0.502722,-0.335977287
Ifngr1,-1.587352,-0.489850513
Adcy7,-1.257006,0.41665517
Med15,-0.803274,0.383245238
Nuak1,-0.868192,-0.500503494
Arap2,2.026135,0.487394687
Bcl2a1b,2.12165,0.450077603
Lrrc8d,0.962612,0.445452709
Atp6v1c1,1.115971,0.46012201
Mbnl1,-0.864032,-0.305570191
Mfhas1,-0.259032,0.459814711
Grb2,-0.920644,0.39149252
Pfkfb3,0.259029,0.434038875
Mcl1,-0.757964,0.441911685
Psap,0.420527,0.394849108
Ctsa,1.195445,0.400685875
Cd68,1.339356,0.423698642
Rpl10a,1.359364,0.413031924
Dleu2,0.319756,-0.259732307
Nsmce2,0.494927,0.371988274
Usp12,1.267177,0.404336746
Acap2,-1.879657,-0.352531914
Ets1,-2.409405,-0.513063415
Irf8,0.173298,0.389487956
Rock2,-0.665474,-0.397410179
Apbb1ip,-0.626852,-0.247219897
Map3k3,-1.432866,-0.39762055
Usp24,-2.447961,-0.444521162
Cask,-0.909845,-0.432369526
Ddx31,0.996498,0.475916181
Rasa4,0.623645,0.448497012
Trim2,-0.58589,-0.488646168
Lair1,-0.693422,-0.331178651
Rreb1,-2.183501,-0.283341424
Fbrsl1,-1.473287,-0.460008339
Rgl1,-2.772262,-0.482696527
Pten,-1.979537,-0.423595123
Cpeb2,0.305416,0.41219359
Camk1,-0.512593,-0.415388929
Ddx5,-0.697837,-0.276025219
