,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Auts2,3.66E-12,-0.209767645,0.423,0.432,9.17E-08
1-Mar,6.56E-12,-0.207274745,0.669,0.692,1.64E-07
Wnk1,2.10E-45,-0.206380147,0.387,0.359,5.26E-41
Myo1d,1.46E-28,-0.203831124,0.305,0.292,3.66E-24
Fmnl2,1.61E-27,-0.20185666,0.436,0.42,4.04E-23
Tmcc1,4.59E-30,-0.200418011,0.438,0.42,1.15E-25
Slc44a1,1.64E-38,-0.197755594,0.396,0.368,4.12E-34
Fam172a,3.87E-22,-0.196954897,0.283,0.275,9.70E-18
Pkp4,1.69E-26,-0.191723109,0.363,0.353,4.24E-22
Ppp2r3a,2.64E-39,-0.190717754,0.386,0.359,6.62E-35
Gm37459,1.34E-22,-0.186624932,0.526,0.515,3.35E-18
Klhl2,2.37E-28,-0.186496573,0.405,0.387,5.94E-24
Gm35188,1.27E-18,-0.18476492,0.306,0.302,3.19E-14
Ubr2,8.78E-42,-0.181262531,0.294,0.265,2.20E-37
Ssh2,1.24E-41,-0.180691972,0.456,0.417,3.10E-37
Tmeff2,3.36E-16,-0.180351233,0.876,0.898,8.41E-12
Mbnl2,4.83E-31,-0.175005749,0.649,0.616,1.21E-26
Sema6a,7.67E-25,-0.173645488,0.334,0.323,1.92E-20
Ncam2,5.26E-10,-0.171195857,0.538,0.552,1.32E-05
Nfia,8.44E-22,-0.170786958,0.506,0.49,2.11E-17
Itch,2.30E-33,-0.168450057,0.298,0.272,5.75E-29
Enox1,1.71E-24,-0.166362171,0.484,0.467,4.28E-20
mt-Nd4,3.15E-29,-0.160776833,0.267,0.231,7.89E-25
Macf1,2.35E-27,-0.160196972,0.277,0.257,5.88E-23
Nbea,5.43E-30,-0.157720737,0.517,0.484,1.36E-25
Arid4b,5.15E-36,-0.154945048,0.288,0.256,1.29E-31
Srgap1,7.74E-25,-0.147797199,0.274,0.25,1.94E-20
Fign,8.17E-15,-0.146223011,0.276,0.263,2.05E-10
Exoc6b,8.72E-31,-0.145567655,0.523,0.49,2.18E-26
Pik3r1,8.48E-30,-0.143552685,0.318,0.291,2.12E-25
Psap,1.72E-35,-0.137678157,0.299,0.261,4.31E-31
mt-Cytb,2.71E-19,-0.131036421,0.355,0.319,6.78E-15
Fryl,5.43E-32,-0.127269803,0.32,0.29,1.36E-27
Ephb1,1.07E-23,-0.125134537,0.335,0.308,2.67E-19
Dock3,1.41E-24,-0.123989179,0.252,0.229,3.54E-20
Tspan5,3.94E-17,-0.12332889,0.263,0.244,9.86E-13
Dnm3,4.88E-16,-0.123254122,0.76,0.744,1.22E-11
Rabgap1l,3.13E-15,-0.116823453,0.279,0.261,7.83E-11
Apba1,1.45E-24,-0.116073708,0.318,0.282,3.63E-20
Sh3kbp1,1.61E-21,-0.115935656,0.266,0.248,4.02E-17
Dock9,4.22E-35,-0.11470642,0.323,0.281,1.06E-30
Npepps,5.84E-30,-0.113944316,0.27,0.241,1.46E-25
Pafah1b1,6.15E-39,-0.110562223,0.385,0.336,1.54E-34
Sh3d19,8.19E-18,-0.102260714,0.36,0.341,2.05E-13
Add3,5.47E-16,-0.102233121,0.272,0.254,1.37E-11
Strbp,1.13E-23,-0.102143668,0.379,0.345,2.83E-19
Vti1a,9.52E-36,0.1029581,0.332,0.248,2.38E-31
Kmt2c,1.16E-39,0.104301427,0.366,0.275,2.92E-35
Huwe1,4.12E-29,0.106928037,0.277,0.209,1.03E-24
Nipbl,3.41E-33,0.110120064,0.364,0.279,8.54E-29
Spag9,6.42E-37,0.110788295,0.349,0.263,1.61E-32
Srrm2,8.09E-37,0.111088492,0.517,0.411,2.03E-32
2610035D17Rik,2.99E-31,0.114335012,0.352,0.27,7.48E-27
Dennd1a,1.74E-25,0.115632527,0.362,0.285,4.37E-21
Tulp4,4.90E-39,0.116998028,0.555,0.438,1.23E-34
Klf7,9.15E-30,0.121335287,0.252,0.183,2.29E-25
Tcf12,1.39E-18,0.12551218,0.638,0.548,3.48E-14
Mtdh,6.95E-30,0.125869574,0.254,0.184,1.74E-25
Rbm39,3.10E-25,0.12779543,0.524,0.432,7.77E-21
Vps13b,2.82E-33,0.128770735,0.301,0.221,7.07E-29
Zfr,3.66E-22,0.131223181,0.275,0.208,9.16E-18
Fam196a,7.47E-23,0.131708167,0.309,0.242,1.87E-18
Camk1d,3.80E-27,0.133361487,0.359,0.271,9.53E-23
Mbnl1,1.12E-24,0.134952604,0.34,0.265,2.81E-20
Chd6,2.79E-38,0.141135718,0.274,0.192,6.98E-34
Hnrnpu,2.51E-34,0.141738923,0.32,0.235,6.29E-30
Trim44,8.68E-35,0.144899358,0.26,0.185,2.17E-30
Klf9,2.45E-44,0.144966365,0.278,0.19,6.13E-40
Rb1,1.14E-27,0.145022532,0.29,0.216,2.84E-23
Pam,2.82E-27,0.153452672,0.275,0.198,7.06E-23
Tanc1,1.58E-15,0.157012731,0.252,0.196,3.95E-11
Stag1,2.47E-31,0.157056214,0.395,0.299,6.20E-27
Tra2a,1.21E-27,0.16097627,0.306,0.226,3.04E-23
Ubr3,6.73E-19,0.161744951,0.255,0.195,1.68E-14
Pcm1,1.30E-30,0.16419345,0.257,0.182,3.24E-26
Ptpra,1.06E-32,0.168530791,0.274,0.193,2.64E-28
Snx24,2.39E-34,0.170335995,0.261,0.178,5.98E-30
Ext1,6.27E-17,0.173812805,0.292,0.224,1.57E-12
Nsd3,2.35E-41,0.177026158,0.271,0.183,5.89E-37
Fto,6.41E-38,0.18385588,0.364,0.263,1.60E-33
Bach2,2.46E-31,0.18406596,0.302,0.215,6.15E-27
Lcorl,1.56E-20,0.184201847,0.264,0.195,3.91E-16
Atrx,4.10E-32,0.186705967,0.309,0.221,1.03E-27
Ralgps1,5.62E-25,0.187259482,0.329,0.245,1.41E-20
Rock1,1.71E-24,0.188456291,0.26,0.186,4.29E-20
Sox10,6.22E-31,0.19084997,0.272,0.193,1.56E-26
Sbf2,1.23E-32,0.194223452,0.352,0.257,3.09E-28
Stox2,8.31E-31,0.196024447,0.319,0.229,2.08E-26
Ubash3b,6.36E-22,0.197449406,0.324,0.243,1.59E-17
Tnrc6b,9.77E-37,0.199205184,0.42,0.311,2.45E-32
Bcl2l1,1.26E-28,0.202127753,0.5,0.388,3.17E-24
Zfp280d,3.10E-33,0.20442937,0.291,0.202,7.75E-29
Ncor1,2.16E-42,0.205390325,0.349,0.241,5.41E-38
Ankrd28,8.16E-20,0.205624384,0.562,0.466,2.04E-15
Ankrd17,5.82E-25,0.209782716,0.252,0.176,1.46E-20
2010111I01Rik,3.80E-28,0.213394516,0.35,0.258,9.53E-24
Nktr,4.77E-42,0.215650592,0.32,0.216,1.19E-37
Gm20388,2.19E-21,0.216916938,0.722,0.618,5.48E-17
Ankhd1,3.28E-32,0.217281515,0.308,0.217,8.22E-28
Atp6v0b,6.85E-30,0.219709258,0.281,0.194,1.72E-25
Dnajc1,1.04E-33,0.220392949,0.306,0.211,2.61E-29
Csnk1a1,9.42E-31,0.221101391,0.263,0.178,2.36E-26
Usp9x,5.63E-42,0.227766504,0.314,0.213,1.41E-37
Kansl1,1.65E-27,0.23126838,0.42,0.314,4.13E-23
Ubn2,8.27E-30,0.232434443,0.321,0.227,2.07E-25
1110051M20Rik,3.06E-34,0.238617349,0.259,0.171,7.66E-30
Rasal2,4.35E-27,0.242021394,0.252,0.169,1.09E-22
Malat1,5.20E-59,0.243897537,1,1,1.30E-54
Ash1l,3.30E-37,0.245464454,0.312,0.21,8.27E-33
Tnrc6c,9.75E-39,0.252034158,0.345,0.236,2.44E-34
Faf1,1.11E-32,0.255641433,0.268,0.178,2.79E-28
Fam19a5,3.01E-25,0.255857151,0.28,0.195,7.55E-21
Kdm6a,1.05E-34,0.273065827,0.271,0.177,2.63E-30
Extl3,1.04E-38,0.27344127,0.257,0.162,2.61E-34
Lncpint,2.65E-38,0.276139613,0.456,0.328,6.64E-34
Ralgapa1,1.41E-31,0.276254519,0.362,0.255,3.53E-27
Kmt2a,4.23E-37,0.276769771,0.279,0.178,1.06E-32
Cnot4,2.74E-41,0.280213362,0.314,0.204,6.86E-37
Ahi1,1.16E-21,0.288922752,0.259,0.173,2.90E-17
Meg3,1.42E-19,0.290317239,0.475,0.371,3.57E-15
Dpy19l1,6.32E-31,0.290391921,0.331,0.228,1.58E-26
Arih1,5.32E-33,0.290457464,0.318,0.213,1.33E-28
Creb5,7.17E-47,0.293274412,0.434,0.296,1.80E-42
Ascc3,9.42E-40,0.299758688,0.286,0.179,2.36E-35
Rab2a,3.47E-42,0.306961631,0.251,0.151,8.68E-38
Srsf7,6.50E-37,0.311754276,0.3,0.192,1.63E-32
Eml1,1.63E-28,0.31385406,0.294,0.198,4.09E-24
Usp34,1.92E-38,0.314676976,0.379,0.257,4.81E-34
