,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
1-Mar,1.26E-71,-0.626500975,0.497,0.667,3.37E-67
Gm34408,4.58E-43,-0.62562381,0.133,0.266,1.23E-38
Dennd4a,8.59E-104,-0.623731884,0.682,0.817,2.30E-99
Gab1,3.58E-43,-0.623207482,0.156,0.295,9.59E-39
Tubgcp5,1.14E-55,-0.622657994,0.317,0.468,3.06E-51
Rgs10,5.17E-60,-0.614149039,0.346,0.508,1.38E-55
Sncaip,4.78E-43,-0.612797151,0.16,0.301,1.28E-38
Herc2,8.05E-76,-0.610298076,0.523,0.686,2.16E-71
Tcf7l2,4.11E-42,-0.600789389,0.207,0.338,1.10E-37
Gng2,1.03E-51,-0.600266259,0.327,0.482,2.77E-47
Rcsd1,7.62E-51,-0.599206051,0.282,0.441,2.04E-46
Dapp1,2.16E-56,-0.599007234,0.372,0.536,5.78E-52
Abi3,1.16E-56,-0.595342807,0.311,0.468,3.11E-52
Rtn4rl1,1.92E-48,-0.594781427,0.287,0.434,5.15E-44
Smarca2,4.31E-53,-0.594655793,0.316,0.469,1.15E-48
Ikzf1,3.59E-98,-0.589364724,0.718,0.839,9.61E-94
Ppp1r9a,6.14E-67,-0.589346498,0.565,0.698,1.64E-62
Fcrls,2.31E-46,-0.585121526,0.385,0.518,6.18E-42
Wdr44,7.58E-46,-0.583597023,0.248,0.387,2.03E-41
Fry,6.50E-39,-0.582519062,0.192,0.325,1.74E-34
Gm40841,6.86E-41,-0.581295923,0.131,0.252,1.84E-36
Gm2629,1.27E-78,-0.580557403,0.6,0.748,3.41E-74
Sort1,2.37E-43,-0.580492394,0.194,0.331,6.35E-39
Tpst2,1.46E-46,-0.579683276,0.133,0.268,3.91E-42
Cables1,7.03E-41,-0.578561846,0.213,0.346,1.88E-36
Chsy1,1.39E-41,-0.577785983,0.156,0.284,3.72E-37
Hpgd,4.20E-40,-0.576476655,0.231,0.38,1.12E-35
Pik3r1,2.36E-57,-0.575869479,0.442,0.6,6.32E-53
Glul,8.81E-41,-0.574902729,0.14,0.265,2.36E-36
Adap2os,4.81E-62,-0.566348945,0.485,0.647,1.29E-57
Soga1,5.67E-55,-0.565210762,0.437,0.566,1.52E-50
Stab1,1.31E-28,-0.559003596,0.222,0.328,3.50E-24
Slc1a3,1.61E-38,-0.558897634,0.315,0.438,4.31E-34
Maml3,3.67E-86,-0.553788772,0.822,0.887,9.83E-82
Pag1,1.00E-107,-0.550725759,0.84,0.898,2.69E-103
Scamp5,3.74E-44,-0.54835303,0.131,0.266,1.00E-39
Plcl1,1.13E-72,-0.548126912,0.772,0.858,3.02E-68
Arhgap45,3.35E-79,-0.547948183,0.672,0.817,8.98E-75
Zdhhc14,3.64E-37,-0.543105868,0.327,0.451,9.74E-33
Mapk14,1.76E-48,-0.5408182,0.385,0.527,4.72E-44
Gna15,8.44E-47,-0.540793602,0.314,0.441,2.26E-42
Nr6a1os,2.62E-33,-0.539019958,0.205,0.319,7.01E-29
Qk,1.15E-134,-0.53434335,0.946,0.957,3.07E-130
Gm50035,5.45E-45,-0.53149245,0.329,0.484,1.46E-40
Tbc1d16,4.63E-40,-0.531391729,0.28,0.421,1.24E-35
Sdccag8,3.81E-40,-0.530016091,0.301,0.428,1.02E-35
Kctd12,1.61E-38,-0.527258641,0.16,0.287,4.30E-34
4930444A19Rik,1.89E-39,-0.525181691,0.383,0.515,5.06E-35
Fer,1.12E-36,-0.519984044,0.264,0.385,3.00E-32
Pik3cg,6.45E-37,-0.518943487,0.168,0.289,1.73E-32
Sipa1l1,5.48E-39,-0.518615423,0.312,0.434,1.47E-34
Ets1,1.41E-32,-0.513063415,0.154,0.255,3.77E-28
AC149090.1,4.90E-71,-0.509569513,0.729,0.829,1.31E-66
Sipa1,1.04E-37,-0.508650712,0.214,0.334,2.79E-33
Map4k4,3.18E-55,-0.50713928,0.538,0.654,8.53E-51
Entpd1,1.22E-58,-0.507060591,0.568,0.721,3.25E-54
Ppp1r21,8.82E-38,-0.504458988,0.249,0.379,2.36E-33
Rap1gds1,2.70E-67,-0.502837088,0.708,0.812,7.23E-63
Nuak1,2.72E-35,-0.500503494,0.309,0.441,7.28E-31
Itpr2,1.45E-50,-0.500134427,0.529,0.65,3.89E-46
Wnk1,1.18E-71,-0.497248967,0.752,0.849,3.17E-67
Fli1,2.07E-67,-0.495216862,0.729,0.841,5.54E-63
Arsb,2.89E-28,-0.491696829,0.344,0.45,7.74E-24
Laptm5,5.30E-38,-0.491336602,0.372,0.489,1.42E-33
Ifngr1,1.73E-35,-0.489850513,0.313,0.426,4.63E-31
Trim2,1.14E-31,-0.488646168,0.155,0.267,3.05E-27
Rgl1,3.78E-31,-0.482696527,0.174,0.284,1.01E-26
Pwwp2a,5.46E-44,-0.482340948,0.451,0.574,1.46E-39
F11r,3.95E-36,-0.480613518,0.336,0.459,1.06E-31
Phf14,7.62E-53,-0.479576128,0.598,0.696,2.04E-48
Hexb,1.90E-105,-0.479481121,0.943,0.939,5.09E-101
Fam91a1,3.98E-36,-0.478507808,0.246,0.359,1.07E-31
Cttnbp2nl,2.42E-47,-0.476686699,0.566,0.679,6.48E-43
9130015G15Rik,6.76E-29,-0.474124736,0.209,0.318,1.81E-24
Wasf2,8.27E-49,-0.470765288,0.591,0.688,2.22E-44
Bmp2k,6.98E-50,-0.46720349,0.615,0.729,1.87E-45
Gm16337,3.37E-33,-0.461513046,0.391,0.512,9.03E-29
Fbrsl1,3.57E-31,-0.460008339,0.299,0.408,9.57E-27
Csad,9.32E-29,-0.455925427,0.241,0.338,2.50E-24
Plcl2,1.19E-53,-0.455125019,0.753,0.831,3.18E-49
Gm17231,3.57E-24,-0.453711277,0.259,0.363,9.56E-20
Smad3,4.11E-26,-0.452396091,0.258,0.37,1.10E-21
Fam49b,6.86E-66,-0.446174178,0.809,0.877,1.84E-61
Usp24,6.35E-32,-0.444521162,0.331,0.447,1.70E-27
Maml1,1.13E-28,-0.444230077,0.208,0.303,3.04E-24
Cep68,1.39E-28,-0.443956787,0.23,0.341,3.72E-24
Klf7,1.05E-24,-0.440173425,0.15,0.25,2.80E-20
Sh3pxd2a,2.06E-30,-0.439798327,0.31,0.423,5.53E-26
Mvb12b,4.01E-34,-0.439175795,0.364,0.478,1.08E-29
Hps3,1.85E-30,-0.434998327,0.328,0.44,4.95E-26
Cask,7.96E-32,-0.432369526,0.496,0.602,2.13E-27
Arid3b,1.87E-25,-0.430666401,0.161,0.264,5.00E-21
Cds1,5.45E-26,-0.425831535,0.219,0.316,1.46E-21
Pten,5.41E-31,-0.423595123,0.413,0.515,1.45E-26
Clasp2,1.34E-38,-0.423088497,0.574,0.672,3.59E-34
Prpsap2,4.68E-25,-0.420978971,0.17,0.267,1.25E-20
Picalm,2.05E-47,-0.420153364,0.695,0.769,5.50E-43
Rassf2,1.23E-28,-0.419224724,0.288,0.398,3.29E-24
Camk1,5.77E-31,-0.415388929,0.376,0.494,1.54E-26
Cflar,1.53E-30,-0.414699351,0.436,0.539,4.10E-26
Dock8,6.65E-67,-0.414249519,0.844,0.903,1.78E-62
Specc1,1.61E-38,-0.413283507,0.61,0.702,4.32E-34
Casp8,4.13E-28,-0.413153339,0.282,0.378,1.11E-23
