gene,MG3,DAM
Arl15,-0.142604394,1.107597
Slc7a8,-0.144753697,-0.54707
Fermt3,-0.148512004,-0.819108
Wwox,-0.149312615,0.117364
Snx13,-0.150688785,-0.283043
Mef2a,-0.151455122,-0.930809
Setd2,-0.153214128,-0.860628
Dnm2,-0.155249829,-1.088259
Havcr2,-0.156029021,0.193502
Ctss,-0.157539359,0.387942
Srsf5,-0.158665789,-0.706777
Lrrk1,-0.158739903,-0.119829
Nuak1,-0.159185933,-0.868192
F11r,-0.162565286,-0.874201
Rbm5,-0.163259022,-0.817501
Wnk1,-0.166620018,-1.179866
Gdi2,-0.166873121,0.108365
Zbtb20,-0.174597173,-1.360447
Plcg2,-0.174762434,-1.054656
Marcks,-0.174899253,-1.293206
Clasp2,-0.178177856,-0.850848
Lyn,-0.180782747,-1.258366
Rreb1,-0.182481692,-2.183501
Tmsb4x,-0.185989855,0.138671
Cd2ap,-0.187437278,-0.566694
Lrch1,-0.187532491,-1.105672
Specc1,-0.188510868,-0.514744
Acap2,-0.190049587,-1.879657
Cnot2,-0.191306479,-0.968213
Fnbp1,-0.193429729,-0.206308
Heatr5a,-0.196310937,-1.288918
Tacc1,-0.197030744,-0.5622
Rcbtb2,-0.197161727,0.257159
Pip4k2a,-0.199346196,-1.112632
Hpgds,-0.19937124,-1.131138
Hk2,-0.201118941,-0.24617
Tbc1d9,-0.201179146,-1.138892
Ppcdc,-0.201495372,-1.210266
Rnf169,-0.207006925,-0.171695
Adam10,-0.207046754,-0.412605
Clk1,-0.208695134,-1.650599
Tsc22d4,-0.21187251,-0.8199
Arhgap12,-0.213815917,-1.263001
Crlf3,-0.214029407,-1.22971
Prex1,-0.21409938,-0.584776
Aftph,-0.217896594,-1.015778
Itga6,-0.218425273,-0.904468
Unc93b1,-0.22585743,-0.502722
Man1a2,-0.228619248,-0.556976
Frmd4b,-0.232966509,-1.171897
Hck,-0.233326625,-1.069933
Camk2d,-0.234451413,-0.859451
Tnrc6b,-0.235060062,-1.890764
Itm2b,-0.241461522,0.385876
Phf14,-0.241789624,-0.177656
Fli1,-0.24438342,-0.721944
Mycbp2,-0.247129278,-0.71658
Pwwp2a,-0.248582219,-1.671191
Arid1a,-0.250163557,-0.739486
Ptprm,-0.254347657,1.293866
Rock2,-0.255800092,-0.665474
Itpr2,-0.256184592,-0.317841
C1qc,-0.257171115,-0.467267
Ppp1r9a,-0.260182747,-1.831003
Git2,-0.261691112,-1.230534
B4galt1,-0.26191745,-0.913787
Inpp4b,-0.26691493,-1.840463
C1qa,-0.26812662,-0.215596
Rptor,-0.270011996,-0.562239
Usp24,-0.271167338,-2.447961
Rnf216,-0.273525929,-1.08527
Picalm,-0.27676315,-1.009961
Fam49b,-0.277866833,-0.846747
C1qb,-0.281204651,-0.49408
Cttnbp2nl,-0.288084914,-1.008123
Mertk,-0.290055769,-0.261147
Ssbp2,-0.291099878,-0.702374
Dock8,-0.291128206,-0.393235
Parp8,-0.294478411,-1.844923
Atp2c1,-0.294580577,-0.923585
Cflar,-0.29649534,-0.42243
Celf2,-0.300501187,-1.105926
Herc2,-0.307259394,-0.841641
Cask,-0.309163424,-0.909845
Fcrls,-0.313167469,-0.411256
Cd37,-0.315904677,0.359621
Wasf2,-0.3183364,-0.769992
Bmp2k,-0.320635728,-0.94647
Zdhhc14,-0.324081124,-0.571003
Pten,-0.32567195,-1.979537
Qk,-0.329285286,-0.540553
Arglu1,-0.332095671,-0.465914
Pld4,-0.337766629,-0.602282
Map4k4,-0.342740146,-0.611048
Zfp710,-0.349651377,-1.790281
Man1a,-0.352468436,-1.164555
Dennd4a,-0.357961935,-0.35963
Map3k3,-0.359605571,-1.432866
Plcl2,-0.361070694,-0.970614
Zfp652,-0.363576187,-1.74004
Sipa1l1,-0.36541856,0.227699
Ulk2,-0.381632643,-0.626876
Pag1,-0.386974818,-1.08746
Gng2,-0.387120646,-1.254379
Maml3,-0.38762743,-1.131845
Rcsd1,-0.388134135,-0.835871
Mapk14,-0.388199247,-1.099701
Abi3,-0.390571543,-0.592831
Scamp2,-0.396978689,-0.98273
Bin1,-0.408253287,-1.170324
Cd81,-0.417052689,-0.1491
Ikzf1,-0.420412015,-1.019037
Rtn1,-0.425149217,-2.012213
Mgat4a,-0.428950237,-0.925985
Ophn1,-0.432728226,-1.642211
Zeb1,-0.437723931,-1.905003
Adap2,-0.444796751,-1.264355
Il10ra,-0.4456789,-1.277483
Fkbp5,-0.448863667,-0.508171
Lpcat2,-0.452666113,-1.311565
Dapp1,-0.456539911,-2.863098
Slc9a9,-0.457272813,-1.395844
St3gal5,-0.461515624,-0.62747
Mtus1,-0.46223763,-0.792919
Entpd1,-0.466059465,-1.189364
Gtf2h2,-0.47014234,-1.282858
Tubgcp5,-0.472303492,-1.318844
Fam105a,-0.472356642,-1.725202
Pard3b,-0.473013612,-0.7729
