"","gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","Average.UMI.per.cell..homeostatic.microglia.","Fold.change..DAM.to.homeostatic.microglia.","X.log10.DAM..p.value..Mann.Whitney.","DAM.FDR.p.value"
"100","Anxa3",1.92e-33,0.332412736,0.6,0.41,4.8e-29,3,0.360588,0.715602,2.429478,1.787519
"101","Traf3",1.46e-33,0.33231556,0.295,0.157,3.67e-29,3,0.05,-1.085576,0.730102,0.553178
"102","Abr",2.29e-27,0.32948618,0.409,0.257,5.74e-23,3,0.104706,-0.405367,0.437946,0.399118
"103","Rabep1",2.49e-34,0.327540096,0.428,0.259,6.23e-30,3,0.111471,-0.615151,0.433126,0.396314
"104","Tns1",1.31e-36,0.3270628,0.273,0.138,3.28e-32,3,0.085294,-0.168038,0.020219,0.216285
"105","Fyb",1.94e-27,0.326730145,0.774,0.655,4.86e-23,3,0.425588,-0.675365,1.001386,0.720884
"106","Abl2",1.7e-28,0.326125991,0.308,0.174,4.26e-24,3,0.111176,-0.21458,0.165088,0.275923
"107","Klhl6",6.69e-28,0.321275984,0.251,0.131,1.67e-23,3,0.143529,1.04843,4.514069,3.605438
"108","Nptn",6.75e-39,0.317137757,0.423,0.25,1.69e-34,3,0.649118,0.478979,1.348045,0.959553
"109","Sh3kbp1",7.51e-31,0.317072062,0.617,0.434,1.88e-26,3,0.237059,0.501507,2.157295,1.557118
"110","Clint1",1.11e-33,0.310826536,0.419,0.258,2.78e-29,3,0.220294,0.549927,0.4843,0.426766
"111","Cd180",1.09e-25,0.308660809,0.411,0.263,2.73e-21,3,0.39,1.147347,8.198211,7.062116
"112","Ptk2b",9.12e-26,0.298295326,0.417,0.271,2.28e-21,3,0.102059,0.459259,1.540149,1.089427
"113","H2-K1",1.6e-31,0.297021721,0.27,0.142,4.01e-27,3,0.428824,2.197553,33.964708,31.840352
"114","Msn",4.71e-24,0.295057402,0.306,0.184,1.18e-19,3,0.529118,-0.183356,0.567853,0.470029
"115","Grb2",2.54e-24,0.293598324,0.418,0.275,6.36e-20,3,0.418235,-0.920644,0.917262,0.667387
"116","Fbxl17",2.49e-18,0.293091022,0.6,0.461,6.22e-14,3,0.063824,-1.681662,0.883071,0.642943
"117","Mctp1",1.81e-21,0.29069133,0.586,0.433,4.52e-17,3,0.034412,1.151422,0.442656,0.401084
"118","Spag9",1.85e-25,0.289747188,0.433,0.284,4.64e-21,3,0.145,-0.894313,0.172903,0.275661
"119","Daglb",1.9e-31,0.288982701,0.386,0.236,4.75e-27,3,0.407941,0.250636,0.264759,0.320719
"120","Samsn1",9.65e-24,0.285858149,0.302,0.182,2.42e-19,3,0.389706,0.283553,0.715428,0.544669
"121","Ctsa",2.32e-31,0.285478241,0.287,0.158,5.81e-27,3,1.497647,1.195445,21.505042,19.729639
"122","Atp8a1",2.15e-22,0.28371551,0.617,0.461,5.37e-18,3,0.312353,-0.295793,0.027505,0.219677
"123","Atp6v0a1",2.61e-21,0.282394574,0.446,0.305,6.53e-17,3,0.194706,-0.538725,0.396358,0.376147
"124","Ascc3",6.81e-27,0.27815928,0.393,0.251,1.71e-22,3,0.049412,0.247,0.625697,0.498143
"125","Rps6ka3",2.46e-27,0.276808375,0.371,0.233,6.16e-23,3,0.065882,-0.998113,1.250976,0.893032
"126","Arhgef2",1.14e-22,0.274940616,0.255,0.147,2.85e-18,3,0.265588,-0.777167,1.124745,0.807246
"127","Lcp1",4.87e-24,0.274171884,0.353,0.223,1.22e-19,3,0.935882,-0.362887,0.472504,0.419293
"128","Tbc1d22a",2e-30,0.273430532,0.473,0.313,5.01e-26,3,0.119118,-0.710875,0.512118,0.440584
"129","Nf1",5.78e-31,0.272819484,0.577,0.401,1.45e-26,3,0.134706,0.162683,0.510933,0.439655
"130","Tmcc1",4.88e-25,0.272382854,0.456,0.309,1.22e-20,3,0.049412,-1.653465,1.358973,0.965668
"131","Runx1",2.91e-24,0.270241555,0.728,0.572,7.28e-20,3,0.390882,-0.578379,0.137797,0.26516
"132","Mthfs",1.05e-12,0.268086124,0.298,0.203,2.63e-08,3,0.155294,1.303268,6.67197,5.613318
"133","Lrrc8d",4.36e-26,0.266832101,0.318,0.193,1.09e-21,3,0.062059,0.962612,3.224925,2.470402
"134","Kpna3",3.5e-29,0.266281463,0.273,0.155,8.77e-25,3,0.145882,0.34129,0.785455,0.585033
"135","Lamp2",5.96e-23,0.26458367,0.386,0.252,1.49e-18,3,0.870882,0.750789,7.051129,5.958854
"136","Frrs1",1.27e-30,0.263207814,0.387,0.241,3.18e-26,3,0.033824,1.693831,2.929225,2.207989
"137","Gnas",1.06e-31,0.262595821,0.339,0.203,2.66e-27,3,1.475882,2.152279,53.754474,51.194388
"138","Cap1",2.95e-23,0.26145359,0.255,0.147,7.38e-19,3,0.589118,-0.463559,0.858451,0.629148
"139","Mkl1",8.03e-35,0.26043741,0.327,0.19,2.01e-30,3,0.051176,-0.856094,0.617302,0.493234
"140","Pign",2.15e-32,0.260355969,0.334,0.197,5.39e-28,3,0.018529,0.808878,1.58388,1.121651
"141","Ankrd12",1.09e-30,0.258962002,0.351,0.214,2.74e-26,3,0.070882,0.378504,0.007325,0.211347
"142","Ctsl",7.67e-25,0.256088152,0.296,0.178,1.92e-20,3,2.237941,1.456878,31.996289,29.913325
"143","Creb3l2",1.57e-26,0.256039105,0.266,0.154,3.93e-22,3,0.115294,0.871888,2.126328,1.531316
"144","Myo9a",4.88e-27,0.255481838,0.43,0.282,1.22e-22,3,0.139412,-0.161963,0.031589,0.220607
"145","Atxn10",1.79e-25,0.251243301,0.259,0.151,4.48e-21,3,0.166471,1.062343,4.742916,3.811684
"146","Vps54",1.62e-22,0.249500669,0.342,0.222,4.07e-18,3,0.072941,-0.264253,0.037357,0.22192
"147","Celf1",2.14e-31,0.248781658,0.472,0.313,5.37e-27,3,0.269412,-1.35619,2.26489,1.646135
"148","Fndc3b",1.87e-27,0.247935886,0.333,0.207,4.67e-23,3,0.090882,0.253986,0.962755,0.691285
"149","Asap1",6.5e-16,0.24754108,0.67,0.541,1.63e-11,3,0.132353,0.912999,1.364551,0.968277
"150","Abcd2",4.99e-27,0.244867167,0.267,0.156,1.25e-22,3,0.122353,1.384188,4.715185,3.78488
"151","Psap",2.04e-28,0.242833678,0.597,0.431,5.1e-24,3,1.999706,0.420527,2.503071,1.848536
"152","Clip1",3.11e-20,0.242246459,0.278,0.173,7.79e-16,3,0.196765,0.498668,2.334135,1.703003
"153","B2m",3.28e-29,0.241320214,0.263,0.149,8.22e-25,3,7.072353,1.374797,59.855107,57.156719
"154","Zmiz1",1.98e-21,0.240113415,0.488,0.349,4.95e-17,3,0.162647,-0.716931,1.890091,1.352321
"155","Gnb1",3.85e-29,0.238237712,0.343,0.211,9.65e-25,3,0.453529,-0.351357,0.306991,0.33999
"156","Map4k3",1.21e-28,0.236560421,0.329,0.203,3.02e-24,3,0.043824,0.285219,0.01489,0.213785
"157","Man1c1",1.46e-22,0.233714743,0.398,0.267,3.66e-18,3,0.333235,0.388203,1.622664,1.147642
"158","Tgfbr1",3.4e-20,0.231501129,0.933,0.881,8.52e-16,3,2.848824,-0.674167,8.196404,7.061793
"159","Atp7a",1.41e-22,0.230604558,0.274,0.169,3.54e-18,3,0.049118,0.343076,0.936338,0.676492
"160","Larp1",1.65e-24,0.229479375,0.312,0.195,4.13e-20,3,0.143529,-0.370855,0.491427,0.429903
"161","Ccny",2.02e-27,0.227742783,0.305,0.186,5.07e-23,3,0.082941,1.063098,1.79253,1.273478
"162","Snx30",1.39e-30,0.223591658,0.293,0.175,3.48e-26,3,0.092353,-0.668243,0.766939,0.573361
"163","Kcnk13",7.84e-23,0.217202086,0.378,0.255,1.96e-18,3,0.143235,-1.620082,2.124343,1.532316
"164","Spop",7.41e-22,0.217068013,0.324,0.213,1.85e-17,3,0.116176,0.405926,0.219897,0.29966
"165","Atp9b",1.58e-34,0.215468733,0.403,0.258,3.97e-30,3,0.109412,-1.006757,0.371019,0.363602
"166","St6gal1",1.92e-23,0.215088959,0.302,0.191,4.81e-19,3,0.075588,1.314178,2.938745,2.215788
"167","Btbd9",5.52e-23,0.212755163,0.577,0.428,1.38e-18,3,0.065588,-1.383975,0.805507,0.595493
"168","Adam17",6.32e-16,0.212043335,0.294,0.202,1.58e-11,3,0.358529,-0.247093,0.012428,0.213039
"169","Fgd4",3.38e-26,0.210690969,0.267,0.16,8.47e-22,3,0.054118,0.508072,0.733135,0.555067
"170","Oxct1",2.1e-24,0.209817299,0.406,0.275,5.25e-20,3,0.368824,0.919019,7.12831,6.026519
"171","Ralgapa1",8.27e-31,0.208563748,0.327,0.2,2.07e-26,3,0.020294,1.247,0.566478,0.469335
"172","Ptpra",8.42e-22,0.20574388,0.425,0.299,2.11e-17,3,0.516765,0.1392,1.108518,0.793946
"173","Dgkd",5.22e-14,0.205480983,0.42,0.314,1.31e-09,3,0.298529,0.661682,0.749985,0.563146
"174","Rasa1",5.44e-26,0.205405946,0.334,0.215,1.36e-21,3,0.211765,-0.156065,0.037094,0.222084
"175","Ccnl1",1.14e-28,0.203926456,0.312,0.194,2.86e-24,3,0.113235,0.303943,0.713457,0.544146
"176","Stx7",5.79e-28,0.202084921,0.309,0.193,1.45e-23,3,0.283529,0.61604,2.012788,1.444332
"177","Cnot6l",6.19e-16,0.200813716,0.256,0.169,1.55e-11,3,0.251765,-0.313315,0.201556,0.288586
"178","Aff4",9.85e-28,0.194810067,0.29,0.179,2.47e-23,3,0.152647,-0.386729,0.454267,0.407641
"179","Rin2",9.5e-10,0.194528165,0.3,0.22,2.38e-05,3,0.473235,-0.116083,0.130383,0.261941
"180","Trip12",1.79e-24,0.194104903,0.389,0.266,4.49e-20,3,0.204706,-0.396662,0.708166,0.544439
"181","Ifngr2",1.68e-19,0.194054698,0.277,0.181,4.2e-15,3,0.565294,-0.166537,0.178181,0.277147
"182","Mgat5",4.1e-13,0.192767199,0.496,0.388,1.03e-08,3,0.022941,0.32792,0.278224,0.32647
"183","Srpk2",3.05e-30,0.190576384,0.333,0.212,7.65e-26,3,0.038824,0.853657,0.423867,0.390356
"184","AI314180",7.32e-29,0.190409316,0.306,0.192,1.83e-24,3,0.083235,-0.66884,0.119026,0.256725
"185","Lmo2",1.59e-17,0.188266726,0.257,0.168,3.98e-13,3,0.405882,0.377358,1.23304,0.87929
"186","Zfp407",4.04e-16,0.185962744,0.302,0.211,1.01e-11,3,0.035882,-3.513813,0.933729,0.675265
"187","Blnk",4.78e-21,0.185497949,0.55,0.415,1.2e-16,3,0.417353,-0.350984,0.194207,0.284076
"188","Gab2",1.41e-14,0.184457665,0.787,0.677,3.53e-10,3,0.083529,-0.497606,0,0.208822
"189","Tcirg1",1.3e-30,0.181218736,0.262,0.157,3.25e-26,3,0.190588,0.18211,0.921118,0.669111
"190","Ankhd1",6.49e-21,0.181148521,0.382,0.27,1.63e-16,3,0.101765,-0.636882,0.11703,0.255994
"191","Arid1b",2.65e-24,0.177730699,0.496,0.359,6.65e-20,3,0.154412,-0.489966,0.178267,0.27706
"192","Pitpna",3.75e-21,0.175992047,0.287,0.192,9.38e-17,3,0.175588,0.529238,1.359996,0.966421
"193","Vps13b",2.66e-23,0.17222023,0.427,0.304,6.66e-19,3,0.032059,-0.154863,0.159384,0.274994
"194","Rab8b",4.27e-21,0.170458452,0.431,0.312,1.07e-16,3,0.237941,-0.422892,1.92045,1.37205
"195","Etv6",4.69e-12,0.169759499,0.631,0.524,1.18e-07,3,0.109118,-0.179751,0.183688,0.279962
"196","Asah1",1.85e-15,0.168504045,0.268,0.184,4.63e-11,3,0.721471,-0.658532,2.275132,1.655019
"197","Elk3",3.74e-19,0.167097885,0.378,0.274,9.36e-15,3,0.278235,0.201294,1.271836,0.908655
"198","Snd1",1.23e-25,0.164029919,0.358,0.245,3.09e-21,3,0.108235,0.314025,1.417768,1.005499
"199","Tle4",5.88e-19,0.162620298,0.307,0.213,1.47e-14,3,0.127647,-0.201669,0.680117,0.527655
"200","Rap1a",3.8e-22,0.159094917,0.419,0.302,9.51e-18,3,0.346765,-1.040469,1.739046,1.237594
"201","Ptpre",8.62e-26,0.158872407,0.327,0.22,2.16e-21,3,0.432941,-0.71432,1.007779,0.725407
"202","Evl",5.85e-23,0.158355974,0.416,0.296,1.47e-18,3,0.469706,-0.585185,0.801754,0.592797
"203","Basp1",1.45e-17,0.157835953,0.473,0.36,3.62e-13,3,1.770294,-0.629928,4.523632,3.61235
"204","Abi1",1.05e-26,0.155925667,0.466,0.334,2.62e-22,3,0.189412,0.428823,0.070824,0.235238
"205","Tnpo1",1.81e-22,0.153879161,0.298,0.201,4.54e-18,3,0.166176,-1.623644,2.401293,1.761711
"206","Rb1",1.13e-16,0.152068734,0.345,0.252,2.84e-12,3,0.070588,-1.460219,1.638354,1.159419
"207","Lamp1",1.2e-25,0.151715625,0.296,0.193,3e-21,3,2.015294,0.653564,7.396632,6.280875
"208","Thrap3",5.52e-22,0.151268411,0.257,0.168,1.38e-17,3,0.152059,-0.374703,0.126038,0.259839
"209","Galnt1",1.28e-22,0.149791689,0.282,0.188,3.2e-18,3,0.292941,-0.431072,0.354726,0.355742
"210","P2rx7",2e-13,0.149581601,0.337,0.252,5e-09,3,0.348529,-1.407166,4.678884,3.753185
"211","Tra2b",2.08e-16,0.148945626,0.29,0.204,5.21e-12,3,0.222353,-0.440261,0.744431,0.559427
"212","P4ha1",2.7e-21,0.148499761,0.329,0.232,6.76e-17,3,0.447353,-0.997375,1.350698,0.960607
"213","Ankrd17",1.93e-29,0.148315919,0.436,0.304,4.84e-25,3,0.199118,-0.670183,0.433509,0.395986
"214","Chd7",5.47e-22,0.143663372,0.471,0.351,1.37e-17,3,0.182941,-0.324687,0.253821,0.31642
"215","Tnks2",4.1e-24,0.143462449,0.264,0.173,1.03e-19,3,0.220588,-0.187403,0.574466,0.471849
"216","Prkcb",3.97e-13,0.141809625,0.571,0.464,9.94e-09,3,0.214706,0.303203,1.317698,0.939716
"217","Zfc3h1",4.36e-26,0.141206253,0.253,0.162,1.09e-21,3,0.052647,-0.348073,0.021167,0.216956
"218","Rab2a",3.63e-28,0.139509837,0.321,0.216,9.1e-24,3,0.377941,-0.521176,0.223801,0.301841
"219","Ppp1r12a",1.6e-25,0.136939279,0.456,0.332,4.02e-21,3,0.101765,-0.193275,0.158282,0.275056
"220","Tnfrsf11a",2.16e-13,0.136738582,0.321,0.241,5.41e-09,3,0.351471,-1.783502,3.445884,2.665264
"221","Pcmtd1",6.3e-27,0.131266044,0.288,0.19,1.58e-22,3,0.099118,-0.466611,0.533981,0.453248
"222","Ewsr1",1.66e-29,0.131201139,0.312,0.206,4.15e-25,3,0.157353,-0.909505,1.401454,0.993379
"223","Ctsh",4.17e-21,0.130193581,0.356,0.259,1.04e-16,3,1.169412,0.398422,1.719805,1.221446
"224","Fth1",5.35e-21,0.12865177,0.3,0.203,1.34e-16,3,1.920294,1.514116,42.318021,40.017573
"225","Arih1",3.54e-16,0.127025904,0.395,0.302,8.87e-12,3,0.071176,0.667986,0.907105,0.66127
"226","Ppm1h",5.93e-17,0.125590054,0.631,0.511,1.49e-12,3,0.130294,0.389527,0.479032,0.423356
"227","Fcer1g",2.59e-18,0.124774284,0.256,0.18,6.5e-14,3,1.703824,0.691891,7.222499,6.113782
"228","Lcorl",1.26e-14,0.124448469,0.298,0.218,3.16e-10,3,0.032647,-0.503022,0.041863,0.223717
"229","Tgfbr2",2.25e-17,0.119337072,0.524,0.414,5.63e-13,3,1.018824,0.644069,3.527451,2.734184
