symbol,LogFC,FDR
2210016L21Rik,-0.103341923,0.005218264
Rtf1,-0.102336173,0.039247285
Dcaf8,-0.10084118,0.049305915
Diablo,-0.100782182,0.006562406
Ptpa,0.100669849,0.047452178
Ufc1,0.101073007,0.040912375
BC003965,0.101184199,0.042928758
Fgfr1op2,0.101723861,0.042304491
Dda1,0.101792143,0.027297287
1700123O20Rik,0.103404406,0.02376219
Bag5,0.105233425,0.040987003
Krtcap2,0.105699111,0.036210843
Twf1,0.105850717,0.037620858
Cfl2,0.105982925,0.023630247
Srrt,0.107129421,0.040188692
Tox4,0.107209321,0.033972869
Acin1,0.107683883,0.048272412
Meaf6,0.108505258,0.041617217
Ubn1,0.109181644,0.028899954
Adam10,0.110635277,0.045251733
Fam96b,0.111612256,0.041732504
Smim15,0.111788019,0.00910158
Nudt9,0.111836458,0.030500582
Cox14,0.113193021,0.032686961
Sem1,0.113817245,0.028621033
Ubr5,0.113923554,0.039408713
Utp11,0.113986919,0.014976357
Psma3,0.113990186,0.045794573
Eif1b,0.114407738,0.011947204
Stt3a,0.115998202,0.047501416
Rchy1,0.117724698,0.026044177
Hspbp1,0.118954978,0.048175341
Pfdn1,0.120182849,0.041572343
Fez2,0.120466434,0.049481303
Timm13,0.120835314,0.011341182
Gi2,0.121775292,0.012364064
Ankrd12,0.12263554,0.02696394
Sh3bgrl3,0.122762628,0.009283212
Zfand5,0.124311853,0.026044177
Tpst1,0.124865322,0.045649641
Rpl7l1,0.125404438,0.022012253
Pex5l,0.126108497,0.039499238
Prpf40a,0.126618781,0.038743226
Hspa14,0.126784362,0.044303819
Ufsp2,0.126847122,0.038912718
mpt,0.127483367,0.009048175
Supt5,0.127531107,0.047288913
Eci2,0.128418998,0.027731647
Djc10,0.12907029,0.04342613
Smim11,0.129370109,0.024757477
Git1,0.129660198,0.026788018
Rps9,0.129749597,0.017314771
Tmem205,0.129913476,0.035311115
Abcc5,0.130293895,0.04809944
Banf1,0.130365029,0.026650102
Ufd1,0.130884481,0.041706347
Mrpl21,0.130972572,0.031405675
Mapk6,0.131344465,0.047862788
Rwdd4a,0.131455818,0.045409607
Ap4s1,0.131558581,0.03927444
Gpbp1,0.132927915,0.016421978
Pde4b,0.132967658,0.002581212
Hnrnpab,0.133046338,0.003711678
Tpd52l2,0.133927405,0.000841294
Med17,0.134018113,0.018468373
Prdx5,0.134194005,0.007363957
a50,0.134351358,0.011848032
Api5,0.134535094,0.018886945
Arf3,0.135015357,0.027050195
Tomm40,0.135293847,0.021713492
Mrpl12,0.135411786,0.015552489
Arih1,0.135657063,0.024735572
Csnk1g3,0.136571107,0.030282384
Rbm7,0.136648049,0.012296079
Cebpz,0.136903976,0.044194105
Emg1,0.137088649,0.02376219
Pdap1,0.137206432,0.041423653
Dusp16,0.137528602,0.042516893
Snrpa1,0.138121295,0.008100634
Cdr2l,0.138302406,0.029245983
Cltb,0.138329913,0.038912718
Zfp664,0.138940168,0.018886945
Rad17,0.139333548,0.018999247
Polr1d,0.139590442,0.044770216
Pnrc2,0.139611568,0.043480175
Clk4,0.139841682,0.019063706
Tmem127,0.13990355,0.024665941
Ssrp1,0.140157148,0.036288578
Timp2,0.140651291,0.011530278
Wipf1,0.140743853,0.007963506
Eif5b,0.140912679,0.001140934
Ythdf2,0.140992877,0.009196102
Pnkp,0.141194432,0.027875853
Mrpl42,0.142724626,0.018829567
Otub1,0.142795219,0.02616893
Git2,0.143332456,0.032830943
Nolc1,0.143520023,0.022413159
Card19,0.143763226,0.033901261
Taf1d,0.144011085,0.033331107
Eny2,0.144204265,0.003978296
Mrpl39,0.144355113,0.02376219
Wls,0.14447527,0.015369833
Tshz1,0.145037619,0.040309195
Rapgef6,0.145924204,0.039169085
Scaf11,0.145942254,0.013318598
Ywhaz,0.146546655,0.019216422
Hmg20b,0.147082849,0.022297355
Nsd3,0.147563358,0.012142091
Azin1,0.147863272,0.034704787
Fbxl5,0.147917349,0.041423653
Ddx3x,0.148440142,0.019866902
Slc29a3,0.14883793,0.026031051
Kp4,0.149195118,0.010766951
Nploc4,0.14931671,0.026383136
Lrif1,0.149541929,0.019216422
Zc3h15,0.149554406,0.000457572
Ddx54,0.149837433,0.012988658
Txn1,0.149870668,0.004759162
Washc5,0.149979298,0.046019233
Arid1b,0.150441974,0.045653532
Acyp2,0.150447162,0.04595756
Zfand3,0.150582609,0.005763424
Fign,0.151208555,0.020326934
Pcdhga9,0.151603358,0.02379151
Mcrip1,0.151652105,0.003740953
Znhit3,0.15211351,0.011624392
Mrpl30,0.152172595,0.004287308
Gns,0.15237393,0.031445288
Vps37a,0.152401305,0.006562535
Rnmt,0.152466142,0.037267926
Arpc5,0.153481754,0.000902784
Efl1,0.153554656,0.04526946
Eif5,0.153594503,0.011890558
Arpc1a,0.154073264,0.000828898
Mak16,0.154445735,0.005463696
Lyrm2,0.155073402,0.024605331
Max,0.156165056,0.033694974
Fxr1,0.156427527,0.036283223
Rps5,0.156650765,0.016108404
Mrto4,0.156826085,0.049930531
Sae1,0.156919693,0.019355881
Vcpip1,0.157005737,0.028065258
Dnlz,0.157088857,0.009888982
Dync1li1,0.157194887,0.002196816
Smg7,0.157814713,0.041269064
H3f3b,0.157885953,0.012502708
Med27,0.158284011,0.021224791
N6amt1,0.158552472,0.028846228
Ntmt1,0.158761881,0.012777683
Ap1g1,0.158867913,0.03528316
Zfp536,0.1591611,0.011165646
Fuom,0.15927541,0.021855454
Mcmbp,0.15938432,0.024757477
Ank3,0.159616435,0.037264747
Mrps14,0.159638736,0.012718142
Hs2st1,0.159720146,0.02459529
Jak1,0.160595069,0.005258857
Lsm1,0.161306785,0.006281909
Azi2,0.161341552,0.009176929
Mtpap,0.161408453,0.003077516
Psme4,0.161472638,0.047862788
Tor1b,0.161493908,0.017026456
Mrps11,0.161645724,0.011420208
Sbf2,0.161840962,0.006169232
Ranbp9,0.162129077,0.015405392
Fam117b,0.162138169,0.019202236
Eif1ad,0.162785503,0.004900995
H2afj,0.162873521,0.006844482
Cadm1,0.162930327,0.010606943
Mrps26,0.163019301,0.000608633
Mrpl54,0.163236996,0.009650167
Elf1,0.163338065,0.010741874
Ndufaf4,0.163411034,0.010000364
Uri1,0.163703664,0.013630616
Clpp,0.163889994,0.001462575
Dph3,0.163911817,0.002022816
Bclaf1,0.164137931,0.000957282
Utp15,0.164221224,0.02535372
Farsb,0.164418728,0.031130678
Rad23b,0.164649378,0.001688417
Skiv2l2,0.165101516,0.022104916
Cpne3,0.165146472,0.011848032
Rlim,0.165626842,0.03824061
Snrpd1,0.165780699,0.003796615
Slk,0.166549615,0.013117816
Socs4,0.16665341,0.026756362
Pithd1,0.166859714,0.006465385
Rbm34,0.167295554,0.016157165
Zfyve9,0.167325624,0.006675669
Bicral,0.167553335,0.010606943
Gin1,0.167586075,0.016385339
Scarb2,0.167745014,0.005211644
Usp33,0.167837869,0.012073847
Erich1,0.168036632,0.023264369
Mbd2,0.16896332,0.010656986
Mrps18a,0.16915098,0.004342533
Mark3,0.16929062,0.000858633
Hipk1,0.169429183,0.017785257
Commd10,0.170210999,0.015174681
Sh3d19,0.170654924,0.038392731
Ccdc58,0.170895047,0.033972869
Ankle2,0.171079013,0.026200613
Tceal9,0.171123869,0.036298043
Erf,0.171347719,0.013643468
Gm17018,0.171425719,0.009605017
Tmem256,0.171483175,0.040127424
Pcf11,0.17151317,0.012859529
Map2k1,0.171642337,0.013460736
Pus7,0.171667837,0.041425478
Psmd11,0.172216911,0.00296134
Car11,0.1722404,0.02014571
Afdn,0.172376575,0.003497569
Ovca2,0.17239643,0.041500674
Fbxo11,0.172840532,0.004032584
Exoc1,0.172942394,0.017269579
Csf1,0.172984286,0.046497671
f1,0.17318679,0.003736531
Tmem160,0.173406223,0.005122178
Fbxl12,0.173532634,0.040184106
Nfkbib,0.173539753,0.016403604
Plod3,0.173656658,0.01097491
Knop1,0.173742243,0.033412975
Ppfibp2,0.173884998,0.003955691
Ino80e,0.174526312,0.022262433
Alkbh5,0.175366046,0.005463696
Tomm40l,0.175442324,0.012397364
Chchd1,0.175451255,0.002357114
Sec14l1,0.175509633,0.036410774
N4bp2l2,0.175664213,0.000960231
Mybbp1a,0.175741762,0.018109741
Acyp1,0.175832955,0.008516047
Tipin,0.176149792,0.037199717
Slf2,0.176295301,0.021120175
Lsm4,0.176329675,0.007247747
Npdc1,0.176379731,0.008046999
Casp8ap2,0.177089733,0.01321246
Stag1,0.177091161,0.028943583
Lrp10,0.177241646,0.005131772
Trim41,0.177298529,0.02335872
Tango2,0.178441568,0.008717893
Mrpl52,0.178634332,0.046679002
Cbx4,0.178675553,0.009621687
Rap2c,0.178821378,0.019213914
Ric8b,0.178898256,0.016586527
Exosc3,0.178996106,0.017630106
Actr2,0.17899776,0.002704653
Eif2s1,0.179051699,0.005150665
Ube2a,0.179117897,0.003406862
Nipsp3b,0.179342448,0.015168087
Ss1,0.179362462,0.003770589
Nme1,0.179456904,0.004741971
Golt1b,0.179470056,0.0113067
Asb1,0.180118516,0.026044177
Etf1,0.180468136,0.000652508
Luc7l,0.181043764,0.005679991
Mafg,0.181716804,0.001959774
Ppie,0.182252431,0.005218264
Nt5c,0.182566744,0.00224118
Pank2,0.182688904,0.008802332
Bcar1,0.182743572,0.017017049
Zswim7,0.1831166,0.045420959
Fam91a1,0.18340581,0.003381044
Ttc32,0.183575904,0.031513158
Faap24,0.184133335,0.030574841
Fbxo6,0.184310589,0.020332221
Ptpn2,0.184482927,0.040170802
Exoc4,0.184972103,0.007533712
Gnb1,0.185214962,0.027048307
Fyn,0.185242106,0.000959232
Tsen2,0.185423428,0.019569897
Ppa1,0.185569317,0.028621033
Timm9,0.186171137,0.001772845
Trappc8,0.186199831,0.025894168
Ski,0.186221314,0.001309206
Acd,0.186281461,0.029395834
Ctn1,0.18629263,0.000530721
Cdk12,0.186331906,0.007147468
Wdr55,0.186453681,0.031842274
Pole3,0.186538946,0.001299036
Eb1bp2,0.187296844,0.000648026
Esrra,0.187897641,0.047516535
Rtkn,0.188147456,0.004290375
Utp3,0.188161388,0.003252956
Rpl22,0.188422079,0.023716809
Mapre1,0.189135888,0.00000802
Trrap,0.189160541,0.005504866
Uvssa,0.189485881,0.044083665
Djc13,0.189858177,0.006410794
Bnip3l,0.190302009,0.018829567
Snrnp200,0.19036496,0.015912679
Rundc3a,0.190519228,0.002330125
Nol12,0.191117135,0.004231943
Btaf1,0.191194179,0.011594513
Ipo4,0.191767452,0.016520388
Klc1,0.192076172,0.0000341
Nudt18,0.192077226,0.018829567
Selenon,0.192246244,0.028393154
Jakmip2,0.193079485,0.021959903
Grsf1,0.193321655,0.019480088
Prr14,0.19345869,0.005732715
Nip7,0.194315224,0.011674774
Soga3,0.19451271,0.005503151
Prosc,0.194571009,0.000848338
Fam234b,0.195373204,0.000223937
Usp14,0.195432895,0.002357114
Utp18,0.195546003,0.015621018
Pdf,0.195622126,0.021642029
Mcm7,0.195758781,0.039696096
Eif4g1,0.197170638,0.0000308
Djc2,0.19728892,0.000737673
Mrpl2,0.197297934,0.002599231
Pgam5,0.197327715,0.040656235
Washc4,0.197440377,0.000625673
Kif5b,0.197656299,0.000696888
Rbm15b,0.198048277,0.036822344
Ptpn12,0.198053736,0.015796524
Cklf,0.198282443,0.047862788
Bicc1,0.198754998,0.003379017
Lsm2,0.199254511,0.004743557
Mrps28,0.200440313,0.021032631
Smim20,0.20102478,0.001808259
Atp13a3,0.20125086,0.009023705
Zfp638,0.201340944,0.003802373
Scpep1,0.201554591,0.015799512
2610301B20Rik,0.202008698,0.010425745
Usb1,0.202133506,0.04986138
Itgav,0.202186925,0.000608927
Dhx16,0.20223916,0.005987902
Lrrc59,0.202356775,0.00836331
Rfk,0.202596126,0.024757477
Slmap,0.202832162,0.015371372
Sema4d,0.202833072,0.024477466
Ranbp2,0.20291691,0.011071857
Snx33,0.20292687,0.005235438
Stk19,0.203586865,0.009590475
Fip1l1,0.203709846,0.0000312
Cyfip1,0.203766482,0.001367974
Thoc6,0.20426205,0.027145634
Rpl32,0.204263368,0.026303371
Tsfm,0.204291737,0.008866731
Nfe2l1,0.204841945,0.046408167
Fam89b,0.205903844,0.006150285
Zfp281,0.20591297,0.004010972
Hspd1,0.205918784,0.039069985
Sumf1,0.206260887,0.033714245
Nova1,0.206447061,0.047787292
Ccdc86,0.207048523,0.012094031
Gnb5,0.207536581,0.009571012
Wdsub1,0.208050683,0.047288366
Thyn1,0.208230593,0.022449943
Rpf2,0.208269598,0.007711578
Pbdc1,0.208709089,0.000088
Birc6,0.209266599,0.000428562
Gusb,0.209468875,0.022413159
Abca8b,0.209587137,0.01070698
Chpf2,0.209858379,0.016277237
Hs3st1,0.21028035,0.001130273
Smyd2,0.210640244,0.005019839
Smc4,0.210943775,0.003737257
Ctps,0.211073487,0.023898924
Bola1,0.211432016,0.004620939
9330182L06Rik,0.211618389,0.017002426
Tars,0.21193147,0.013565121
Ankrd49,0.212258695,0.007406779
Nenf,0.212681807,0.000153216
Fbxo18,0.212906917,0.007005462
Tmem120a,0.213081088,0.025185074
Tyw5,0.213119946,0.002064637
Fbxo36,0.213549136,0.004390551
Efcab2,0.214053103,0.048996971
Akt1,0.214058514,0.017067039
Amdhd2,0.214066049,0.017733486
Pcsk1n,0.214079839,0.038513112
Ubtf,0.214327026,0.000159356
Fdx1l,0.214435751,0.00764356
Zscan26,0.215040486,0.015306389
Selenom,0.215139725,0.001226097
Ric1,0.215255959,0.041088276
Plekhm2,0.215327477,0.002631729
Extl3,0.215992441,0.007404223
Sec23ip,0.216069087,0.000526122
Map1s,0.216203067,0.032865822
Nop14,0.216689334,0.001262925
Rtkn2,0.217394002,0.03024581
Nmi,0.217690534,0.022131018
Arf6,0.218190741,0.022574886
Scfd2,0.218477843,0.011126413
Elmsan1,0.218939299,0.006224686
Rhoq,0.219013227,0.000406117
Mrpl49,0.219073888,0.002194578
Map1b,0.219751461,0.017753875
Snx24,0.219768044,0.002819613
Pole4,0.220190035,0.040945474
Hscb,0.220591522,0.019791723
Zfp51,0.220984288,0.043099651
Mrps34,0.221062834,0.00074842
Surf2,0.221068008,0.003682562
Map9,0.221196806,0.035284745
Rplp1,0.221327598,0.039836716
Pusl1,0.221625123,0.010618643
Opalin,0.221772396,0.017355382
Smtn,0.221869569,0.041818438
Arl13b,0.222565451,0.0000623
Ddx50,0.222632451,0.001291697
Tmc7,0.222777853,0.000339009
Sqstm1,0.22328021,0.002353775
Cmtr1,0.223335994,0.003090893
Cdkn2c,0.223780006,0.01697589
Impact,0.223861773,0.000705603
Irak1,0.224290837,0.004184597
Pkig,0.224349347,0.000958907
Ncoa7,0.224879881,0.000960615
Rasa3,0.225083548,0.00027116
Tpp2,0.225185538,0.000868569
Polk,0.22531638,0.015531369
Samd4b,0.22553502,0.02554069
Wdr12,0.225765836,0.010856906
Coro1c,0.226031172,0.000292425
Ppp2r5a,0.226467271,0.000706222
Nup98,0.226945586,0.013735044
Zfhx2,0.227315948,0.030859104
Rab28,0.227349904,0.003654631
Gar1,0.227399732,0.000116166
AI413582,0.228180457,0.008199051
Ick,0.228204718,0.000136438
Tmem251,0.22826939,0.001559877
Cpeb4,0.228288826,0.000713826
Tigd2,0.228473365,0.001113583
Tmed10,0.228487073,0.009008415
Arfgap3,0.228839926,0.002209439
Atad3a,0.22898462,0.004719866
Ciz1,0.229114668,0.002530585
Rusc2,0.229157072,0.000757533
Tsr3,0.229496309,0.004679158
Lenep,0.2298055,0.03680942
Nfkbil1,0.230343953,0.004017201
Smarcad1,0.230728467,0.001260378
Katnb1,0.230944543,0.017493093
Gtf2a2,0.231186464,0.00019033
H3f3a,0.231418283,0.048175341
Cdc42se1,0.231569418,0.000107133
Dst,0.231828059,0.0000957
Raph1,0.231871322,0.03515527
Kifc3,0.231901037,0.023690828
Commd3,0.232337942,0.00041123
Actb,0.232348107,0.018502649
Arap1,0.232609415,0.003212758
Tfdp1,0.234023528,0.037671943
Chchd5,0.234103932,0.007463497
Fbxo38,0.235499552,0.00011663
Lrp12,0.235808016,0.021006137
Trpm7,0.236051771,0.001088594
Brdt,0.236117889,0.000366078
Slc16a7,0.236628054,0.001291359
Ddx23,0.236837316,0.019569897
Paip1,0.236856552,0.017759726
Erlin2,0.236866477,0.003320759
Dyrk1a,0.236966621,0.001515505
Ptbp3,0.237119185,0.0000836
Usp24,0.237205737,0.001231546
Kri1,0.237655188,0.002180829
Ddx27,0.238111842,0.000753258
Rrp9,0.238487098,0.003654631
Tpi1,0.239372699,0.009074085
Bhlhe41,0.239695399,0.028837804
Ube2e1,0.240371023,0.002368619
Twnk,0.240788575,0.013219607
Utp14a,0.241109659,0.000151056
Pnpt1,0.241115786,0.000522976
Mcam,0.241914674,0.036076572
D1Ertd622e,0.241939624,0.000103323
Atf4,0.242161738,0.009002022
Mfsd10,0.242480926,0.010195248
Cdkl3,0.243262863,0.035390258
Rela,0.243304449,0.000142827
Ggct,0.244359558,0.00027305
Ppan,0.244800092,0.006642036
Rars,0.245200924,0.003021467
Sox2,0.245341406,0.019799279
Pak4,0.245421203,0.004972422
Ef1,0.245860127,0.007902912
Spidr,0.246017708,0.006842757
Sgf29,0.246382353,0.002059947
Abce1,0.246634847,0.003077432
Psmg4,0.246675143,0.004300235
Ufsp1,0.246996414,0.014838936
Ascc2,0.247006848,0.006431556
Endod1,0.247448105,0.000011
Pola1,0.247901252,0.014285308
Ago2,0.248644534,0.002149223
Hmgn1,0.248661984,0.000860793
Polr2h,0.249099262,0.001688417
Stx2,0.249155044,0.014714335
Dhx37,0.249243788,0.017445803
Stn1,0.249606666,0.011043602
Hsf2,0.249620816,0.011559363
Mgat4b,0.249766818,0.00716114
Tsc2,0.249980763,0.000011
Idua,0.250227947,0.022413159
Rprd1a,0.250424261,0.00740389
Cyb5r3,0.250530502,0.004561272
Nthl1,0.251249723,0.001896484
Yme1l1,0.251353676,0.0000117
Zmiz1,0.251924065,0.000381514
Plgrkt,0.251995119,0.000728261
Slc24a5,0.252315548,0.011410967
Oxsr1,0.252388552,0.001309005
Slx4ip,0.252759966,0.022472469
Serinc5,0.252873847,0.00015297
Hspb2,0.253578453,0.041732504
Mef2d,0.253581723,0.000482527
Timm10,0.253814438,0.001016593
Bop1,0.253911807,0.000530007
Acap3,0.254651949,0.003383005
Btf3l4,0.255866941,0.03446714
Pym1,0.256157712,0.010468593
Gba,0.256414942,0.004522448
Htra3,0.256755245,0.014507955
Ddhd1,0.256774551,0.00000415
Bicra,0.2570022,0.002696349
Ywhag,0.257054026,0.00000616
Msn,0.25735562,0.018307809
Fam107b,0.258287579,0.022802795
Lonrf1,0.258359074,0.001319168
Manba,0.258482619,0.04403488
Nsun6,0.259004792,0.003212758
Mcu,0.259416408,0.030210815
Sptan1,0.260147335,0.0000926
P4hb,0.260169689,0.0000426
Il6st,0.260659375,0.0000115
Tstd2,0.261785624,0.004283267
Prdm2,0.262550236,0.002581212
Supt16,0.262590423,0.000112584
Malsu1,0.262990577,0.000203384
Arc,0.263018778,0.027015425
Nek9,0.263580892,0.000405636
Card10,0.26365719,0.04798946
Ccdc9,0.263772688,0.005560385
Brd2,0.263954827,0.00020545
Stk24,0.264718887,0.010304186
Grwd1,0.26493311,0.014650086
Zfp36l2,0.265518515,0.04052302
Lcmt2,0.265917107,0.029649896
Kras,0.266149952,0.00000864
Mri1,0.266232319,0.005439656
Nol9,0.266466486,0.027875853
Zfp365,0.266764463,0.000530721
Zfp583,0.267154945,0.016157165
St6gal1,0.267460112,0.0000331
Smc2,0.267808169,0.000246572
Ccdc167,0.267956095,0.003097597
Polr3b,0.268061002,0.005890092
Nfasc,0.268653362,0.0000179
Add1,0.268725601,0.00000571
Tatdn1,0.26894176,0.002874078
Ascc3,0.26916282,0.0000658
Sirt6,0.269378255,0.006521442
Zkscan1,0.269998242,0.0000269
Epha4,0.270308762,0.009381919
Mapk14,0.270604099,0.000063
Tgfbi,0.270945623,0.005385777
Rb1,0.271004448,0.0000146
Srbd1,0.272478051,0.001023967
Plcb4,0.272524653,0.004911448
Usp53,0.27263787,0.004470843
Fkbpl,0.273577565,0.025134454
Josd1,0.274399923,0.001834998
Myo5a,0.274668303,0.000339721
Dock1,0.274716305,7.14E-09
Olig2,0.275186328,0.0000174
Rai1,0.275284641,0.007760683
Gtpbp3,0.275310653,0.003301964
Cars,0.275526137,0.009321116
Lrrc4,0.276163623,0.016424137
1700025G04Rik,0.276317835,0.001339611
Zrsr1,0.276382427,0.000536114
Rps19,0.276643246,0.013813469
Rbm45,0.276681282,0.013147424
Lsm10,0.276902104,0.000347172
Ero1l,0.277003525,0.000390846
Prepl,0.277203346,0.021032631
Tra2a,0.27731947,0.000120037
Zbtb41,0.277345446,0.001834998
Tceal3,0.277558539,0.036076572
Gpx1,0.277585523,0.027800301
Odf2l,0.277858612,0.004032584
Tesk1,0.279473951,0.007474316
Myo18a,0.279659859,0.001132609
Polr3g,0.279690716,0.033055146
Zdhhc21,0.280634719,0.009490261
Wdr4,0.280874565,0.006187076
Ifrd1,0.281252304,0.000825273
Rcor1,0.281955261,0.000848338
Rpl18,0.282154,0.013428567
Yes1,0.282337651,0.012528226
Usp6nl,0.282352164,0.000115656
Tinf2,0.282481695,0.002357114
Cyp2u1,0.282553035,0.005113512
Smcr8,0.282802634,0.011907291
Fundc2,0.283073402,0.000000573
Mroh1,0.283175095,0.037362704
Ttc27,0.283316885,0.021224791
Myef2,0.28350748,0.000522129
Fndc3a,0.284010628,0.000432829
Inip,0.285160178,0.00102761
Thumpd3,0.28533995,0.002725353
Zfp426,0.285861886,0.000594175
Dph5,0.285880917,0.00000705
Pih1d1,0.28616417,0.000270536
Rpl19,0.286249874,0.049146503
Slc20a1,0.28657995,0.02498976
Tdrd7,0.28676911,0.0000387
Cbfb,0.286841458,0.014451028
Ddx10,0.286871718,0.000960615
Socs5,0.287461742,0.0000315
Rrp15,0.287549846,0.000937812
G6pdx,0.287553847,0.004558871
Ttc37,0.288183813,0.001849097
Osbpl9,0.289043859,0.010625367
Crem,0.289332049,0.006693579
Clcn7,0.289439227,0.000239818
BC005561,0.289459878,0.00000021
Skil,0.289470377,0.006146795
Lpin1,0.289502547,0.0000335
Apobr,0.289618106,0.029245983
Klf6,0.289760166,0.004345298
Pcdh17,0.2898508,0.0000883
Flnb,0.290052105,0.0000381
Znrf1,0.29005606,0.0000339
Sac3d1,0.290102242,0.001522554
Dcxr,0.290345136,0.008255173
Adamtsl1,0.290661887,0.000000718
Dis3,0.290699549,0.014888343
Sik3,0.291268097,0.0000163
Rabggtb,0.291301644,0.0000475
D6Wsu163e,0.292079194,0.000435259
Prkab2,0.292429061,0.037264747
Zmat3,0.292974862,0.007382043
Armcx3,0.29299046,0.009676745
Vwa1,0.293110672,0.014462953
Dcaf15,0.293322677,0.006562535
Pinx1,0.293354296,0.000135019
Capn2,0.293367099,0.000943704
Nubp1,0.293627811,0.00041989
Senp2,0.293667319,0.000185365
Rpain,0.293796911,0.0000111
Sowahc,0.2946704,0.014218371
Dclk2,0.294948648,0.014818423
Grb14,0.296694688,0.00000826
Cic,0.297005958,0.000000142
Kti12,0.297107449,0.003380934
Rnf19b,0.297477793,0.002986281
Rdh10,0.297869612,0.010122665
Ttc9,0.298429053,0.00012771
Hdac7,0.299653942,0.0000241
Hirip3,0.299944615,0.001579353
Tgfbr1,0.300204289,0.000650937
Pcbd2,0.300741704,0.001265786
Mnt,0.300899891,0.00029915
Iars,0.301029117,0.0000365
Rrs1,0.301827907,0.00000816
Cyfip2,0.302118324,0.000925535
Fbxl15,0.302395769,0.002986281
1110008P14Rik,0.302449909,0.0000439
Cerk,0.302749512,0.000193775
Utp4,0.302819787,0.00478478
Psmc3ip,0.303068379,0.018118108
1600002K03Rik,0.30322808,0.011286446
Rnf122,0.303641524,0.006678097
1810009A15Rik,0.303960423,0.036551829
Arl16,0.304135903,0.009189171
Arhgap15,0.304319268,0.029180724
Kif5c,0.305047567,0.000133638
Rell1,0.305099025,0.00000442
Xpot,0.306526998,0.00296134
Shq1,0.306528186,0.028384022
Ocel1,0.307033834,0.002573487
Thg1l,0.308179525,0.035223571
Dpp7,0.308242648,0.001450368
A830080D01Rik,0.308994312,0.0000207
Onecut2,0.309490359,0.003470407
Prdm5,0.309558124,0.002547121
Blvrb,0.310309706,0.002249787
Gne,0.311098869,0.000743325
Gm42742,0.312418276,0.00000128
Trp53inp1,0.312809025,0.005309842
Enkd1,0.312819954,0.030230197
Map1lc3a,0.313803611,0.000000102
Marf1,0.313967327,0.005274621
Wdr36,0.314264875,0.000676104
Idnk,0.314283332,0.000201916
Lmln,0.314649431,0.021390858
Rrn3,0.314736562,0.0001254
Ftsj3,0.314816713,0.0000725
t6,0.315342352,0.000231943
Rsad1,0.316862866,0.036452032
Wtap,0.318115402,0.005995931
Zranb3,0.318296913,0.032431974
Wdr75,0.318544367,0.0000561
Scrn1,0.318598146,0.000000501
Zfp672,0.318672181,0.000245491
Il33,0.319395109,0.013901577
Ikbkg,0.31941209,0.000294221
Vangl1,0.320119285,0.011733898
Add3,0.320508264,0.00000188
Abhd11,0.321981983,0.001434469
Zbtb4,0.322078859,0.000259334
Mettl1,0.32246428,0.001128361
Mgat5,0.322547383,0.000703373
Gpcpd1,0.322756316,0.000011
D17H6S53E,0.322779978,0.018886945
Gfer,0.322981597,0.000116608
Rfx1,0.323919487,0.007997287
Rnf31,0.325881516,0.000806714
Mtmr2,0.326160545,0.0000279
Ppp2r2a,0.326447444,5.22E-08
Gnl3,0.326585256,0.00000296
Ahdc1,0.326941456,0.002122793
Sytl2,0.327150997,0.00011663
Ifi27,0.327233961,0.004130943
Zfp142,0.32742634,0.002259205
Chml,0.330620407,0.037346674
1110008L16Rik,0.33290076,0.020314893
Oxsm,0.333538575,0.002544809
Djb1,0.334422242,0.005890092
Brca2,0.335442135,0.004300235
Nol10,0.335758457,0.002285673
Prorsd1,0.33609041,0.000368111
Fam213b,0.336788436,0.000732573
Lix1l,0.33719307,0.009665217
Trmt10a,0.337580954,0.006188763
Nufip2,0.337699271,0.00000571
Tvp23a,0.338738892,0.014856679
Heatr1,0.339602727,0.001808259
Tulp4,0.339614157,0.000289552
Erbin,0.342577809,0.0000022
Larp7,0.344259192,0.00000804
Pvr,0.344331126,0.015717722
Apc15,0.345609452,0.001831618
Cstb,0.34591296,0.00000877
Aldh16a1,0.346537668,0.001147357
Tpm4,0.34662965,0.0000285
Gas2l1,0.34686699,0.000231339
Wsb1,0.346891528,0.000041
Znfx1,0.348646057,0.000000376
Uspl1,0.348785355,0.0000732
Xrcc5,0.349824992,0.0000319
Zfp628,0.349907702,0.007810429
Cyp3a13,0.351098802,0.021139261
Dtx4,0.35146727,0.01353211
Tbc1d4,0.351982728,0.024006281
Cac2d1,0.352125347,0.000193775
Rnft1,0.35319559,0.000328359
Flot1,0.353309835,0.001697523
Gpatch4,0.35420129,0.000231943
Nfkbia,0.354700188,0.008890761
Sgpl1,0.35525164,0.00000715
Mcl1,0.355325802,0.0000127
Ly96,0.356049738,0.006042424
Lrrc8b,0.356379316,9.88E-08
Ctsb,0.356765685,0.006156042
Pprc1,0.357572124,0.001060294
Rbm15,0.357713252,0.0000793
Stk40,0.359090307,0.004549304
Lypla2,0.359151068,0.0000226
Coa4,0.359415355,0.000175222
Galnt2,0.361134213,0.0000108
Rpgrip1,0.363794101,0.00146354
Noa1,0.365316714,0.0000522
Ncor2,0.365370006,0.00000277
Fbl,0.365740259,0.024119545
Nlgn2,0.366383752,0.000719843
Mtr,0.366790895,0.021698272
Nop58,0.37027741,0.0000111
Bmp2k,0.370641998,0.0000101
Zfp407,0.371185177,0.000291801
Sec24d,0.371748622,0.004690874
Rfx5,0.37177843,0.029133198
Kc2,0.372034023,0.0000715
