symbol,LogFC,FDR
Ppp1cc,-0.533577422,0.002194578
Rnd3,-0.5333183,0.003949283
Ttyh1,-0.533015728,0.001209625
Omg,-0.52925232,5.50E-12
Ldb3,-0.527038556,0.000000302
Phgdh,-0.523977381,0.001127768
Ccdc28b,-0.522458728,6.63E-08
Hacl1,-0.520488802,0.0000273
Slc25a29,-0.520156415,0.00000207
Pank1,-0.518687035,0.039069985
Tmem178b,-0.515631501,3.78E-09
Nipa1,-0.515141907,0.000000599
Gpsm2,-0.514408117,1.07E-08
Bfsp1,-0.51419193,0.015531369
Psat1,-0.513363811,4.71E-09
Tmem56,-0.511645282,0.00000177
Dapk2,-0.510837172,0.000000145
Aldh1a1,-0.510803966,0.011188235
Gstm5,-0.510048826,1.03E-09
Gramd4,-0.509502583,0.002936478
Pde4a,-0.508837648,0.0000165
Otud7a,-0.506503888,0.000000768
Klf15,-0.506458643,0.000137111
Pcyt1b,-0.502668868,1.77E-08
Fdft1,-0.501827915,0.0000145
Myh14,-0.501363105,4.42E-11
Sapcd1,-0.500824861,0.00107051
Fam131b,-0.500301332,1.09E-08
Smox,-0.499689117,3.66E-10
St3gal4,-0.499471449,0.00000558
44446,-0.496210518,0.000000146
Sparcl1,-0.49565302,0.000562689
Asrgl1,-0.492652346,7.27E-14
Stau2,-0.491549932,0.00000715
Elovl7,-0.490332,6.31E-11
Nectin1,-0.489819873,0.00000953
Sp7,-0.488013227,0.000604927
Shroom3,-0.486983255,0.0000719
Apbb2,-0.486862763,2.26E-12
Dusp23,-0.486810352,2.62E-08
Dsel,-0.486292465,0.0000367
Faah,-0.485542504,0.018035407
Slc4a10,-0.484241751,0.001675655
Lingo2,-0.482426257,0.001113583
Elovl5,-0.481620697,4.93E-12
Klhl40,-0.480907931,0.000229236
44447,-0.480409877,2.87E-15
Siah2,-0.480292162,0.000000763
N4bp2l1,-0.479882254,0.0000901
Stard4,-0.476833456,0.017048263
Vangl2,-0.476638967,0.0000196
BC026585,-0.476409186,0.0000413
Syne3,-0.476089686,0.002986281
Enho,-0.475884978,0.000000212
Scrg1,-0.472578311,0.023223893
Thrsp,-0.472058559,0.000117667
Psen2,-0.470571544,0.000000391
Fgfr2,-0.469868394,0.00000106
Fah,-0.469413309,8.25E-09
Pon2,-0.468527328,5.16E-10
Rab4a,-0.466388906,0.000000174
Fam213a,-0.465204657,9.85E-08
Ankrd37,-0.464440938,0.006370503
Sqle,-0.464132249,0.000849754
Plekhf1,-0.461764569,0.00725093
Zfp771,-0.460770917,0.0000422
Slco3a1,-0.460633295,1.96E-09
Tmem169,-0.459797719,0.00063806
Traf3ip2,-0.459523348,0.010091164
Apln,-0.459078818,0.000000507
Sh2b2,-0.458847769,0.005336999
Osbpl5,-0.45876482,0.000143458
Gjc2,-0.458636672,0.00043904
Ly6g6d,-0.456343508,0.000104621
Vmp1,-0.454076498,3.15E-08
Dach2,-0.452394531,0.000802627
Abhd6,-0.452356223,0.000000599
Gca,-0.452130135,0.00000409
Tst,-0.451993913,0.0000158
Ctdspl,-0.451000955,0.00000106
Tmem38b,-0.45053613,1.22E-11
Klhl5,-0.450330336,0.0000109
Syn1,-0.449152376,0.000462225
Gk5,-0.448580001,0.011848032
Macrod1,-0.448266145,0.00000282
Cep68,-0.447517105,0.000000376
Rdh12,-0.446923866,0.000352656
Ipp,-0.446348709,0.0000275
Hsd17b11,-0.445172187,0.000000224
Rhebl1,-0.443823184,0.000300395
Ttyh3,-0.442400102,0.015286716
Dopey2,-0.44217526,4.62E-08
Map7d2,-0.44210134,0.0000413
E330009J07Rik,-0.441287944,0.00000713
Stard3,-0.441086182,5.81E-10
Celsr2,-0.440791696,0.00000386
Ephb1,-0.440771142,5.88E-11
Tmem220,-0.440405946,0.0000543
Slc25a47,-0.439994923,0.004547782
Zfp462,-0.438487473,0.000000477
Crlf3,-0.438300062,0.00000215
Tbc1d30,-0.43814294,0.003234076
Mkrn3,-0.437012663,0.010766951
Mfsd13b,-0.436540576,0.012095266
Fsd1l,-0.434352198,0.00000222
Pigz,-0.433734911,0.00000405
Cblb,-0.432654977,0.0000365
Gi1,-0.431770767,6.31E-11
Gm996,-0.43117838,0.007842651
Tmprss5,-0.430255131,0.0000436
Acot1,-0.429752021,0.00000833
Ppp1r9a,-0.428726245,0.000000472
Limk2,-0.428403806,0.0000022
Epb41l3,-0.42689965,0.000718718
Scarb1,-0.425863071,0.021446881
Cpm,-0.425745119,0.00000722
Mthfd2l,-0.425723158,0.000886666
Epdr1,-0.425694095,0.000000517
St3gal5,-0.423499247,0.0000248
Cyp51,-0.423445294,0.000638975
Pmepa1,-0.423218015,0.002936478
Tirap,-0.421559383,0.000000216
Mfsd13a,-0.42151354,0.00000804
Zcchc24,-0.420909386,8.03E-09
Fscn1,-0.420825511,0.000000446
Hsd17b10,-0.418447332,4.48E-12
Caskin1,-0.418071247,0.044249967
Aldh9a1,-0.417592067,8.92E-08
Fbxo44,-0.417326545,0.000000021
Elovl1,-0.417021408,0.00000137
Rbm11,-0.416852717,0.002626031
Fam161b,-0.415981663,0.000237947
Daam2,-0.415711708,0.0000118
Grm3,-0.415496699,0.001768619
Rnf112,-0.413916009,0.000023
Zfp867,-0.412898064,0.012893609
Appl2,-0.412285798,3.71E-10
Mtus1,-0.411498657,4.54E-09
Sox12,-0.410620178,0.003944024
Gramd3,-0.408789608,0.000000474
Padi2,-0.408555733,0.0000121
Dock9,-0.408112947,2.19E-08
Kif6,-0.407873009,0.000275456
Abca6,-0.407703801,0.00053765
Plekhh1,-0.407421907,0.00000538
Atl1,-0.407264026,0.000000121
Sc5d,-0.406882132,0.0000103
Fa2h,-0.406083069,0.000094
Dact3,-0.405539344,0.00000209
Opcml,-0.404569968,0.002419953
Slc24a3,-0.404228427,0.008848989
Kctd3,-0.404141495,2.33E-11
Mgst3,-0.403849979,0.00000442
Abhd3,-0.402958175,0.0000936
Pfkl,-0.402754617,0.014488431
St6galc3,-0.402724472,0.0000137
Slc6a1,-0.402584714,0.0000678
Acsl1,-0.401957549,1.80E-09
Laptm4b,-0.401251796,0.0000273
Hmox2,-0.401089631,1.16E-10
Rab11fip4,-0.401070649,0.00000522
Efcab14,-0.400849035,5.19E-11
Acy1,-0.398602328,0.00000531
Gpr85,-0.398147688,0.0000106
Hmgcs1,-0.397583501,0.011808406
Zyx,-0.397567188,0.0000293
Emilin2,-0.397338184,0.0000646
Il17rb,-0.396950345,0.003129675
Rnf208,-0.396506013,0.00021109
Slc25a13,-0.396051044,0.000000236
Cmtm5,-0.395885251,0.0000155
Glrb,-0.394297046,0.000000774
Strn,-0.394087918,0.0000725
Tarbp1,-0.392892116,0.003557388
Hhatl,-0.389766814,0.003565194
Gng8,-0.389713842,0.000217551
Gpsm1,-0.389530987,0.00000435
Arhgap21,-0.388263154,0.0000122
Pcx,-0.386017983,0.0000296
Ap5z1,-0.384771997,0.000000184
