gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster
Fgfr2,3.28E-47,0.378930722,0.699,0.472,8.2E-43,3
Gpr183,1.05E-24,0.373532789,0.287,0.16,2.64E-20,3
Kcnma1,1.27E-20,0.367090563,0.458,0.314,3.18E-16,3
Gm2245,1.93E-29,0.363829058,0.577,0.398,4.84E-25,3
Atp6v1c1,3.45E-39,0.363727883,0.273,0.129,8.64E-35,3
H2-D1,1.41E-34,0.362370526,0.318,0.169,3.52E-30,3
Cux1,4.37E-36,0.361663016,0.639,0.439,1.09E-31,3
Susd6,2.91E-38,0.351671322,0.409,0.234,7.29E-34,3
Csnk1g3,2.74E-39,0.350388367,0.256,0.122,6.86E-35,3
Sat1,2.3E-29,0.347505277,0.469,0.3,5.76E-25,3
Gls,2.75E-43,0.346929848,0.402,0.223,6.89E-39,3
Fnip1,6.3E-41,0.341070944,0.43,0.25,1.58E-36,3
Gm26573,8.88E-33,0.339363058,0.457,0.282,2.23E-28,3
Gm26917,3.71E-35,0.338962056,0.266,0.133,9.3E-31,3
Gm16599,4.26E-31,0.33864704,0.504,0.329,1.07E-26,3
Skap2,7.37E-35,0.338569361,0.663,0.468,1.84E-30,3
Elf2,1.41E-33,0.335957663,0.336,0.187,3.52E-29,3
Abhd12,2.01E-31,0.334393446,0.674,0.49,5.04E-27,3
Nsmce2,3.49E-30,0.33291249,0.369,0.217,8.73E-26,3
Anxa3,1.92E-33,0.332412736,0.6,0.41,4.8E-29,3
Traf3,1.46E-33,0.33231556,0.295,0.157,3.67E-29,3
Abr,2.29E-27,0.32948618,0.409,0.257,5.74E-23,3
Cdkal1,3.71E-34,0.328576719,0.429,0.261,9.28E-30,3
Rabep1,2.49E-34,0.327540096,0.428,0.259,6.23E-30,3
Tns1,1.31E-36,0.3270628,0.273,0.138,3.28E-32,3
Fyb,1.94E-27,0.326730145,0.774,0.655,4.86E-23,3
Abl2,1.7E-28,0.326125991,0.308,0.174,4.26E-24,3
Ddi2,3.33E-38,0.324566267,0.344,0.188,8.34E-34,3
Klhl6,6.69E-28,0.321275984,0.251,0.131,1.67E-23,3
Nptn,6.75E-39,0.317137757,0.423,0.25,1.69E-34,3
Sh3kbp1,7.51E-31,0.317072062,0.617,0.434,1.88E-26,3
Eml4,1.06E-21,0.315034786,0.494,0.345,2.65E-17,3
Xist,2.34E-22,0.312165673,0.562,0.408,5.86E-18,3
Clint1,1.11E-33,0.310826536,0.419,0.258,2.78E-29,3
Cd180,1.09E-25,0.308660809,0.411,0.263,2.73E-21,3
Arpc2,1.21E-27,0.307602315,0.341,0.203,3.03E-23,3
Gnaq,4.01E-32,0.301366374,0.701,0.516,1E-27,3
Ptk2b,9.12E-26,0.298295326,0.417,0.271,2.28E-21,3
H2-K1,1.6E-31,0.297021721,0.27,0.142,4.01E-27,3
Msn,4.71E-24,0.295057402,0.306,0.184,1.18E-19,3
Pvt1,1.99E-25,0.294866442,0.481,0.325,4.97E-21,3
Grb2,2.54E-24,0.293598324,0.418,0.275,6.36E-20,3
