gene,MG3,DAM
Arhgef2,0.123303292,-0.777167
Arhgef6,-0.168141827,-0.761524
Arid1a,-0.210740539,-0.739486
Arid1b,0.175941124,-0.489966
Arid4a,-0.298511911,-1.877448
Arid5b,0.680424127,-0.618396
Arih1,0.112967164,0.667986
Arpc1b,0.134978474,0.355297
Arrb2,-0.258752765,-0.964287
Arsb,-0.277544831,-0.345137
Asap1,0.23145932,0.912999
Ascc3,0.544668309,0.247
Asph,0.581880954,-0.161976
Asxl1,-0.250824745,0.176952
Atf6,0.276696858,-0.108876
Atf7,0.119250846,0.573044
Atf7ip,-0.161385581,-1.670538
Atg7,0.57303236,0.413461
Atp11c,0.152223525,1.588405
Atp1b3,0.238421037,0.921377
Atp2b1,0.261382731,-1.229721
Atp2c1,-0.160965221,-0.923585
Atp6v0a1,0.312628493,-0.538725
Atp6v0c,0.208441647,1.5362
Atp6v0d1,0.254025351,0.412399
Atp6v1a,0.544511005,1.110475
Atp6v1c1,0.327046315,1.115971
Atp7a,0.231977164,0.343076
Atp8a1,0.407248457,-0.295793
Atp9b,0.177053959,-1.006757
Atrx,-0.102163341,-0.704373
Atxn10,0.424791449,1.062343
Atxn7l1,0.144016746,-2.078771
Avl9,0.104361513,-0.637523
AW554918,-0.243896228,-0.778763
Axl,1.144184075,4.290287
B2m,0.290217125,1.374797
B4galt1,-0.126475362,-0.913787
Bach2,-0.16823405,-1.341521
Baz1a,0.113059259,-0.802166
Bbs9,-0.6827098,-1.328503
Bbx,0.190608807,-0.647098
BC005537,0.370489943,-0.288026
Bcl2,0.321124383,0.429636
Bcl2l1,0.581976292,-0.286433
Bcl9,-0.155498718,-2.31643
Bhlhe41,0.4032009,-0.110383
Bin1,-0.451005218,-1.170324
Bin2,-0.545301318,-1.735722
Blnk,0.252675032,-0.350984
Bmp2k,-0.267552085,-0.94647
Bmpr2,0.178198458,-1.060485
Btbd9,0.165943485,-1.383975
C1qa,0.125652929,-0.215596
C1qc,-0.113290252,-0.467267
Cab39,0.144017975,-1.056351
Cables1,-0.541688308,-0.341299
Cadm1,0.420387134,2.492552
Calm2,-0.245264246,-1.318877
Camk1,-0.18222247,-0.512593
Camk1d,-0.124821983,-0.39043
Cap1,0.183147492,-0.463559
Capn3,-0.731204667,0.299384
Cask,-0.319412994,-0.909845
Casp8,-0.198832028,-1.256593
Cbfb,0.141726004,-0.338537
Ccdc88a,0.476576672,1.850626
Ccdc93,-0.121120666,-1.026451
Ccm2,-0.235355427,-1.052858
Ccni,-0.148208496,-0.122447
Ccnl1,0.337120252,0.303943
Ccny,0.268519659,1.063098
Ccr5,-0.577852739,-2.340838
Cd180,0.343482745,1.147347
Cd300lf,0.729976647,-0.559787
Cd33,-0.442056439,-1.369259
Cd37,-0.138596153,0.359621
Cd48,0.63140505,1.208018
Cd63,0.664238808,2.326131
Cd68,0.429633829,1.339356
Cd74,1.403097255,2.020314
Cd81,-0.378530825,-0.1491
Cd83,0.712952942,2.817012
Cd84,0.799222912,0.399617
Cd9,0.645311956,2.06811
Cdk17,0.230842808,-0.313088
Cdk6,0.215845669,0.340109
Cebpz,-0.20209591,-0.621886
Celf1,0.116761346,-1.35619
Celf2,-0.429851696,-1.105926
Cep170,-0.206672743,-1.057007
Cept1,0.250812768,-0.819727
Cflar,-0.100847363,-0.42243
Chd4,0.161734033,-0.182504
Chd6,-0.177004521,-2.596881
Chd7,0.145759635,-0.324687
Chd9,-0.616062317,-2.494331
Chmp4b,0.214923261,0.502024
Chst11,0.77568608,1.251339
Clasp2,-0.221427355,-0.850848
Clint1,0.279073854,0.549927
Clk1,-0.115330391,-1.650599
Clk4,0.115186781,-1.146234
Cnot4,0.184272688,0.945304
Cnot6l,0.122316619,-0.313315
Col27a1,-0.754567062,-0.995361
Copa,0.178328262,0.611274
Coro1c,0.553156597,1.166986
Coro7,0.176401994,-1.702016
Cotl1,0.409535041,0.477058
Cpd,0.65450119,2.603934
Cpeb2,0.4322786,0.305416
Cpeb4,0.162248706,-0.712783
Creb3l2,0.441312575,0.871888
Crlf3,-0.145933492,-1.22971
Cryl1,-0.372568209,-1.008611
Csad,-0.305566174,-2.131512
Csf1,1.296763312,5.225405
Csf1r,-0.618430579,-0.468992
