gene,MG3,DAM
Ubash3b,-0.273423834,-0.508877
Ube2f,0.184125342,-0.981887
Ube2h,-0.124317217,-0.856094
Ube2k,0.102640538,-0.584401
Ubr3,-0.163157052,-0.188272
Ulk2,-0.451827637,-0.626876
Unc93b1,-0.174827344,-0.502722
Unk,0.166984031,-0.782029
Usp12,0.511214055,1.267177
Usp24,-0.458528815,-2.447961
Usp25,0.272325244,-0.292366
Usp37,0.133256938,-1.265649
Usp9x,0.140364097,-1.335416
Vapa,-0.100701159,-0.920541
Vav2,-0.275038121,-1.168038
Vdac2,0.230055749,0.787364
Vgll4,-0.173451981,-0.29127
Vmp1,0.120552605,-0.175943
Vps13b,0.141867905,-0.154863
Vps13c,0.767584239,1.090274
Vps41,0.102792107,-0.869957
Vps54,0.262084052,-0.264253
Wasf2,-0.41017938,-0.769992
Wdfy1,0.158353514,0.327876
Wdr37,-0.115869565,-0.296986
Wdr7,0.18171407,-0.285077
Wipf1,0.157974787,-0.918842
Wls,0.250622999,0.218497
Wnk1,-0.237785777,-1.179866
Wwox,0.117525779,0.117364
Wwp1,-0.136559826,0.795436
Xpr1,0.195337988,-0.280838
Xrn1,0.113596262,-0.332783
Zc3h12c,0.685427626,-0.283515
Zdhhc14,-0.533608572,-0.571003
Zeb1,-0.294420979,-1.905003
Zeb2,0.239843847,-1.097303
Zfand5,0.267279112,-0.694373
Zfc3h1,0.114448365,-0.348073
Zfhx3,-0.751231338,-1.976092
Zfp148,0.151116196,-0.748034
Zfp407,0.169153981,-3.513813
Zfp652,-0.1900603,-1.74004
Zfp710,-0.477997332,-1.790281
Zfp91,0.122082576,-0.264125
Zfr,0.11456344,0.482378
Zmiz1,0.236114552,-0.716931
Zmynd11,-0.238989532,-1.027942
Znfx1,0.359125532,-0.575213
Zranb2,-0.126859093,-0.268019
Zswim6,-0.117831371,-1.202358
