gene,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color,Average.UMI.per.cell..homeostatic.microglia.,Fold.change..DAM.to.homeostatic.microglia.,X.log10.DAM..p.value..Mann.Whitney.,DAM.FDR.p.value
Ranbp2,Ranbp2.1,2.25E-36,0.268941207,0.408,0.276,6.03E-32,red,0.059412,-1.018894,0.408629,0.383493
Rap2a,Rap2a,3.02E-33,0.24549029,0.271,0.168,8.09E-29,red,0.299118,0.392605,1.855405,1.323225
Rapgef5,Rapgef5.2,4.78E-158,-0.864632983,0.705,0.826,1.28E-153,blue,0.148235,-2.787766,3.547346,2.749325
Rasa1,Rasa1.1,1.49E-34,0.207145146,0.527,0.39,4.00E-30,red,0.211765,-0.156065,0.037094,0.222084
Rasa4,Rasa4.1,1.73E-33,0.356355588,0.371,0.235,4.64E-29,red,0.105,0.623645,0.453101,0.40708
Rassf2,Rassf2.1,2.17E-34,-0.344270623,0.299,0.323,5.82E-30,blue,0.277941,-0.548383,0.501432,0.433345
Rassf3,Rassf3.1,3.11E-95,0.662261188,0.57,0.307,8.35E-91,red,0.119706,0.420465,4.84817,3.908505
Rassf4,Rassf4,3.18E-18,0.199776087,0.279,0.198,8.53E-14,red,0.148235,-0.350902,0.170065,0.274964
Rb1cc1,Rb1cc1,3.29E-27,-0.128732633,0.347,0.314,8.82E-23,blue,0.168824,-2.52559,1.978662,1.419366
Rbm25,Rbm25,3.83E-34,0.13665514,0.733,0.599,1.03E-29,red,0.125,-0.577429,0.33331,0.35228
Rbm26,Rbm26,4.62E-28,-0.13318732,0.594,0.549,1.24E-23,blue,0.113529,-0.475093,0.429584,0.39419
Rbm39,Rbm39,1.78E-19,-0.141787619,0.851,0.827,4.79E-15,blue,0.770294,-1.077823,4.104286,3.240795
Rbm47,Rbm47.2,4.51E-51,0.454981636,0.706,0.514,1.21E-46,red,0.103235,-1.248326,1.25887,0.898938
Rbm5,Rbm5,1.76E-43,-0.232771874,0.516,0.493,4.71E-39,blue,0.208529,-0.817501,1.293672,0.922898
Rbpj,Rbpj.2,3.13E-49,-0.158928112,0.464,0.307,8.39E-45,blue,0.093529,-1.271467,0.43015,0.394165
Rcbtb2,Rcbtb2.1,6.77E-25,-0.18475613,0.44,0.421,1.82E-20,blue,0.249706,0.257159,1.417917,1.005367
Rcor1,Rcor1.1,8.07E-52,0.211896582,0.413,0.27,2.16E-47,red,0.053235,1.202481,1.159892,0.833034
