,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Sbf2,1.04E-61,0.049227713,0.476,0.311,2.61E-57
Lnpep,1.05E-61,-0.179289899,0.315,0.218,2.64E-57
Cyfip1,1.14E-61,0.123017994,0.491,0.31,2.85E-57
Mbnl2,1.16E-61,-0.032549704,0.476,0.334,2.89E-57
Slc7a8,1.18E-61,-0.075494988,0.371,0.245,2.95E-57
Map4,1.18E-61,0.086129711,0.486,0.316,2.97E-57
Asxl1,1.23E-61,0.063987366,0.334,0.196,3.09E-57
Snrnp70,1.36E-61,-0.208993716,0.56,0.442,3.41E-57
Ddx6,1.48E-61,-0.050839031,0.287,0.178,3.72E-57
Adam10,1.57E-61,-0.083575939,0.341,0.223,3.94E-57
Rab8b,1.59E-61,-0.060708991,0.425,0.293,3.97E-57
Gsap,1.60E-61,0.110442475,0.43,0.265,4.00E-57
Actr2,1.75E-61,0.033466402,0.382,0.238,4.39E-57
Celf1,1.78E-61,0.07276712,0.442,0.282,4.46E-57
Tnrc6b,1.86E-61,-0.103163412,0.482,0.35,4.65E-57
Fcho2,1.88E-61,-0.076589423,0.494,0.358,4.72E-57
Gm32036,1.93E-61,-0.103130387,0.474,0.335,4.83E-57
Abca1,1.99E-61,0.043783648,0.511,0.341,4.99E-57
Pafah1b1,2.66E-61,0.05411594,0.43,0.277,6.66E-57
Man1a,2.98E-61,-0.263810743,0.376,0.281,7.45E-57
Serinc3,3.31E-61,-0.191895881,0.613,0.491,8.29E-57
Rnf180,3.44E-61,0.09600818,0.488,0.314,8.62E-57
Grb2,5.39E-61,-0.014854161,0.389,0.255,1.35E-56
Mapk14,6.19E-61,-0.086314707,0.36,0.243,1.55E-56
Zmiz1,6.80E-61,-0.090535967,0.438,0.311,1.70E-56
Fam193a,6.85E-61,-0.05674726,0.346,0.224,1.72E-56
C1qc,8.57E-61,-0.132425703,0.603,0.454,2.15E-56
Prex1,8.70E-61,0.065003,0.427,0.274,2.18E-56
Tgfbr2,8.75E-61,0.102676323,0.515,0.337,2.19E-56
Vti1a,9.18E-61,-0.036240739,0.443,0.301,2.30E-56
Arhgap30,1.07E-60,-0.013566496,0.25,0.141,2.67E-56
Crlf3,1.14E-60,0.065173182,0.436,0.28,2.84E-56
Atp2c1,1.31E-60,-0.099115475,0.358,0.243,3.27E-56
Smarca2,1.33E-60,0.041055943,0.319,0.19,3.33E-56
R3hdm2,1.39E-60,0.015671189,0.312,0.181,3.49E-56
Myh9,1.50E-60,0.08578888,0.33,0.188,3.75E-56
Luc7l2,1.55E-60,0.159621776,0.653,0.446,3.88E-56
Cd81,1.65E-60,0.026154103,0.417,0.268,4.12E-56
Bptf,2.11E-60,-0.139209266,0.341,0.235,5.29E-56
Irak2,2.44E-60,0.103814202,0.453,0.289,6.11E-56
Evl,2.67E-60,0.175120845,0.416,0.244,6.69E-56
Smg1,2.98E-60,0.054738667,0.403,0.254,7.47E-56
Nsd1,3.26E-60,0.163916321,0.583,0.388,8.16E-56
Slc7a7,3.86E-60,0.13516974,0.298,0.156,9.67E-56
Asah1,4.29E-60,-0.076160677,0.269,0.166,1.08E-55
Prkcb,4.55E-60,0.082625923,0.603,0.415,1.14E-55
P2rx7,4.63E-60,-0.02835051,0.371,0.224,1.16E-55
Btbd9,4.72E-60,0.01623838,0.55,0.383,1.18E-55
Cerk,5.12E-60,0.117798432,0.453,0.287,1.28E-55
Zdhhc20,5.18E-60,0.155421359,0.291,0.148,1.30E-55
Mylip,5.44E-60,0.288419335,0.396,0.213,1.36E-55
Taok1,5.65E-60,0.277119292,0.351,0.178,1.41E-55
Ascc3,5.79E-60,0.244641587,0.387,0.209,1.45E-55
Psap,6.52E-60,-0.106751909,0.572,0.431,1.63E-55
Wsb1,6.61E-60,-0.005041016,0.303,0.184,1.65E-55
Sall1,6.88E-60,-0.36078175,0.28,0.228,1.72E-55
Gm5086,7.18E-60,0.02326885,0.362,0.222,1.80E-55
Peli1,8.41E-60,-0.186981189,0.383,0.274,2.11E-55
Maml2,8.61E-60,0.018246893,0.649,0.469,2.16E-55
