,Gene_symbol,Gene_ID
189,BMX,Bmx
190,LRCH2,Lrch2
191,MAP3K15,Map3k15
192,GNL3L,Gnl3l
193,PLXNB3,Plxnb3
194,PIR,Pir
195,PIN4,Pin4
196,CCDC22,Ccdc22
197,OGT,Ogt
198,SLC25A5-AS1,Slc25a5-As1
199,ALAS2,Alas2
200,FHL1,Fhl1
201,HTR2C,Htr2c
202,NXT2,Nxt2
203,CSAG1,Csag1
204,CXorf38,Cxorf38
205,TRO,Tro
206,FUNDC2,Fundc2
207,FUNDC1,Fundc1
208,CNGA2,Cnga2
209,SMIM10,Smim10
210,ATP7A,Atp7a
211,TRPC5,Trpc5
212,VBP1,Vbp1
213,TMEM255A,Tmem255a
214,ATRX,Atrx
215,AVPR2,Avpr2
216,FAAH2,Faah2
217,ASMTL,Asmtl
218,MSL3,Msl3
219,ZNF75D,Znf75d
220,SMC1A,Smc1a
221,RP2,Rp2
222,IL1RAPL2,Il1rapl2
223,IL3RA,Il3ra
224,IL1RAPL1,Il1rapl1
225,LANCL3,Lancl3
226,EFHC2,Efhc2
227,SLC25A5,Slc25a5
228,SLC25A14,Slc25a14
229,ZNF630,Znf630
230,SLC25A6,Slc25a6
231,NLGN3,Nlgn3
232,PRPS2,Prps2
233,PRPS1,Prps1
234,SMPX,Smpx
235,RPL36A,Rpl36a
236,KIAA1210,Kiaa1210
237,CXorf58,Cxorf58
238,HDAC8,Hdac8
239,LAGE3,Lage3
240,HSD17B10,Hsd17b10
241,HDAC6,Hdac6
242,ENOX2,Enox2
243,P2RY8,P2ry8
244,AWAT1,Awat1
245,SLITRK2,Slitrk2
246,P2RY4,P2ry4
247,HAUS7,Haus7
248,ARL13A,Arl13a
249,NHS,Nhs
250,RBBP7,Rbbp7
251,BEND2,Bend2
252,UBQLN2,Ubqln2
253,SLC35A2,Slc35a2
254,NLGN4X,Nlgn4x
255,GPKOW,Gpkow
256,IDH3G,Idh3g
257,MID1IP1,Mid1ip1
258,NDUFA1,Ndufa1
259,APLN,Apln
260,KLF8,Klf8
261,TMLHE,Tmlhe
262,MAGIX,Magix
263,LINC00106,Linc00106
264,BCOR,Bcor
265,CUL4B,Cul4b
266,ARR3,Arr3
267,HS6ST2,Hs6st2
268,UXT,Uxt
269,RPS6KA3,Rps6ka3
270,RS1,Rs1
271,C1GALT1C1,C1galt1c1
272,RPS6KA6,Rps6ka6
273,MAGEA8,Magea8
274,STS,Sts
275,POF1B,Pof1b
276,OPHN1,Ophn1
277,PDK3,Pdk3
278,VSIG4,Vsig4
279,MAGEA4,Magea4
280,TKTL1,Tktl1
281,CMC4,Cmc4
282,SLC6A14,Slc6a14
283,ACSL4,Acsl4
284,PPP1R3F,Ppp1r3f
285,RRAGB,Rragb
286,BTK,Btk
287,MAGEB3,Mageb3
288,MTCP1,Mtcp1
289,UPRT,Uprt
290,ZNF711,Znf711
291,BCORL1,Bcorl1
292,MXRA5,Mxra5
293,BEX4,Bex4
294,TMEM185A,Tmem185a
295,BEX2,Bex2
296,MAOB,Maob
297,MAOA,Maoa
298,MAGED1,Maged1
299,IGSF1,Igsf1
300,CSTF2,Cstf2
301,CD99L2,Cd99l2
302,TRMT2B,Trmt2b
303,BRCC3,Brcc3
304,LPAR4,Lpar4
305,PCDH19,Pcdh19
306,HTATSF1,Htatsf1
307,GSPT2,Gspt2
308,MORF4L2-AS1,Morf4l2-As1
309,APOO,Apoo
310,TSPAN6,Tspan6
311,TSPAN7,Tspan7
312,ARSH,Arsh
313,MAGEC3,Magec3
314,ZBED1,Zbed1
315,ARSF,Arsf
316,ARSD,Arsd
317,RBM10,Rbm10
318,GPM6B,Gpm6b
319,CDR1,Cdr1
320,TBC1D8B,Tbc1d8b
321,ZRSR2,Zrsr2
322,SRPK3,Srpk3
323,FAM9B,Fam9b
324,MAGEE1,Magee1
325,IQSEC2,Iqsec2
326,FAM9C,Fam9c
327,SLC10A3,Slc10a3
328,TREX2,Trex2
329,SH2D1A,Sh2d1a
330,RAB39B,Rab39b
331,AMMECR1,Ammecr1
332,SMARCA1,Smarca1
333,POLA1,Pola1
334,STAG2,Stag2
335,WNK3,Wnk3
336,MAGED2,Maged2
337,ITM2A,Itm2a
338,TENM1,Tenm1
339,COX7B,Cox7b
340,CCDC120,Ccdc120
341,CITED1,Cited1
342,GDI1,Gdi1
343,SH3KBP1,Sh3kbp1
344,CETN2,Cetn2
345,SUV39H1,Suv39h1
346,NKAP,Nkap
347,HCCS,Hccs
348,MAGT1,Magt1
349,ZCCHC18,Zcchc18
350,FMR1NB,Fmr1nb
351,CHRDL1,Chrdl1
352,EDA2R,Eda2r
353,BRS3,Brs3
354,SCML2,Scml2
355,SCML1,Scml1
356,ZMYM3,Zmym3
357,AKAP14,Akap14
358,IDS,Ids
359,CLIC2,Clic2
360,UTP14A,Utp14a
361,FMR1-AS1,Fmr1-As1
362,GRIPAP1,Gripap1
363,PCYT1B,Pcyt1b
364,TSC22D3,Tsc22d3
365,TFE3,Tfe3
366,GAB3,Gab3
367,SYP,Syp
368,ZFX,Zfx
369,RENBP,Renbp
370,RAB33A,Rab33a
371,SYN1,Syn1
372,ZDHHC15,Zdhhc15
373,PNMA6A,Pnma6a
374,CNKSR2,Cnksr2
375,RAP2C,Rap2c
376,ARHGEF9,Arhgef9
377,TLR7,Tlr7
378,HNRNPH2,Hnrnph2
379,VGLL1,Vgll1
380,CYLC1,Cylc1
381,ARHGEF6,Arhgef6
382,DNASE1L1,Dnase1l1
383,AMER1,Amer1
384,MAGEH1,Mageh1
385,PNCK,Pnck
386,WAS,Was
387,XIAP,Xiap
388,TXLNG,Txlng
389,PRICKLE3,Prickle3
390,PRKX,Prkx
391,AKAP4,Akap4
392,GUCY2F,Gucy2f
393,CD99P1,Cd99p1
394,DRP2,Drp2
395,TCEAL7,Tceal7
396,CPXCR1,Cpxcr1
397,SH3BGRL,Sh3bgrl
398,PGRMC1,Pgrmc1
399,TCEAL4,Tceal4
400,PTCHD1,Ptchd1
401,TCEAL2,Tceal2
402,CXCR3,Cxcr3
403,TCEAL1,Tceal1
404,SHOX,Shox
405,GPC3,Gpc3
406,GPC4,Gpc4
407,TBL1X,Tbl1x
408,RIBC1,Ribc1
409,GABRE,Gabre
410,PAK3,Pak3
411,HDX,Hdx
412,UBL4A,Ubl4a
413,MPP1,Mpp1
414,BCAP31,Bcap31
415,PNMA5,Pnma5
416,HUWE1,Huwe1
417,PNMA3,Pnma3
418,KLHL4,Klhl4
419,LHFPL1,Lhfpl1
420,XG,Xg
421,XK,Xk
422,CD40LG,Cd40lg
423,ZDHHC9,Zdhhc9
424,YIPF6,Yipf6
425,PNPLA4,Pnpla4
426,RAB9A,Rab9a
427,MAMLD1,Mamld1
428,RAB9B,Rab9b
429,OTC,Otc
430,OTUD5,Otud5
431,ERCC6L,Ercc6l
432,MAGEB18,Mageb18
433,MAGEB16,Mageb16
434,NRK,Nrk
435,PCDH11X,Pcdh11x
436,ARHGAP36,Arhgap36
437,AMOT,Amot
438,DOCK11,Dock11
439,ZNF81,Znf81
440,CAPN6,Capn6
441,RBMX2,Rbmx2
442,WWC3,Wwc3
443,FAM3A,Fam3a
444,SATL1,Satl1
445,G6PD,G6pd
446,MORC4,Morc4
447,RPL36A-HNRNPH2,Rpl36a-Hnrnph2
448,MMGT1,Mmgt1
449,RAP2C-AS1,Rap2c-As1
450,CASK,Cask
451,CYBB,Cybb
452,ATP1B4,Atp1b4
453,ALG13,Alg13
454,OCRL,Ocrl
455,MID1,Mid1
456,MID2,Mid2
457,MAP7D3,Map7d3
458,DKC1,Dkc1
