,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Csf3r,1.25E-13,0.132017803,0.442,0.473,3.13E-09
Gna15,1.28E-13,-0.007566527,0.209,0.251,3.20E-09
Ktn1,1.29E-13,0.191291097,0.243,0.252,3.24E-09
Cdk12,1.33E-13,-0.113114776,0.216,0.28,3.32E-09
Mllt10,1.33E-13,0.051306075,0.33,0.373,3.33E-09
Btbd9,1.35E-13,0.099328119,0.424,0.457,3.38E-09
Exoc6b,1.39E-13,0.026419673,0.25,0.295,3.47E-09
Adam10,1.57E-13,0.038736905,0.24,0.278,3.94E-09
Ppm1h,1.66E-13,-0.104162444,0.511,0.603,4.15E-09
Fam105a,1.75E-13,0.119822841,0.431,0.456,4.38E-09
Stag2,1.79E-13,0.079644993,0.229,0.259,4.48E-09
Bin1,1.80E-13,0.161401096,0.473,0.492,4.50E-09
Fbxo11,1.87E-13,0.02413748,0.234,0.276,4.68E-09
Gpatch8,1.92E-13,0.08598522,0.265,0.295,4.82E-09
Cradd,1.94E-13,-0.003669812,0.209,0.258,4.87E-09
Sdccag8,2.01E-13,0.176683226,0.246,0.255,5.04E-09
Arsb,2.04E-13,0.010353718,0.207,0.256,5.11E-09
Nktr,2.06E-13,0.091405376,0.241,0.27,5.16E-09
Gtdc1,2.17E-13,0.135198308,0.324,0.349,5.43E-09
Lgmn,2.18E-13,0.082939335,0.522,0.567,5.46E-09
Kmt2e,2.31E-13,0.117884519,0.289,0.311,5.78E-09
Clint1,2.31E-13,-0.091100889,0.264,0.329,5.79E-09
Rasa1,2.32E-13,-0.037970065,0.208,0.259,5.81E-09
Nfkb1,2.34E-13,0.020118394,0.329,0.381,5.86E-09
Ankrd17,2.34E-13,-0.037081159,0.295,0.356,5.87E-09
Thada,2.35E-13,-0.031721671,0.205,0.253,5.88E-09
Atp2c1,2.42E-13,0.12634721,0.262,0.285,6.07E-09
Tacc1,2.58E-13,0.094445958,0.387,0.421,6.46E-09
Gsap,2.68E-13,-0.006384245,0.321,0.377,6.71E-09
Akap13,2.75E-13,0.065521608,0.468,0.514,6.89E-09
Hnrnpa2b1,2.84E-13,-0.091997441,0.441,0.522,7.10E-09
