,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Itgbl1,5.46E-73,0.116185342,0.633,0.396,5.77E-70
Rnf182,2.16E-14,0.11510366,0.643,0.599,2.28E-11
Efna5,3.00E-33,0.113717929,0.551,0.394,3.17E-30
Gpr176,9.61E-174,0.113013817,0.243,0.551,1.01E-170
Syndig1,1.08E-170,0.112535449,0.907,0.571,1.14E-167
Gm48749,7.90E-11,0.110962249,0.453,0.405,8.34E-08
Vstm2a,2.81E-29,0.110327338,0.568,0.415,2.97E-26
Cables1,3.81E-51,0.108195931,0.276,0.417,4.02E-48
C1qa,1.02E-10,0.10815711,0.687,0.64,1.08E-07
Rhbdl3,3.26E-05,0.107396455,0.548,0.501,0.034408027
Nwd2,5.67E-33,0.106553621,0.269,0.373,5.99E-30
Gpc5,4.54E-17,0.105645607,0.773,0.674,4.80E-14
Rasgrp1,5.68E-54,0.104548747,0.708,0.496,6.00E-51
Pcsk5,1.23E-05,0.102365245,0.526,0.499,0.013030411
Grip1,1.24E-06,0.101120658,0.514,0.453,0.001309191
Ctss,7.46E-23,0.100440361,0.4,0.492,7.87E-20
Rad51b,9.02E-20,-0.105639097,0.583,0.472,9.52E-17
Shc4,6.02E-79,-0.107197478,0.188,0.429,6.36E-76
Cntn3,8.36E-13,-0.107874225,0.562,0.502,8.83E-10
Phka1,1.68E-08,-0.110076259,0.807,0.761,1.77E-05
Aldh1a1,1.54E-121,-0.112773191,0.961,0.725,1.63E-118
Atp10b,3.79E-36,-0.115470956,0.783,0.636,4.00E-33
Agbl4,1.38E-25,-0.118455678,0.372,0.52,1.46E-22
Cpq,1.12E-16,-0.118858154,0.603,0.491,1.19E-13
Alk,2.14E-23,-0.121317502,0.653,0.538,2.26E-20
Wnt5b,1.11E-137,-0.12322636,0.967,0.709,1.17E-134
Parm1,4.59E-51,-0.124786912,0.915,0.768,4.84E-48
Lrmda,2.32E-134,-0.125006756,0.964,0.717,2.45E-131
Trps1,2.76E-09,-0.126449946,0.802,0.748,2.91E-06
8030442B05Rik,1.59E-147,-0.131843004,0.921,0.622,1.68E-144
6530403H02Rik,1.19E-253,-0.132260561,0.137,0.591,1.25E-250
Lpar1,1.57E-99,-0.132596283,0.991,0.817,1.65E-96
Ptprt,7.56E-95,-0.136124448,0.221,0.497,7.98E-92
Col9a3,4.96E-35,-0.141187517,0.787,0.646,5.23E-32
Grik1,3.98E-25,-0.14875469,0.538,0.679,4.20E-22
Tox,2.29E-42,-0.163643257,0.289,0.475,2.42E-39
Enpp6,1.39E-46,-0.16678859,0.821,0.662,1.47E-43
Slc35f4,2.31E-15,-0.168911694,0.699,0.622,2.44E-12
Rnf220,2.06E-100,-0.171728447,0.998,0.922,2.18E-97
Nkx2-2os,1.00E-07,-0.183049129,0.58,0.647,0.000106124
4930419G24Rik,2.18E-19,-0.193539712,0.875,0.854,2.30E-16
Prox1,9.52E-06,-0.194457323,0.837,0.826,0.010056053
4930587E11Rik,6.23E-08,-0.200174054,0.598,0.598,6.58E-05
Gm13052,4.12E-111,-0.200479477,0.969,0.784,4.35E-108
Plcb4,7.46E-60,-0.201335687,0.787,0.602,7.88E-57
Lypd6,1.43E-73,-0.20355218,0.818,0.603,1.51E-70
Htra1,1.74E-23,-0.206415679,0.962,0.892,1.83E-20
Pde4d,1.30E-11,-0.211531231,0.669,0.605,1.37E-08
Cadps2,5.91E-44,-0.214854307,0.295,0.486,6.25E-41
Il33,1.91E-91,-0.222789505,1,0.873,2.02E-88
Arhgap15,3.10E-21,-0.226192368,0.437,0.565,3.27E-18
Unc5d,6.34E-44,-0.231093789,0.746,0.582,6.70E-41
Efr3b,2.35E-42,-0.235787621,0.477,0.664,2.48E-39
Ndrg2,9.23E-48,-0.236474615,0.345,0.547,9.74E-45
Lypd6b,2.25E-28,-0.236772662,0.69,0.587,2.37E-25
Shroom3,2.30E-54,-0.237495257,0.928,0.793,2.43E-51
Adamts6,3.56E-08,-0.241284583,0.643,0.664,3.76E-05
Sorcs1,1.27E-92,-0.255230921,0.993,0.888,1.34E-89
Fgf1,4.94E-117,-0.255939311,0.969,0.754,5.22E-114
Hhip,2.08E-118,-0.266099582,0.988,0.78,2.19E-115
Lama2,3.59E-53,-0.269759781,0.927,0.797,3.79E-50
Erbb4,3.17E-23,-0.270423395,0.825,0.912,3.35E-20
Tns3,1.02E-08,-0.287254089,0.735,0.766,1.08E-05
4930445B16Rik,4.25E-37,-0.289742196,0.703,0.566,4.48E-34
Adamtsl1,1.36E-73,-0.301587732,0.939,0.823,1.44E-70
