"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","symbol","LogFC","FDR"
"23","Dock5",7.19399417390535e-24,-0.473954151847018,0.771,0.786,7.59685784764405e-21,"Dock5",-0.306585922,0.000191217
"24","Efr3b",2.34565749428187e-42,-0.235787620549651,0.477,0.664,2.47701431396166e-39,"Efr3b",-0.7321611,7.16e-12
"25","Elmo1",5.820434426285e-97,-0.811069032092319,0.835,0.952,6.14637875415696e-94,"Elmo1",-0.153065536,0.020238444
"26","Enpp2",1.26727831195674e-96,-0.522206200448636,0.999,0.962,1.33824589742631e-93,"Enpp2",-0.209342398,0.009636171
"27","Enpp6",1.3900266589117e-46,-0.16678858973794,0.821,0.662,1.46786815181075e-43,"Enpp6",-1.179991452,9.59e-20
"28","Epb41l2",1.32081841815027e-11,0.204258884286957,0.595,0.66,1.39478424956669e-08,"Epb41l2",-0.323622066,9.02e-07
"29","Epb41l4a",2.07601372018445e-38,0.45032536365374,0.66,0.678,2.19227048851478e-35,"Epb41l4a",-0.70875012,2.98e-08
"30","Ermn",3.52520267069828e-45,-0.408848030893191,0.804,0.735,3.72261402025738e-42,"Ermn",-0.150696139,0.004010972
"31","Eya4",3.87461796264283e-07,0.32494006044152,0.656,0.632,0.000409159656855083,"Eya4",0.597898213,2.06e-08
"32","Fgd6",7.24292340462546e-07,0.174801949900101,0.562,0.514,0.000764852711528449,"Fgd6",-0.60929376,1.1e-05
"33","Fgf1",4.94162433700418e-117,-0.255939310953279,0.969,0.754,5.21835529987642e-114,"Fgf1",-0.628010494,1.26e-12
"34","Fign",2.89317967954584e-72,0.545475520394567,0.936,0.747,3.05519774160041e-69,"Fign",0.151208555,0.020326934
"35","Gfra1",1.94311052626602e-294,1.355488878141,0.519,0.452,2.05192471573692e-291,"Gfra1",1.163058237,1.09e-15
"36","Gjc3",5.9072726190189e-53,-0.622414498317593,0.8,0.86,6.23807988568396e-50,"Gjc3",-0.246154649,4.75e-05
"37","Glul",2.82013262590325e-165,-0.533676025533218,0.961,0.722,2.97806005295383e-162,"Glul",-0.260455968,0.002082727
"38","Grik1",3.98163823222362e-25,-0.148754689683187,0.538,0.679,4.20460997322814e-22,"Grik1",-1.484639244,1.24e-11
"39","Grik3",4.13958616782678e-288,1.01300902767988,0.399,0.418,4.37140299322508e-285,"Grik3",1.821172753,4.18e-08
"40","Hhip",2.07561145250704e-118,-0.266099581839268,0.988,0.78,2.19184569384743e-115,"Hhip",-0.212626056,0.033960101
