Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XYT,39,IL6,Cuprizone,2.42,3.553809524
XYT,220,IL6,Cuprizone,2.41,3.553809524
XYT,206,IL6,Cuprizone,2.41,3.553809524
XYT,174,IL6,Cuprizone,2.41,3.553809524
XXO,212,IL7,Control,13.74,4.423333333
XXO,210,IL7,Control,4.19,4.423333333
XXO,191,IL7,Control,6.77,4.423333333
XXO,153,IL7,Control,5.63,4.423333333
XXO,201,IL7,Control,3.85,4.423333333
XXO,154,IL7,Control,2.27,4.423333333
XXO,155,IL7,Control,2.56,4.423333333
XXO,169,IL7,Control,2.27,4.423333333
XXO,189,IL7,Cuprizone,3.85,4.423333333
XXO,190,IL7,Cuprizone,2.87,4.423333333
XXO,193,IL7,Cuprizone,2.87,4.423333333
XXO,164,IL7,Cuprizone,2.07,4.423333333
XYO,209,IL7,Control,6.77,4.423333333
XYO,21,IL7,Control,3.51,4.423333333
XYO,34,IL7,Control,2.07,4.423333333
XYO,211,IL7,Cuprizone,13.32,4.423333333
XYO,184,IL7,Cuprizone,2.07,4.423333333
XXT,219,IL7,Control,6.77,4.423333333
XXT,216,IL7,Control,2.87,4.423333333
XXT,214,IL7,Control,2.07,4.423333333
XXT,157,IL7,Control,2.27,4.423333333
XXT,158,IL7,Control,3.85,4.423333333
XXT,160,IL7,Control,3.19,4.423333333
XXT,207,IL7,Cuprizone,2.07,4.423333333
XXT,205,IL7,Cuprizone,2.07,4.423333333
XXT,208,IL7,Cuprizone,2.56,4.423333333
XXT,182,IL7,Cuprizone,2.07,4.423333333
XXT,188,IL7,Cuprizone,4.19,4.423333333
XXT,187,IL7,Cuprizone,2.07,4.423333333
XYT,159,IL7,Control,3.19,4.423333333
XYT,195,IL7,Control,6.01,4.423333333
XYT,215,IL7,Control,6.77,4.423333333
XYT,196,IL7,Control,2.27,4.423333333
XYT,213,IL7,Cuprizone,2.87,4.423333333
XYT,36,IL7,Cuprizone,2.07,4.423333333
XYT,39,IL7,Cuprizone,2.07,4.423333333
XYT,220,IL7,Cuprizone,2.07,4.423333333
XYT,206,IL7,Cuprizone,2.07,4.423333333
XYT,174,IL7,Cuprizone,2.07,4.423333333
XXO,212,IL9,Control,703.48,498.2414286
XXO,210,IL9,Control,1008,498.2414286
XXO,191,IL9,Control,464.42,498.2414286
XXO,153,IL9,Control,241.09,498.2414286
XXO,201,IL9,Control,229.92,498.2414286
XXO,154,IL9,Control,351.5,498.2414286
XXO,155,IL9,Control,184.46,498.2414286
XXO,169,IL9,Control,342.63,498.2414286
XXO,189,IL9,Cuprizone,450.73,498.2414286
XXO,190,IL9,Cuprizone,294.24,498.2414286
XXO,193,IL9,Cuprizone,435.26,498.2414286
XXO,164,IL9,Cuprizone,184.46,498.2414286
XYO,209,IL9,Control,941.44,498.2414286
XYO,21,IL9,Control,409.32,498.2414286
XYO,34,IL9,Control,224.3,498.2414286
XYO,211,IL9,Cuprizone,621.88,498.2414286
XYO,184,IL9,Cuprizone,306.88,498.2414286
XXT,219,IL9,Control,1327,498.2414286
XXT,216,IL9,Control,445.58,498.2414286
XXT,214,IL9,Control,88.3,498.2414286
XXT,157,IL9,Control,281.53,498.2414286
XXT,158,IL9,Control,1010,498.2414286
XXT,160,IL9,Control,263.25,498.2414286
XXT,207,IL9,Cuprizone,100.88,498.2414286
XXT,205,IL9,Cuprizone,48.88,498.2414286
XXT,208,IL9,Cuprizone,353.27,498.2414286
XXT,182,IL9,Cuprizone,548.9,498.2414286
XXT,188,IL9,Cuprizone,233.65,498.2414286
XXT,187,IL9,Cuprizone,30.03,498.2414286
XYT,159,IL9,Control,288.8,498.2414286
XYT,195,IL9,Control,700.24,498.2414286
XYT,215,IL9,Control,474.65,498.2414286
XYT,196,IL9,Control,483.16,498.2414286
XYT,213,IL9,Cuprizone,255.89,498.2414286
XYT,36,IL9,Cuprizone,333.74,498.2414286
XYT,39,IL9,Cuprizone,356.8,498.2414286
XYT,220,IL9,Cuprizone,71.15,498.2414286
XYT,206,IL9,Cuprizone,71.15,498.2414286
XYT,174,IL9,Cuprizone,239.23,498.2414286
XXO,212,IL10,Control,88.11,78.33714286
XXO,210,IL10,Control,83.94,78.33714286
XXO,191,IL10,Control,144.16,78.33714286
XXO,153,IL10,Control,77.65,78.33714286
XXO,201,IL10,Control,71.29,78.33714286
XXO,154,IL10,Control,69.74,78.33714286
XXO,155,IL10,Control,59.19,78.33714286
XXO,169,IL10,Control,95.83,78.33714286
XXO,189,IL10,Cuprizone,81.09,78.33714286
XXO,190,IL10,Cuprizone,62.92,78.33714286
XXO,193,IL10,Cuprizone,59.98,78.33714286
XXO,164,IL10,Cuprizone,47.02,78.33714286
XYO,209,IL10,Control,108.3,78.33714286
XYO,21,IL10,Control,78.6,78.33714286
XYO,34,IL10,Control,63.12,78.33714286
XYO,211,IL10,Cuprizone,76.69,78.33714286
XYO,184,IL10,Cuprizone,72.45,78.33714286
XXT,219,IL10,Control,103.85,78.33714286
XXT,216,IL10,Control,76.69,78.33714286
XXT,214,IL10,Control,20.42,78.33714286
XXT,157,IL10,Control,44.18,78.33714286
XXT,158,IL10,Control,69.74,78.33714286
XXT,160,IL10,Control,65.08,78.33714286
XXT,207,IL10,Cuprizone,15.52,78.33714286
XXT,205,IL10,Cuprizone,19.54,78.33714286
XXT,208,IL10,Cuprizone,63.71,78.33714286
XXT,182,IL10,Cuprizone,67.41,78.33714286
XXT,188,IL10,Cuprizone,77.45,78.33714286
XXT,187,IL10,Cuprizone,15.97,78.33714286
XYT,159,IL10,Control,72.65,78.33714286
XYT,195,IL10,Control,73.22,78.33714286
XYT,215,IL10,Control,119.34,78.33714286
XYT,196,IL10,Control,59.98,78.33714286
XYT,213,IL10,Cuprizone,78.99,78.33714286
XYT,36,IL10,Cuprizone,39.89,78.33714286
XYT,39,IL10,Cuprizone,55.23,78.33714286
XYT,220,IL10,Cuprizone,18.65,78.33714286
XYT,206,IL10,Cuprizone,14.62,78.33714286
XYT,174,IL10,Cuprizone,23.47,78.33714286
XXO,212,IL12p40,Control,6.74,3.700952381
XXO,210,IL12p40,Control,3.59,3.700952381
XXO,191,IL12p40,Control,4.04,3.700952381
XXO,153,IL12p40,Control,5.39,3.700952381
XXO,201,IL12p40,Control,2.69,3.700952381
XXO,154,IL12p40,Control,1.8,3.700952381
XXO,155,IL12p40,Control,1.8,3.700952381
XXO,169,IL12p40,Control,1.8,3.700952381
XXO,189,IL12p40,Cuprizone,4.04,3.700952381
XXO,190,IL12p40,Cuprizone,3.59,3.700952381
XXO,193,IL12p40,Cuprizone,2.24,3.700952381
XXO,164,IL12p40,Cuprizone,2.69,3.700952381
XYO,209,IL12p40,Control,1.35,3.700952381
XYO,21,IL12p40,Control,7.64,3.700952381
XYO,34,IL12p40,Control,3.59,3.700952381
XYO,211,IL12p40,Cuprizone,7.19,3.700952381
XYO,184,IL12p40,Cuprizone,1.8,3.700952381
XXT,219,IL12p40,Control,2.69,3.700952381
XXT,216,IL12p40,Control,4.04,3.700952381
XXT,214,IL12p40,Control,0.02,3.700952381
XXT,157,IL12p40,Control,3.14,3.700952381
XXT,158,IL12p40,Control,4.49,3.700952381
XXT,160,IL12p40,Control,6.74,3.700952381
XXT,207,IL12p40,Cuprizone,0.02,3.700952381
XXT,205,IL12p40,Cuprizone,0.02,3.700952381
XXT,208,IL12p40,Cuprizone,2.69,3.700952381
XXT,182,IL12p40,Cuprizone,1.35,3.700952381
XXT,188,IL12p40,Cuprizone,1.8,3.700952381
XXT,187,IL12p40,Cuprizone,0.02,3.700952381
XYT,159,IL12p40,Control,1.8,3.700952381
XYT,195,IL12p40,Control,4.04,3.700952381
XYT,215,IL12p40,Control,6.29,3.700952381
XYT,196,IL12p40,Control,4.04,3.700952381
XYT,213,IL12p40,Cuprizone,6.29,3.700952381
XYT,36,IL12p40,Cuprizone,3.14,3.700952381
XYT,39,IL12p40,Cuprizone,2.24,3.700952381
XYT,220,IL12p40,Cuprizone,0.02,3.700952381
XYT,206,IL12p40,Cuprizone,0.02,3.700952381
XYT,174,IL12p40,Cuprizone,1.35,3.700952381
XXO,212,IL12p70,Control,12.02,8.123333333
XXO,210,IL12p70,Control,13.16,8.123333333
XXO,191,IL12p70,Control,8.72,8.123333333
XXO,153,IL12p70,Control,12.02,8.123333333
XXO,201,IL12p70,Control,9.8,8.123333333
XXO,154,IL12p70,Control,8.72,8.123333333
XXO,155,IL12p70,Control,6.68,8.123333333
XXO,169,IL12p70,Control,6.68,8.123333333
XXO,189,IL12p70,Cuprizone,10.89,8.123333333
XXO,190,IL12p70,Cuprizone,8.72,8.123333333
XXO,193,IL12p70,Cuprizone,6.68,8.123333333
XXO,164,IL12p70,Cuprizone,6.68,8.123333333
XYO,209,IL12p70,Control,6.2,8.123333333
XYO,21,IL12p70,Control,4.81,8.123333333
XYO,34,IL12p70,Control,5.72,8.123333333
XYO,211,IL12p70,Cuprizone,13.16,8.123333333
XYO,184,IL12p70,Cuprizone,5.72,8.123333333
XXT,219,IL12p70,Control,14.33,8.123333333
XXT,216,IL12p70,Control,5.72,8.123333333
XXT,214,IL12p70,Control,2,8.123333333
XXT,157,IL12p70,Control,7.69,8.123333333
XXT,158,IL12p70,Control,9.8,8.123333333
XXT,160,IL12p70,Control,8.72,8.123333333
XXT,207,IL12p70,Cuprizone,2,8.123333333
XXT,205,IL12p70,Cuprizone,2,8.123333333
XXT,208,IL12p70,Cuprizone,7.69,8.123333333
XXT,182,IL12p70,Cuprizone,6.68,8.123333333
XXT,188,IL12p70,Cuprizone,3.95,8.123333333
XXT,187,IL12p70,Cuprizone,2,8.123333333
XYT,159,IL12p70,Control,6.68,8.123333333
XYT,195,IL12p70,Control,6.68,8.123333333
XYT,215,IL12p70,Control,8.72,8.123333333
XYT,196,IL12p70,Control,5.72,8.123333333
XYT,213,IL12p70,Cuprizone,8.72,8.123333333
XYT,36,IL12p70,Cuprizone,3.95,8.123333333
XYT,39,IL12p70,Cuprizone,8.72,8.123333333
XYT,220,IL12p70,Cuprizone,2,8.123333333
XYT,206,IL12p70,Cuprizone,2,8.123333333
XYT,174,IL12p70,Cuprizone,4.81,8.123333333
XXO,212,LIX,Control,45.17,12.27428571
XXO,210,LIX,Control,12.34,12.27428571
XXO,191,LIX,Control,9.93,12.27428571
XXO,153,LIX,Control,14.8,12.27428571
XXO,201,LIX,Control,14.8,12.27428571
XXO,154,LIX,Control,1.58,12.27428571
XXO,155,LIX,Control,1.58,12.27428571
XXO,169,LIX,Control,1.58,12.27428571
XXO,189,LIX,Cuprizone,42.64,12.27428571
