X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_F_GDQvsSaline
Ubald2,352.2130071,0.212418983,0.068942809,3.07063261,0.002136058,0.469741487,red,Ubald2
Lrrc3b,87.66019529,0.212202937,0.097953847,2.177391574,0.029451364,0.729656988,red,Lrrc3b
Magohb,58.8035853,0.212103304,0.098238348,2.189179759,0.028583777,0.717843203,red,Magohb
Gm10704,29.57095461,0.211987985,0.103046752,2.047716153,0.04058782,0.73082813,red,Gm10704
Gm10052,193.2074282,0.211871871,0.081408907,2.598527814,0.009362446,0.649869512,red,Gm10052
Cd276,115.4378815,0.211616587,0.086132209,2.47449562,0.013342446,0.684974198,red,Cd276
Cln6,151.0889078,0.211500421,0.079361508,2.661076526,0.007789125,0.639224869,red,Cln6
Kdm4d,10.87828265,0.211157303,0.091606337,2.416334869,0.015677636,NA,red,Kdm4d
Cebpb,242.5582613,0.211120894,0.10159272,2.036468928,0.04170329,0.73082813,red,Cebpb
Ttc22,15.62191507,0.211001584,0.102131851,2.062003336,0.039207418,NA,red,Ttc22
Gm5559,330.5140303,0.210823772,0.087472911,2.399184198,0.016431647,0.707547848,red,Gm5559
Tmem237,320.8570334,0.210579953,0.095724733,2.195614008,0.028119583,0.717843203,red,Tmem237
B3gnt6,7.872938806,0.209948077,0.086742596,2.391444609,0.016782216,NA,red,B3gnt6
Gbp5,66.64822827,0.209845094,0.102795109,2.042238455,0.041127884,0.73082813,red,Gbp5
Hdc,78.27491165,0.209207325,0.103987919,1.973663291,0.048420042,0.744195683,red,Hdc
Zfp975,55.39068325,0.208996386,0.102263671,2.037460525,0.041603914,0.73082813,red,Zfp975
Il20rb,55.08119544,0.208794617,0.103819533,1.993540128,0.046202334,0.744195683,red,Il20rb
Rilpl2,276.5776084,0.208737768,0.079538683,2.620019325,0.008792478,0.6413286,red,Rilpl2
Gm13461,36.41237595,0.208444338,0.100728419,2.024148475,0.042954877,0.73082813,red,Gm13461
Gm2451,30.47885892,0.208059905,0.102912428,1.981315252,0.047555931,0.744195683,red,Gm2451
Cbfa2t2-ps1,31.68065054,0.207840832,0.104205181,1.979405677,0.04777035,0.744195683,red,Cbfa2t2-ps1
BC147527,3.813432178,0.206497722,0.070617978,2.827256588,0.004694869,NA,red,BC147527
2010015M23Rik,17.11807411,0.206088663,0.102876232,2.001758104,0.045310754,NA,red,2010015M23Rik
Wdr5b,74.69696896,0.205641216,0.093348288,2.194228798,0.028218965,0.717843203,red,Wdr5b
Fam110a,73.7099241,0.205516624,0.097538753,2.074567929,0.038026597,0.73082813,red,Fam110a
Tbc1d25,103.7574029,0.205111095,0.089241495,2.281076378,0.022543928,0.707547848,red,Tbc1d25
Kbtbd4,109.4527537,0.205108858,0.095157394,2.132955147,0.032928406,0.73082813,red,Kbtbd4
Bloc1s2-ps,9.333327241,0.20436377,0.095266333,2.151521895,0.03143503,NA,red,Bloc1s2-ps
Plk5,371.5417532,0.204363065,0.100878464,1.988518294,0.046754398,0.744195683,red,Plk5
Shisa2,101.153556,0.204058755,0.094059158,2.158693946,0.030873919,0.73082813,red,Shisa2
Gm12231,46.35403289,0.20372883,0.099727055,2.059117987,0.039482937,0.73082813,red,Gm12231
Spi1,96.24400362,0.202732477,0.094358266,2.148254649,0.031693531,0.73082813,red,Spi1
Rpl21-ps8,83.61549074,0.202122683,0.097128301,2.082872242,0.03726287,0.73082813,red,Rpl21-ps8
Gm10243,147.5413681,0.201796607,0.097815436,2.067523118,0.038684888,0.73082813,red,Gm10243
Sdr39u1,342.5022096,0.201753026,0.087392955,2.29912586,0.021497793,0.707547848,red,Sdr39u1
Tmem203,124.2749719,0.201375927,0.09325582,2.167725681,0.030179564,0.73082813,red,Tmem203
Ier5l,216.5643131,0.201138504,0.098027956,2.03029359,0.042326705,0.73082813,red,Ier5l
Ndufb4c,51.90554486,0.200519605,0.102093726,1.971842593,0.048627578,0.744195683,red,Ndufb4c
Tmem156,4.837463095,0.199569828,0.079644552,2.541977292,0.011022733,NA,red,Tmem156
Gabra6,17.58796796,0.199496261,0.065115771,-2.408218641,0.016030577,NA,red,Gabra6
Stambpl1,201.0695543,0.199448667,0.078635997,2.528870126,0.011443036,0.666409861,red,Stambpl1
Nab2,268.5187258,0.199344887,0.093749255,2.113202087,0.034583475,0.73082813,red,Nab2
Nrg2,103.9837125,0.198948044,0.099374088,1.977567478,0.047977521,0.744195683,red,Nrg2
Tgm1,3.565535589,0.198833936,0.067501661,2.73842385,0.006173446,NA,red,Tgm1
Gm14117,225.8272708,0.197807432,0.085864403,2.316665271,0.020521973,0.707547848,red,Gm14117
A2m,180.3682373,0.197572658,0.09348752,2.0334104,0.042011078,0.73082813,red,A2m
Plekho1,300.6466427,0.196856897,0.081511416,2.416005072,0.015691843,0.707547848,red,Plekho1
4930447N08Rik,6.331441436,0.196812314,0.087629766,2.293300117,0.021830733,NA,red,4930447N08Rik
Zfp691,54.82627605,0.194896843,0.096637401,2.002679204,0.045211732,0.740989616,red,Zfp691
Il10ra,77.36314443,0.194474768,0.100022043,1.96613285,0.049283267,0.744195683,red,Il10ra
Txndc15,736.696377,0.193360468,0.066786698,2.893133106,0.003814196,0.545456169,red,Txndc15
Dpyd,143.6878915,0.192802927,0.079176372,2.427560749,0.015200741,0.707547848,red,Dpyd
Rab3ip,542.3967153,0.192753375,0.069760437,2.754656532,0.005875378,0.577118774,red,Rab3ip
Dgat2,1165.838948,0.192227308,0.085479474,2.245312047,0.024748107,0.707996724,red,Dgat2
Mcm6,190.8546998,0.191596036,0.085225764,2.245963827,0.024706325,0.707996724,red,Mcm6
Aifm1,305.0398468,0.190397821,0.064088812,2.966473,0.003012368,0.50649673,red,Aifm1
Mrps30,216.0353198,0.190066676,0.077071853,2.468231728,0.013578239,0.689868173,red,Mrps30
Kbtbd13,5.038808402,0.189974794,0.076593234,2.650888818,0.008028026,NA,red,Kbtbd13
Tmem206,128.0759295,0.189775738,0.085319896,2.211024544,0.027034137,0.717843203,red,Tmem206
Syna,61.11121062,0.189334591,0.095382544,1.972262873,0.048579606,0.744195683,red,Syna
Ift57,595.9834828,0.188872162,0.06068291,3.112161363,0.00185723,0.448597047,red,Ift57
Gm13456,467.2361319,0.187758359,0.072124978,2.600286021,0.009314609,0.649869512,red,Gm13456
Mitd1,90.79881449,0.187669129,0.087987477,2.125741371,0.0335248,0.73082813,red,Mitd1
Tceal5,698.3119117,0.187586782,0.094037464,1.985804622,0.047055022,0.744195683,red,Tceal5
Eif2b3,170.9342179,0.186915497,0.090744576,2.0590282,0.039491537,0.73082813,red,Eif2b3
Tmem185b,191.9639588,0.18645168,0.085548436,2.17654183,0.029514769,0.729656988,red,Tmem185b
A730013G03Rik,4.695817812,0.186411847,0.076350331,2.531681619,0.011351701,NA,red,A730013G03Rik
Phf7,81.95586598,0.186314447,0.088387726,2.109327517,0.034916321,0.73082813,red,Phf7
Cmpk2,402.9720034,0.185960044,0.066904874,2.783074031,0.005384652,0.577118774,red,Cmpk2
Ctsh,282.0071362,0.18569906,0.078169158,2.380636082,0.017282776,0.707547848,red,Ctsh
2210408I21Rik,157.647626,0.185319171,0.079966913,2.317162704,0.02049487,0.707547848,red,2210408I21Rik
Bambi,145.6075665,0.184952828,0.090929899,2.012831502,0.044132359,0.734437495,red,Bambi
Rrp15,131.8911783,0.184372492,0.080498916,2.281267689,0.022532611,0.707547848,red,Rrp15
Sla,83.77108704,0.182715129,0.089834204,2.023178164,0.043054782,0.730840045,red,Sla
Gm14411,3.923570192,0.182353947,0.07608543,2.208337496,0.027220755,NA,red,Gm14411
Cstf1,311.5464297,0.182346172,0.076247879,2.385278678,0.017066188,0.707547848,red,Cstf1
Tdrp,257.1528795,0.181150202,0.06684696,2.701114357,0.006910757,0.595456709,red,Tdrp
Map2k3,150.2241552,0.180108662,0.083492409,2.141210332,0.03225708,0.73082813,red,Map2k3
Rps2-ps10,156.3077979,0.179544696,0.090785817,1.965112547,0.049401213,0.744195683,red,Rps2-ps10
Psme1,629.3661079,0.178453309,0.064532389,2.765961379,0.005675526,0.577118774,red,Psme1
Cyb561,724.4781902,0.177323695,0.086307814,2.047201874,0.040638268,0.73082813,red,Cyb561
Ocln,282.406365,0.176839584,0.08061428,2.191022813,0.028450142,0.717843203,red,Ocln
Plekhj1,458.4868705,0.176702361,0.075186157,2.344251016,0.019065335,0.707547848,red,Plekhj1
G730003C15Rik,11.42576934,0.176562406,0.092110804,2.006176209,0.044837451,NA,red,G730003C15Rik
Gga2,319.2520008,0.176303907,0.064474558,2.729912273,0.006335118,0.590364336,red,Gga2
Ints4,338.8009779,0.176090161,0.056933193,3.085782885,0.00203017,0.46738321,red,Ints4
Skida1,218.8294944,0.175292127,0.069833681,2.509595228,0.012086962,0.677145625,red,Skida1
Zdhhc6,325.0320226,0.174907603,0.074530284,2.344370174,0.019059245,0.707547848,red,Zdhhc6
Gm5518,373.5486071,0.174877569,0.072927676,2.392528724,0.016732718,0.707547848,red,Gm5518
Zfp87,141.2200066,0.174384909,0.08272045,2.109882034,0.034868518,0.73082813,red,Zfp87
Rrm1,260.5183398,0.174050572,0.066439251,2.62624489,0.008633268,0.639224869,red,Rrm1
Syndig1,363.9875367,0.173731371,0.083726697,2.065427773,0.038882543,0.73082813,red,Syndig1
Pias4,308.2454035,0.173360382,0.084959359,2.029076213,0.042450528,0.73082813,red,Pias4
Rars,417.9529051,0.173275664,0.085693394,2.018849282,0.043502887,0.733076793,red,Rars
Ctsd,3498.531607,0.173226942,0.063814825,2.712680487,0.006674142,0.590364336,red,Ctsd
