"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tmem51",115.9449220162,0.154273431870798,0.0945135592135174,1.6237138732875,0.104436888748805,0.403998839898731
"Fmo1",116.872962160815,0.183760126248359,0.0914011782304476,1.99667677086512,0.0458603071213383,0.289369767190502
"Ifih1",115.382626739965,0.42014085497684,0.0964543112060239,4.33377914685177,1.46571220337299e-05,0.00698832959795169
"Scube3",115.259071669103,0.0783291044688848,0.0977087078723497,0.791976477751783,0.428374391816573,0.732090034060511
"2810021J22Rik",115.577287716567,0.0714069269076322,0.0871402082049307,0.820526407166619,0.411916081580036,0.719988862274967
"Tmem204",115.901190344793,0.139710015726368,0.0872864789943493,1.60289972972255,0.108956793382539,0.411079967062155
"Cd276",115.437881479687,0.119248419999458,0.0861781818051445,1.37362797477058,0.169557207529208,0.494887855535491
"Dach1",116.059341957074,0.121201224218969,0.0896966032659509,1.35143644173937,0.176555666887586,0.502486446925062
"Ccdc84",116.444480902841,0.00807849209586012,0.093197676625795,0.0878929550630895,0.929961755980465,0.974655143510759
"Tmem266",115.201919287378,0.144032610628562,0.0924695062301813,1.56870497828742,0.116716698078269,0.423441209552712
"Cep135",115.807382433085,0.0419942694983058,0.0881138566138,0.475584063294909,0.634370731317717,0.852682474118101
"BC005561",116.318352103158,-0.0338272508368433,0.0910123506059192,-0.373009196130817,0.709141599597858,0.889819378185722
"Kcnq1ot1",116.859879823532,-0.00888674080597694,0.104096159234819,-0.0857833257631491,0.931638661725617,0.974700358891021
"Cdh7",115.570987572449,-0.130723528251054,0.0919742130313828,-1.41945973707035,0.1557650272003,0.476050701045305
"Tbc1d2",115.236531242722,0.0458576197625551,0.0965044127602447,0.472875922691999,0.636301703586698,0.853579543776003
"Zfp712",115.481081878414,-0.0851218289865593,0.0918119164849943,-0.926748000485243,0.354057389055516,0.673631188813507
"Phf21b",115.15195417782,0.0891323999401335,0.091315928106775,0.989619959774264,0.322359910294289,0.646439417038134
"Nsun7",116.478183444833,0.036304544952635,0.0994430681965203,0.362993472284304,0.716609760607441,0.892593861456108
"Gm20646",114.84894992452,0.116171987320844,0.0974870728172026,1.19325632085572,0.232769003260977,0.566217365978483
"Pcdhb16",116.100477606362,-0.246373845283303,0.0993655835509755,-2.45907188682597,0.0139296722507041,0.176961614689982
"Frem1",114.674114808173,0.100780332677148,0.0826930460811095,1.20944723261334,0.226491071899703,0.559378557503848
"Plppr1",114.621000762383,-0.0583921881225463,0.0995618420048031,-0.587911269014882,0.556591852090729,0.80863069826331
"Taf7",115.047910386794,-0.0736549421969708,0.0863545790685427,-0.851855064732307,0.394294539619,0.706152996301425
"Lcmt2",115.062544539487,-0.125408950089979,0.0932053777167759,-1.3443457638895,0.178836603351459,0.50478223021882
"Loxl3",115.624680694901,0.0980639536212558,0.0974243057383505,1.00864863793371,0.313143172417075,0.638052039805259
"Wfdc1",115.766225119735,0.214699329109771,0.0933052944107572,2.29832360809291,0.0215433777644589,0.208440311808159
"Prdm5",114.631886757706,-0.0827126503523225,0.0867334706038076,-0.953036730779261,0.340571460653289,0.663483157451408
"Ccdc61",114.663268647694,0.0344819075059893,0.0884271230805141,0.39502588679479,0.692823783470478,0.881676309236455
"Spag5",115.154386623286,0.0637897421430027,0.0909293552777155,0.708226354880158,0.478804702244627,0.763348713137269
"Gm42829",115.087664526047,-0.147776395394374,0.0860846910336372,-1.71783276814902,0.0858271227428927,0.371130467692534
"Eri2",114.781088053409,-0.081821211752951,0.0870804770090436,-0.939067707372261,0.347695982805209,0.668853701475301
"Rab29",114.960501679016,0.110885143608578,0.0912474463944044,1.21891185650218,0.222877649049768,0.554647425066197
"Gm16485",115.288895957,-0.0636318259848644,0.0993514827070322,-0.639404550793818,0.522559789268987,0.789770992642385
"Clp1",114.447810435068,-0.0918553991150298,0.0912195464117378,-1.00685726816378,0.314003369460303,0.638624901084942
"Rab27a",114.688603488129,0.062761857448376,0.0884950145028822,0.712638885786418,0.476069242774879,0.762159090407635
"Mindy4",114.420534238615,0.0158770182733783,0.0905062324381063,0.174919568221293,0.861142834105331,0.954133432752319
"Mpg",115.674211174195,-0.015010983826526,0.0851122098692731,-0.179597387865241,0.857468655519732,0.952869764742049
"Acta1",114.892912664058,-0.0325271392774032,0.0942451307553961,-0.343545772576397,0.731187912151646,0.898401313005794
"Msantd2",114.2274608855,0.158927819325509,0.0921066246820215,1.72950934471398,0.0837179754877287,0.366769705390757
"Dnajc17",114.16705881353,0.108970361709275,0.0872399421611658,1.24465463986553,0.21325872633303,0.543705343529253
"Armc7",114.605932005269,0.0361238962402294,0.0880412705109977,0.410043717739783,0.681773878101516,0.876127931350378
"Nid1",115.606962656942,0.149679821377115,0.102357330854551,1.45101966282801,0.146774385036697,0.465260279508449
"Satb2",114.287404569574,-0.110989983130434,0.104228041836157,-1.05992543674962,0.289178522418677,0.617613557494882
"Pard3b",114.128339134385,0.203902098237022,0.0980204881152885,2.07306445840649,0.0381662811372974,0.269097881902332
"Col12a1",115.907510779861,0.180470145946471,0.104186605960259,1.73386276932709,0.0829424351414539,0.365421619821111
"4930570G19Rik",114.986577665765,-0.137413209381557,0.0839269189097918,-1.63665020671738,0.101703578663488,0.400270074582213
"Tmem138",113.21877859282,-0.0304108423075996,0.090286433088383,-0.337233944106545,0.73594055075767,0.900208270639971
"Ccnj",114.363931443043,-0.096461238942412,0.0881337602699409,-1.09449664038047,0.273737220039844,0.60492308830824
"Hyi",114.635745458108,0.0886485192257907,0.0851592081122644,1.0418845051753,0.297465228772941,0.622934662718197
"Usb1",113.797596857973,0.167636728206824,0.0840320842150555,1.99252549930566,0.0463134302556051,0.290413271166216
"Zfp563",113.459214633565,-0.0132577441230032,0.0909970315752287,-0.145093763334277,0.884636842321788,0.960942393397008
"Zc3h3",114.126053188155,0.0494618089635371,0.0918454469019798,0.542921985301122,0.587183517986067,0.827949959967318
"Styx",113.748917286172,-0.031100020934843,0.0897489735260215,-0.345369596490745,0.729816531063227,0.897750516852733
"Senp8",113.31066126682,-0.104269071152748,0.0867614286551674,-1.2015886562974,0.229522938641634,0.563206937505224
"Tsen54",112.76798679209,-0.173958269311149,0.0899698116338973,-1.9374246168972,0.0526934598961657,0.306645384327634
"Snrnp35",113.701873543365,-0.0175193285853642,0.0902022882906846,-0.193205974917624,0.846797659591335,0.949117699122836
