X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color,Unique_M_GDQvsSaline
Hebp1,716.0835409,-0.238673163,0.074193998,-3.217281367,0.001294116,0.064170445,blue,Hebp1
Kit,833.6804378,-0.23869225,0.094993086,-2.508660664,0.012118984,0.165911583,blue,Kit
Igsf8,2301.383259,-0.23894972,0.088631914,-2.699714705,0.006939896,0.132000432,blue,Igsf8
Dnph1,81.35078035,-0.239117393,0.095305459,-2.510195655,0.012066428,0.165600301,blue,Dnph1
Ptpn20,16.27646647,-0.239833977,0.101827471,-2.364008558,0.018078395,0.194074831,blue,Ptpn20
Wasf1,2863.124254,-0.239905161,0.091002942,-2.64142761,0.008255745,0.140643112,blue,Wasf1
Fstl5,255.9799293,-0.239974548,0.095249447,-2.521012207,0.011701779,0.162865488,blue,Fstl5
Car7,146.8560813,-0.240277253,0.097409272,-2.468190019,0.013579821,0.176285475,blue,Car7
Dyrk3,219.2328529,-0.240416694,0.088672614,-2.715735189,0.006612879,0.129046004,blue,Dyrk3
Gm34121,7.220564527,-0.240489542,0.087192658,-2.846569426,0.004419309,NA,blue,Gm34121
Arl10,240.1777605,-0.240520249,0.083253813,-2.891987505,0.003828132,0.105596858,blue,Arl10
C1ql2,1616.740536,-0.240534319,0.101883689,-2.380470319,0.017290554,0.18977465,blue,C1ql2
Fibcd1,1995.951772,-0.240842586,0.08573057,-2.812573131,0.004914685,0.114203014,blue,Fibcd1
Pgm2l1,3467.45875,-0.2409543,0.072405834,-3.326832724,0.000878391,0.054047643,blue,Pgm2l1
Nos1ap,791.7959781,-0.241403445,0.088800108,-2.713148353,0.006664726,0.129569432,blue,Nos1ap
Spry4,152.2850383,-0.241695472,0.084477389,-2.869080839,0.004116666,0.108485072,blue,Spry4
Clstn2,1642.822265,-0.241696124,0.081586164,-2.959645691,0.00307993,0.09700325,blue,Clstn2
Islr2,1339.559337,-0.242190276,0.088977281,-2.730358357,0.006326551,0.126187301,blue,Islr2
Lrrn2,2381.052535,-0.242463259,0.088279335,-2.750917127,0.005942868,0.123962447,blue,Lrrn2
Kcnj8,68.53326149,-0.242643924,0.099804247,-2.408108429,0.016035418,0.186258825,blue,Kcnj8
Zfp422-ps,78.13925509,-0.242647826,0.102423502,-2.364815832,0.018039039,0.193864807,blue,Zfp422-ps
Alkal2,30.08570449,-0.242673136,0.103557589,-2.367641642,0.017901866,0.193073753,blue,Alkal2
Gm7308,53.75555054,-0.24298512,0.101869987,-2.395276107,0.016607854,0.18764748,blue,Gm7308
Map2k1,3815.986055,-0.24305713,0.08854391,-2.749992575,0.005959662,0.123962447,blue,Map2k1
Opcml,1959.605203,-0.243104396,0.082975339,-2.929776509,0.003392059,0.102026133,blue,Opcml
Fbll1,426.0604721,-0.243149562,0.096429216,-2.53133249,0.011363008,0.160985607,blue,Fbll1
Kpna1,1667.415169,-0.243257976,0.074250586,-3.276748276,0.001050099,0.058319023,blue,Kpna1
Fbxo34,1057.728696,-0.243293509,0.088890063,-2.73914974,0.006159831,0.125157251,blue,Fbxo34
Gria2,8085.844564,-0.243598138,0.085537018,-2.848758531,0.004389018,0.110628173,blue,Gria2
Ano3,1617.285594,-0.243910954,0.096006275,-2.535685842,0.011222736,0.160830409,blue,Ano3
Rnf112,3670.676336,-0.244124994,0.083724654,-2.919384097,0.003507238,0.103052558,blue,Rnf112
Jun,1286.502752,-0.244367429,0.07979213,-3.068617279,0.002150519,0.082367349,blue,Jun
Gpc4,379.8220895,-0.244447385,0.090881761,-2.694801753,0.007043052,0.132785278,blue,Gpc4
Crym,3151.161439,-0.24493742,0.087415023,-2.807017439,0.005000253,0.114437196,blue,Crym
Mfap3,416.4086697,-0.244975369,0.082130464,-2.984460499,0.002840789,0.09363852,blue,Mfap3
Epha7,1877.10862,-0.245134992,0.101884148,-2.412473483,0.01584469,0.185143354,blue,Epha7
Gria1,11445.42269,-0.245440619,0.083763666,-2.929735889,0.003392502,0.102026133,blue,Gria1
Gm3435,62.0997004,-0.245634251,0.098358653,-2.535823921,0.011218312,0.160830409,blue,Gm3435
Cpne4,1197.904766,-0.245649351,0.078873222,-3.114234909,0.001844226,0.076625059,blue,Cpne4
