,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tes,48.27946223,-0.149361976,0.103698644,-1.437682512,0.150524157,0.803249651
Gm42047,48.7503789,0.030027587,0.103918719,0.304060317,0.761081939,0.96372662
Tas1r1,48.62420551,-0.12168571,0.100943645,-1.202880032,0.229022748,0.829223324
Abca6,48.30214148,-0.169995773,0.102351465,-1.660128084,0.096888688,0.784052237
Mocos,48.06470369,0.000168695,0.098286172,0.006959255,0.994447362,0.999941395
Gem,48.13387746,-0.016522271,0.104229754,-0.168568395,0.866136142,0.983405249
Rbpms,48.48777914,-0.066170211,0.10070224,-0.654857925,0.512559232,0.909418802
Gm21092,48.24953228,0.167480484,0.099378573,1.732685793,0.083151531,0.77152809
Slc2a10,48.20126621,-0.057920993,0.10299401,-0.550610521,0.581900695,0.926244832
Apobec1,47.95557518,0.051426145,0.103687826,0.511955618,0.608682071,0.93050699
Vegfc,47.96425728,-0.016700373,0.099833935,-0.174211974,0.861698875,0.982683532
Gramd1c,48.33182196,-0.08476851,0.103206706,-0.818228936,0.413226475,0.882858234
2210008F06Rik,47.90587923,-0.032854002,0.098976027,-0.331608713,0.740184739,0.9622271
Inmt,48.16749477,0.003648968,0.102871311,0.045492791,0.963714521,0.993827721
Sult1c2,47.28933124,0.05919135,0.068402165,0.935990095,0.349278288,0.86292189
Col15a1,48.23520065,-0.088936763,0.103775032,-0.856069685,0.391959236,0.876858324
Gm13091,48.53655558,-0.129609067,0.10358704,-1.253114604,0.210164002,0.822406152
Cdk6,48.02762621,0.008968545,0.103584461,0.072690368,0.942052514,0.993358744
Wdr90,299.3609994,-0.17221694,0.08048721,-2.140007671,0.032354147,0.73082813
Cenpm,48.13423094,-0.101093717,0.099881431,-1.013160051,0.310983719,0.849814444
Slco4c1,47.78780558,0.024757153,0.103404172,0.241802392,0.808933285,0.973175913
Hck,47.3219006,0.188267217,0.099878398,1.853212664,0.063851883,0.760793365
Gm45447,47.77072956,-0.053080569,0.099379538,-0.529795883,0.59625346,0.926890592
Zfp133-ps,47.6098506,0.063387118,0.099881428,0.633144258,0.526639443,0.912736638
Gm42984,47.82494175,0.080666075,0.101128546,0.785711269,0.43203666,0.88926088
Catspere2,47.93320394,-0.154111254,0.099902183,-1.546445309,0.121997059,0.7892693
Fbxo17,48.09375397,0.019415961,0.104034655,0.216398094,0.828677452,0.976301286
Mob3a,47.97147983,-0.05142614,0.100829333,-0.502750818,0.615139476,0.93280339
Wdfy4,47.69255232,0.094866797,0.098609866,0.966967162,0.33356045,0.859059661
Morc4,47.40040695,0.164767496,0.100318339,1.626941891,0.10374944,0.784052237
Cyp2s1,48.01582978,-0.189231969,0.103992432,-1.830851045,0.067122779,0.762466348
Dnah3,48.2817342,-0.09423921,0.09522031,-1.002002372,0.316342447,0.849814444
Gm12892,47.60363297,0.116890283,0.09711405,1.176945048,0.23921744,0.832645809
Kcnh4,47.67127689,-0.00253376,0.102368925,-0.052485799,0.958141611,0.993827721
Rgma,928.2604899,-0.172291475,0.065527948,-2.629332524,0.008555266,0.639224869
Agpat2,47.19855652,0.048444282,0.103872935,0.459971752,0.645536497,0.940970987
Gm8116,47.44818271,0.133632649,0.104216261,1.3151391,0.188463158,0.815144049
Ripply2,47.2032973,0.123596897,0.103678528,1.184338512,0.23627909,0.829815123
Gm11696,47.91279192,-0.162819524,0.098038621,-1.646966958,0.099564838,0.784052237
5033430I15Rik,47.50752611,-0.005638956,0.098971896,-0.062161468,0.950434247,0.993827721
Gm6421,47.23233717,-0.062595978,0.103078631,-0.61289694,0.539944487,0.916008629
Gm47863,47.23942991,0.096073068,0.096986698,0.991825825,0.321282498,0.851858254
5033426O07Rik,4.350890013,-0.172456343,0.073819564,-2.371681512,0.017707347,NA
Glcci1,47.78338771,-0.025907925,0.102178408,-0.252084216,0.80097597,0.972473274
Slc11a1,46.81311907,0.104845992,0.10371508,0.988974911,0.322675417,0.852950928
Zkscan4,47.411693,0.031216193,0.101930214,0.312868937,0.754380238,0.963114762
Stoml3,48.01520317,-0.137642402,0.08397707,-1.566707648,0.117183042,0.7892693
Ifitm1,47.70784521,-0.080295927,0.101595001,-0.773931473,0.438971316,0.889386279
Tubb4b-ps1,46.73117123,0.163063689,0.103249016,1.559908656,0.118781469,0.7892693
Gngt2,47.25587984,-0.079365325,0.100866194,-0.789898192,0.429587228,0.888718164
Dtwd2,47.1706095,-0.011196888,0.101448812,-0.105869493,0.915685899,0.991075362
Grk4,47.49651757,-0.023774834,0.101355486,-0.238706057,0.81133352,0.973175913
Adamts15,47.62214524,-0.114228458,0.10131259,-1.119649725,0.262863057,0.835824448
Gm7335,46.96542693,-0.008514257,0.101892687,-0.092275084,0.926479484,0.992137829
Dnah7a,47.37725691,-0.007862212,0.103866378,-0.053243344,0.957538021,0.993827721
P2ry6,47.10110647,0.042527239,0.097424219,0.458684128,0.646461013,0.941658742
Snord104,46.95885846,0.074611487,0.100265429,0.722242924,0.470145137,0.896984886
Card9,47.12420156,-0.011953996,0.101020659,-0.126911117,0.899010748,0.988596302
Zfp300,46.78430461,0.023431885,0.098892673,0.239012562,0.811095842,0.973175913
Spag8,47.07835891,0.050583872,0.101013446,0.52299279,0.600979271,0.927484151
Gm3571,46.98893693,0.1232791,0.104076878,1.175395927,0.239836352,0.832645809
4932441J04Rik,47.14567544,-0.029271138,0.102995069,-0.287987579,0.773356247,0.966286354
Samd4b,1973.899083,-0.172458716,0.081041405,-2.128309597,0.033311423,0.73082813
Arhgap25,46.4193201,0.106848827,0.103934345,1.027160856,0.304344727,0.849814444
Lyl1,47.17942331,0.028705947,0.102772465,0.307985147,0.758093634,0.96372662
Comtd1,46.63964451,0.104907984,0.099213808,1.058476631,0.289838199,0.843132974
Adamts8,47.14720447,0.065183786,0.101646424,0.653723742,0.513289804,0.909418802
Snhg15,46.85662592,-0.002502298,0.101832767,-0.00157313,0.998744824,1
Lamc2,46.8785618,-0.097846012,0.093201547,-1.038265437,0.299146495,0.849814444
Grem1,46.9316489,0.029789262,0.104161238,0.28299431,0.777181198,0.966572785
Ahnak2,20.37923739,-0.172572677,0.092111878,-1.972176027,0.048589515,NA
Gm26660,47.10277534,-0.132844205,0.103281721,-1.286643181,0.198218686,0.81804942
Rpl10-ps3,46.40855284,0.157447783,0.100735507,1.552281285,0.120594934,0.7892693
4933412O06Rik,47.21309011,-0.039427014,0.103357508,-0.360057546,0.7188041,0.955563547
Ucma,46.16179998,0.042157621,0.103689246,0.386832367,0.698880314,0.953197842
Gm38394,46.89354788,-0.081770715,0.103800861,-0.792624288,0.427996754,0.888623437
Fgf5,46.56282274,0.113803213,0.103991206,1.082666489,0.278956483,0.838527971
Cntnap1,4154.810721,-0.172691432,0.073085035,-2.364308903,0.018063744,0.707547848
Mettl24,46.27891913,0.006460377,0.102424345,0.03926073,0.968682515,0.995010802
Gm2225,46.53739348,0.135516206,0.101706762,1.338947024,0.18058792,0.812582018
9530059O14Rik,46.32645389,-0.023767705,0.104232588,-0.245977466,0.805699676,0.973175913
Irak4,46.68154257,0.01271611,0.102291163,0.136936491,0.891080995,0.987231245
Smim27,45.8552007,0.057168612,0.101827606,0.524467287,0.599953567,0.927387898
Wnt10a,46.01176935,0.137586815,0.103684336,1.313390063,0.189051544,0.815661918
Gm13414,46.43074282,0.020392496,0.101541544,0.203543568,0.838710196,0.977946422
Gm29367,46.59283817,-0.009940075,0.100409712,-0.075878247,0.939515963,0.993159125
Rbm4,46.02827062,0.042532007,0.098778915,0.432593171,0.665310351,0.943676076
6230400D17Rik,46.25195709,-0.135505994,0.100813454,-1.342631444,0.179391343,0.812582018
S1pr2,46.07019152,-0.011563659,0.100627206,-0.09710031,0.922646735,0.991793897
Gm30025,45.61657871,0.152048685,0.101417655,1.483969805,0.137816931,0.797682944
Ece2,46.03417126,-0.049292771,0.101476618,-0.492306132,0.622502946,0.935664773
Gadd45a,46.0852105,0.014215275,0.099863688,0.166030854,0.868132669,0.984087069
Ngfr,46.15229911,-0.029223905,0.104229556,-0.278734945,0.780448242,0.967284744
Icam1,45.37843287,0.189056371,0.102609772,1.822240994,0.068418427,0.762466348
Gm10037,45.75610915,0.106373701,0.098625609,1.065421063,0.286685429,0.842451996
Gm10093,46.32147966,-0.016425769,0.097735925,-0.17493044,0.861134291,0.982480208
Gm20743,46.35819215,-0.02427867,0.102864107,-0.2045479,0.837925364,0.977946422
Ccdc146,45.36918036,0.107935017,0.093047205,1.171567331,0.24137081,0.833636669
9130023H24Rik,45.82842435,-0.022028094,0.097668362,-0.215178351,0.829628269,0.976360743
Ajm1,45.73432242,0.078932053,0.099435504,0.801970582,0.422569975,0.885896261
Nthl1,45.75263389,-0.034425793,0.098275976,-0.362287242,0.717137391,0.955406535
Bmp2,45.78768839,-0.103331812,0.101591428,-1.014209154,0.310482962,0.849814444
3110053B16Rik,45.64418909,0.157102823,0.100675773,1.547895199,0.121647531,0.7892693
CT486005.1,45.80078131,-0.07925674,0.102417713,-0.768207805,0.442363737,0.889806752
Vps51,45.20179864,0.001883253,0.102615387,0.011098055,0.991145215,0.999215436
Lancl3,45.63013807,0.0142075,0.101665342,0.140756796,0.888062075,0.987032836
Nphs1,45.40527218,0.016723073,0.102226683,0.162022842,0.871287866,0.984601309
Stat5a,45.64744029,0.053022531,0.103665226,0.522519121,0.601308937,0.927484151
Gcat,45.56020881,-0.033349794,0.101918589,-0.318381138,0.750195844,0.96303887
Pkd1l3,46.1372958,-0.197834242,0.102173739,-1.941823072,0.052158523,0.747859759
Lipt1,45.41353655,-0.052222566,0.100934793,-0.521547229,0.601985614,0.927484151
Gm22009,44.69248279,0.037959597,0.103034317,0.321709006,0.747673154,0.96303887
9430041J12Rik,45.6787559,-0.115208378,0.100114401,-1.137468146,0.255342634,0.834587052
Six3,45.08024828,0.028054795,0.074338404,0.382380891,0.702178862,0.953197842
Fv1,45.60591603,0.017276086,0.102489135,0.169910235,0.865080732,0.983077082
5730522E02Rik,45.68346185,0.0075576,0.10289885,0.099122282,0.921041181,0.991739871
Serpinb6b,45.14510174,-0.040879524,0.103347816,-0.397713733,0.690841213,0.95171372
Trim71,45.78303456,-0.059140643,0.102076454,-0.584813107,0.55867339,0.920143069
Rps12-ps4,45.56913006,-0.04590565,0.101457997,-0.446889977,0.654954501,0.943302996
Zxdb,279.8850847,-0.172772785,0.076637082,-2.253170115,0.024248425,0.707547848
Muc3a,45.78856003,-0.134664057,0.103718033,-1.300923298,0.19328471,0.816457768
Fbrs,589.5440848,-0.172798542,0.078900916,-2.190046057,0.028520897,0.717843203
Rnf26,45.33502855,0.051423142,0.101611565,0.522070051,0.601621558,0.927484151
Lbhd2,43.35945389,0.05201846,0.06239865,0.727846942,0.466707285,0.895621422
Hmgn2-ps1,45.29072662,0.104780925,0.101601504,1.078696598,0.280723003,0.839150481
Gm36447,45.54932522,-0.063581019,0.102310863,-0.612060649,0.540497632,0.916008629
Gm19531,45.05092123,-0.024586642,0.100949672,-0.253672054,0.799748926,0.97237051
5033417F24Rik,45.15943737,-0.145288236,0.101991047,-1.424709315,0.154241245,0.804674152
Apol8,45.22843727,0.069074238,0.104200188,0.667422698,0.504502172,0.908273472
Cenpo,45.37684584,0.098964472,0.099684907,1.065959374,0.286442007,0.842451996
Iqca,45.17867687,-0.014998098,0.101513812,-0.14980462,0.880918764,0.985906348
Kif22,45.36234256,-0.14915801,0.101979087,-1.466002298,0.142647661,0.798726017
4732487G21Rik,45.24610058,0.02384807,0.102633017,0.242172336,0.80864663,0.973175913
Rin3,45.1476551,-0.056874767,0.10417214,-0.548002573,0.583690136,0.926534202
Dsc3,44.87531232,0.007487591,0.086536478,0.093195535,0.925748221,0.992137829
Mex3a,44.74613824,0.040771857,0.100741675,0.387745389,0.698204463,0.953197842
Tmem116,44.75617315,0.058600016,0.102778894,0.590191109,0.555062532,0.91973884
Fancf,44.83705139,-0.029953738,0.099192976,-0.305049562,0.760328405,0.96372662
Gsdmd,45.06801508,-0.109195153,0.102385897,-1.064388643,0.287152676,0.842451996
Nutf2-ps1,45.21783644,-0.021029831,0.102886474,-0.206398931,0.836479306,0.97790433
1700028P14Rik,44.77187782,0.027255518,0.103814711,0.267600175,0.789007097,0.969836231
Spint1,44.08634556,0.181254813,0.103628962,1.745599324,0.0808806,0.768516909
Krt73,44.96944809,-0.103387,0.102196812,-1.018521399,0.308430236,0.849814444
0610040B10Rik,44.63035499,0.00163481,0.103562912,0.037353992,0.970202756,0.995553411
Zfp960,44.32478353,0.077852323,0.102469148,0.758858645,0.44793712,0.889806752
Has3,45.0044664,-0.1490051,0.102106668,-1.460689055,0.144100794,0.799089613
Gm2004,43.53968804,0.004874836,0.060076474,0.052747862,0.957932803,0.993827721
Ttc25,44.56749224,0.019165682,0.103649531,0.184941899,0.853274607,0.981088
Slc38a5,44.85123252,0.037095842,0.103764549,0.371471201,0.710286602,0.954408124
Emp1,44.21690654,-0.060789355,0.102354417,-0.586936137,0.557246598,0.920143069
Slc16a3,44.53113625,0.136620111,0.103256359,1.352975978,0.176063305,0.812582018
A330076H08Rik,45.00517067,-0.15339347,0.104232696,-1.485773238,0.137339111,0.797682944
Gm43254,44.68907651,-0.003298316,0.099992181,-0.00499277,0.996016362,0.999941395
Gm12693,44.28004519,0.041865013,0.100105255,0.409446563,0.682211974,0.949498191
Haus7,119.2028723,-0.172925933,0.082209799,-2.101395678,0.035606247,0.73082813
Gm20045,45.07067647,-0.145374025,0.104035024,-1.398261724,0.162034488,0.806933092
Zfp442,44.17763986,0.077781796,0.101018527,0.812670004,0.416407284,0.883418995
Slc7a7,44.16000768,0.124229513,0.102623517,1.209646993,0.226414378,0.828508179
1700008J07Rik,44.29777046,-0.057690168,0.102906142,-0.555304322,0.578686523,0.925566858
Lrrc6,43.93416527,-0.020448347,0.103030029,-0.196777593,0.844001586,0.978480018
