,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm43682,74.72168348,-0.120112727,0.157923001,-0.725246726,0.468300682,0.685739956
Ankrd12,759.9143883,-0.120092104,0.139636954,-0.778108542,0.436505027,0.664071891
Gm9619,2.994035545,-0.120080104,0.161146143,-0.73008831,0.465336207,NA
Mir6931,0.936426499,-0.120051507,0.085087642,-1.427936021,0.153310274,NA
Gm49130,9.06432177,-0.120039232,0.19426776,-0.508415484,0.611161996,NA
Snrnp200,1597.228956,-0.120035497,0.128219618,-0.87464408,0.381767595,0.617758716
Tax1bp1,1995.074945,-0.119976693,0.094642281,-1.267013409,0.205150495,0.451787683
Dph1,141.9563621,-0.119928214,0.153699354,-0.755824727,0.449754289,0.672828766
Arl6ip6,158.4314654,-0.119925147,0.122720427,-0.967490549,0.333298864,0.576529382
Gm11521,1.085692753,-0.119908593,0.100784204,-1.139063201,0.254676795,NA
1700016J18Rik,1.680098958,-0.119840273,0.137131711,-0.960714802,0.336695587,NA
9030624G23Rik,12.62177569,-0.119837701,0.195258002,-0.523570182,0.600577526,NA
Tmem87b,526.2271463,-0.119804693,0.113354286,-1.04597629,0.295571979,0.542734798
Nek3,30.11470142,-0.119742725,0.185726627,-0.693728527,0.487852473,0.700468349
Ubxn11,191.9605041,-0.119664283,0.162071829,-0.827949122,0.407699314,0.639777647
Gm38408,1.97470979,-0.119632103,0.135817189,-0.598110099,0.549766472,NA
Mfap2,57.84299798,-0.119616463,0.162038493,-0.775685456,0.437934729,0.665204174
Rrp36,210.4208504,-0.119601535,0.118437764,-1.01226119,0.311413186,0.556302508
Adipor2,927.870746,-0.119522344,0.106729164,-1.101069584,0.270866374,0.519880109
Arhgef25,4618.977156,-0.119507915,0.095512192,-1.23272774,0.217677359,0.464363667
Gm38037,2.047631779,-0.119474904,0.134991632,-0.854458251,0.392851132,NA
Ccndbp1,669.3623466,-0.119472241,0.092516548,-1.290302122,0.196945781,0.441876677
Foxj2,521.9902774,-0.119462565,0.123544882,-0.930477194,0.352124067,0.592418705
St3gal1,371.7376695,-0.119395103,0.120156638,-0.918007938,0.35861471,0.597610113
Cntnap5b,111.9057122,-0.119351436,0.175523737,-0.55729272,0.577327449,0.760841922
Auts2,1401.492277,-0.119342903,0.147300809,-0.723615172,0.469302024,0.686400768
Pmfbp1,3.85036527,-0.119340663,0.152679652,-0.878880524,0.37946606,NA
Gm17538,1.318219534,-0.11923356,0.10046469,-1.121542223,0.262057129,NA
AC126055.1,5.297717998,-0.11918319,0.1713469,-0.481877003,0.629893324,NA
Gm15452,1.183893307,-0.119178135,0.108366831,-1.049979152,0.293727698,NA
Znhit1,440.7581023,-0.119175124,0.081056635,-1.480437437,0.138756545,0.378397208
Cct5,2353.244263,-0.119155998,0.085273406,-1.402720841,0.1607001,0.40482978
Plpp4,88.60311694,-0.119147056,0.159462661,-0.710750244,0.477239018,0.693314206
Gm3219,10.34097392,-0.119110083,0.191356762,-0.656154614,0.511724648,NA
Cdh24,195.2819696,-0.119041648,0.164984827,-0.664394849,0.506437629,0.711968147
Gm14978,1.353881637,-0.119012301,0.123257186,-0.94953717,0.342347477,NA
Gm16166,0.937306465,-0.118977195,0.101359749,-1.102448789,0.27026661,NA
