X,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y
Ankfy1,798.5416085,-0.24057503,0.081658217,-2.94528027,0.003226622,0.141359326,798.5416085,0.165921732,0.079751087,2.078381298,0.037674254,0.218587771
Ankrd34b,252.7249048,0.347601764,0.139385464,2.458740129,0.01394255,0.258750492,252.7249048,-0.31917839,0.136199604,-2.304576795,0.021190287,0.178097997
Anks1,701.1079673,-0.29908127,0.133905728,-2.223331811,0.026193434,0.329422037,701.1079673,0.266142228,0.130657652,2.021999127,0.043176442,0.230050699
Anpep,53.27128341,-0.601899036,0.183991884,-3.238255262,0.001202632,0.09078849,53.27128341,0.498558501,0.181241649,2.68100673,0.007340104,0.12656743
Anxa1,37.20207613,-0.570989582,0.1906806,-2.910612725,0.003607208,0.148786439,37.20207613,0.453922027,0.187272369,2.213005629,0.026897258,0.193711238
Anxa7,1229.639864,0.23572648,0.10163384,2.303134736,0.021271263,0.306244161,1229.639864,-0.32829279,0.098803389,-3.29829733,0.000972731,0.060521626
Aox3,40.21321962,-0.504469751,0.19399286,-2.567555091,0.010241851,0.22923219,40.21321962,0.565718799,0.192019006,2.898831945,0.003745556,0.100951977
Ap2m1,5614.354138,0.245693836,0.119773119,2.025006246,0.042866723,0.394149002,5614.354138,-0.370002128,0.116535465,-3.134047395,0.00172413,0.077026816
Ap2s1,1466.764976,0.289382776,0.088477605,3.258251021,0.001121012,0.087555889,1466.764976,-0.370035652,0.085881014,-4.290226925,1.78E-05,0.006232131
Apc,4833.529846,-0.405677286,0.166690993,-2.37985281,0.017319555,0.283068601,4833.529846,0.490939003,0.163274054,2.927983328,0.003411683,0.098259475
Apmap,721.0572715,0.274165827,0.12979189,2.083348881,0.037219434,0.377417526,721.0572715,-0.292785861,0.126548437,-2.275335317,0.022885822,0.183572187
Appl2,1817.641868,-0.347434377,0.168196016,-2.034647553,0.041886349,0.39314784,1817.641868,0.3953735,0.164824896,2.35713587,0.018416507,0.170442288
Arap1,381.0833485,-0.300557982,0.148376806,-2.000520431,0.045444096,0.402201696,381.0833485,0.34297496,0.144968186,2.323853018,0.020133373,0.175325646
Arap2,1192.947912,-0.290700075,0.119915551,-2.41581813,0.015699901,0.273818387,1192.947912,0.306055616,0.116830815,2.605192061,0.009182277,0.135135853
Arhgap23,2888.190778,-0.341206417,0.126844664,-2.678339177,0.007398825,0.199197747,2888.190778,0.287099713,0.123536975,2.309252651,0.020929565,0.176827841
Arhgap29,252.1880761,-0.318527067,0.154545353,-1.990196739,0.046569267,0.406904399,252.1880761,0.389678266,0.150553192,2.47131087,0.013461874,0.152113313
Arhgap31,488.5430808,-0.251783757,0.124199156,-2.034960717,0.041854826,0.39314784,488.5430808,0.261620039,0.121498902,2.161172449,0.030682021,0.203980411
Arhgef10l,979.0159054,-0.364907035,0.153249368,-2.368093501,0.017880017,0.28657626,979.0159054,0.421201494,0.149831826,2.793774678,0.005209676,0.112461514
Arhgef12,4213.034841,-0.471222499,0.132348748,-3.508382392,0.000450841,0.050201092,4213.034841,0.298201471,0.128890149,2.245444851,0.024739589,0.18867393
Arhgef17,6752.72288,-0.30465508,0.140956822,-2.1602113,0.030756316,0.348128667,6752.72288,0.322952549,0.137472643,2.349023318,0.018822728,0.170782787
Arid1a,2111.827455,-0.299282588,0.104888398,-2.852187708,0.004341945,0.160489828,2111.827455,0.208219241,0.102062605,2.039714996,0.04137872,0.227120802
Armcx1,771.3697803,0.272121615,0.11469132,2.351586099,0.018693563,0.291157468,771.3697803,-0.226232508,0.111665331,-2.000219237,0.045476595,0.233117117
Arrb1,6010.319745,-0.363787093,0.171977497,-2.063329976,0.039081288,0.383870302,6010.319745,0.455706078,0.168676796,2.625516669,0.008651757,0.132134963
Asgr1,22.60497347,-0.663147632,0.196122293,-3.308780075,0.000937034,0.079643736,22.60497347,0.681343879,0.193763057,3.027612498,0.002464939,0.0882819
Ash1l,2113.382192,-0.20392193,0.095682021,-2.137526974,0.032555154,0.35758485,2113.382192,0.196788888,0.093124385,2.120294017,0.033981258,0.210681965
Aspa,275.4270663,-0.304284009,0.149218951,-2.004118367,0.045057382,0.401371163,275.4270663,0.345209132,0.145699853,2.309910424,0.020893114,0.176827841
Atf4,1532.820339,0.213329264,0.087428035,2.42792791,0.015185361,0.269196416,1532.820339,-0.291907155,0.084919725,-3.41928582,0.000627857,0.051538605
Atp1b2,8253.73765,-0.256021338,0.122877112,-2.083335846,0.037220622,0.377417526,8253.73765,0.314046773,0.119598374,2.623109472,0.008713127,0.132134963
Atp5d,2846.93603,0.216829225,0.074360356,2.91391501,0.003569271,0.148786439,2846.93603,-0.175961591,0.072085291,-2.438450605,0.014750374,0.158617629
Atp6v0a2,1074.610651,-0.262170441,0.09703059,-2.685789074,0.007235875,0.198025118,1074.610651,0.268684649,0.094330555,2.822846187,0.00475994,0.10982128
Atp6v0e2,4659.894434,0.221507826,0.111956318,1.962085506,0.04975253,0.416732993,4659.894434,-0.315713374,0.108850939,-2.873677843,0.004057226,0.105309296
Atp6v1d,2438.911752,0.326604574,0.157800084,2.005123166,0.044949881,0.400820141,2438.911752,-0.405020181,0.154336742,-2.538248049,0.011140899,0.143826859
Atp6v1e1,3650.231638,0.249610657,0.116826906,2.113278821,0.03457691,0.367749765,3650.231638,-0.33826091,0.113648714,-2.940926102,0.003272326,0.097774889
Atp6v1h,2067.048849,0.286234323,0.123985443,2.286364732,0.02223293,0.308950528,2067.048849,-0.396770758,0.120692642,-3.251560118,0.001147735,0.063612997
