X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_MInhibvsMCtrl
Eps15l1,477.437725,-0.374868247,0.127694629,-2.889400588,0.00385977,0.102530798,Eps15l1
Fzr1,911.7959011,-0.374751697,0.167532752,-2.151703049,0.03142075,0.205771719,Fzr1
Afg3l2,935.9364226,-0.374701735,0.139488964,-2.622769074,0.008721837,0.132134963,Afg3l2
Sh2d3c,189.2864783,-0.374683694,0.164137009,-2.232434814,0.025586239,0.19002992,Sh2d3c
Prpf6,725.0029006,-0.37451868,0.170727404,-2.108630128,0.03497652,0.212707902,Prpf6
Sprn,2342.311643,-0.374434755,0.163071934,-2.196950967,0.028023948,0.197211012,Sprn
Sart3,602.3747797,-0.374402218,0.163401632,-2.189062503,0.028592297,0.198771339,Sart3
Kti12,87.30262707,-0.374302328,0.154134079,-2.359398356,0.018304595,0.170047031,Kti12
Bcat1,1089.09591,-0.374043854,0.161260946,-2.236131239,0.025343176,0.189763174,Bcat1
Pianp,1662.36529,-0.373851473,0.154504774,-2.315361305,0.020593167,0.176514573,Pianp
Abcg1,776.8936836,-0.373498907,0.156615377,-2.300707293,0.021408182,0.178821995,Abcg1
Gpn2,115.168803,-0.373171834,0.140431263,-2.645157644,0.008165287,0.129840149,Gpn2
Lrrc32,32.75519401,-0.373051885,0.187835781,-2.054387859,0.039938167,0.223601061,Lrrc32
Cwc25,209.7146032,-0.37282329,0.152333937,-2.399817627,0.016403242,0.164852085,Cwc25
Gopc,613.0304024,-0.372567837,0.154774792,-2.315478091,0.020586782,0.176514573,Gopc
Flrt3,481.319215,-0.372544127,0.157142725,-2.307488162,0.021027621,0.177231864,Flrt3
Cacna2d3,973.5152213,-0.372450699,0.168440303,-2.111370915,0.034740443,0.212610357,Cacna2d3
Efnb1,206.1360744,-0.372392691,0.155096376,-2.380395448,0.017294068,0.168077917,Efnb1
Tepsin,172.0126911,-0.372353406,0.149410255,-2.461371609,0.013840693,0.153676465,Tepsin
Eipr1,571.8343167,-0.372303852,0.136862838,-2.650502092,0.008037223,0.129840149,Eipr1
Pnma2,847.8189352,-0.372231819,0.127207272,-2.879086418,0.00398829,0.104625203,Pnma2
Dpp6,3986.279672,-0.372060667,0.168488229,-2.091532746,0.036480334,0.21634335,Dpp6
Tecr,3958.199737,-0.371615152,0.135937245,-2.672281074,0.007533752,0.127274443,Tecr
Tnfrsf12a,62.31361796,-0.371524833,0.165511207,-2.269865976,0.023215716,0.18420851,Tnfrsf12a
Shb,171.1779617,-0.371311497,0.172486343,-2.109631818,0.034890081,0.212707902,Shb
Fam110b,514.8675187,-0.371085786,0.156615901,-2.280588975,0.02257278,0.182679049,Fam110b
Capn1,278.5280219,-0.37091748,0.16405951,-2.154331426,0.03121419,0.205511024,Capn1
Snx32,742.2355808,-0.370907137,0.161757933,-2.202621768,0.027621418,0.195940008,Snx32
Crhbp,415.9642306,-0.370766909,0.12225709,-3.057787221,0.002229778,0.085608394,Crhbp
Gm36995,3.637672012,-0.370730089,0.166564738,-2.150369445,0.031526003,NA,Gm36995
Tbc1d24,1195.811458,-0.3703185,0.128524531,-2.840128699,0.004509534,0.108623156,Tbc1d24
Rgmb,1089.171157,-0.370299625,0.160748453,-2.22250093,0.026249471,0.192152907,Rgmb
Chrnb2,653.6190523,-0.370212122,0.175046208,-2.000793031,0.045414699,0.233048696,Chrnb2
Ina,2341.983976,-0.369873637,0.16556409,-2.123411182,0.033719411,0.21028988,Ina
Zfp831,509.4288835,-0.369847534,0.157133014,-2.27009033,0.023202103,0.184204956,Zfp831
Rsl1,49.3943653,-0.36972543,0.16231896,-2.214776497,0.026775409,0.193674207,Rsl1
Pkm,15175.94434,-0.369668115,0.157468747,-2.247977823,0.024577604,0.18867393,Pkm
Gspt2,307.7128706,-0.369570797,0.176548396,-1.963535483,0.049583986,0.241898313,Gspt2
Amigo2,340.4150118,-0.369389063,0.176107091,-1.970201966,0.048815228,0.240134438,Amigo2
Scn3b,2677.732361,-0.36929625,0.171339858,-2.024002402,0.042969905,0.229697355,Scn3b
Midn,703.2496033,-0.369267055,0.141278996,-2.599609807,0.009332981,0.135508604,Midn
Armc7,131.336299,-0.36891785,0.145304474,-2.502104674,0.012345742,0.148340074,Armc7
Anapc7,458.8084549,-0.368712399,0.155396526,-2.32031522,0.020323831,0.175745659,Anapc7
Mfsd5,512.7445472,-0.368548482,0.137040265,-2.638350745,0.008331036,0.130333677,Mfsd5
Tdrp,254.3695216,-0.368491074,0.129038734,-2.860558501,0.004228955,0.105906526,Tdrp
D830024N08Rik,3.440724324,-0.368466342,0.167099847,-2.141096352,0.032266269,NA,D830024N08Rik
Wdr47,1537.262934,-0.36839843,0.160758744,-2.19112355,0.028442853,0.198172486,Wdr47
Nrp2,916.6497236,-0.368396194,0.157936786,-2.26334211,0.023614608,0.185878361,Nrp2
P4htm,1105.206965,-0.368331881,0.142043419,-2.531487121,0.011357999,0.144603607,P4htm
Prickle1,1023.711474,-0.368234265,0.158819394,-2.228735004,0.025831542,0.190990181,Prickle1
Lrp11,3053.599031,-0.368085236,0.15235216,-2.34671322,0.018939826,0.170782787,Lrp11
Parm1,827.0609199,-0.367863742,0.166639234,-2.112272468,0.034663086,0.212390002,Parm1
Reep2,1081.537867,-0.367729375,0.164810761,-2.127294737,0.033395602,0.209155207,Reep2
Col7a1,28.67543214,-0.367580264,0.185948527,-1.992202298,0.046348866,0.235060659,Col7a1
Fkbp1a,8095.280853,-0.367376987,0.12706798,-2.859053023,0.004249078,0.105906526,Fkbp1a
Cstf2t,1279.848844,-0.367344093,0.139946992,-2.568298087,0.010219923,0.138196471,Cstf2t
Bex1,509.5414662,-0.367335069,0.115587001,-3.156158832,0.001598618,0.075298475,Bex1
Psen2,211.0590658,-0.367284046,0.14845736,-2.449517724,0.014304767,0.155987558,Psen2
Gal3st3,945.5214052,-0.367235352,0.142547773,-2.499139595,0.012449526,0.148859174,Gal3st3
Grin1,3922.321187,-0.367129394,0.169141596,-2.046379293,0.040719068,0.225858243,Grin1
Nalcn,1332.276073,-0.367113571,0.149738364,-2.377508391,0.017430046,0.168077917,Nalcn
Tada2a,240.0237873,-0.367091489,0.130926352,-2.769717487,0.005610493,0.114754272,Tada2a
Zscan18,254.3409957,-0.367003025,0.141300031,-2.524358013,0.011590982,0.145091307,Zscan18
Kcnip4,457.7423476,-0.366785368,0.164727814,-2.065368956,0.038888104,0.221532964,Kcnip4
2310022A10Rik,264.3043967,-0.366288725,0.141844999,-2.516405225,0.011855878,0.146146498,2310022A10Rik
Pspc1,578.3276742,-0.365742848,0.145582268,-2.441302065,0.014634408,0.15769376,Pspc1
Slc35f4,141.9305487,-0.365620707,0.152985771,-2.339382495,0.019315647,0.172272113,Slc35f4
C1s2,4.373528789,-0.365525192,0.169349999,-2.10651677,0.035159488,NA,C1s2
Dnajc2,310.2579188,-0.365429218,0.144030528,-2.486114756,0.012914631,0.150276566,Dnajc2
Pja2,7151.785644,-0.364965536,0.171822752,-1.999113235,0.045596103,0.233410886,Pja2
Htr5a,141.9472651,-0.364956115,0.154420181,-2.253580788,0.024222553,0.188350791,Htr5a
Rdh13,271.6855883,-0.364786791,0.126442078,-2.895334605,0.003787546,0.101689516,Rdh13
Maea,1124.288449,-0.364772934,0.142567497,-2.509174291,0.012101376,0.148022202,Maea
Nt5dc3,2578.386425,-0.364251241,0.157675615,-2.232396095,0.025588796,0.19002992,Nt5dc3
Tmppe,98.83167853,-0.363999269,0.171139157,-2.122586042,0.033788556,0.210414895,Tmppe
Cntn3,229.8529332,-0.363982393,0.14131665,-2.526397484,0.011523902,0.145091307,Cntn3
Wasl,1773.660862,-0.363771467,0.167776938,-2.063593818,0.039056244,0.221802346,Wasl
Fkbp4,1612.978593,-0.363678357,0.140520271,-2.540570207,0.011067187,0.143421864,Fkbp4
Gtf2f1,812.9492369,-0.363497893,0.131701879,-2.696543739,0.00700632,0.124751412,Gtf2f1
Prdm12,6.453548866,-0.363409498,0.141369134,-2.165697523,0.030334308,NA,Prdm12
Zfp61,153.358959,-0.363387177,0.1696206,-2.080005069,0.037525068,0.218270957,Zfp61
Tspyl2,1070.828884,-0.363359044,0.146078857,-2.402525363,0.016282305,0.164643367,Tspyl2
Tfip11,559.5025933,-0.363207719,0.164174073,-2.124222309,0.033651559,0.210133388,Tfip11
Fbll1,469.2741536,-0.363163695,0.148734324,-2.38625856,0.01702078,0.167645568,Fbll1
Zfp949,233.2722805,-0.362986102,0.104944289,-3.438647704,0.000584628,0.049711639,Zfp949
Asns,987.5164994,-0.362644583,0.169877673,-2.026565653,0.042706852,0.228955317,Asns
Slc9a2,362.0077003,-0.362582123,0.14695106,-2.431676442,0.015029126,0.160271317,Slc9a2
St8sia3,1295.216253,-0.362507909,0.166448665,-2.063499406,0.039065204,0.221802346,St8sia3
Chrm1,2822.011842,-0.362477801,0.158152939,-2.171034945,0.029928531,0.201932981,Chrm1
Rpusd4,131.9769416,-0.362461684,0.12930815,-2.794355619,0.005200326,0.112461514,Rpusd4
Ebf3,33.02800487,-0.362256097,0.194962511,-2.031011968,0.042253781,0.228269508,Ebf3
Slc27a4,1114.639855,-0.362145525,0.154275417,-2.258717027,0.023900993,0.187034148,Slc27a4
Tchp,122.1139229,-0.362012994,0.133663033,-2.668252073,0.007624703,0.128030745,Tchp
Catsperz,50.46408958,-0.361930467,0.16164248,-2.263865181,0.023582408,0.185878361,Catsperz
Dgkb,2500.991339,-0.361849103,0.136805151,-2.589584836,0.009609174,0.135626722,Dgkb
Spry3,142.78167,-0.361743191,0.156274687,-2.201894414,0.027672768,0.195955626,Spry3
Slc45a1,587.5869327,-0.361599418,0.148066424,-2.37149235,0.017716413,0.168077917,Slc45a1
Rhob,5981.096358,-0.361559481,0.133467191,-2.64755212,0.008107686,0.129840149,Rhob
Map9,1139.895319,-0.361272427,0.17302979,-1.964240276,0.049502234,0.241739463,Map9
Prrt3,821.3610681,-0.361237525,0.138827904,-2.523119158,0.011631898,0.145091307,Prrt3
Lurap1l,444.908439,-0.361222829,0.142752046,-2.474257205,0.013351354,0.151983178,Lurap1l
Ints5,238.6561197,-0.361220237,0.164539227,-2.122574075,0.033789559,0.210414895,Ints5
Ugcg,837.4409974,-0.36055362,0.159787568,-2.165171829,0.030374529,0.202629719,Ugcg
Snrpa,631.2691427,-0.360319551,0.159086693,-2.174774611,0.029647011,0.201150682,Snrpa
Sh3bp4,387.8126552,-0.360130372,0.14401052,-2.482816314,0.013034828,0.150663905,Sh3bp4
Tmem200a,332.6975768,-0.360101001,0.151507017,-2.30098579,0.021392434,0.178791757,Tmem200a
Trim3,1347.982477,-0.360077067,0.172918049,-1.979298365,0.047782424,0.23839161,Trim3
Prkar1b,6830.546713,-0.359792149,0.155751343,-2.223763909,0.026164333,0.191980925,Prkar1b
Trappc5,503.0590195,-0.359625626,0.118361533,-3.021185996,0.002517866,0.088594044,Trappc5
Erlin1,278.4928994,-0.35962109,0.109822793,-3.279317784,0.001040584,0.06211206,Erlin1
Zfp1,209.956297,-0.359525557,0.148525614,-2.377151308,0.01744693,0.168077917,Zfp1
Gm16310,3.968416144,-0.359266762,0.146021519,-2.330150226,0.019798213,NA,Gm16310
Dcun1d2,459.39789,-0.359120471,0.133568209,-2.632937406,0.008464995,0.130954266,Dcun1d2
Lig4,154.7178287,-0.358787936,0.156957256,-2.240323538,0.025069926,0.189022639,Lig4
Gm22540,3.737111652,-0.358685094,0.171227227,-2.056063261,0.039776419,NA,Gm22540
Penk,309.1887341,-0.358597923,0.180693734,-1.969438615,0.048902745,0.240164281,Penk
Galnt18,632.753134,-0.358516031,0.170695068,-1.980329444,0.047666522,0.23819872,Galnt18
Pex5,609.8872505,-0.358345586,0.156786275,-2.218595662,0.026514245,0.192791372,Pex5
Gpr158,1273.367537,-0.358334741,0.167638538,-2.020410206,0.043340856,0.230063215,Gpr158
Cdc40,756.2258744,-0.358233475,0.156561273,-2.199837921,0.027818396,0.196514911,Cdc40
Cnpy3,772.802347,-0.358219625,0.140812902,-2.471502397,0.013454665,0.152113313,Cnpy3
Exoc1,561.6693367,-0.358054379,0.138393739,-2.537458866,0.011166049,0.143991579,Exoc1
Slc35f3,467.0743496,-0.357655988,0.169414216,-2.033389896,0.042013147,0.227811915,Slc35f3
Fkbp1b,314.5031101,-0.357626611,0.095228758,-3.739760686,0.000184196,0.02743025,Fkbp1b
Itm2c,12771.58394,-0.357624143,0.135453641,-2.593290939,0.009506232,0.135626722,Itm2c
Ppid,825.3679838,-0.357546632,0.135976652,-2.578938088,0.009910455,0.137393829,Ppid
Porcn,681.7286575,-0.357148973,0.164806848,-2.07907066,0.037610856,0.21838149,Porcn
Pak1,3490.766566,-0.35707876,0.148027847,-2.319523295,0.02036668,0.176005836,Pak1
Por,1115.260416,-0.356899392,0.139582492,-2.482402134,0.013049991,0.150663905,Por
Chl1,2248.030868,-0.356797701,0.158095591,-2.193263303,0.028288414,0.197942894,Chl1
Rgs2,507.6602546,-0.356542851,0.112381045,-3.157267792,0.00159255,0.075298475,Rgs2
Mphosph8,390.6926372,-0.356342176,0.157218701,-2.192517789,0.02834214,0.197942894,Mphosph8
Bambi,121.2007752,-0.356226997,0.17705969,-2.008549654,0.044584915,0.231628392,Bambi
Cadps,3071.71368,-0.356146206,0.130901743,-2.666259572,0.007670045,0.128238024,Cadps
Slc2a6,308.9978004,-0.355934924,0.162472946,-2.100594241,0.0356766,0.214037789,Slc2a6
Tspyl1,2525.965977,-0.35581582,0.170343133,-1.973705401,0.048415251,0.240087803,Tspyl1
Gpr176,201.0847723,-0.355681566,0.145055538,-2.431641849,0.015030562,0.160271317,Gpr176
Gmppb,131.420494,-0.3554133,0.149966482,-2.312744881,0.02073667,0.176801864,Gmppb
Nck2,678.7107507,-0.355005358,0.158766872,-2.169997353,0.030007046,0.201932981,Nck2
Atxn10,3021.948141,-0.354939757,0.133856675,-2.593094044,0.009511676,0.135626722,Atxn10
Tmem198,903.2506564,-0.35491802,0.136356296,-2.552840596,0.010684838,0.141191508,Tmem198
Mirg,111.2122474,-0.354468436,0.170997126,-2.029854959,0.042371285,0.228307691,Mirg
Cars,444.6933583,-0.353882565,0.161137376,-2.114843765,0.034443265,0.211605797,Cars
Zfp503,145.430956,-0.353865931,0.129499194,-2.737671155,0.006187591,0.119251767,Zfp503
Cpeb1,906.1152727,-0.353849256,0.145396215,-2.352980677,0.018623602,0.170698158,Cpeb1
Mdh2,3393.982122,-0.353798437,0.122536637,-2.837657701,0.004544589,0.108869445,Mdh2
Dnaja4,540.0649091,-0.353355439,0.131868065,-2.679508245,0.007373039,0.126792026,Dnaja4
Slc39a14,478.7795891,-0.353322302,0.133466935,-2.590906256,0.009572356,0.135626722,Slc39a14
Nr4a3,1297.542344,-0.353275935,0.140404247,-2.491980093,0.012703316,0.149690461,Nr4a3
Gdi1,6578.869958,-0.353150429,0.150180987,-2.274946244,0.022909155,0.183582275,Gdi1
Pcdha9,49.02275853,-0.353023269,0.172951382,-2.061186701,0.039285232,0.22193413,Pcdha9
Tmem117,95.32181095,-0.352867813,0.169588047,-2.074577152,0.038025741,0.220000512,Tmem117
Urb2,141.0323734,-0.352861963,0.164234373,-2.104030378,0.035375797,0.213710826,Urb2
Fscn1,2321.019944,-0.352831013,0.165433225,-2.037509999,0.041598961,0.227229893,Fscn1
Gnpnat1,2.923450482,-0.352798716,0.142451562,-2.450143515,0.014279929,NA,Gnpnat1
Kdm5b,836.4763921,-0.352713553,0.138872002,-2.467148809,0.013619375,0.152924934,Kdm5b
Cpne4,1355.91074,-0.3525985,0.143210093,-2.385295871,0.01706539,0.167730032,Cpne4
Cyp4x1,159.0072448,-0.352468334,0.172077373,-2.013969209,0.044012766,0.230954732,Cyp4x1
Spryd3,1788.091352,-0.352356789,0.144317101,-2.372975156,0.017645451,0.168077917,Spryd3
Cacna2d1,2404.571252,-0.352337985,0.15637857,-2.1763065,0.02953235,0.201150682,Cacna2d1
Usp15,837.0367333,-0.352289635,0.154594226,-2.188019132,0.028668209,0.198896659,Usp15
Fgl1,3.410068913,-0.352159795,0.158509015,-2.135672255,0.032706137,NA,Fgl1
Csnk1g1,406.5187233,-0.351566331,0.148864313,-2.3017899,0.021347023,0.178513424,Csnk1g1
Cpa6,2.988365913,-0.351449765,0.151880519,-2.193127971,0.02829816,NA,Cpa6
Galnt7,147.7843276,-0.350995537,0.16378911,-2.101553842,0.035592377,0.2138603,Galnt7
Hsp90ab1,21166.67123,-0.350905638,0.153790864,-2.209791541,0.027119633,0.194751462,Hsp90ab1
Agpat4,823.6506873,-0.350799188,0.137195487,-2.502741473,0.012323553,0.148194239,Agpat4
Fbxo46,187.6483906,-0.350746223,0.159784837,-2.1635801,0.03049659,0.203168201,Fbxo46
Twf2,549.9513869,-0.350682476,0.109752651,-3.159346457,0.001581234,0.075298475,Twf2
Rnf2,501.286702,-0.350474215,0.133785559,-2.60139449,0.009284562,0.135429925,Rnf2
Rbmxl1,499.6436243,-0.349874332,0.118882069,-2.919615282,0.003504637,0.099642093,Rbmxl1
Hpca,22362.72044,-0.349549109,0.14895535,-2.25822804,0.023931446,0.187108618,Hpca
Gdap2,377.1979239,-0.349525963,0.165835437,-2.041175001,0.041233436,0.226812707,Gdap2
Thsd7b,147.7444394,-0.349408788,0.157018692,-2.198311745,0.027926898,0.196731617,Thsd7b
Prr3,289.1159188,-0.349256166,0.136644798,-2.504499913,0.012262464,0.148022202,Prr3
Ppa1,790.620566,-0.349194421,0.149379052,-2.272966159,0.023028219,0.183769331,Ppa1
Cstf1,330.7854859,-0.348984363,0.152299749,-2.223037076,0.0262133,0.191983449,Cstf1
Cptp,208.0747233,-0.348895178,0.144729334,-2.330402016,0.019784913,0.174041929,Cptp
Pygo2,735.8460973,-0.348833297,0.124902684,-2.75926671,0.005793123,0.116518441,Pygo2
Tob1,644.7817919,-0.348710101,0.124256619,-2.766543121,0.005665409,0.115048385,Tob1
Thap1,145.182412,-0.348425047,0.129060888,-2.718568758,0.006556503,0.121118546,Thap1
Morf4l2,2967.17616,-0.3483891,0.118024803,-2.929745983,0.003392392,0.098259475,Morf4l2
Lmtk3,3670.372914,-0.347790537,0.160734527,-2.066005437,0.038827966,0.221532781,Lmtk3
Polr1b,191.0146154,-0.347782908,0.147484837,-2.348063358,0.018871311,0.170782787,Polr1b
Slc4a1ap,331.8189479,-0.34744701,0.150217256,-2.21384006,0.026839783,0.193711238,Slc4a1ap
Farsa,472.0188836,-0.347269121,0.147126042,-2.295883679,0.021682533,0.179890595,Farsa
Ctps,381.6267992,-0.346892399,0.15290328,-2.190284733,0.028503593,0.198408157,Ctps
Ywhab,8509.180544,-0.34686533,0.136376047,-2.47812159,0.013207613,0.151179996,Ywhab
Rnf150,810.6465515,-0.34658275,0.15867749,-2.094301201,0.036233157,0.215658232,Rnf150
Tmem177,116.0380959,-0.346581853,0.119512731,-2.907193296,0.003646878,0.099965174,Tmem177
Tmeff2,1067.71692,-0.34655573,0.151817552,-2.23435619,0.025459646,0.189763174,Tmeff2
Fras1,231.8993693,-0.346481028,0.167253377,-2.144111914,0.032023921,0.207164836,Fras1
Srm,654.3211441,-0.346433797,0.135719152,-2.485107246,0.012951241,0.150533263,Srm
Ttll1,409.0070904,-0.34638913,0.160950764,-2.053807753,0.039994302,0.223601061,Ttll1
Ddx18,231.6525513,-0.346359774,0.133995884,-2.535696591,0.011222392,0.143991579,Ddx18
Zfp655,455.5391688,-0.346358945,0.106556916,-3.226523525,0.001253039,0.067882118,Zfp655
Rcl1,258.8485757,-0.346347233,0.126848748,-2.724132007,0.006447073,0.12078367,Rcl1
Ptcd1,285.7162684,-0.346330964,0.142735042,-2.347016717,0.018924406,0.170782787,Ptcd1
Dlx1,466.1208957,-0.346074615,0.156496287,-2.198874658,0.027886836,0.196715609,Dlx1
Neu1,734.4708093,-0.345487392,0.130226138,-2.620102077,0.008790345,0.132240875,Neu1
Efna2,135.9862726,-0.34548357,0.136603976,-2.489790935,0.012781826,0.149690461,Efna2
Sv2b,5387.258453,-0.345334805,0.15178079,-2.223556759,0.026178281,0.191980925,Sv2b
Elmod1,2607.843504,-0.345266907,0.166392912,-1.995834992,0.045951887,0.2338518,Elmod1
Mex3a,45.3736783,-0.345251276,0.163493858,-2.108794576,0.034962317,0.212707902,Mex3a
Rnf8,65.97736472,-0.345233692,0.169965016,-2.028354232,0.042524108,0.228307691,Rnf8
Nol8,292.8871357,-0.345174558,0.125333104,-2.682958359,0.007297408,0.12656743,Nol8
Phf8,287.5337032,-0.345104758,0.136767742,-2.469284147,0.013538367,0.152479865,Phf8
Acat2,420.2350347,-0.345098636,0.106362286,-3.233016559,0.001224905,0.06667429,Acat2
Bzw2,462.1081906,-0.345082289,0.136826224,-2.504469265,0.012263526,0.148022202,Bzw2
Sox11,256.8074732,-0.34491169,0.130653156,-2.63942754,0.008304617,0.130333677,Sox11
4930467D21Rik,2.182821284,-0.344866375,0.147019807,-2.275705318,0.022863653,NA,4930467D21Rik
Ptgs2,330.0277914,-0.344659732,0.169578606,-1.962931166,0.049654173,0.242160592,Ptgs2
Ftsj3,320.6565368,-0.344424109,0.149723366,-2.220746523,0.026368134,0.19254354,Ftsj3
Mtfmt,157.44714,-0.344419593,0.135163954,-2.524578924,0.011583699,0.145091307,Mtfmt
Eftud2,1066.203462,-0.344174614,0.152744683,-2.161433188,0.030661893,0.203980411,Eftud2
Slc9a1,832.2766689,-0.343646161,0.162319174,-2.009203037,0.044515606,0.231628392,Slc9a1
Ttc39c,393.0794237,-0.343625973,0.167495884,-1.989630588,0.046631644,0.235926674,Ttc39c
Gm49336,685.5253872,-0.343488647,0.117830478,-2.887697843,0.003880725,0.102717278,Gm49336
Polr1e,82.80451202,-0.342931531,0.138804195,-2.465983515,0.013663762,0.152957363,Polr1e
Icam5,3543.546515,-0.342284773,0.140729756,-2.38170236,0.01723282,0.16806113,Icam5
Ttc27,203.4784708,-0.342126836,0.162538735,-2.028858278,0.042472727,0.228307691,Ttc27
Dpysl4,567.8802176,-0.341783446,0.156433574,-2.053950288,0.039980503,0.223601061,Dpysl4
Polr3e,413.3597611,-0.341672259,0.118026511,-2.860792904,0.00422583,0.105906526,Polr3e
Topors,323.1344918,-0.341420585,0.131916778,-2.548636948,0.010814482,0.14190687,Topors
Borcs5,422.487168,-0.341137211,0.148141033,-2.216435266,0.026661707,0.193251495,Borcs5
Rangap1,2379.335227,-0.341126587,0.163394718,-1.983729057,0.047286052,0.237618375,Rangap1
Trappc12,839.2258892,-0.34103059,0.143407028,-2.291321518,0.021944825,0.180814012,Trappc12
Syt17,1038.730919,-0.341021053,0.114069993,-2.953026576,0.003146749,0.0970241,Syt17
Zbtb21,271.2474854,-0.340792754,0.118704909,-2.855556665,0.004296146,0.105906526,Zbtb21
Nifk,307.8613129,-0.340659225,0.137374314,-2.462635746,0.013791995,0.153676465,Nifk
Jdp2,419.221236,-0.340123056,0.153127206,-2.141439282,0.03223863,0.207733445,Jdp2
Rpusd1,705.9945997,-0.339818938,0.106194344,-3.146554523,0.001652065,0.075659864,Rpusd1
Kdm1a,798.0467984,-0.339785759,0.123861462,-2.715986821,0.006607855,0.121118546,Kdm1a
Dact1,84.53592467,-0.339728093,0.165415571,-2.07366051,0.038110851,0.220189331,Dact1
Zkscan6,183.3869741,-0.339643063,0.151215176,-2.183325796,0.029011826,0.199869792,Zkscan6
Pla2g15,321.6570682,-0.339489076,0.14798282,-2.222181725,0.026271027,0.192215261,Pla2g15
Pcdhb17,205.253343,-0.339397248,0.164394891,-1.978872899,0.047830318,0.23839161,Pcdhb17
Bahd1,855.0508471,-0.339379779,0.140122547,-2.361858802,0.018183566,0.169595974,Bahd1
Ajap1,674.1724073,-0.33935469,0.140534595,-2.366271792,0.017968248,0.169308714,Ajap1
Ppm1d,238.4148974,-0.33904569,0.125404387,-2.699694511,0.006940317,0.124025571,Ppm1d
Bcas1os1,1.517291034,-0.338440685,0.117183372,-2.424222747,0.015341193,NA,Bcas1os1
4930412M03Rik,1.732788412,-0.338252242,0.132038961,-2.253101895,0.024252725,NA,4930412M03Rik
Duox2,4.983112983,-0.338146653,0.142274198,-2.08897254,0.036710195,NA,Duox2
Gnb5,1359.163631,-0.337589489,0.15194514,-2.156809555,0.031020506,0.204899339,Gnb5
Ppp3r1,11960.59642,-0.337586059,0.143047169,-2.280923508,0.022552974,0.182679049,Ppp3r1
Rnf19b,697.2392826,-0.337560481,0.136334769,-2.442819977,0.014573005,0.1572839,Rnf19b
Gcnt2,251.2245464,-0.337486246,0.151010597,-2.2135959,0.02685659,0.193711238,Gcnt2
Snrnp40,299.5674844,-0.337213033,0.147295279,-2.225142071,0.026071702,0.191708282,Snrnp40
Coro7,690.1626266,-0.337071689,0.158964405,-2.024837366,0.042884067,0.229427708,Coro7
Rnf6,791.9053334,-0.337015887,0.143310509,-2.277926015,0.022730986,0.182927362,Rnf6
Zfp81,318.7967983,-0.336909636,0.138398209,-2.413636899,0.015794193,0.163482251,Zfp81
Hspb1,108.3978234,-0.33684481,0.177015347,-2.051545564,0.040213847,0.224233264,Hspb1
Fam118a,310.1557749,-0.336812445,0.100569366,-3.352938181,0.000799586,0.055716859,Fam118a
Hars,909.314749,-0.336755273,0.134787244,-2.447210701,0.014396665,0.156494933,Hars
Adarb2,274.1760995,-0.33658336,0.151592332,-2.136749555,0.032618367,0.208151102,Adarb2
Aacs,542.509741,-0.336270082,0.157321334,-2.097697862,0.035931844,0.214993172,Aacs
Gm1821,201.3860464,-0.336251278,0.136903631,-2.442868102,0.014571062,0.1572839,Gm1821
Zscan22,130.5552007,-0.336125466,0.139591754,-2.355877048,0.018479033,0.17061009,Zscan22
Nrgn,17411.74334,-0.335991036,0.152079162,-2.121416582,0.033886761,0.210603547,Nrgn
Fig4,514.3300584,-0.335871214,0.146446681,-2.231477685,0.025649504,0.190126021,Fig4
Hspbap1,55.26083199,-0.335830712,0.164562926,-1.971873918,0.048624001,0.240134438,Hspbap1
Ints9,145.3431549,-0.335693683,0.15751592,-2.076246449,0.037871163,0.219557436,Ints9
Vstm2b,585.3324618,-0.33555005,0.143631009,-2.272646127,0.023047514,0.183769331,Vstm2b
Baiap2l2,41.79728971,-0.335415617,0.170753581,-1.960019062,0.049993562,0.242754391,Baiap2l2
Rras2,271.8569146,-0.335332545,0.132481577,-2.498298272,0.012479115,0.148971324,Rras2
Inka2,1264.843026,-0.335327219,0.152051713,-2.107408352,0.035082198,0.21289775,Inka2
Zfp354a,95.80640521,-0.33531845,0.144161229,-2.353385495,0.018603337,0.170698158,Zfp354a
Tarsl2,424.3905473,-0.335218376,0.131209668,-2.504158893,0.01227429,0.148022202,Tarsl2
Ap3m2,1770.678821,-0.335028158,0.142055428,-2.291547892,0.021931745,0.180814012,Ap3m2
Kmt5a,768.4359389,-0.334911972,0.100895149,-3.297143393,0.000976736,0.060521626,Kmt5a
Gpr135,280.852419,-0.334883854,0.126399221,-2.639189155,0.00831046,0.130333677,Gpr135
Pik3cb,493.6510867,-0.334842096,0.133364101,-2.459513467,0.013912548,0.154104201,Pik3cb
CT025601.1,3.208439849,-0.33483205,0.137496728,-2.175209821,0.029614397,NA,CT025601.1
Dydc1,3.031155724,-0.334684243,0.157595434,-2.043707736,0.040982428,NA,Dydc1
Tceal3,1327.653031,-0.334636481,0.1490691,-2.151471,0.031439042,0.205771719,Tceal3
Ier5,805.3811849,-0.334581089,0.161212098,-1.982496828,0.047423662,0.237835871,Ier5
Elmsan1,455.9349723,-0.334525452,0.126478489,-2.588880228,0.009628858,0.135626722,Elmsan1
Ufsp2,393.5988826,-0.334315133,0.11342444,-2.910449371,0.003609094,0.099642093,Ufsp2
Sppl3,585.1619379,-0.333967841,0.162525744,-1.99398938,0.046153215,0.234390924,Sppl3
