X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Unique_MInhibvsMCtrl
Gm10540,1.979723622,0.316714119,0.140292236,2.27196228,0.023088789,NA,Gm10540
Abat,5081.81337,0.316812598,0.132955503,2.337833874,0.019395868,0.172572889,Abat
Fam45a,644.1605555,0.316938039,0.148266844,2.064227885,0.038996115,0.221802346,Fam45a
Wwp1,714.1545384,0.316975156,0.107565151,2.91052099,0.003608267,0.099642093,Wwp1
Gm2115,2288.637255,0.317000319,0.134319009,2.321636113,0.020252538,0.175745659,Gm2115
Mir124-2hg,301.4105114,0.317110758,0.10574285,2.984634603,0.002839173,0.093804517,Mir124-2hg
Pacs2,2718.407023,0.317480838,0.141981486,2.194294549,0.028214241,0.197942894,Pacs2
Hba-a2,39.42513813,0.317819046,0.175791492,2.231703035,0.025634597,0.190126021,Hba-a2
A330074H02Rik,4.736920748,0.317999941,0.170702678,1.997543324,0.045766193,NA,A330074H02Rik
Rasd2,1229.579091,0.318036769,0.121980685,2.63788039,0.0083426,0.130333677,Rasd2
Celf4,12514.68455,0.318561782,0.156425992,1.990043761,0.046586115,0.235910848,Celf4
Garnl3,474.3836056,0.318688037,0.132187355,2.406527498,0.016104992,0.164088383,Garnl3
Zfr,5733.044789,0.31936149,0.110946405,2.857675298,0.004267568,0.105906526,Zfr
Adgre5,120.1559031,0.32061265,0.157025549,2.028604925,0.042498547,0.228307691,Adgre5
Cbx6,10261.84557,0.321282914,0.154771214,2.036453903,0.041704797,0.227406766,Cbx6
Mpp6,708.460345,0.321300315,0.152409084,2.011669705,0.044254766,0.231164446,Mpp6
Hnrnpul1,1949.550956,0.321712292,0.104581089,3.062447716,0.002195348,0.085498086,Hnrnpul1
Meis2,1087.222589,0.322254311,0.136354756,2.340623659,0.019251562,0.171917507,Meis2
Tmem134,550.7336621,0.322403078,0.147126058,2.141109339,0.032265222,0.207813964,Tmem134
Acbd5,1610.551643,0.322918188,0.120840835,2.64390441,0.00819558,0.129840149,Acbd5
Lhx2,1972.897201,0.322967748,0.14866339,2.072390327,0.038229055,0.220246563,Lhx2
Btbd17,436.7380537,0.323026822,0.148655182,2.088331587,0.036767934,0.216726385,Btbd17
Cbx3-ps7,5.375656028,0.323173212,0.171653212,2.13369742,0.032867557,NA,Cbx3-ps7
Cux2,584.7058597,0.324685525,0.147467264,2.196328893,0.028068411,0.19733552,Cux2
Tacc1,2518.546998,0.324721848,0.118403458,2.737377056,0.006193126,0.119251767,Tacc1
Nr2f6,524.5863358,0.325111425,0.132616056,2.384625964,0.017096494,0.16781963,Nr2f6
Lrp5,303.6506239,0.325131823,0.149875643,2.066101798,0.038818868,0.221532781,Lrp5
Sncaip,76.84427352,0.325211588,0.146315343,2.062934596,0.039118843,0.221818883,Sncaip
Card10,138.4571244,0.325247727,0.148390751,2.168933829,0.030087708,0.202180072,Card10
Meioc,12.06690649,0.32560503,0.191612923,1.974430975,0.048332759,NA,Meioc
Pafah2,139.3546947,0.325677901,0.157875042,2.01138327,0.044284989,0.231164446,Pafah2
Tor1aip1,615.4256483,0.326004212,0.143888135,2.237256583,0.025269575,0.189689076,Tor1aip1
Pbx1,2487.898172,0.326079351,0.1192088,2.729140881,0.006349957,0.120330868,Pbx1
Dpy19l4,566.222674,0.326212691,0.141985316,2.24428971,0.024813767,0.18867393,Dpy19l4
Asb16,80.8860164,0.32635225,0.151659196,2.149297877,0.031610795,0.206253016,Asb16
Elovl5,1288.695936,0.326572115,0.131113909,2.447967641,0.014366456,0.156324078,Elovl5
Prrg1,149.1007006,0.327026361,0.16022689,1.987471202,0.046870204,0.236484401,Prrg1
