,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gm7879,24.08660997,-0.281748437,0.189435711,-1.53157108,0.125628314,0.557041821
Mrpl48-ps,35.12898149,-0.28155456,0.193925002,-1.338494551,0.180735275,0.623015999
Cit,1111.153631,-0.281525774,0.167816486,-1.684146156,0.092153426,0.504902403
Pcdhgb6,227.3238864,-0.281377469,0.13160155,-2.145518746,0.031911394,0.353785563
Acsbg1,3878.777143,-0.281323347,0.185200678,-1.460719406,0.144092461,0.583310904
Dhtkd1,101.7909504,-0.281303083,0.163596768,-1.741767374,0.081549158,0.48978768
Kmt2c,1109.445299,-0.281285316,0.103488998,-2.720429894,0.006519709,0.191044645
Cenpp,12.63720395,-0.281270739,0.195892466,-1.334656481,0.181988803,0.623487672
Zbtb41,525.4449209,-0.281105174,0.143428858,-1.915324907,0.055451081,0.433296693
Col6a6,5.223448094,-0.280938208,0.174329267,-1.60804929,0.107824384,0.528763894
Dock3,1769.020861,-0.280876596,0.14191279,-2.008053111,0.044637648,0.400419702
Nup214,518.2631358,-0.280797693,0.095558294,-2.946982362,0.003208915,0.14116057
Ska3,17.91433313,-0.280736729,0.193379195,-1.431706351,0.152227878,0.593715384
Dyrk1b,366.5186199,-0.280683828,0.107518848,-2.600551089,0.009307416,0.216476399
F730043M19Rik,510.3523221,-0.280597693,0.116201639,-2.413843024,0.015785261,0.274247382
Ppp1r3d,130.3830312,-0.280517875,0.155577974,-1.775906693,0.075748298,0.478048768
Gm5905,17.6011435,-0.280431689,0.195852637,-1.292123348,0.196314431,0.638124192
Vps29,2104.131144,-0.280370308,0.151127022,-1.803669082,0.071283199,0.468109649
Gm49209,1.714216909,-0.280328785,0.131150387,-1.969811169,0.048860016,NA
Pkn1,405.5293567,-0.280260761,0.08913492,-3.140233288,0.001688133,0.10516009
Ppard,486.0174089,-0.280246177,0.16195676,-1.699519059,0.089221427,0.500356481
Tex11,10.91989117,-0.280235454,0.180865033,-1.5415865,0.123174108,0.553860999
H2-Q6,27.34239556,-0.280219722,0.187269476,-1.508794171,0.131351391,0.565255164
Gpr25,11.59391799,-0.280186744,0.193908752,-1.333380068,0.18240711,0.623487672
C230037L18Rik,26.13603971,-0.28011055,0.191481093,-1.356729895,0.17486705,0.619501414
Etnppl,521.8863386,-0.280058758,0.187751629,-1.525266622,0.127192609,0.55886983
A930001A20Rik,4.458842751,-0.280047077,0.154557756,-1.864509285,0.062250219,NA
Gm47469,20.61222437,-0.280033615,0.192937619,-1.415151219,0.157024164,0.598754447
Dgkz,10726.58159,-0.279984515,0.154568819,-1.796166781,0.072467996,0.469451251
Ifitm1,30.9142373,-0.279922047,0.195489957,-1.434428363,0.151450058,0.592733134
Arsk,179.1908106,-0.279786475,0.176860177,-1.562774712,0.118105594,0.546931741
Slc12a3,2.087315043,-0.279666683,0.135362857,-1.850805585,0.064197527,NA
Eya2,46.05057568,-0.279630099,0.189073364,-1.428818834,0.153056311,0.594085236
Kif15,15.41481256,-0.279607897,0.195259135,-1.393314475,0.163524715,0.605813336
Diaph1,1625.799708,-0.279411598,0.147802568,-1.860605723,0.062799876,0.448254244
Celrr,73.4383576,-0.279374044,0.195701526,-1.350628049,0.176814611,0.62018448
Ltbp2,3.204085355,-0.279243768,0.154789669,-1.758040529,0.078740613,NA
Vsir,432.9752479,-0.279230345,0.143205536,-1.946408435,0.051605697,0.42119609
Pkn3,18.6737607,-0.279193933,0.194926072,-1.493556433,0.135291594,0.570724934
Htra4,36.32167064,-0.279100159,0.191135399,-1.39782851,0.162164571,0.604905517
Gm18406,3.394629388,-0.27908889,0.152532172,-1.86041944,0.062826206,NA
Cd248,35.37707597,-0.279014224,0.177362184,-1.63409527,0.102238848,0.52075002
Plcb3,587.6057528,-0.278994536,0.185312122,-1.434598913,0.151401424,0.59269782
Comp,10.11199175,-0.278752305,0.182514518,-1.497935008,0.134150137,0.569171227
Ict1os,14.28655621,-0.278732671,0.193498789,-1.335489898,0.181716059,0.623487672
Cftr,4.232562877,-0.278618206,0.148194888,-1.828851885,0.0674218,NA
Dnmt3c,3.944277294,-0.278558349,0.156928476,-1.808888369,0.070468348,NA
Cyb5d1,318.1357071,-0.278513919,0.111056209,-2.496118739,0.012556056,0.25022226
Panct2,35.62323337,-0.278133964,0.172803248,-1.632410901,0.102592954,0.521052979
2410018L13Rik,13.83413126,-0.278008347,0.19380224,-1.457264195,0.145043466,0.584372319
Spata31d1b,2.55788169,-0.277880822,0.144816229,-1.78866771,0.073668346,NA
9430053O09Rik,37.57816418,-0.277683737,0.183054216,-1.458536475,0.144692729,0.584099186
Plb1,20.49766308,-0.277611161,0.195585524,-1.439971024,0.149875597,0.591585696
Amer2,1822.240725,-0.277600727,0.098042795,-2.823948966,0.004743594,0.168015638
Rapgef4,16670.13413,-0.277461746,0.195293885,-1.342448436,0.179450639,0.621481682
Gm35501,3.039753705,-0.277416,0.146991074,-1.77305979,0.0762188,NA
Hes5,123.2166634,-0.277411438,0.18310322,-1.405905107,0.159752305,0.601849664
Sds,8.292808584,-0.277211894,0.189266639,-1.487330515,0.136927539,0.573730253
Vmn1r4,3.624607284,-0.277061936,0.155515346,-1.740064311,0.081847726,NA
Gm43328,12.86488788,-0.276997977,0.194855138,-1.368923758,0.171023108,0.614551775
4930570G19Rik,104.7880661,-0.276958059,0.16015114,-1.708445012,0.087553801,0.498146662
Ap4b1,17.90198206,-0.27693839,0.192314042,-1.358079766,0.174438375,0.619501414
Pyurf,304.0814094,-0.276831232,0.161016713,-1.656145345,0.097692388,0.511514991
Acot11,1008.121483,-0.276826025,0.187343951,-1.424079821,0.154423367,0.596061367
Gm38562,43.22037441,-0.276758688,0.195604213,-1.321819106,0.186228395,0.627092303
Heatr5a,213.3751128,-0.276734031,0.148186339,-1.807635739,0.070663212,0.466272513
Zfp960,30.07820783,-0.276671078,0.188796341,-1.428588289,0.153122602,0.594213087
1300002E11Rik,67.68993351,-0.27658233,0.166444065,-1.572994506,0.11572009,0.542579453
C78859,171.8752394,-0.276527662,0.166974982,-1.672489172,0.094427901,0.507163181
Gm3764,872.2424524,-0.276468022,0.132228357,-2.109228214,0.034924888,0.368887981
Tlr12,8.564055161,-0.276393856,0.185424266,-1.509994239,0.131044894,0.564864252
Tnfsf10,40.84928014,-0.276261791,0.189965521,-1.470447199,0.141440676,0.57947604
Ankrd52,695.8922076,-0.276195941,0.147542361,-1.880925603,0.05998204,0.443504981
5033404E19Rik,10.30678882,-0.276140886,0.189328801,-1.405546792,0.159858745,0.602123342
Tedc1,17.65313991,-0.276059972,0.194054128,-1.403200489,0.160557062,0.602968932
Ctnnbip1,572.4622777,-0.276015213,0.168828815,-1.602113798,0.109130447,0.531618321
Epb41,419.246445,-0.275964663,0.105039819,-2.637374665,0.008355049,0.206092888
Gm3219,10.34097392,-0.275866548,0.190359589,-1.427845623,0.153336298,0.594655298
Prr16,62.21694616,-0.275838638,0.167069374,-1.658689749,0.097178326,0.511018022
Gm15687,1.079911394,-0.275791887,0.103224464,-2.252631262,0.024282408,NA
Gm15587,6.696461845,-0.275746741,0.18356582,-1.439505741,0.150007285,0.591585696
Pygb,5534.237494,-0.275662946,0.135739578,-1.998325704,0.045681361,0.402900554
Espn,244.8585559,-0.275639799,0.151249813,-1.824080025,0.068139975,0.462469255
4930565N06Rik,4.889764754,-0.275613331,0.167988715,-1.620135726,0.105203125,NA
Sypl2,73.55438004,-0.275538648,0.153615269,-1.835680893,0.066404865,0.457224715
Gm18541,25.93098899,-0.275521372,0.193128207,-1.373028235,0.169743569,0.613615973
Plekhm2,3438.156182,-0.275494984,0.186772311,-1.422775145,0.154801349,0.596061367
Sparcl1,37295.34452,-0.275480829,0.168964347,-1.595599173,0.110578312,0.534370443
5730403I07Rik,1.11301051,-0.275418781,0.108868662,-2.230200344,0.025734145,NA
Tirap,47.17595702,-0.275368195,0.178986845,-1.483266494,0.138003621,0.575128071
4933431E20Rik,1410.547114,-0.275323154,0.142956887,-1.898636028,0.057612348,0.438641706
Gm8666,2.638241181,-0.27526938,0.15533679,-1.726615569,0.084236728,NA
Zmiz2,5884.0799,-0.275185618,0.169477142,-1.591316275,0.111538416,0.535769323
Tex30,53.92230308,-0.275163565,0.189433264,-1.342245386,0.179516445,0.621481682
Tnnt1,25.13690628,-0.275145434,0.192461095,-1.457705756,0.144921665,0.584372319
AC133488.1,61.38731595,-0.274867224,0.183031338,-1.524098355,0.127484144,0.55886983
Ksr2,844.2708725,-0.274862642,0.112409565,-2.455968999,0.014050528,0.258866807
Emx2,337.876412,-0.27482498,0.173581378,-1.531925807,0.125540744,0.556985366
Caskin2,503.3884416,-0.274677121,0.126372369,-2.171037761,0.029928318,0.344891924
Gdf10,210.2237181,-0.274646256,0.133291406,-2.095958658,0.036085859,0.373394031
Cox4i2,16.55675173,-0.274624847,0.195903821,-1.379200412,0.167832971,0.610850299
Ube3b,2783.448822,-0.274547812,0.175126504,-1.524498689,0.127384184,0.55886983
Dapp1,163.2271454,-0.274439491,0.18206975,-1.460513523,0.144148994,0.583407195
Gm7967,13.10627997,-0.274275156,0.177743538,-1.515023385,0.129766482,0.562486574
Pard6g,86.10074866,-0.274249053,0.151837574,-1.73905506,0.082025079,0.489791648
Gm38329,5.744367659,-0.274155584,0.179646495,-1.527179981,0.126716263,0.558115436
Lair1,158.962632,-0.274152404,0.183673738,-1.463113346,0.143436367,0.582439455
Gm25219,2.955481779,-0.274147,0.146157235,-1.976656281,0.048080496,NA
Cdh4,197.9000157,-0.274124941,0.129907291,-2.067434356,0.038693244,0.382339895
Fn1,783.9537116,-0.274114888,0.149188386,-1.838873709,0.065933764,0.456612142
Git1,14691.66338,-0.274106176,0.18715354,-1.381877167,0.16700942,0.609971264
Gm37608,9.06298952,-0.274088237,0.183683039,-1.488796633,0.136540929,0.573053757
Gm47694,47.14129293,-0.273784847,0.179036924,-1.573699495,0.115556939,0.542579453
Pdgfrl,28.06525264,-0.273625386,0.194846808,-1.293004918,0.196009358,0.637989699
Gm12905,6.149805029,-0.273494024,0.179612334,-1.474478103,0.140352909,0.577790119
Zfp873,82.62029748,-0.273457532,0.141992535,-1.914110314,0.055606062,0.433321735
Fhl4,13.73910636,-0.273425107,0.195941953,-1.321937219,0.186189057,0.627092303
Gm43339,4.336398639,-0.273383839,0.161324805,-1.627762485,0.103575258,NA
Ppfia4,2430.074467,-0.273298826,0.140118035,-1.952887817,0.05083289,0.419860344
Gm48796,33.91601264,-0.27322224,0.190582563,-1.488928369,0.136506232,0.573043127
4933433G15Rik,3.561391026,-0.272936666,0.151041934,-1.787825419,0.073804178,NA
Cdk7,258.6742914,-0.272931406,0.120545577,-2.240995009,0.025026398,0.324851398
Gng10,10.76885121,-0.272854412,0.191900087,-1.368452007,0.171170635,0.614606577
B130046B21Rik,42.14325059,-0.272650633,0.1936079,-1.347882375,0.177696218,0.62075212
Gm11870,4.907121605,-0.272649259,0.16576292,-1.613352511,0.106667944,NA
2900037B21Rik,1.861477695,-0.272648002,0.130800029,-2.01772082,0.043620345,NA
Il1r1,179.9698501,-0.272612701,0.165732323,-1.639026673,0.101207705,0.51882398
Adamtsl2,76.36039253,-0.27259686,0.187239135,-1.507898286,0.131580561,0.565334595
Decr1,429.6222503,-0.272591836,0.184988304,-1.381482135,0.167130767,0.610039284
Gm44899,22.92214091,-0.27258971,0.194007995,-1.318440397,0.187356265,0.628613789
Arhgap30,86.3532868,-0.27251455,0.19558696,-1.342658301,0.179382643,0.621481682
Fmo5,100.7877373,-0.272478009,0.172032163,-1.55127836,0.12083499,0.550531501
Ifih1,81.51171496,-0.272392445,0.188281257,-1.421845967,0.155070972,0.596061367
Scarb2,2591.011979,-0.272356924,0.116632901,-2.312591932,0.020745086,0.303443714
9530082P21Rik,28.87769555,-0.272245784,0.185659829,-1.540706554,0.123388221,0.553860999
Cmtm6,620.0833291,-0.272237909,0.153913508,-1.709116149,0.087429437,0.498146662
