Gene,FEMALElog2FoldChange.x,MALElog2FoldChange.y
Fam120c,-0.347838044,0.289254989
Fam198a,-0.320253912,0.335272881
Fam205c,-0.712072615,0.498346862
Fam222a,0.319304498,-0.437028531
Fan1,-0.385830092,0.321541192
Far2,0.326985855,-0.33995853
Far2os1,0.299207969,-0.427670637
Farp1,-0.427864656,0.448724033
Fat1,-0.349224972,0.461613975
Fat2,-0.40719996,0.841148206
Fbxo43,0.256234603,-0.262251142
Fbxw8,-0.166095818,0.21452508
Fgd6,-0.520928611,0.51384646
Fgf9,0.366158351,-0.341477072
Fkbpl,0.450518799,-0.549345287
Flot1,0.270589003,-0.270521271
Fmn1,-0.3894808,0.351333919
Fmn2,-0.260895449,0.359090715
Fmo1,-0.489966274,0.325798002
Fnbp1,-0.207592119,0.244671095
Fnbp1l,0.240901693,0.269839552
Foxc1,-0.543907894,0.485277779
Foxc2,-0.470259136,0.540700003
Foxd2os,-0.490728556,0.698937251
Foxj1,0.417003114,-0.34454991
Frat2,0.403270699,-0.723187635
Frs2,-0.413249301,0.436815649
Ftcd,-0.212208281,0.178736674
Fubp3,-0.214512965,0.218337415
Fyb,-0.528734703,0.436205253
Fyco1,-0.381070203,0.496339746
G6pc3,0.175612911,-0.202171125
Gab1,-0.234619285,0.29635185
Gabarapl1,0.185373185,-0.181953352
Gabra2,0.233244941,-0.235389753
Galnt9,0.379373492,-0.428935574
Gbp7,-0.509043485,0.402145659
Gcnt4,-0.339830597,0.516516294
Gda,0.347094651,-0.297095757
Gdap1l1,0.312162956,-0.255086033
Gde1,0.293024056,-0.301223007
Gdi2,0.118219575,-0.127024442
Gfod1,-0.355397461,0.335097483
Gla,0.359410222,-0.479340132
Gli2,-0.387020923,0.523255671
Gli3,-0.516583098,0.624984813
Glmp,0.333459388,-0.267912389
Glyctk,0.375516971,0.487505235
Gm10010,-1.098556222,0.869315464
Gm10501,-0.612506395,0.416239118
Gm10524,-0.816742062,0.584689352
Gm10557,-0.421751472,0.369786015
Gm10754,-0.444576233,0.454766847
Gm13091,-0.394609838,0.431053321
Gm14569,-0.715009469,0.551983582
Gm14597,0.384909804,-0.44014395
Gm15046,-0.429753207,0.627059215
Gm15777,-0.611386963,0.467333761
Gm16576,-0.470516649,0.658295921
Gm18609,-0.760327399,0.573750605
Gm19605,-0.467261838,0.427472706
Gm20186,-0.520385362,0.590014386
Gm20604,0.310023164,-0.327280102
Gm22009,-0.41946901,-0.987363239
Gm2238,-0.465080402,0.439157433
Gm24993,0.563069059,-0.378120219
Gm26703,-0.483017848,0.369128876
Gm26782,-0.53622403,0.65121016
Gm26833,-0.534839513,0.44280089
Gm28455,-0.476866612,0.459036391
Gm29508,-0.533135574,0.493888407
Gm35040,-0.502832063,0.420290712
Gm37132,-0.433541455,0.375891342
Gm37176,-0.529954474,0.718399563
Gm37226,-0.391910348,0.434508328
Gm37233,-0.364692933,0.869945522
Gm37530,-0.536958358,0.818334432
Gm37593,-0.492344497,0.560126278
Gm3764,-0.276468022,0.511004254
Gm37899,-0.457080678,-0.547892683
Gm38214,-0.421216046,0.54113315
Gm38372,-0.448276743,0.409525648
Gm38383,-0.346808555,-0.433277567
Gm40518,0.429800909,0.529936164
Gm42840,0.450899268,-0.429692028
Gm44509,0.419126174,-0.302870806
Gm44678,0.254869342,-0.242870502
Gm45640,-0.841934704,0.951596654
Gm45718,-0.501672666,0.402747394
Gm45884,-0.39118979,0.475548958
Gm45906,-0.232125331,-0.257513621
Gm47033,0.503091611,-0.589038894
Gm47076,-0.664613511,0.450378595
Gm47483,-0.371526574,0.372371729
Gm48747,-0.455403154,0.461313678
Gm48992,0.643670785,-0.389115739
Gm49172,0.404929277,-0.320243132
Gm49492,-0.392272795,0.310500059
Gm4951,-0.558114905,0.401027456
Gm5182,-0.432946903,0.27743724
Gm6145,-0.383515107,0.414804598
Gm7435,-0.546597515,0.587337328
Gm7816,0.389904956,-0.484740822
Gm9392,-0.420950942,0.395711815
Gm9770,-0.693089897,0.559572806
Gm9938,-0.45003826,0.70831852
Gmps,0.325422349,-0.268593503
Gnai1,0.2588446,-0.203772516
Gng3,0.364710441,-0.389108188
Gorasp2,0.302599139,-0.326343233
Got2,0.349092763,-0.411314861
Gpaa1,0.22413089,-0.401661885
Gpam,-0.692944974,0.61802732
Gpc6,-0.576661411,0.628794815
Gpld1,-0.461047048,0.445855931
Gpr101,0.814200034,-0.570997466
Gpr146,-0.308293178,0.328244045
Gpr3,0.40426232,-0.374341591
Gprasp2,0.367702685,-0.387418917
Gprc5b,-0.430358525,0.307392126
Grid2,-0.244181288,0.320136594
Grm3,-0.494142546,0.538884943
Grp,0.287834005,-0.281388896
H2-Q1,-0.432555138,0.506148226
H2-T24,-0.566433135,0.374725603
Hap1,0.345336263,-0.383418708
Hdgfl2,0.41923119,-0.340959454
Hectd4,-0.301720571,0.340488199
Hexim1,0.313368,-0.34830592
Hint3,-0.435140849,0.595010171
Hipk2,-0.692760746,0.456746531
Hivep2,-0.386638403,0.456372994
Hlf,-0.224029407,0.296336959
Hmbox1,-0.454429844,0.421656788
Homer2,-0.460465261,0.525545158
Hsp90aa1,0.371336443,-0.479520028
Hspa1a,0.416175685,-1.19028689
Hspa8,0.352451324,-0.451739929
Hspd1,0.326084082,-0.373304454
Hsph1,0.378416449,-0.565644757
Huwe1,-0.312184885,0.408399002
Idh3a,0.316875422,-0.256036645
Igdcc4,-0.459674904,0.555925764
Igfbp3,0.547416537,-0.290620533
Igfbp5,-0.436412709,0.60307336
Il15,-0.432424864,0.473628526
Il6st,-0.386252875,0.353619069
Ildr2,-0.323528356,0.150966582
Impact,0.396400564,-0.325817745
Ino80b,0.228781347,-0.217697491
Ipo4,0.353984982,-0.347083291
Iqsec2,-0.49321435,0.441275333
Iqsec3,-0.400193787,0.467851327
Irf2bp1,0.334351042,-0.346590115
Irf2bp2,0.401006067,-0.407629449
Itga6,-0.363000228,0.296524311
Itih5,-0.463427435,0.496055149
Itpkb,-0.331521703,0.355263646
Itpr1,-0.420097299,0.578854295
Itpripl2,-0.485539284,0.474910419
Kat6a,-0.406548433,0.399884009
Kcnj10,-0.453521992,0.546853452
Kdelr2,0.365889602,-0.346640662
Khdrbs1,0.314143226,-0.350903059
Kif13a,-0.351904394,0.407565654
Kif1a,-0.345641412,0.427602585
Kif1b,-0.262304,0.305045511
Kif26b,-0.534077863,0.355731943
Kif2a,0.299342021,-0.272227781
Kif5c,-0.304146675,0.454446064
Kit,0.398427038,-0.449328197
Klf10,0.441807414,-0.627586303
Klf12,-0.582890403,0.510010592
Klhl15,0.299024382,-0.282050843
Kmt2c,-0.281285316,0.252921321
Krt5,0.408137087,-0.569271717
Lama2,-0.436322278,0.421187056
Lamc3,-0.340291441,0.371327896
Lbh,-0.261602108,0.271803727
Ldha,0.280182603,-0.350496188
Ldlrad4,-0.387897815,0.226288419
Leo1,0.402097013,-0.4288818
Lgi4,-0.550405762,0.48934605
Lgr4,-0.354514665,0.313297847
Lhx9,0.36765805,-0.436801433
Lif,-0.54576411,0.521163185
Limch1,-0.292187596,0.384247702
Lin37,0.29175154,-0.400526797
Llgl1,-0.327476536,0.358743415
Lmna,0.39890562,-0.437816555
Lmod1,-0.696786468,0.399391011
Lonrf3,-0.805340979,0.682681001
Lpcat3,-0.25199678,0.349944279
Lrch3,-0.480186885,0.351524558
Lrfn1,0.343121978,-0.430501218
Lrig1,-0.352172129,0.403580653
Lrp4,-0.420683428,0.477793218
Lrrc46,0.462392059,-0.395064633
Lrrc7,-0.507887145,0.446909341
Lss,-0.297840253,0.270454449
Ly6e,0.289210055,-0.394325442
Ly6h,0.379893417,-0.383583671
Lypla2,0.314205746,-0.284623244
Malat1,-0.666847716,-0.533390421
Man2a2,-0.221520565,0.192247642
Map3k9,-0.648186674,0.510944311
Mapre3,0.334523807,-0.340825038
Matr3,0.314191299,-0.31076513
Mboat2,-0.301633969,0.29134004
Mdh1,0.213001333,-0.258264375
Mecp2,-0.342912982,0.408412599
Med13l,-0.414979443,0.441057199
Megf11,0.62029237,-0.405656395
Mest,0.38119813,-0.374092359
Metrnl,0.375159577,-0.296325777
Mettl4,-0.527089998,0.36712436
Mfap3l,-0.470495615,0.507843531
Mfsd13a,0.268397838,-0.263226338
Mgat5,-0.188576039,0.223048825
Micall1,-0.309190615,0.330158335
Mid1ip1,-0.330937561,0.310981323
Mif,0.250135199,-0.220218567
Mir3093,-0.46797733,0.305281446
Mlycd,0.205627274,-0.203312863
Mprip,-0.208884151,0.218538341
Mrc2,-0.631691285,0.41287218
Mrps27,0.305858286,-0.300701136
Mrvi1,-0.66567211,0.461124793
Mta3,-0.289982787,0.456324242
Mtch1,0.188821648,-0.231137761
Mtfp1,0.248311483,-0.276235105
Myo5a,-0.245287044,0.407144643
Myo9b,-0.247802471,0.300866688
N4bp3,0.324543899,-0.431209052
Naalad2,-0.397719083,0.543257496
Nars,0.357991906,-0.333089611
Ncan,-0.290647008,0.272476557
Ncor1,-0.316590303,0.278636942
Ndn,0.361454105,-0.49989291
Ndst1,-0.495734498,0.355597983
Ndufa10,0.264284731,-0.229167303
Nebl,-0.253575164,0.272083336
Neo1,-0.250529118,0.179996749
Nfil3,0.335045755,-0.55484633
Nhlrc2,-0.618073487,0.264050569
Nhsl1,-0.208975272,0.244477415
Nid1,-0.633197676,0.521850445
Nkiras1,0.210813463,-0.27404525
Nktr,-0.348433324,0.213070248
Nlgn3,0.409700322,-0.389106132
Notch1,-0.627939573,0.491962156
Notch2,-0.418601853,0.385426876
Notch3,-0.734688558,0.401815906
Nov,0.316952564,-0.397454375
Npy,0.428391235,-0.676152316
Nr2c2,-0.635848989,0.646402695
Nr2f2,0.547147245,-0.266323799
Nr3c1,-0.172917171,0.199922089
Nrk,-0.319625575,0.257811782
Nrsn2,0.472947451,-0.554332403
Nsrp1,0.438690183,-0.318819162
Ntrk2,-0.391845716,0.449083098
Nucb1,0.316312223,-0.251709002
Nucb2,0.312838253,-0.364499928
Nup214,-0.280797693,0.221721548
Nwd1,-0.406597014,0.515292091
Nyap2,0.33287837,-0.350467969
Nynrin,-0.658077694,0.38481715
Oaz2,0.220389354,-0.127071816
Ociad2,0.282766978,-0.20663925
Omd,-0.415793737,0.659764825
Ormdl3,0.255771359,-0.224504686
Oxtr,0.364776034,-0.410938727
Padi2,-0.582597976,0.459960834
Paf1,0.290418892,-0.28272617
Pard3b,-0.349905564,0.409598214
Pcbp1,0.306302001,-0.315857292
Pcbp3,0.375113322,-0.378734887
Pcdh10,-0.238382918,0.268442215
Pcdhgb7,-0.376556844,0.339893545
Pcdhgc3,-0.512606574,0.495536798
Pcgf2,0.298116456,-0.290946372
Pck2,0.188403389,-0.198136965
Pcnx,-0.225161311,0.182611276
Pcyt1a,-0.289725194,0.455866282
Pdap1,0.232459406,-0.181455313
Pde2a,-0.679055857,0.51558868
Pde6a,-0.308119985,0.291588671
Pdgfra,-0.244016897,0.309834366
Pdgfrb,-0.368489151,0.356529202
Pdia4,0.235765324,-0.255928973
Pdpr,-0.566458864,0.593530333
Peli2,-0.419378533,0.423970255
Pelo,0.415194063,-0.530701384
Per3,-0.452386237,0.34261173
Pgam1,0.257921201,-0.273733357
Pggt1b,-0.297579662,0.320537487
Pgm5,-0.507985748,0.380264813
Phc3,-0.174411401,0.186741011
Phf23,0.246999295,-0.4739089
Phlpp1,-0.282329404,0.398420623
Pik3c2a,-0.411290959,0.271059883
Pitpnc1,-0.254093539,0.357534869
Pitpnm3,-0.416605147,0.548862662
Pkn1,-0.280260761,0.235012639
Pla2g4a,-0.430749406,0.502114027
Plekhg1,-0.445130981,0.359003592
Plekho2,-0.392637898,0.432218426
Plpp3,-0.404418906,0.416986752
Plppr3,0.299596981,-0.377865208
Pls3,0.452832477,-0.496719069
Plxnb1,-0.432853492,0.468318644
Plxnd1,-0.357974779,0.423582076
Pm20d2,-0.581731433,0.422668536
Pou3f3,-0.335373015,0.317426273
Pou3f4,-0.61945326,0.393233177
Pou4f1,-0.373609097,0.192028999
Pou6f1,-0.39470063,0.459794555
Ppic,-0.558191026,0.513044503
Ppme1,0.363052118,-0.361537914
Ppp1r12b,-0.344428921,0.42275746
Ppp1r16b,-0.355962826,0.419234023
Pqbp1,0.298867767,-0.351480105
Praf2,0.366025435,-0.418073281
Prcc,0.308046996,-0.350089844
Prdm6,-0.661547847,0.622202913
Prex1,-0.384228958,0.425774742
Prex2,-0.47860831,0.598374755
Prickle2,-0.227446394,0.240424005
Prkcb,-0.470509093,0.52931055
Prkd1,-0.411507645,0.441207457
Prkd3,-0.438404721,0.491915363
Prmt1,0.206872799,-0.276768846
Prmt6,0.337885514,-0.271512305
Prokr2,0.428669781,-0.582736741
Prom1,-0.4273758,0.389515118
Prrc2a,-0.360121526,0.442058329
Prrc2b,-0.488771373,0.512713624
Prrx1,-0.548571611,0.511812848
Psmd4,0.212573211,-0.283003952
Psme1,0.176440998,-0.199455303
Ptar1,-0.820944355,0.76995972
Ptch1,-0.46164215,0.395224197
Ptgfr,-0.575770947,0.472171485
Ptpn13,-0.421232599,0.565754533
Ptprb,-0.422016085,0.377714545
Ptprt,-0.38130842,0.363067901
Ptprz1,-0.382206634,0.448610118
Pura,-0.495135918,0.325402662
Purg,0.317487148,-0.235650922
Pus1,0.32227532,-0.443999812
Rab26,0.30575541,-0.236902932
Rab3b,0.396148551,-0.452357952
Rab3ip,0.271044217,-0.428236449
Rab6a,0.310158917,-0.326541156
Rabac1,0.20320247,-0.245582876
Ranbp3l,-0.525368587,0.636216353
Ranbp9,0.257066867,-0.224416899
Rapgef1,-0.363781218,0.426852888
Rars,0.311811578,-0.44203206
Rbfa,0.227101656,-0.245880368
Rc3h2,0.322523152,-0.216170553
Resp18,0.481862854,-0.340845776
Rfx4,-0.446589645,0.396063796
Rfxap,0.320360102,-0.527151252
Rgs4,0.360004768,-0.472664002
Rhno1,0.284798661,-0.289079736
Rhobtb3,-0.317866416,0.399353049
Rhov,0.4057531,-0.487049395
Riox1,0.423353592,-0.633673776
Rnf128,0.302734244,-0.433736405
Rnf130,-0.26403694,0.203305015
Rnf144a,-0.314115073,0.383199234
Rora,-0.287775933,0.526081184
Rph3a,-0.344358585,0.399131577
Rpl21-ps11,0.418173694,0.545576414
Rpn1,0.289817577,-0.363828134
Rprd1a,-0.251185496,0.15690441
Rprm,0.466467705,-0.619195722
Rspo3,0.341207141,-0.372400513
Rtl8c,0.381877733,-0.461422514
Rundc1,0.293702157,-0.367030877
Rxfp3,0.538002818,-0.441737127
Sae1,0.328084295,-0.215228977
Sall1,-0.463831792,0.373647227
Samd5,-0.330666516,0.3130919
Sap30,0.361456687,-0.786801703
Sars,0.254844055,-0.307696182
Sash1,-0.436227832,0.564812935
Sbf2,-0.177683431,0.286723411
Scand1,0.267908956,-0.228797075
Scara3,-0.521768371,0.363363302
Scarb2,-0.272356924,0.336199799
Scd2,-0.338882046,0.429565258
Scgn,-0.53888819,0.513022481
Scrt1,-0.370683259,0.439007815
Secisbp2l,-0.176018302,0.169339511
Sema6d,-0.393778804,0.226265115
Serinc2,0.616262999,-0.495244806
Sesn3,-0.314216072,0.435731706
Set,0.236253469,-0.231408743
Sf3a3,0.388152799,-0.442608266
Sfr1,0.238453272,-0.245173928
Sgk1,0.443616013,-1.023823677
Sh3gl2,0.350838985,-0.411329
Sh3pxd2a,-0.400280617,0.22858501
Sh3pxd2b,-0.455128587,0.412426742
Shc3,-0.563249967,0.63465567
Shc4,-0.365474108,0.474192136
Shroom4,-0.366539498,0.32259897
Sik2,-0.348819897,0.320682305
Sin3b,0.30559139,-0.304149153
Sipa1l1,-0.368262201,0.450125309
Six1,-0.396623003,0.333162234
Slc13a3,-0.455308654,0.375211113
Slc13a5,-0.411515698,0.392647999
Slc1a2,-0.402416627,0.614730175
Slc22a17,0.301110954,-0.413185316
Slc22a6,-0.643056847,0.65666529
Slc24a4,-0.327477289,-0.325555527
Slc25a5,0.173589054,-0.159251683
Slc26a2,-0.497295313,0.347873846
Slc26a7,-0.526533823,0.693227833
Slc38a11,-0.431373916,0.563436566
Slc47a1,-0.610588639,0.558891182
Slc4a4,-0.479134941,0.542197308
Slc5a3,0.719048189,-0.473550083
Slc5a5,0.488443509,-0.422353443
Slc6a11,-0.44294394,0.443497111
Slc7a11,-0.622581775,0.6452303
Slc7a2,-0.596558373,0.454736928
Slc8b1,-0.366373918,0.430139575
Slco4a1,-0.528566412,0.376235083
Smad9,-0.235113864,0.376487755
Sncb,0.393922704,-0.411855787
Sned1,-0.522617347,0.539202061
Sorbs1,-0.485017314,0.603980848
Sorcs3,0.404388715,-0.371312797
Sp1,-0.2525566,0.322913671
Spag9,-0.359864556,0.365433187
Spg11,-0.242805629,0.340282239
Sphk1,-0.531696397,0.495573565
Sphk2,0.257373853,-0.352995391
Spin4,-0.567258549,0.48342369
Sptb,-0.324195718,0.314261193
Srebf1,-0.255502395,0.403549721
Sst,0.467199428,-0.496419217
Sstr3,0.299273492,-0.239755463
St3gal5,0.288160845,-0.360649863
Stip1,0.350523063,-0.43453089
Stmn2,0.260126701,-0.365794771
Ston1,-0.448931245,0.440650796
Stox2,-0.381766849,0.359521185
Sulf2,0.344906158,-0.336556369
Svep1,-0.464596241,0.562984975
Svil,-0.394361281,0.415058457
Syde2,-0.411471108,0.483537311
Syngr3,0.301618113,-0.348151064
Synpo2,-0.319705086,0.635135675
Syt7,-0.336455552,0.215907078
Sytl5,-0.525144596,0.465446323
Tacr3,0.537196009,-0.451030549
Tbc1d16,-0.391422998,0.452468903
Tceal6,0.486962393,-0.45320618
Tcf12,-0.215165695,0.215082714
Tdo2,-0.55054458,0.366024073
Tek,-0.330067763,0.29791859
Tet1,-0.290350737,0.453158522
Tfcp2l1,-0.501671811,0.658866004
