"","Genotype","Sample","Cytokine","Treatment","Concentration","Avg.Cupri.Neg.All","PureFoldChange","log2transform"
"208","XYO",193,"IL-10","Cuprizone",22.81,50.14842105,0.454849814259506,-1.13653783087344
"209","XYO",184,"IL-10","Cuprizone",32.34,50.14842105,0.644885707722596,-0.632884598711912
"210","XXT",175,"IL-10","Cuprizone",33.97,50.14842105,0.677389223603482,-0.561943059306373
"211","XXT",181,"IL-10","Cuprizone",31.8,50.14842105,0.634117671786598,-0.657177512013856
"212","XXT",182,"IL-10","Cuprizone",26.81,50.14842105,0.534613043415053,-0.903433058203012
"213","XXT",186,"IL-10","Cuprizone",27.93,50.14842105,0.556946747578606,-0.844388703905624
"214","XXT",187,"IL-10","Cuprizone",38.24,50.14842105,0.762536470727028,-0.391121754204825
"215","XXT",183,"IL-10","Cuprizone",32.34,50.14842105,0.644885707722596,-0.632884598711912
"216","XYT",180,"IL-10","Cuprizone",23.96,50.14842105,0.477781742641726,-1.06557636939679
"217","XYT",172,"IL-10","Cuprizone",27.37,50.14842105,0.545779895496829,-0.873608842820617
"218","XYT",173,"IL-10","Cuprizone",33.97,50.14842105,0.677389223603482,-0.561943059306373
"219","XYT",174,"IL-10","Cuprizone",32.34,50.14842105,0.644885707722596,-0.632884598711912
"239","XXO",164,"IL-12p40","Cuprizone",2.12,3.846315789,0.551176792623982,-0.859412950443032
"240","XXO",176,"IL-12p40","Cuprizone",2.12,3.846315789,0.551176792623982,-0.859412950443032
"241","XXO",179,"IL-12p40","Cuprizone",3.21,3.846315789,0.834564860529708,-0.260903917883928
"242","XXO",185,"IL-12p40","Cuprizone",3.88,3.846315789,1.00875752612314,0.0125794371808964
"243","XYO",177,"IL-12p40","Cuprizone",3.21,3.846315789,0.834564860529708,-0.260903917883928
"244","XYO",178,"IL-12p40","Cuprizone",5.18,3.846315789,1.34674329518501,0.429474882680322
"245","XYO",193,"IL-12p40","Cuprizone",6.44,3.846315789,1.67432950212191,0.743583473108386
"246","XYO",184,"IL-12p40","Cuprizone",2.51,3.846315789,0.652572523342544,-0.61578985105546
"247","XXT",175,"IL-12p40","Cuprizone",2.12,3.846315789,0.551176792623982,-0.859412950443032
"248","XXT",181,"IL-12p40","Cuprizone",2.12,3.846315789,0.551176792623982,-0.859412950443032
"249","XXT",182,"IL-12p40","Cuprizone",2.12,3.846315789,0.551176792623982,-0.859412950443032
"250","XXT",186,"IL-12p40","Cuprizone",2.12,3.846315789,0.551176792623982,-0.859412950443032
"251","XXT",187,"IL-12p40","Cuprizone",3.88,3.846315789,1.00875752612314,0.0125794371808964
"252","XXT",183,"IL-12p40","Cuprizone",2.16,3.846315789,0.561576354748963,-0.832445902842763
"253","XYT",180,"IL-12p40","Cuprizone",6.44,3.846315789,1.67432950212191,0.743583473108386
"254","XYT",172,"IL-12p40","Cuprizone",2.12,3.846315789,0.551176792623982,-0.859412950443032
"255","XYT",173,"IL-12p40","Cuprizone",2.12,3.846315789,0.551176792623982,-0.859412950443032
"256","XYT",174,"IL-12p40","Cuprizone",2.12,3.846315789,0.551176792623982,-0.859412950443032
"276","XXO",164,"IL-12p70","Cuprizone",10.61,16.90052632,0.627791099466777,-0.671643519688531
"277","XXO",176,"IL-12p70","Cuprizone",10.61,16.90052632,0.627791099466777,-0.671643519688531
"278","XXO",179,"IL-12p70","Cuprizone",15.3,16.90052632,0.905297249937953,-0.143536523023281
"279","XXO",185,"IL-12p70","Cuprizone",12.22,16.90052632,0.723054404852405,-0.467823890784566
"280","XYO",177,"IL-12p70","Cuprizone",15.3,16.90052632,0.905297249937953,-0.143536523023281
"281","XYO",178,"IL-12p70","Cuprizone",13.78,16.90052632,0.815359222493137,-0.294492287899004
"282","XYO",193,"IL-12p70","Cuprizone",13.78,16.90052632,0.815359222493137,-0.294492287899004
"283","XYO",184,"IL-12p70","Cuprizone",19.64,16.90052632,1.16209398619486,0.216726753711398
"284","XXT",175,"IL-12p70","Cuprizone",12.22,16.90052632,0.723054404852405,-0.467823890784566
"285","XXT",181,"IL-12p70","Cuprizone",5.27,16.90052632,0.311824608311962,-1.68119330896608
"286","XXT",182,"IL-12p70","Cuprizone",12.22,16.90052632,0.723054404852405,-0.467823890784566
"287","XXT",186,"IL-12p70","Cuprizone",8.93,16.90052632,0.528385911238296,-0.920336095482073
"288","XXT",187,"IL-12p70","Cuprizone",13.78,16.90052632,0.815359222493137,-0.294492287899004
"289","XXT",183,"IL-12p70","Cuprizone",13.78,16.90052632,0.815359222493137,-0.294492287899004
"290","XYT",180,"IL-12p70","Cuprizone",15.3,16.90052632,0.905297249937953,-0.143536523023281
"291","XYT",172,"IL-12p70","Cuprizone",10.61,16.90052632,0.627791099466777,-0.671643519688531
"292","XYT",173,"IL-12p70","Cuprizone",12.22,16.90052632,0.723054404852405,-0.467823890784566
"293","XYT",174,"IL-12p70","Cuprizone",13.78,16.90052632,0.815359222493137,-0.294492287899004
"313","XXO",202,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"314","XXO",203,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"315","XXO",204,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"316","XXO",164,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"317","XYO",176,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"318","XYO",179,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"319","XYO",185,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"320","XYO",177,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"321","XXT",178,"IL-13","Cuprizone",21.31,10.86263158,1.96177140346317,0.972156940484737
"322","XXT",193,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"323","XXT",184,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"324","XXT",175,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
"325","XXT",181,"IL-13","Cuprizone",7.86,10.86263158,0.723581568804343,-0.46677243503936
