Genotype,Sample,Cytokine,Treatment,Concentration,Avg.Cupri.Neg.All
XXT,160,IL-12p70,Control,15.3,16.90052632
XXT,165,IL-12p70,Control,16.78,16.90052632
XXT,167,IL-12p70,Control,10.61,16.90052632
XXT,168,IL-12p70,Control,13.78,16.90052632
XYT,159,IL-12p70,Control,18.22,16.90052632
XYT,202,IL-12p70,Control,31.47,16.90052632
XYT,203,IL-12p70,Control,12.22,16.90052632
XYT,204,IL-12p70,Control,19.64,16.90052632
XXO,164,IL-12p70,Cuprizone,10.61,16.90052632
XXO,176,IL-12p70,Cuprizone,10.61,16.90052632
XXO,179,IL-12p70,Cuprizone,15.3,16.90052632
XXO,185,IL-12p70,Cuprizone,12.22,16.90052632
XYO,177,IL-12p70,Cuprizone,15.3,16.90052632
XYO,178,IL-12p70,Cuprizone,13.78,16.90052632
XYO,193,IL-12p70,Cuprizone,13.78,16.90052632
XYO,184,IL-12p70,Cuprizone,19.64,16.90052632
XXT,175,IL-12p70,Cuprizone,12.22,16.90052632
XXT,181,IL-12p70,Cuprizone,5.27,16.90052632
XXT,182,IL-12p70,Cuprizone,12.22,16.90052632
XXT,186,IL-12p70,Cuprizone,8.93,16.90052632
XXT,187,IL-12p70,Cuprizone,13.78,16.90052632
XXT,183,IL-12p70,Cuprizone,13.78,16.90052632
XYT,180,IL-12p70,Cuprizone,15.3,16.90052632
XYT,172,IL-12p70,Cuprizone,10.61,16.90052632
XYT,173,IL-12p70,Cuprizone,12.22,16.90052632
XYT,174,IL-12p70,Cuprizone,13.78,16.90052632
XYO,859,IL-12p70,Control,3.79,16.90052632
XYO,839,IL-12p70,Control,8.93,16.90052632
XYO,895,IL-12p70,Control,3.79,16.90052632
XXO,859,IL-13,Control,12.51,10.86263158
XXO,839,IL-13,Control,17.95,10.86263158
XXO,895,IL-13,Control,13.98,10.86263158
XXO,199,IL-13,Control,15.78,10.86263158
XXO,201,IL-13,Control,12.22,10.86263158
XYO,154,IL-13,Control,14.27,10.86263158
XYO,155,IL-13,Control,17.33,10.86263158
XXT,153,IL-13,Control,7.86,10.86263158
XXT,162,IL-13,Control,7.86,10.86263158
XXT,170,IL-13,Control,9.18,10.86263158
XXT,158,IL-13,Control,7.86,10.86263158
XXT,160,IL-13,Control,14.57,10.86263158
XYT,165,IL-13,Control,7.86,10.86263158
XYT,167,IL-13,Control,7.86,10.86263158
XYT,168,IL-13,Control,7.86,10.86263158
XYT,159,IL-13,Control,7.86,10.86263158
XXO,202,IL-13,Cuprizone,7.86,10.86263158
XXO,203,IL-13,Cuprizone,7.86,10.86263158
