G,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1353472,Rpl7a,ribosomal protein L7A,2,,cytosolic large ribosomal subunit,,,ISO,RGD:1307586 ,J:155856 
MGI:1353472,Rpl7a,ribosomal protein L7A,2,,cytosolic large ribosomal subunit,,,ISO,P62424 ,J:164563 
MGI:1353472,Rpl7a,ribosomal protein L7A,2,,cytosolic ribosome,,,ISO,P62424 ,J:164563 
MGI:1913479,Rpl7l1,ribosomal protein L7-like 1,17,,cytosolic large ribosomal subunit,,,IBA,PTN000897517 ,J:265628 
MGI:1350927,Rpl8,ribosomal protein L8,15,,cytosolic large ribosomal subunit,,,IBA,PTN000343558 ,J:265628 
MGI:1350927,Rpl8,ribosomal protein L8,15,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1350927,Rpl8,ribosomal protein L8,15,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1350927,Rpl8,ribosomal protein L8,15,,cytosolic large ribosomal subunit,,,ISO,RGD:619827 ,J:155856 
MGI:1350927,Rpl8,ribosomal protein L8,15,,cytosolic large ribosomal subunit,,,ISO,P62917 ,J:164563 
MGI:1350927,Rpl8,ribosomal protein L8,15,,cytosolic ribosome,,,ISO,P62917 ,J:164563 
MGI:1298373,Rpl9,ribosomal protein L9,5,,cytosolic large ribosomal subunit,,,IBA,PTN000183647 ,J:265628 
MGI:1298373,Rpl9,ribosomal protein L9,5,,cytosolic large ribosomal subunit,,,IDA,,J:49488 
MGI:1298373,Rpl9,ribosomal protein L9,5,,cytosolic large ribosomal subunit,,,IDA,,J:333015 
MGI:1298373,Rpl9,ribosomal protein L9,5,,cytosolic large ribosomal subunit,,,IPI,,J:314083 
MGI:1298373,Rpl9,ribosomal protein L9,5,,cytosolic large ribosomal subunit,,,ISO,RGD:62049 ,J:155856 
MGI:1298373,Rpl9,ribosomal protein L9,5,,cytosolic large ribosomal subunit,,,ISO,P32969 ,J:164563 
