"","Gene","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","color","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"110","Rps24",1.03811877341831e-57,-0.484115950994004,1,1,2.02547353881646e-53,"blue",1.61654765296366e-18,-0.416420666449307,0.996,1,3.1540461256974e-14,1.61654765296366e-18,-0.416420666449307,0.996,1,3.1540461256974e-14
"111","Rps26",8.32353184526124e-59,-0.569544554668454,0.998,0.999,1.62400429832892e-54,"blue",7.51503330116108e-19,-0.452967658251132,0.968,1,1.46625814738954e-14,7.51503330116108e-19,-0.452967658251132,0.968,1,1.46625814738954e-14
"112","Rps27",3.44462908210469e-56,-0.553304224059139,0.997,0.999,6.72081580209446e-52,"blue",6.64077406024225e-23,-0.506873558770473,0.989,1,1.29568142689386e-18,6.64077406024225e-23,-0.506873558770473,0.989,1,1.29568142689386e-18
"113","Rps27a",1.01423902468223e-52,-0.445269528282163,1,1,1.9788817610575e-48,"blue",2.25079971119677e-17,-0.415459736103727,0.996,1,4.39153531651602e-13,2.25079971119677e-17,-0.415459736103727,0.996,1,4.39153531651602e-13
"114","Rps28",3.89774721674792e-73,-0.621404340268981,0.995,1,7.60489459459686e-69,"blue",2.13835654046187e-20,-0.502995140227077,0.996,1,4.17214744609515e-16,2.13835654046187e-20,-0.502995140227077,0.996,1,4.17214744609515e-16
"115","Rps29",4.85302529667386e-74,-0.557287480624127,1,1,9.46873765634037e-70,"blue",1.51452712869079e-21,-0.429204183200275,1,1,2.95499388078861e-17,1.51452712869079e-21,-0.429204183200275,1,1,2.95499388078861e-17
"116","Rps3",1.60665244712563e-32,-0.404746765818186,0.983,0.996,3.13473958958683e-28,"blue",2.28049751638208e-15,-0.383758349235988,0.972,0.989,4.44947870421309e-11,2.28049751638208e-15,-0.383758349235988,0.972,0.989,4.44947870421309e-11
"117","Rps5",2.9244504218046e-50,-0.5437510388988,0.976,0.993,5.70589521798295e-46,"blue",1.42652718449674e-06,-0.258536976196292,0.932,0.975,0.027832971896716,1.42652718449674e-06,-0.258536976196292,0.932,0.975,0.027832971896716
"118","Rps7",4.22360209903762e-33,-0.390445665055351,0.991,0.999,8.2406700554323e-29,"blue",8.22908524172639e-10,-0.305553980114332,0.957,0.996,1.60557682151324e-05,8.22908524172639e-10,-0.305553980114332,0.957,0.996,1.60557682151324e-05
"119","Rps8",2.12881604012805e-28,-0.316067616893515,1,1,4.15353297589384e-24,"blue",1.07289038221881e-12,-0.328600486850067,0.996,1,2.09331642474712e-08,1.07289038221881e-12,-0.328600486850067,0.996,1,2.09331642474712e-08
"120","Rps9",6.38534775056037e-37,-0.454435861996519,0.951,0.987,1.24584519961183e-32,"blue",1.19868896801224e-07,-0.3170873095907,0.904,0.957,0.00233876204548867,1.19868896801224e-07,-0.3170873095907,0.904,0.957,0.00233876204548867
"121","Sec61g",1.26008812954223e-22,-0.400188924796798,0.791,0.913,2.45855794954985e-18,"blue",2.41510638867777e-08,-0.323712386073407,0.719,0.904,0.000471211407494919,2.41510638867777e-08,-0.323712386073407,0.719,0.904,0.000471211407494919
"122","Serf2",4.79101529790242e-21,-0.336181493102686,0.894,0.959,9.3477499477374e-17,"blue",1.70647421082954e-08,-0.325410263793401,0.904,0.961,0.000332950183274951,1.70647421082954e-08,-0.325410263793401,0.904,0.961,0.000332950183274951
"123","Smdt1",1.26918986074127e-36,-0.49242452798403,0.831,0.945,2.47631633729229e-32,"blue",1.87182740785991e-11,-0.415702697435652,0.772,0.936,3.65212245547547e-07,1.87182740785991e-11,-0.415702697435652,0.772,0.936,3.65212245547547e-07
"124","Snap25",9.50773586201852e-45,0.474443748648028,1,1,1.85505434403843e-40,"red",3.06735039987455e-09,0.213031796564481,1,1,5.98470736519523e-05,3.06735039987455e-09,0.213031796564481,1,1,5.98470736519523e-05
"125","Timm8b",8.18782244870996e-15,-0.293125733351851,0.806,0.916,1.5975260379678e-10,"blue",3.74233919826402e-10,-0.355141680827312,0.797,0.936,7.30167800973294e-06,3.74233919826402e-10,-0.355141680827312,0.797,0.936,7.30167800973294e-06
"126","Tmsb10",1.57961464462394e-45,-0.581640205602689,0.983,0.997,3.08198613312577e-41,"blue",3.27497506310687e-08,-0.29560553754297,0.982,0.993,0.000638980384562781,3.27497506310687e-08,-0.29560553754297,0.982,0.993,0.000638980384562781
"127","Tmsb4x",6.80965183357521e-156,-1.01280859893249,1,1,1.32863116924886e-151,"blue",3.40780513463243e-64,-0.92411188135896,1,1,6.64896859818133e-60,3.40780513463243e-64,-0.92411188135896,1,1,6.64896859818133e-60
"128","Tomm7",1.81029466855127e-13,-0.292689239649213,0.812,0.872,3.53206592781039e-09,"blue",2.00521486938828e-07,-0.28678481233726,0.747,0.9,0.00391237473166347,2.00521486938828e-07,-0.28678481233726,0.747,0.9,0.00391237473166347
"129","Ubl5",4.2999433930528e-09,-0.221832327944601,0.901,0.939,8.38961955418532e-05,"blue",3.13307966558396e-08,-0.307079922975856,0.886,0.979,0.000611295173552087,3.13307966558396e-08,-0.307079922975856,0.886,0.979,0.000611295173552087
"130","Uqcc2",3.1308520996162e-15,-0.276968828970013,0.901,0.957,6.10860553156117e-11,"blue",4.63568181614656e-07,-0.29369526095828,0.922,0.975,0.00904467879148356,4.63568181614656e-07,-0.29369526095828,0.922,0.975,0.00904467879148356
"131","Uqcr10",1.54037222676672e-22,-0.312480080724578,0.988,0.988,3.00542025164454e-18,"blue",5.34929980578394e-09,-0.315822257030363,0.954,0.993,0.000104370188510651,5.34929980578394e-09,-0.315822257030363,0.954,0.993,0.000104370188510651
"132","Uqcr11",8.53593815911143e-17,-0.276257408977573,0.967,0.992,1.66544689422423e-12,"blue",6.69346481389356e-10,-0.34351775152729,0.954,0.993,1.30596191983877e-05,6.69346481389356e-10,-0.34351775152729,0.954,0.993,1.30596191983877e-05
"133","Uqcrb",2.63189459485905e-21,-0.356415540028668,0.85,0.928,5.13508954402949e-17,"blue",2.39138291893232e-07,-0.303892072775793,0.843,0.943,0.00466582721312886,2.39138291893232e-07,-0.303892072775793,0.843,0.943,0.00466582721312886
"134","Uqcrh",3.16381532368105e-44,-0.482402887505543,0.979,0.997,6.1729200780341e-40,"blue",8.14867446793667e-16,-0.447213761251819,0.943,1,1.58988787543912e-11,8.14867446793667e-16,-0.447213761251819,0.943,1,1.58988787543912e-11
"135","Uqcrq",2.52062126942834e-17,-0.276553713348772,0.974,0.997,4.91798415878163e-13,"blue",4.42059455470808e-07,-0.262171623370227,0.989,0.996,0.00862502203569093,4.42059455470808e-07,-0.262171623370227,0.989,0.996,0.00862502203569093
"136","Xist",1.75095765297833e-22,0.21264810259002,0.12,0,3.41629347672601e-18,"red",1.73612356642549e-12,0.312656905988726,0.164,0,3.38735069045278e-08,1.73612356642549e-12,0.312656905988726,0.164,0,3.38735069045278e-08
