"","Gene","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","color","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"11","Atpif1",9.5144228161512e-15,-0.264829158892398,0.96,0.989,1.85635903565926e-10,"blue",3.9988409085285e-09,-0.293909941316695,0.972,1,7.80213849662996e-05,3.9988409085285e-09,-0.293909941316695,0.972,1,7.80213849662996e-05
"12","Avp",1.92692719695223e-81,-2.31608989585355,0.01,0.496,3.75962765397349e-77,"blue",1.18260688672799e-33,-0.671616882975338,0,0.418,2.30738429669497e-29,1.18260688672799e-33,-0.671616882975338,0,0.418,2.30738429669497e-29
"13","Churc1",2.0719024870338e-08,-0.179755125858175,0.232,0.384,0.000404248894245166,"blue",2.72030303823987e-08,-0.283586253973585,0.174,0.393,0.000530758325790982,2.72030303823987e-08,-0.283586253973585,0.174,0.393,0.000530758325790982
"14","Cox17",8.79358006235473e-14,-0.270860541354799,0.794,0.88,1.71571540596603e-09,"blue",4.52959875409502e-07,-0.29619208527935,0.762,0.864,0.00883770012911479,4.52959875409502e-07,-0.29619208527935,0.762,0.864,0.00883770012911479
"15","Cox4i1",2.5092211423819e-26,-0.271364562782117,1,1,4.89574137090132e-22,"blue",2.71303004180252e-07,-0.195104962301833,1,1,0.00529339291456089,2.71303004180252e-07,-0.195104962301833,1,1,0.00529339291456089
"16","Cox5a",1.97361921922176e-11,-0.225728353614482,0.932,0.98,3.85072845862358e-07,"blue",6.23241200421751e-07,-0.275438629748,0.932,0.993,0.0121600590614288,6.23241200421751e-07,-0.275438629748,0.932,0.993,0.0121600590614288
"17","Cox5b",5.45039245695011e-42,-0.438732460165631,0.993,0.999,1.06342607227554e-37,"blue",4.12222571920242e-09,-0.285151612910131,0.996,1,8.04287460073583e-05,4.12222571920242e-09,-0.285151612910131,0.996,1,8.04287460073583e-05
"18","Cox6c",1.32226681896388e-19,-0.233250859628756,1,1,2.57987479048043e-15,"blue",1.69220557510246e-17,-0.34140741421091,1,1,3.30166229758241e-13,1.69220557510246e-17,-0.34140741421091,1,1,3.30166229758241e-13
"19","Cox7a2",3.86411383327862e-20,-0.290936299087418,0.977,1,7.53927250010992e-16,"blue",2.25083875903741e-12,-0.360300308827955,0.982,0.993,4.39161150275789e-08,2.25083875903741e-12,-0.360300308827955,0.982,0.993,4.39161150275789e-08
"20","Cox7c",1.62978285009071e-31,-0.34147522805496,0.998,1,3.17986931881199e-27,"blue",1.17730805158613e-18,-0.421213881754614,0.989,1,2.2970457394497e-14,1.17730805158613e-18,-0.421213881754614,0.989,1,2.2970457394497e-14
"21","Cox8a",6.40025163888919e-23,-0.273173382938905,0.998,1,1.24875309726367e-18,"blue",7.71965762507827e-19,-0.414129058492285,1,1,1.50618239922902e-14,7.71965762507827e-19,-0.414129058492285,1,1,1.50618239922902e-14
"22","Cpe",5.48271008750824e-67,0.551603525188512,1,1,1.06973156517373e-62,"red",1.3163532401311e-08,0.225234923090854,1,1,0.000256833680681978,1.3163532401311e-08,0.225234923090854,1,1,0.000256833680681978
"23","Cst3",1.11776659650845e-39,-0.398433337803367,1,1,2.18087440644764e-35,"blue",1.16623684533692e-11,-0.247625797431215,1,1,2.27544470893686e-07,1.16623684533692e-11,-0.247625797431215,1,1,2.27544470893686e-07
"24","Ctsd",4.21003157826189e-08,0.243150797771941,0.908,0.821,0.000821419261234678,"red",1.33057526220037e-10,0.46113684934047,0.883,0.804,2.59608539407915e-06,1.33057526220037e-10,0.46113684934047,0.883,0.804,2.59608539407915e-06
