,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Gene,color
Nrsn1,2.51E-08,0.286498478,0.838,0.736,0.000490026,Nrsn1,red
Pde1b,1.18E-08,0.286580902,0.541,0.363,0.000229658,Pde1b,red
Pcp4l1,2.00E-07,0.286687458,0.476,0.323,0.003903599,Pcp4l1,red
Rasgrp1,1.96E-11,0.287403892,0.429,0.217,3.82E-07,Rasgrp1,red
Dynll2,4.38E-13,0.28790189,0.964,0.923,8.55E-09,Dynll2,red
Nptxr,1.05E-09,0.288558738,0.709,0.508,2.04E-05,Nptxr,red
Pja2,1.05E-10,0.289850253,0.913,0.83,2.06E-06,Pja2,red
Ptpn5,1.24E-07,0.289883614,0.574,0.437,0.002427547,Ptpn5,red
Clu,4.17E-12,0.29041185,0.997,0.991,8.13E-08,Clu,red
Ctsd,5.13E-08,0.290833068,0.913,0.822,0.001000151,Ctsd,red
Sptbn1,3.09E-08,0.291190717,0.857,0.738,0.000602847,Sptbn1,red
Kif5c,1.56E-07,0.291371287,0.661,0.559,0.003048876,Kif5c,red
Dkk3,2.80E-12,0.293081919,0.347,0.153,5.46E-08,Dkk3,red
Zfand5,1.32E-08,0.293557238,0.605,0.434,0.000257066,Zfand5,red
Spag9,8.00E-08,0.297092059,0.709,0.581,0.001561745,Spag9,red
Slc39a10,3.23E-10,0.298277842,0.454,0.267,6.30E-06,Slc39a10,red
Hnrnpu,7.96E-11,0.298511988,0.787,0.634,1.55E-06,Hnrnpu,red
Unc80,1.29E-09,0.300442766,0.602,0.43,2.52E-05,Unc80,red
Xist,4.80E-30,0.301579449,0.221,0,9.36E-26,Xist,red
Clcn4,8.26E-11,0.302060323,0.563,0.364,1.61E-06,Clcn4,red
Cplx2,5.35E-11,0.302073282,0.636,0.413,1.04E-06,Cplx2,red
Elmo2,9.49E-09,0.302111777,0.515,0.35,0.000185168,Elmo2,red
Stxbp6,2.31E-09,0.302405184,0.37,0.202,4.50E-05,Stxbp6,red
Psap,5.41E-21,0.302658503,1,1,1.06E-16,Psap,red
Kalrn,2.34E-13,0.302670214,0.347,0.144,4.56E-09,Kalrn,red
Scn1b,1.69E-06,0.303841708,0.751,0.665,0.032938108,Scn1b,red
Sv2b,2.04E-09,0.304864161,0.412,0.232,3.99E-05,Sv2b,red
Gatm,6.11E-08,0.305541012,0.532,0.368,0.001191654,Gatm,red
Snap91,3.85E-07,0.305960622,0.739,0.662,0.007518126,Snap91,red
Vamp1,4.86E-08,0.306127202,0.633,0.486,0.000947707,Vamp1,red
Rcan2,7.36E-09,0.307906581,0.737,0.587,0.000143585,Rcan2,red
Atp2b1,2.18E-12,0.308079628,0.549,0.316,4.24E-08,Atp2b1,red
Ttc3,6.56E-14,0.310725814,0.986,0.976,1.28E-09,Ttc3,red
Stmn4,3.84E-08,0.311611948,0.725,0.606,0.00074872,Stmn4,red
Rapgef4,4.22E-09,0.312244552,0.462,0.292,8.23E-05,Rapgef4,red
Mef2c,6.85E-14,0.313660997,0.359,0.146,1.34E-09,Mef2c,red
Srsf5,7.23E-11,0.315842492,0.711,0.529,1.41E-06,Srsf5,red
Ctsb,4.43E-14,0.316878082,0.989,0.963,8.64E-10,Ctsb,red
Celf2,6.35E-11,0.319032455,0.524,0.331,1.24E-06,Celf2,red
Eif4g2,2.64E-12,0.320379884,0.944,0.836,5.15E-08,Eif4g2,red
Psd,3.22E-11,0.323014753,0.611,0.404,6.27E-07,Psd,red
Purb,1.55E-11,0.325274015,0.742,0.55,3.03E-07,Purb,red
Synpr,5.44E-09,0.327324477,0.468,0.29,0.000106087,Synpr,red
Ids,3.80E-13,0.327337778,0.888,0.785,7.42E-09,Ids,red
Eif2s3x,9.57E-12,0.32948477,0.546,0.342,1.87E-07,Eif2s3x,red
Cplx1,1.05E-08,0.330791371,0.826,0.682,0.000205478,Cplx1,red
Dgkz,3.25E-10,0.330972017,0.504,0.316,6.34E-06,Dgkz,red
Pdp1,2.30E-14,0.331682865,0.499,0.25,4.48E-10,Pdp1,red
Ttll7,1.87E-10,0.333533134,0.518,0.327,3.65E-06,Ttll7,red
Pitx2,3.97E-26,0.334000927,0.193,0,7.75E-22,Pitx2,red
Sptbn2,1.24E-13,0.335116505,0.588,0.335,2.43E-09,Sptbn2,red
Nsf,1.94E-10,0.335843657,0.916,0.877,3.79E-06,Nsf,red
Mbnl2,5.38E-11,0.336010452,0.625,0.439,1.05E-06,Mbnl2,red
Prkcb,2.84E-12,0.339917925,0.627,0.406,5.55E-08,Prkcb,red
Clstn1,2.80E-16,0.340544153,0.978,0.927,5.46E-12,Clstn1,red
