"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","color"
"104","Hpcal4",2.51889840634166e-18,0.444193357976489,0.586,0.388,4.91462268061322e-14,"red"
"105","Hspe1",3.00542098043698e-15,-0.330908135806409,0.647,0.812,5.8638768749306e-11,"blue"
"106","Ids",1.81884996925497e-09,0.2935491915358,0.723,0.64,3.54875817501338e-05,"red"
"107","Itih3",1.94797754205805e-08,-0.257361075173914,0.353,0.509,0.000380069898230945,"blue"
"108","Kif1a",1.11239477073751e-07,0.221458147881594,0.902,0.851,0.00217039343718596,"red"
"109","Kif1b",3.52539121157867e-18,0.402919063361138,0.791,0.636,6.87839079291114e-14,"red"
"110","Klc1",9.03019968951143e-08,0.21739281164726,0.951,0.888,0.00176188226142057,"red"
"111","Lsm6",4.00222950820271e-09,-0.203468237027444,0.36,0.535,7.8087499934543e-05,"blue"
"112","Map1lc3a",4.76980450028789e-09,-0.213671514866638,0.897,0.949,9.3063655605117e-05,"blue"
"113","Mapk1",1.98050235019758e-09,0.269767040477608,0.714,0.579,3.86415813547049e-05,"red"
"114","Meg3",4.09759784236182e-44,0.614338996063544,0.988,0.893,7.99482315023214e-40,"red"
"115","Micos10",1.4414912459055e-11,-0.253893579055992,0.756,0.861,2.81249356988623e-07,"blue"
"116","Micos13",4.0035953649489e-15,-0.308548373796603,0.459,0.685,7.81141491655181e-11,"blue"
"117","Mif",2.91273401382119e-14,-0.269688551814932,0.951,0.965,5.68303533436652e-10,"blue"
"118","Mrpl52",4.76893954885806e-16,-0.352822388826782,0.459,0.675,9.30467795377696e-12,"blue"
"119","mt-Co2",2.04479012396949e-20,-0.197589280701959,1,1,3.98959001087688e-16,"blue"
"120","mt-Co3",3.38089476274228e-23,-0.166470834586141,1,1,6.59646377158647e-19,"blue"
"121","Mt1",1.79235646209747e-38,-0.451633771895088,0.998,1,3.49706669319838e-34,"blue"
"122","Mt3",2.95541821276467e-22,-0.265894401391801,1,1,5.76631647492516e-18,"blue"
"123","Napb",2.30397129132777e-06,0.239796744367408,0.635,0.555,0.0449527838650962,"red"
"124","Nckap1",1.77150545801495e-06,0.19858926557133,0.867,0.771,0.0345638429913297,"red"
"125","Ndufa1",8.06204824937267e-17,-0.321966043764595,0.75,0.859,1.5729862339351e-12,"blue"
"126","Ndufa11",2.33422543490576e-20,-0.333180096970262,0.836,0.928,4.55430724604464e-16,"blue"
"127","Ndufa12",1.1576215741639e-17,-0.309950932226353,0.874,0.949,2.25863545335118e-13,"blue"
"128","Ndufa13",2.28329691414666e-34,-0.448099828045921,0.948,0.989,4.45494060919154e-30,"blue"
"129","Ndufa2",5.5038679866555e-12,-0.251037848942077,0.946,0.967,1.07385968287635e-07,"blue"
"130","Ndufa3",2.40686290795565e-25,-0.379513118836945,0.937,0.981,4.69603021971227e-21,"blue"
"131","Ndufa4",2.9350329439997e-21,-0.259827248236548,0.997,1,5.72654277703781e-17,"blue"
"132","Ndufa5",2.22317181510733e-16,-0.307852501510063,0.925,0.964,4.33763052845591e-12,"blue"
"133","Ndufa6",3.3862227176546e-15,-0.267176508200117,0.937,0.968,6.6068591444159e-11,"blue"
"134","Ndufa7",2.72246153241009e-17,-0.318267651245232,0.82,0.912,5.31179469588533e-13,"blue"
"135","Ndufa8",8.98420103595578e-10,-0.260701761613516,0.572,0.727,1.75290746412533e-05,"blue"
"136","Ndufab1",1.58160363503453e-13,-0.284089037647317,0.78,0.879,3.08586685231587e-09,"blue"
"137","Ndufb1-ps",2.90927352124231e-16,-0.287542980910574,0.979,0.983,5.67628356729587e-12,"blue"
"138","Ndufb10",2.04250244199314e-13,-0.281446986149645,0.85,0.915,3.98512651457281e-09,"blue"
"139","Ndufb11",1.66558820256103e-19,-0.337839241083545,0.743,0.888,3.24972914201683e-15,"blue"
"140","Ndufb2",1.86965424421281e-13,-0.283393450603577,0.867,0.932,3.64788239588362e-09,"blue"
"141","Ndufb3",1.95689183513569e-10,-0.263295697574076,0.628,0.777,3.81809165953324e-06,"blue"
"142","Ndufb4",2.28275138331727e-25,-0.379337532424335,0.902,0.965,4.45387622399033e-21,"blue"
"143","Ndufb6",1.50896499349552e-13,-0.295617049925984,0.728,0.843,2.94414159880911e-09,"blue"
"144","Ndufb7",4.68901232643804e-13,-0.291404798639069,0.642,0.809,9.14873195011326e-09,"blue"
