"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"113","Rps21",8.69000551933351e-32,-0.502435208163477,1,1,1.69550697687716e-27
"114","Rps23",1.97164303537873e-13,-0.36715160739525,0.993,0.993,3.84687272632744e-09
"115","Rps24",1.61654765296366e-18,-0.416420666449307,0.996,1,3.1540461256974e-14
"116","Rps26",7.51503330116108e-19,-0.452967658251132,0.968,1,1.46625814738954e-14
"117","Rps27",6.64077406024225e-23,-0.506873558770473,0.989,1,1.29568142689386e-18
"118","Rps27a",2.25079971119677e-17,-0.415459736103727,0.996,1,4.39153531651602e-13
"119","Rps28",2.13835654046187e-20,-0.502995140227077,0.996,1,4.17214744609515e-16
"120","Rps29",1.51452712869079e-21,-0.429204183200275,1,1,2.95499388078861e-17
"121","Rps3",2.28049751638208e-15,-0.383758349235988,0.972,0.989,4.44947870421309e-11
"122","Rps5",1.42652718449674e-06,-0.258536976196292,0.932,0.975,0.027832971896716
"123","Rps7",8.22908524172639e-10,-0.305553980114332,0.957,0.996,1.60557682151324e-05
"124","Rps8",1.07289038221881e-12,-0.328600486850067,0.996,1,2.09331642474712e-08
"125","Rps9",1.19868896801224e-07,-0.3170873095907,0.904,0.957,0.00233876204548867
"126","Sec61g",2.41510638867777e-08,-0.323712386073407,0.719,0.904,0.000471211407494919
"127","Serf2",1.70647421082954e-08,-0.325410263793401,0.904,0.961,0.000332950183274951
"128","Smdt1",1.87182740785991e-11,-0.415702697435652,0.772,0.936,3.65212245547547e-07
"129","Snap25",3.06735039987455e-09,0.213031796564481,1,1,5.98470736519523e-05
"130","Timm8b",3.74233919826402e-10,-0.355141680827312,0.797,0.936,7.30167800973294e-06
"131","Tmsb10",3.27497506310687e-08,-0.29560553754297,0.982,0.993,0.000638980384562781
"132","Tmsb4x",3.40780513463243e-64,-0.92411188135896,1,1,6.64896859818133e-60
"133","Tomm7",2.00521486938828e-07,-0.28678481233726,0.747,0.9,0.00391237473166347
"134","Ubl5",3.13307966558396e-08,-0.307079922975856,0.886,0.979,0.000611295173552087
"135","Uqcc2",4.63568181614656e-07,-0.29369526095828,0.922,0.975,0.00904467879148356
"136","Uqcr10",5.34929980578394e-09,-0.315822257030363,0.954,0.993,0.000104370188510651
"137","Uqcr11",6.69346481389356e-10,-0.34351775152729,0.954,0.993,1.30596191983877e-05
"138","Uqcrb",2.39138291893232e-07,-0.303892072775793,0.843,0.943,0.00466582721312886
"139","Uqcrh",8.14867446793667e-16,-0.447213761251819,0.943,1,1.58988787543912e-11
"140","Uqcrq",4.42059455470808e-07,-0.262171623370227,0.989,0.996,0.00862502203569093
"141","Xist",1.73612356642549e-12,0.312656905988726,0.164,0,3.38735069045278e-08
